,timestamp,open,high,low,close,volume
0,2019-09-23,67.41,67.41,67.32,67.41,42371
1,2019-09-20,68.02,68.13,67.38,67.5,753661
2,2019-09-19,67.63,67.9,67.44,67.55,438100
3,2019-09-18,67.98,68.01,67.33,67.91,754500
4,2019-09-17,67.53,68.08,67.48,68.05,418300
5,2019-09-16,68.16,68.35,67.95,68.11,980900
6,2019-09-13,68.82,69.04,68.71,68.92,1035300
7,2019-09-12,68.31,68.78,68.07,68.45,1073300
8,2019-09-11,67.76,68.04,67.63,67.97,1003300
9,2019-09-10,67.41,67.57,67.14,67.5,1029800
10,2019-09-09,67.31,67.52,67.2,67.46,868500
11,2019-09-06,67.23,67.3,67.06,67.19,1512200
12,2019-09-05,66.79,67.01,66.7,66.9,3438100
13,2019-09-04,65.99,66.21,65.86,66.14,2631600
14,2019-09-03,64.52,64.88,64.52,64.72,1461000
15,2019-08-30,65.42,65.5,65.02,65.28,1954700
16,2019-08-29,64.9,65.22,64.75,65.09,1779900
17,2019-08-28,64.22,64.57,64.08,64.48,1857700
18,2019-08-27,64.67,64.88,64.39,64.4,2216200
19,2019-08-26,64.32,64.37,64.04,64.31,1361700
20,2019-08-23,64.59,65.12,63.72,63.77,1798000
21,2019-08-22,64.93,64.97,64.42,64.66,679500
22,2019-08-21,65.7,65.74,65.32,65.55,480700
23,2019-08-20,65.35,65.45,65.17,65.22,801900
24,2019-08-19,65.54,65.59,65.1,65.13,972400
25,2019-08-16,64.18,64.63,64.17,64.5,1264100
26,2019-08-15,63.49,63.65,63.15,63.4,1079300
27,2019-08-14,63.23,63.41,62.74,62.74,1570700
28,2019-08-13,63.12,64.84,63.06,64.48,1285300
29,2019-08-12,63.62,63.78,63.43,63.49,1608800
30,2019-08-09,64.49,64.57,63.99,64.29,1739400
31,2019-08-08,64.69,65.055,64.485,64.98,1890800
32,2019-08-07,63.34,64.25,63.11,64.15,1383800
33,2019-08-06,64.21,64.3,63.57,63.92,2452800
34,2019-08-05,63.91,63.94,62.7,63.06,4305200
35,2019-08-02,66.06,66.23,65.55,65.65,1631700
36,2019-08-01,67.84,68.38,66.21,66.46,2456900
37,2019-07-31,68.54,68.55,67.17,67.86,2210400
38,2019-07-30,68.66,68.71,68.44,68.67,399300
39,2019-07-29,69.15,69.22,68.93,69.12,554400
40,2019-07-26,69.72,69.72,69.44,69.5,879900
41,2019-07-25,69.91,69.97,69.4,69.54,825800
42,2019-07-24,69.82,70.05,69.8,70.05,1068600
43,2019-07-23,69.77,69.941,69.66,69.94,972100
44,2019-07-22,69.75,69.8422,69.62,69.73,953100
45,2019-07-19,70.08,70.15,69.66,69.67,573800
46,2019-07-18,69.48,69.87,69.36,69.87,386100
47,2019-07-17,69.64,69.8,69.4199,69.5,703100
48,2019-07-16,69.84,70.04,69.67,69.67,385000
49,2019-07-15,69.72,69.82,69.61,69.82,456200
50,2019-07-12,69.37,69.46,69.21,69.38,687800
51,2019-07-11,69.51,69.53,69.13,69.29,2085800
52,2019-07-10,69.49,69.67,69.21,69.3,2141000
53,2019-07-09,68.55,68.97,68.54,68.89,1780300
54,2019-07-08,69.13,69.24,68.96,69.13,3111100
55,2019-07-05,69.85,69.89,69.53,69.88,3751400
56,2019-07-03,70.4,70.45,70.24,70.45,238900
57,2019-07-02,70.81,70.9,70.54,70.77,720500
58,2019-07-01,71.05,71.225,70.48,70.74,825700
59,2019-06-28,69.89,69.93,69.64,69.79,2508900
60,2019-06-27,69.79,69.99,69.68,69.96,2413000
61,2019-06-26,69.22,69.51,69.2,69.26,1023900
62,2019-06-25,69.07,69.09,68.62,68.65,1067800
63,2019-06-24,69.37,69.455,69.2,69.32,232600
64,2019-06-21,69.28,69.47,69.19,69.27,721900
65,2019-06-20,69.93,70.04,69.38,69.66,1022200
66,2019-06-19,68.26,68.8683,68.122,68.57,644900
67,2019-06-18,67.05,68.1742,67.05,67.97,734100
68,2019-06-17,66.16,66.4,66.09,66.25,1071700
69,2019-06-14,66.69,66.7,66.41,66.46,534200
70,2019-06-13,67.31,67.4,66.92,67.12,962100
71,2019-06-12,67.42,67.44,67.06,67.15,374300
72,2019-06-11,68.3,68.3506,67.88,68.08,2063000
73,2019-06-10,67.3108,67.71,67.21,67.35,938600
74,2019-06-07,66.56,67.19,66.56,66.71,582400
75,2019-06-06,66.15,66.33,65.95,66.22,1049500
76,2019-06-05,66.63,66.63,65.93,66.17,891600
77,2019-06-04,66.08,66.57,66.02,66.5,1124400
78,2019-06-03,66.39,66.68,66.24,66.37,1907800
79,2019-05-31,65.45,65.96,65.38,65.83,1400000
80,2019-05-30,65.69,65.895,65.56,65.77,2054200
81,2019-05-29,65.3,65.72,65.1884,65.65,1956700
82,2019-05-28,66.07,66.19,65.545,65.56,984900
83,2019-05-24,65.78,65.87,65.35,65.43,1140600
84,2019-05-23,65.26,65.57,65.09,65.35,1935800
85,2019-05-22,66.31,66.37,66.1,66.23,541300
86,2019-05-21,66.39,66.5,66.1,66.48,1053800
87,2019-05-20,66.04,66.16,65.67,65.76,1727900
88,2019-05-17,66.424,66.79,66.23,66.38,3360100
89,2019-05-16,67.75,68.0841,67.56,67.57,784600
90,2019-05-15,67.32,67.85,67.24,67.8,1285900
91,2019-05-14,67.34,67.6846,67.16,67.41,2160000
92,2019-05-13,66.75,66.91,66.1313,66.43,2854700
93,2019-05-10,68.57,69.025,67.79,68.77,1390100
94,2019-05-09,68.04,68.745,67.46,68.45,3213600
95,2019-05-08,69.87,70.145,69.565,69.58,4128600
96,2019-05-07,70.66,70.71,69.4927,69.89,3086800
97,2019-05-06,70.62,71.49,70.555,71.32,895700
98,2019-05-03,72.73,73.1,72.65,73.01,892800
99,2019-05-02,72.21,72.47,71.83,72.15,1207400
