,timestamp,open,high,low,close,volume
0,2019-09-13,2.25,2.25,2.07,2.19,51841
1,2019-09-12,2.33,2.3537,2.13,2.18,207092
2,2019-09-11,2.42,2.43,2.25,2.3,142500
3,2019-09-10,2.4,2.51,2.3,2.42,143100
4,2019-09-09,2.34,2.45,2.3,2.39,271000
5,2019-09-06,2.24,2.39,2.24,2.3,287300
6,2019-09-05,2.15,2.24,2.09,2.22,210500
7,2019-09-04,2.03,2.24,2.02,2.1,218100
8,2019-09-03,1.97,2.11,1.97,1.99,95500
9,2019-08-30,2.03,2.11,1.96,1.99,92700
10,2019-08-29,2.0,2.03,1.98,2.02,34700
11,2019-08-28,2.0,2.05,1.95,1.96,130000
12,2019-08-27,2.02,2.08,1.97,2.02,66100
13,2019-08-26,2.0,2.07,1.82,1.95,175200
14,2019-08-23,2.01,2.17,1.88,1.94,167200
15,2019-08-22,1.9,2.03,1.89,1.98,104600
16,2019-08-21,1.85,1.93,1.83,1.86,55300
17,2019-08-20,1.89,1.94,1.8,1.86,36100
18,2019-08-19,1.85,1.94,1.82,1.88,50600
19,2019-08-16,1.8,1.94,1.71,1.81,95200
20,2019-08-15,1.7801,1.84,1.75,1.77,62600
21,2019-08-14,1.9,1.9,1.7101,1.79,77900
22,2019-08-13,1.78,1.94,1.78,1.9,155200
23,2019-08-12,1.76,1.8,1.75,1.79,29000
24,2019-08-09,1.81,1.95,1.7,1.75,159700
25,2019-08-08,1.74,1.93,1.74,1.85,109900
26,2019-08-07,1.76,1.81,1.62,1.75,99800
27,2019-08-06,1.67,1.83,1.66,1.75,62100
28,2019-08-05,1.79,1.79,1.61,1.68,97200
29,2019-08-02,1.83,1.85,1.77,1.79,91400
30,2019-08-01,1.82,1.84,1.81,1.82,33600
31,2019-07-31,1.85,1.88,1.82,1.83,74500
32,2019-07-30,1.89,1.91,1.82,1.83,33700
33,2019-07-29,1.87,1.94,1.8,1.9,143200
34,2019-07-26,1.85,1.96,1.83,1.85,99800
35,2019-07-25,1.9,1.91,1.82,1.84,67500
36,2019-07-24,1.84,1.94,1.84,1.89,91200
37,2019-07-23,1.9,1.91,1.8,1.85,281100
38,2019-07-22,1.83,1.94,1.77,1.86,110900
39,2019-07-19,1.91,1.9699,1.89,1.89,9300
40,2019-07-18,1.94,1.95,1.86,1.93,42700
41,2019-07-17,1.96,2.1,1.93,1.93,152800
42,2019-07-16,1.84,2.0,1.81,1.95,144200
43,2019-07-15,1.76,1.87,1.76,1.85,37200
44,2019-07-12,1.76,1.9,1.76,1.76,95400
45,2019-07-11,1.75,1.8,1.66,1.77,78300
46,2019-07-10,1.8,1.85,1.7,1.73,157900
47,2019-07-09,1.8999,1.93,1.78,1.8,154300
48,2019-07-08,2.0,2.03,1.88,1.89,111300
49,2019-07-05,2.0,2.03,1.97,2.01,53500
50,2019-07-03,2.04,2.04,1.92,2.0,87400
51,2019-07-02,2.12,2.15,1.98,2.04,117400
52,2019-07-01,1.9899,2.24,1.91,2.12,588400
53,2019-06-28,2.02,2.06,1.84,1.93,212700
54,2019-06-27,2.03,2.13,2.0,2.03,118900
55,2019-06-26,2.05,2.1,1.92,2.02,168500
56,2019-06-25,2.13,2.22,2.05,2.07,120500
57,2019-06-24,2.31,2.312,1.91,2.11,372800
58,2019-06-21,2.4597,2.5,2.27,2.32,299600
59,2019-06-20,2.45,2.54,2.405,2.41,99900
60,2019-06-19,2.52,2.57,2.42,2.42,194200
61,2019-06-18,2.56,2.648,2.51,2.59,182500
62,2019-06-17,2.5,2.641,2.41,2.53,275900
63,2019-06-14,2.72,2.75,2.47,2.5,333600
64,2019-06-13,2.66,2.77,2.64,2.67,177600
65,2019-06-12,2.89,2.89,2.53,2.65,407000
66,2019-06-11,3.56,3.68,2.45,2.9,3309000
67,2019-06-10,3.67,3.95,3.67,3.88,108300
68,2019-06-07,3.58,3.862,3.57,3.66,134300
69,2019-06-06,3.72,3.95,3.55,3.55,168300
70,2019-06-05,3.86,3.98,3.745,3.82,59800
71,2019-06-04,4.04,4.14,3.8,3.86,81100
72,2019-06-03,4.23,4.43,4.0,4.08,261700
73,2019-05-31,4.2,4.294,3.98,4.21,194700
74,2019-05-30,4.2,4.27,3.9,4.23,190100
75,2019-05-29,4.15,4.37,4.1,4.16,103500
76,2019-05-28,4.03,4.25,3.953,4.23,184600
77,2019-05-24,3.65,3.9499,3.65,3.86,161100
78,2019-05-23,3.61,3.66,3.565,3.63,64300
79,2019-05-22,3.5,3.669,3.4,3.59,69000
80,2019-05-21,3.34,3.683,3.34,3.5,123700
81,2019-05-20,3.39,3.475,3.25,3.4,192700
82,2019-05-17,3.77,3.83,3.4703,3.49,224000
83,2019-05-16,3.97,4.11,3.67,3.83,256300
84,2019-05-15,4.03,4.34,4.017,4.22,184600
85,2019-05-14,4.0,4.29,3.94,4.02,241600
86,2019-05-13,4.03,4.064,3.8,3.94,162100
87,2019-05-10,4.12,4.18,4.06,4.13,109700
88,2019-05-09,4.25,4.3,3.85,4.12,255100
89,2019-05-08,4.2302,4.306,4.13,4.27,100200
90,2019-05-07,4.4,4.409,4.19,4.25,123400
91,2019-05-06,4.31,4.36,4.18,4.29,176400
92,2019-05-03,4.44,4.5,4.29,4.32,187300
93,2019-05-02,4.46,4.6,4.29,4.37,175300
94,2019-05-01,4.25,4.57,4.25,4.46,214000
95,2019-04-30,4.35,4.51,4.2,4.25,151900
96,2019-04-29,4.31,4.63,4.25,4.35,412400
97,2019-04-26,4.0,4.39,4.0,4.35,247200
98,2019-04-25,4.13,4.31,3.951,4.02,294100
99,2019-04-24,4.11,4.5,4.05,4.16,772900
100,2019-04-23,3.8404,4.08,3.65,4.05,474700
101,2019-04-22,3.48,3.94,3.4801,3.86,411000
102,2019-04-18,3.55,3.6,3.47,3.54,84700
103,2019-04-17,3.52,3.6,3.49,3.58,47000
104,2019-04-16,3.38,3.58,3.38,3.5,58900
105,2019-04-15,3.51,3.68,3.34,3.38,159500
106,2019-04-12,3.6,3.648,3.4998,3.51,69600
107,2019-04-11,3.64,3.65,3.53,3.55,180100
108,2019-04-10,3.76,3.785,3.601,3.63,135700
109,2019-04-09,3.77,3.85,3.7,3.79,202200
110,2019-04-08,3.72,3.8,3.5102,3.77,346000
111,2019-04-05,3.56,3.82,3.5601,3.7,724600
112,2019-04-04,3.34,3.58,3.322,3.5,483200
113,2019-04-03,3.2,3.3797,3.2,3.37,235800
114,2019-04-02,3.34,3.55,3.13,3.19,1083300
115,2019-04-01,3.25,3.34,3.15,3.18,118800
116,2019-03-29,3.13,3.34,3.13,3.23,121600
117,2019-03-28,3.14,3.43,3.05,3.13,375200
118,2019-03-27,2.93,3.19,2.9,3.15,223700
