,timestamp,open,high,low,close,volume
0,2019-09-13,0.25,0.3099,0.2401,0.2552,295871
1,2019-09-12,0.2655,0.27,0.25,0.251,36298
2,2019-09-11,0.26,0.27,0.25,0.26,90000
3,2019-09-10,0.29,0.29,0.25,0.26,217700
4,2019-09-09,0.3,0.3,0.29,0.29,50200
5,2019-09-06,0.3,0.31,0.29,0.3,50100
6,2019-09-05,0.3,0.31,0.29,0.29,72700
7,2019-09-04,0.29,0.3,0.29,0.29,53800
8,2019-09-03,0.29,0.31,0.28,0.29,33500
9,2019-08-30,0.28,0.3,0.28,0.29,37500
10,2019-08-29,0.29,0.31,0.28,0.28,70200
11,2019-08-28,0.28,0.31,0.27,0.3,133100
12,2019-08-27,0.28,0.33,0.27,0.28,401600
13,2019-08-26,0.3,0.32,0.27,0.31,192800
14,2019-08-23,0.27,0.32,0.27,0.31,480000
15,2019-08-22,0.26,0.27,0.26,0.26,33500
16,2019-08-21,0.26,0.26,0.25,0.26,31600
17,2019-08-20,0.25,0.27,0.25,0.26,39200
18,2019-08-19,0.28,0.28,0.25,0.26,26100
19,2019-08-16,0.26,0.28,0.25,0.28,25000
20,2019-08-15,0.28,0.28,0.23,0.26,97300
21,2019-08-14,0.25,0.28,0.24,0.26,117900
22,2019-08-13,0.23,0.254,0.221,0.232,50900
23,2019-08-12,0.254,0.258,0.221,0.24,96800
24,2019-08-09,0.266,0.28,0.25,0.258,11900
25,2019-08-08,0.28,0.282,0.235,0.28,59600
26,2019-08-07,0.235,0.27,0.231,0.26,176300
27,2019-08-06,0.23,0.24,0.22,0.24,67600
28,2019-08-05,0.23,0.24,0.22,0.22,41000
29,2019-08-02,0.25,0.25,0.22,0.23,63600
30,2019-08-01,0.23,0.25,0.21,0.23,86700
31,2019-07-31,0.24,0.24,0.2,0.22,269500
32,2019-07-30,0.27,0.27,0.22,0.25,229200
33,2019-07-29,0.28,0.28,0.26,0.26,108800
34,2019-07-26,0.31,0.31,0.21,0.3,40500
35,2019-07-25,0.31,0.31,0.27,0.3,93700
36,2019-07-24,0.32,0.32,0.31,0.31,29600
37,2019-07-23,0.31,0.33,0.3,0.31,96100
38,2019-07-22,0.31,0.33,0.31,0.32,37600
39,2019-07-19,0.33,0.33,0.3,0.3,197200
40,2019-07-18,0.32,0.33,0.31,0.32,121700
41,2019-07-17,0.33,0.35,0.31,0.32,826000
42,2019-07-16,0.31,0.34,0.3,0.32,246400
43,2019-07-15,0.33,0.34,0.3,0.32,434000
44,2019-07-12,0.33,0.35,0.33,0.33,99800
45,2019-07-11,0.34,0.37,0.33,0.34,408000
