,timestamp,open,high,low,close,volume
0,2019-09-13,3.15,3.24,3.13,3.21,213780
1,2019-09-12,2.94,3.1885,2.885,3.13,1103109
2,2019-09-11,2.9,2.94,2.85,2.92,518100
3,2019-09-10,2.93,2.95,2.83,2.89,389700
4,2019-09-09,2.85,2.94,2.78,2.91,518800
5,2019-09-06,2.93,2.94,2.84,2.84,323700
6,2019-09-05,2.84,3.0,2.8,2.93,717500
7,2019-09-04,2.77,2.82,2.73,2.81,240800
8,2019-09-03,2.73,2.85,2.69,2.76,247700
9,2019-08-30,2.82,2.87,2.76,2.78,189600
10,2019-08-29,2.77,2.84,2.74,2.82,206500
11,2019-08-28,2.66,2.77,2.64,2.74,395100
12,2019-08-27,2.69,2.79,2.63,2.67,287700
13,2019-08-26,2.72,2.749,2.65,2.72,149700
14,2019-08-23,2.8,2.814,2.67,2.68,334500
15,2019-08-22,2.81,2.86,2.71,2.8,230600
16,2019-08-21,2.88,2.88,2.78,2.8,264100
17,2019-08-20,2.85,2.89,2.76,2.85,396100
18,2019-08-19,2.76,2.865,2.71,2.83,339200
19,2019-08-16,2.7,2.79,2.68,2.72,400900
20,2019-08-15,2.8,2.9,2.67,2.7,634800
21,2019-08-14,2.75,2.82,2.69,2.82,349700
22,2019-08-13,2.76,2.83,2.7,2.82,568500
23,2019-08-12,2.91,2.92,2.67,2.75,688700
24,2019-08-09,2.7898,2.96,2.7,2.94,774300
25,2019-08-08,2.75,2.79,2.67,2.77,356200
26,2019-08-07,2.75,2.85,2.63,2.73,446900
27,2019-08-06,2.72,2.75,2.5702,2.71,459700
28,2019-08-05,2.9,2.9,2.68,2.69,742100
29,2019-08-02,2.8,2.97,2.7,2.96,1063200
30,2019-08-01,3.03,3.06,2.7801,2.83,649500
31,2019-07-31,2.95,3.12,2.95,3.0,484700
32,2019-07-30,2.94,2.98,2.865,2.96,304100
33,2019-07-29,2.97,3.0,2.94,2.96,399500
34,2019-07-26,2.92,3.0,2.86,2.99,557600
35,2019-07-25,2.92,3.02,2.89,2.9,532900
36,2019-07-24,2.97,2.97,2.88,2.92,280300
37,2019-07-23,2.97,3.0,2.88,2.94,555400
38,2019-07-22,3.1,3.13,2.925,2.94,800000
39,2019-07-19,3.17,3.18,3.09,3.1,511500
40,2019-07-18,3.0801,3.18,3.055,3.15,777300
41,2019-07-17,3.01,3.1,3.01,3.04,570900
42,2019-07-16,3.14,3.16,3.02,3.06,706900
43,2019-07-15,3.16,3.19,3.08,3.15,763300
44,2019-07-12,3.0,3.16,2.96,3.13,1238900
45,2019-07-11,2.85,3.0,2.8199,2.98,938300
46,2019-07-10,2.82,2.87,2.76,2.84,1029100
47,2019-07-09,2.82,2.855,2.765,2.82,772400
48,2019-07-08,2.91,2.96,2.77,2.84,903400
49,2019-07-05,2.95,2.95,2.84,2.91,658700
50,2019-07-03,2.88,2.96,2.86,2.95,536000
51,2019-07-02,2.99,2.99,2.87,2.9,990300
52,2019-07-01,2.91,3.0,2.85,2.97,1083700
53,2019-06-28,2.86,2.9,2.72,2.87,7570800
54,2019-06-27,2.75,2.87,2.73,2.83,944100
55,2019-06-26,2.71,2.87,2.691,2.75,937200
56,2019-06-25,2.9,2.92,2.64,2.68,1843900
57,2019-06-24,3.27,3.28,2.85,2.91,1887200
58,2019-06-21,3.4,3.48,3.38,3.41,885300
59,2019-06-20,3.38,3.44,3.34,3.38,879800
60,2019-06-19,3.33,3.4901,3.28,3.35,1095000
61,2019-06-18,3.2,3.32,3.2,3.3,792300
62,2019-06-17,3.26,3.3,3.13,3.23,779000
63,2019-06-14,3.3,3.339,3.15,3.19,821900
64,2019-06-13,3.12,3.35,3.09,3.32,1466600
65,2019-06-12,2.94,3.135,2.94,3.1,1133300
66,2019-06-11,3.0,3.06,2.86,2.96,734800
67,2019-06-10,2.61,3.2,2.61,2.99,1798500
68,2019-06-07,2.57,2.69,2.52,2.62,610300
69,2019-06-06,2.89,2.94,2.55,2.6,1401600
