,timestamp,open,high,low,close,volume
0,2019-09-13,4.27,4.2895,4.0703,4.2627,2557
1,2019-09-12,4.24,4.28,4.1,4.24,33788
2,2019-09-11,4.28,4.32,4.06,4.23,22200
3,2019-09-10,4.21,4.422,4.21,4.27,34900
4,2019-09-09,4.06,4.34,4.06,4.22,53600
5,2019-09-06,4.06,4.37,4.06,4.08,37800
6,2019-09-05,4.09,4.52,4.09,4.17,33000
7,2019-09-04,4.35,4.35,4.05,4.1,50000
8,2019-09-03,4.19,4.32,4.09,4.32,31000
9,2019-08-30,4.21,4.27,4.11,4.17,32700
10,2019-08-29,4.31,4.36,4.205,4.23,60700
11,2019-08-28,4.1,4.351,4.1,4.25,19700
12,2019-08-27,4.14,4.165,4.005,4.12,25500
13,2019-08-26,4.07,4.15,4.07,4.13,4900
14,2019-08-23,4.5,4.51,3.93,4.03,33700
15,2019-08-22,4.57,4.57,4.23,4.37,68700
16,2019-08-21,4.05,4.59,4.0,4.55,60900
17,2019-08-20,3.89,4.05,3.89,4.0,62300
18,2019-08-19,3.87,4.0,3.821,3.93,69200
19,2019-08-16,3.82,4.0,3.79,3.82,32700
20,2019-08-15,3.9999,4.0,3.76,3.8,38000
21,2019-08-14,3.98,4.03,3.9,4.01,47000
22,2019-08-13,4.1596,4.16,3.91,3.99,21000
23,2019-08-12,3.99,4.05,3.87,3.95,21100
24,2019-08-09,4.0,4.07,3.8761,4.01,32600
25,2019-08-08,3.82,4.07,3.82,3.96,35500
26,2019-08-07,4.14,4.1399,3.62,4.0,52000
27,2019-08-06,3.97,4.14,3.856,4.06,43400
28,2019-08-05,4.16,4.171,3.72,3.83,43600
29,2019-08-02,3.92,4.07,3.81,3.94,53500
30,2019-08-01,4.08,4.31,3.89,3.94,58600
31,2019-07-31,4.44,4.44,4.08,4.09,55200
32,2019-07-30,4.1,4.49,4.1,4.39,47700
33,2019-07-29,4.0198,4.15,3.83,4.12,68200
34,2019-07-26,4.07,4.12,4.02,4.03,43400
35,2019-07-25,4.3,4.3403,4.02,4.04,36300
36,2019-07-24,4.27,4.4,4.09,4.3,34400
37,2019-07-23,4.39,4.688,4.16,4.28,54000
38,2019-07-22,4.54,4.599,4.27,4.31,42200
39,2019-07-19,4.73,4.775,4.506,4.53,61400
40,2019-07-18,4.8,4.86,4.5,4.73,162500
41,2019-07-17,4.9,5.01,4.81,4.82,38800
42,2019-07-16,5.02,5.06,4.88,4.9,40200
43,2019-07-15,4.94,5.02,4.75,4.97,41000
44,2019-07-12,5.08,5.115,4.8,4.94,114100
45,2019-07-11,5.27,5.7397,5.05,5.08,320600
46,2019-07-10,5.07,5.189,4.85,5.16,169800
47,2019-07-09,4.87,5.18,4.85,4.9,149500
48,2019-07-08,4.94,5.08,4.75,4.87,88000
49,2019-07-05,4.98,5.2,4.86,4.95,176600
50,2019-07-03,4.98,5.13,4.65,5.01,126100
51,2019-07-02,4.49,4.91,4.412,4.91,209100
52,2019-07-01,4.1,4.52,4.0,4.5,361200
53,2019-06-28,4.1,4.94,4.03,4.07,1592500
54,2019-06-27,4.21,4.34,4.12,4.16,112000
55,2019-06-26,4.351,4.3703,4.1,4.22,142800
56,2019-06-25,4.5,4.56,4.21,4.45,50700
57,2019-06-24,4.61,4.61,4.135,4.5,116700
58,2019-06-21,4.89,5.285,4.37,4.66,212800
59,2019-06-20,4.98,5.36,4.775,4.93,181700
60,2019-06-19,4.9,5.03,4.6,4.61,106300
61,2019-06-18,4.82,5.19,4.82,4.92,108300
62,2019-06-17,4.34,4.85,4.32,4.69,129700
63,2019-06-14,4.52,4.65,4.25,4.27,68900
64,2019-06-13,4.54,4.72,4.34,4.5,116000
65,2019-06-12,4.63,4.83,4.33,4.49,124000
66,2019-06-11,4.66,4.8795,4.435,4.6,153600
67,2019-06-10,4.45,4.53,4.18,4.33,72600
68,2019-06-07,4.66,4.75,4.23,4.46,96700
69,2019-06-06,5.67,5.7722,4.425,4.69,231100
70,2019-06-05,5.05,5.66,4.975,5.59,249400
71,2019-06-04,4.47,5.2,4.19,5.0,396900
72,2019-06-03,4.0,4.1,3.96,4.02,42000
73,2019-05-31,3.92,4.0699,3.92,3.99,69500
74,2019-05-30,4.0401,4.23,3.94,4.03,50200
75,2019-05-29,4.13,4.13,3.95,4.0,83200
76,2019-05-28,4.545,4.59,4.01,4.15,331100
77,2019-05-24,4.73,4.92,4.41,4.51,173400
78,2019-05-23,4.81,4.86,4.62,4.63,68600
79,2019-05-22,5.06,5.2,4.82,4.91,143400
80,2019-05-21,5.1,5.189,4.87,5.06,120400
81,2019-05-20,5.25,5.37,4.81,5.04,165100
82,2019-05-17,5.55,5.73,5.125,5.25,135900
83,2019-05-16,5.6,5.78,5.16,5.62,127000
84,2019-05-15,5.22,5.77,5.095,5.73,133700
85,2019-05-14,5.25,5.58,5.23,5.3,94500
86,2019-05-13,5.4,5.415,5.08,5.21,73800
87,2019-05-10,5.8,6.361,5.4,5.45,51900
88,2019-05-09,6.0,6.03,5.61,5.74,50500
89,2019-05-08,6.04,6.18,6.025,6.04,26100
90,2019-05-07,6.521,6.521,6.0,6.155,19300
