,timestamp,open,high,low,close,volume
0,2019-09-16,11.81,12.26,11.75,12.15,39773
1,2019-09-13,12.35,12.38,11.76,11.79,923900
2,2019-09-12,12.59,12.59,11.88,12.29,739100
3,2019-09-11,12.71,12.77,12.3,12.63,776100
4,2019-09-10,11.94,12.69,11.72,12.65,978900
5,2019-09-09,11.75,11.92,11.58,11.89,473700
6,2019-09-06,11.87,12.24,11.5,11.7,582500
7,2019-09-05,12.25,12.33,11.72,11.83,893400
8,2019-09-04,11.39,12.29,11.39,12.16,1592500
9,2019-09-03,10.89,11.6,10.7,11.24,1331800
10,2019-08-30,10.78,11.17,10.46,10.92,738500
11,2019-08-29,10.45,10.76,10.36,10.71,1997300
12,2019-08-28,10.3,10.58,10.01,10.36,995900
13,2019-08-27,10.57,11.19,10.08,10.29,1436500
14,2019-08-26,10.14,10.49,10.07,10.48,541300
15,2019-08-23,10.29,10.54,10.0,10.03,689200
16,2019-08-22,10.72,10.74,10.17,10.29,1291700
17,2019-08-21,10.85,11.07,10.47,10.69,700300
18,2019-08-20,11.21,11.21,10.75,10.78,985500
19,2019-08-19,11.48,11.76,11.2,11.21,1154100
20,2019-08-16,11.51,11.65,11.26,11.4,1189200
21,2019-08-15,12.12,12.25,10.79,11.4,2930100
22,2019-08-14,11.67,12.25,11.57,12.16,2904500
23,2019-08-13,11.72,12.339,11.61,11.99,2330600
24,2019-08-12,10.3796,12.241,10.24,11.83,5159300
25,2019-08-09,9.22,10.5,8.71,10.36,2631900
26,2019-08-08,8.86,9.3,8.69,9.29,2194600
27,2019-08-07,7.62,9.0,6.81,8.84,6625800
28,2019-08-06,9.04,9.76,8.96,9.72,1365700
29,2019-08-05,8.59,8.97,8.5097,8.9,900000
30,2019-08-02,8.66,8.8302,8.52,8.77,684300
31,2019-08-01,8.57,9.13,8.2694,8.67,1147900
32,2019-07-31,8.51,8.59,8.21,8.26,662500
33,2019-07-30,8.42,8.57,8.32,8.5,724400
34,2019-07-29,8.47,8.54,8.21,8.49,708700
35,2019-07-26,8.45,8.58,8.37,8.51,675900
36,2019-07-25,8.7,8.75,8.34,8.43,880900
37,2019-07-24,8.6,8.87,8.51,8.7,579200
38,2019-07-23,8.89,8.89,8.62,8.64,464700
39,2019-07-22,8.76,8.89,8.69,8.8,502300
40,2019-07-19,8.93,9.01,8.6,8.74,868200
41,2019-07-18,8.62,9.01,8.18,9.0,2456100
42,2019-07-17,8.97,9.08,8.62,8.65,968800
43,2019-07-16,9.16,9.22,8.97,9.0,555100
44,2019-07-15,9.27,9.33,9.0597,9.23,519000
45,2019-07-12,9.17,9.27,8.94,9.27,581500
46,2019-07-11,9.6,9.6,9.2,9.23,595000
47,2019-07-10,9.66,9.76,9.35,9.56,649000
48,2019-07-09,9.69,9.79,9.48,9.64,774500
49,2019-07-08,10.0,10.04,9.69,9.75,769900
50,2019-07-05,10.25,10.43,9.96,10.0,621500
51,2019-07-03,10.41,10.47,9.99,10.26,345700
52,2019-07-02,10.06,10.26,9.95,10.22,653900
53,2019-07-01,10.25,10.44,9.84,10.16,1180200
54,2019-06-28,9.74,10.28,9.705,9.99,1880000
55,2019-06-27,9.2404,9.57,9.24,9.53,1088200
56,2019-06-26,8.92,9.49,8.89,9.23,1790400
57,2019-06-25,8.42,8.98,7.81,8.87,2812300
58,2019-06-24,9.3505,9.63,8.35,8.56,5414900
59,2019-06-21,8.95,9.1,8.728,8.97,2513600
60,2019-06-20,8.86,9.02,8.59,8.62,1118600
61,2019-06-19,9.17,9.28,8.73,8.78,1072600
62,2019-06-18,9.05,9.41,8.96,9.15,737100
63,2019-06-17,9.12,9.16,8.64,9.04,926200
64,2019-06-14,9.28,9.31,8.85,8.99,665600
65,2019-06-13,9.25,9.36,9.02,9.29,865400
66,2019-06-12,9.5001,9.5,9.16,9.25,606300
67,2019-06-11,9.88,9.9,9.43,9.52,591000
68,2019-06-10,9.72,9.82,9.41,9.41,353600
69,2019-06-07,9.74,9.8,9.5103,9.69,365700
70,2019-06-06,10.05,10.05,9.53,9.65,444800
71,2019-06-05,10.17,10.2396,9.86,10.03,433900
72,2019-06-04,9.59,10.19,9.55,10.15,639400
73,2019-06-03,9.48,9.74,9.31,9.43,600200
74,2019-05-31,9.54,9.67,9.41,9.53,521900
75,2019-05-30,9.56,9.84,9.47,9.69,599500
76,2019-05-29,9.75,9.7584,9.15,9.33,842000
77,2019-05-28,10.2397,10.435,9.77,9.82,607500
78,2019-05-24,10.14,10.27,9.96,10.24,762800
79,2019-05-23,10.17,10.27,9.835,10.04,668300
80,2019-05-22,10.111,10.52,9.82,10.26,901400
81,2019-05-21,10.13,10.42,10.1,10.22,555500
82,2019-05-20,10.3,10.33,9.93,10.07,639400
83,2019-05-17,10.66,10.66,10.08,10.34,756500
84,2019-05-16,11.45,11.45,10.72,10.78,627000
85,2019-05-15,11.31,11.5,11.165,11.39,573400
86,2019-05-14,11.18,11.82,11.08,11.48,801800
87,2019-05-13,11.2596,11.51,11.0,11.14,889600
88,2019-05-10,11.39,11.76,10.96,11.53,828000
89,2019-05-09,10.93,11.25,10.57,11.19,1096400
90,2019-05-08,10.35,11.29,10.2,11.01,1290000
91,2019-05-07,11.25,11.88,10.12,10.43,1434500
92,2019-05-06,11.38,12.0,11.3803,11.89,720300
93,2019-05-03,11.25,11.59,11.17,11.57,545200
94,2019-05-02,10.86,11.26,10.73,11.23,726700
95,2019-05-01,11.13,11.29,10.8,10.83,565400
96,2019-04-30,11.55,11.6,11.0,11.16,560700
97,2019-04-29,11.819,11.89,11.535,11.55,535800
98,2019-04-26,11.84,11.91,11.578,11.79,290400
99,2019-04-25,11.79,11.96,11.56,11.82,778800
100,2019-04-24,12.17,12.2,11.79,11.81,269800
101,2019-04-23,11.93,12.29,11.83,12.13,430700
102,2019-04-22,11.83,12.09,11.74,11.91,432900
103,2019-04-18,11.83,11.94,11.36,11.83,818300
104,2019-04-17,12.63,12.63,11.7,11.91,1076800
105,2019-04-16,12.5,12.69,12.38,12.57,430000
106,2019-04-15,12.51,12.56,12.3105,12.49,379100
107,2019-04-12,12.56,12.8,12.37,12.5,345600
108,2019-04-11,12.8802,13.04,12.42,12.47,461900
109,2019-04-10,12.75,12.96,12.74,12.92,323300
110,2019-04-09,12.98,13.14,12.65,12.7,383100
111,2019-04-08,13.0,13.12,12.75,13.02,385900
112,2019-04-05,13.049,13.4,12.91,13.01,438500
113,2019-04-04,13.22,13.34,12.9707,13.03,536900
114,2019-04-03,12.95,13.24,12.79,13.21,491900
115,2019-04-02,12.93,12.99,12.67,12.83,463000
116,2019-04-01,12.98,13.06,12.78,12.85,345400
117,2019-03-29,12.5,12.9,12.5,12.88,451900
118,2019-03-28,12.3097,12.48,12.12,12.43,292300
119,2019-03-27,12.47,12.47,11.98,12.29,489100
120,2019-03-26,12.17,12.49,12.16,12.44,319400
121,2019-03-25,12.18,12.27,11.8,12.1,392400
122,2019-03-22,12.7,12.79,12.15,12.16,615500
123,2019-03-21,12.36,12.8,12.35,12.71,494800
124,2019-03-20,12.4,12.53,12.0,12.47,736200
125,2019-03-19,12.5,12.59,12.26,12.46,557800
126,2019-03-18,12.65,12.85,12.43,12.45,689500
127,2019-03-15,12.66,12.885,12.55,12.67,1119300
128,2019-03-14,12.7,13.06,12.6203,12.65,959400
129,2019-03-13,12.97,13.09,12.7,12.81,1286700
130,2019-03-12,12.75,13.415,12.64,12.93,1903500
131,2019-03-11,11.32,12.77,11.23,12.75,2239200
132,2019-03-08,12.92,12.92,10.7,11.29,6506800
133,2019-03-07,14.01,14.0104,13.62,13.72,468000
134,2019-03-06,14.56,14.68,13.99,13.99,910500
135,2019-03-05,14.91,15.02,14.56,14.58,677200
136,2019-03-04,14.83,15.088,14.56,14.93,597400
137,2019-03-01,14.96,15.09,14.7,14.76,719400
138,2019-02-28,14.92,15.2,14.86,14.89,407300
139,2019-02-27,15.21,15.33,14.89,14.93,504300
140,2019-02-26,15.57,15.63,15.09,15.29,482100
141,2019-02-25,15.69,15.9905,15.5,15.57,558700
142,2019-02-22,15.36,15.68,15.29,15.51,387300
143,2019-02-21,15.88,15.976,15.26,15.31,532100
144,2019-02-20,16.05,16.2,15.79,15.93,305700
145,2019-02-19,16.66,16.88,15.98,16.01,467900
146,2019-02-15,16.46,16.73,16.32,16.71,436600
147,2019-02-14,15.88,16.4,15.88,16.32,488500
148,2019-02-13,15.89,16.25,15.665,15.91,387100
149,2019-02-12,15.79,16.1,15.635,15.84,514700
150,2019-02-11,15.23,15.7,14.79,15.67,1008900
151,2019-02-08,14.76,15.295,14.672,15.19,844400
152,2019-02-07,16.55,16.78,14.76,14.96,948700
153,2019-02-06,16.13,16.49,16.07,16.19,555800
154,2019-02-05,16.37,17.13,16.08,16.13,544000
155,2019-02-04,16.1,16.37,15.92,16.35,298100
156,2019-02-01,16.36,16.36,15.6,16.15,427200
157,2019-01-31,15.36,16.41,15.36,16.37,448500
158,2019-01-30,15.23,15.62,15.11,15.36,457300
159,2019-01-29,15.53,15.84,15.1205,15.19,585700
160,2019-01-28,16.3,16.48,15.41,15.44,658800
161,2019-01-25,16.53,16.76,16.03,16.45,542400
162,2019-01-24,16.68,17.035,16.28,16.42,279200
163,2019-01-23,16.97,17.25,16.51,16.72,296800
164,2019-01-22,16.94,17.39,16.86,16.97,699400
165,2019-01-18,16.851,17.085,16.76,17.05,425600
166,2019-01-17,16.46,16.88,16.46,16.83,338400
167,2019-01-16,16.65,17.06,16.45,16.55,338900
168,2019-01-15,16.15,16.56,15.86,16.55,300900
169,2019-01-14,15.87,16.56,15.71,16.04,547200
170,2019-01-11,15.76,16.1,15.65,15.91,338600
171,2019-01-10,15.4,15.86,15.01,15.83,628100
172,2019-01-09,15.22,15.86,14.94,15.47,656800
173,2019-01-08,16.19,16.29,15.09,15.15,1133400
174,2019-01-07,16.23,16.38,15.1,16.24,1209500
175,2019-01-04,15.8,16.27,15.53,16.19,913300
176,2019-01-03,15.73,16.01,15.39,15.59,695300
177,2019-01-02,15.1,15.959,15.085,15.74,615200
178,2018-12-31,15.55,15.69,15.08,15.19,426200
179,2018-12-28,15.34,15.77,15.1102,15.35,519200
180,2018-12-27,15.08,15.47,14.8,15.29,509100
181,2018-12-26,14.47,15.38,14.35,15.3,852400
182,2018-12-24,14.63,14.96,14.36,14.4,307700
183,2018-12-21,15.77,15.91,14.56,14.72,1049300
184,2018-12-20,16.02,16.31,15.225,15.75,658900
185,2018-12-19,16.5,16.6896,15.85,16.07,451800
186,2018-12-18,16.59,16.79,16.17,16.47,785300
187,2018-12-17,16.63,17.09,16.34,16.44,710200
188,2018-12-14,16.81,17.22,16.32,16.8,590200
189,2018-12-13,17.59,17.777,16.81,16.99,749300
190,2018-12-12,17.84,18.07,17.2,17.25,665300
191,2018-12-11,18.07,18.19,17.42,17.63,398500
192,2018-12-10,17.5197,17.88,17.28,17.83,634800
193,2018-12-07,18.1,18.39,17.42,17.5,663300
194,2018-12-06,17.5998,18.11,17.29,18.08,547700
195,2018-12-04,18.52,19.44,17.68,17.84,946700
196,2018-12-03,18.02,18.82,17.72,18.8,566800
197,2018-11-30,17.85,18.18,17.64,18.05,437700
198,2018-11-29,17.94,18.175,17.4999,17.88,434300
199,2018-11-28,17.51,18.44,17.2595,17.99,650400
200,2018-11-27,18.14,18.55,17.36,17.44,632400
201,2018-11-26,18.48,18.72,18.07,18.17,491100
202,2018-11-23,18.15,18.63,18.06,18.28,231800
203,2018-11-21,18.19,18.52,18.0,18.3,329800
204,2018-11-20,18.07,18.66,17.8718,18.02,551000
205,2018-11-19,18.0,18.4,17.58,18.21,542900
206,2018-11-16,18.0,18.35,17.8297,17.99,700200
207,2018-11-15,17.12,18.23,17.11,18.0,723600
208,2018-11-14,17.25,17.4,16.6,17.04,774600
209,2018-11-13,17.5,18.3316,17.2,17.25,744800
210,2018-11-12,17.75,18.26,17.265,17.98,686400
211,2018-11-09,18.19,18.57,17.71,17.84,693100
212,2018-11-08,18.73,18.7895,17.98,18.19,686300
213,2018-11-07,17.7,18.67,17.54,18.66,947500
214,2018-11-06,17.5,18.29,17.13,17.57,1052200
215,2018-11-05,18.35,18.7,17.39,18.34,1225000
216,2018-11-02,18.64,19.26,17.935,18.29,2024000
217,2018-11-01,18.0,18.87,16.905,18.76,4819300
218,2018-10-31,21.89,22.3,21.385,21.5,1090300
219,2018-10-30,21.23,21.94,21.11,21.51,682100
220,2018-10-29,22.2,22.7903,21.05,21.4,882100
221,2018-10-26,22.09,22.61,21.6704,21.97,736300
222,2018-10-25,21.93,23.03,21.88,22.52,594000
223,2018-10-24,22.51,22.99,21.58,21.78,842000
224,2018-10-23,21.97,22.69,21.23,22.47,775800
225,2018-10-22,22.9308,23.19,22.22,22.41,392900
226,2018-10-19,23.03,23.5,22.54,22.82,333000
227,2018-10-18,23.34,23.64,22.62,22.93,382800
228,2018-10-17,23.64,23.77,23.07,23.39,366800
229,2018-10-16,23.02,23.71,22.59,23.68,679000
230,2018-10-15,22.27,23.19,21.72,22.75,479100
231,2018-10-12,22.1,22.645,21.55,22.45,470900
232,2018-10-11,21.63,22.705,21.3394,21.6,563900
233,2018-10-10,22.5,23.5,21.46,21.75,906300
234,2018-10-09,22.04,22.69,21.26,22.54,752800
235,2018-10-08,22.5,23.24,21.92,21.99,579300
236,2018-10-05,22.33,23.03,21.94,22.54,654200
237,2018-10-04,21.55,22.47,21.01,22.33,888800
238,2018-10-03,20.351,21.69,20.11,21.64,1324500
239,2018-10-02,20.23,20.45,20.1,20.32,514200
240,2018-10-01,20.05,20.35,19.91,20.18,559800
241,2018-09-28,20.05,20.3,19.75,20.0,556400
242,2018-09-27,21.3,21.55,20.0519,20.15,831300
243,2018-09-26,21.8,22.6495,21.3,21.35,1064900
244,2018-09-25,20.55,21.525,20.2,21.45,665800
245,2018-09-24,20.6,21.05,20.5,20.55,465000
246,2018-09-21,20.9,21.275,20.45,20.65,1219000
247,2018-09-20,20.65,21.25,20.3,20.9,936300
248,2018-09-19,20.95,21.0986,20.25,20.7,1089600
249,2018-09-18,21.85,21.85,20.85,20.95,825700
250,2018-09-17,22.5,22.5,21.45,21.65,767600
251,2018-09-14,23.0,23.1,22.4,22.45,548500
252,2018-09-13,23.35,23.375,22.85,22.95,321200
253,2018-09-12,23.65,23.85,23.0,23.25,501400
254,2018-09-11,24.2,24.35,23.4,23.65,393100
255,2018-09-10,23.8,24.65,23.4,24.35,449000
256,2018-09-07,23.65,23.95,23.0,23.75,459600
257,2018-09-06,24.45,24.55,23.7,23.8,463000
258,2018-09-05,23.75,24.75,23.75,24.35,493900
259,2018-09-04,24.3995,24.4,23.55,23.95,658000
260,2018-08-31,24.2,24.5,23.25,24.4,357000
261,2018-08-30,24.6,24.999,24.3,24.5,368300
262,2018-08-29,24.55,24.8489,24.1,24.55,365000
263,2018-08-28,25.0,25.05,24.5,24.65,264900
264,2018-08-27,24.85,25.0501,24.55,24.85,252400
265,2018-08-24,24.55,25.1977,24.35,24.6,405800
266,2018-08-23,24.85,25.05,24.3,24.5,324700
267,2018-08-22,24.6,25.05,24.4,24.9,484000
268,2018-08-21,24.25,24.9,24.1,24.75,413400
269,2018-08-20,24.3,24.45,23.8,24.1,550400
270,2018-08-17,24.3,24.7,24.1,24.15,468200
271,2018-08-16,24.95,24.95,24.25,24.45,550000
272,2018-08-15,24.85,24.95,24.35,24.8,254100
273,2018-08-14,25.5,25.825,24.65,24.9,360100
274,2018-08-13,25.75,26.1,25.35,25.35,600500
275,2018-08-10,25.2,25.9,24.9,25.65,450200
276,2018-08-09,25.2,25.625,24.85,25.4,523100
277,2018-08-08,24.85,25.5,24.75,25.2,642100
278,2018-08-07,23.85,25.2,23.85,24.95,646200
279,2018-08-06,24.05,24.1,23.0,24.0,632200
280,2018-08-03,23.6,24.75,23.55,23.9,678900
281,2018-08-02,22.0,24.95,21.6,23.2,1060600
282,2018-08-01,21.9,22.55,21.6,22.35,725000
283,2018-07-31,21.35,22.1,21.05,22.05,652400
284,2018-07-30,22.05,22.65,21.15,21.25,987700
285,2018-07-27,22.5,22.5,21.55,22.05,432800
286,2018-07-26,21.75,22.8502,21.6,22.5,686500
287,2018-07-25,21.35,21.95,21.35,21.85,998200
288,2018-07-24,21.85,21.85,21.05,21.25,588500
289,2018-07-23,21.85,22.0,21.4,21.6,357700
290,2018-07-20,22.1507,22.7,21.5,21.85,553400
291,2018-07-19,22.25,22.6,21.8503,22.15,398000
292,2018-07-18,22.05,22.35,21.7,22.25,341800
293,2018-07-17,21.6,22.25,21.6,22.05,296200
294,2018-07-16,21.8,21.9,21.35,21.65,295100
295,2018-07-13,21.85,22.401,21.65,21.75,569700
296,2018-07-12,21.4987,22.05,21.33,22.0,653900
297,2018-07-11,20.6008,21.6,20.6,21.45,529500
298,2018-07-10,20.8,20.8,20.2,20.65,359400
299,2018-07-09,20.25,20.7,19.85,20.65,588700
300,2018-07-06,20.2,20.4,19.9,20.25,284900
301,2018-07-05,19.8,20.3,19.8,20.0,381900
302,2018-07-03,19.95,20.45,19.7,20.15,230500
303,2018-07-02,19.45,19.9,19.1,19.85,538200
304,2018-06-29,20.35,20.55,19.151,19.5,741900
305,2018-06-28,19.8,20.75,19.65,20.25,987300
306,2018-06-27,20.6,20.6,19.85,19.9,660200
307,2018-06-26,21.25,21.2502,20.25,20.45,799400
308,2018-06-25,20.65,21.75,19.5,21.275,1734900
309,2018-06-22,21.25,21.85,21.2,21.75,884400
310,2018-06-21,21.85,21.85,20.75,21.125,845300
311,2018-06-20,22.75,23.2,21.35,21.8,1123200
312,2018-06-19,22.75,22.95,22.05,22.55,1058500
313,2018-06-18,23.55,23.75,22.95,23.0,975000
314,2018-06-15,24.45,24.65,22.25,23.8,4947700
315,2018-06-14,24.4508,24.85,24.3,24.75,494900
316,2018-06-13,24.05,24.4,23.6001,24.25,451100
317,2018-06-12,24.25,24.3,23.7,23.95,606500
318,2018-06-11,24.3,24.375,23.75,24.1,420700
319,2018-06-08,24.3,24.7,24.2,24.2,541800
320,2018-06-07,25.5991,25.6,24.15,24.45,471600
321,2018-06-06,25.1,25.625,25.1,25.55,522800
322,2018-06-05,25.1,25.35,24.9,25.1,751800
323,2018-06-04,24.7,25.2509,24.35,24.9,459000
324,2018-06-01,24.45,24.8,24.0487,24.6,436300
325,2018-05-31,24.3,24.85,24.072,24.45,644800
326,2018-05-30,23.65,24.35,23.65,24.2,396300
327,2018-05-29,23.45,23.95,23.45,23.65,386600
328,2018-05-25,23.0,23.75,22.9246,23.7,377900
329,2018-05-24,23.15,23.4,22.6504,23.1,744000
330,2018-05-23,23.5,23.9,23.0,23.15,475300
331,2018-05-22,24.1005,24.25,23.45,23.6,409700
332,2018-05-21,24.7,24.9,23.9,24.1,369000
333,2018-05-18,24.75,24.925,24.375,24.65,587900
334,2018-05-17,23.9,24.85,23.9,24.65,598700
335,2018-05-16,23.4507,24.45,23.3,24.05,648400
336,2018-05-15,22.75,23.25,22.546,23.175,435500
337,2018-05-14,24.05,24.55,22.85,22.95,808400
338,2018-05-11,23.7,24.15,23.05,24.0,1043500
339,2018-05-10,23.25,24.25,23.05,23.6,1751500
340,2018-05-09,21.8489,23.15,21.8,23.05,1275600
341,2018-05-08,20.4,21.95,20.4,21.8,1167800
342,2018-05-07,20.3,21.65,20.2,20.7,1257900
343,2018-05-04,19.15,20.375,18.75,20.1,1202600
