,timestamp,open,high,low,close,volume
0,2019-09-16,0.302,0.3268,0.3002,0.3101,498001
1,2019-09-13,0.334,0.3471,0.3,0.3031,1887376
2,2019-09-12,0.32,0.37,0.32,0.33,1987700
3,2019-09-11,0.37,0.4,0.33,0.34,5149600
4,2019-09-10,0.32,0.41,0.3,0.37,9851400
5,2019-09-09,0.24,0.31,0.24,0.3,5883900
6,2019-09-06,0.29,0.37,0.28,0.29,5857400
7,2019-09-05,0.21,0.29,0.21,0.28,5430400
8,2019-09-04,0.21,0.21,0.2,0.2,1587000
9,2019-09-03,0.24,0.25,0.2,0.2,3786800
10,2019-08-30,0.26,0.27,0.25,0.25,1456200
11,2019-08-29,0.26,0.27,0.25,0.26,1347400
12,2019-08-28,0.25,0.28,0.25,0.26,1549900
13,2019-08-27,0.28,0.29,0.25,0.27,1658800
14,2019-08-26,0.26,0.28,0.25,0.28,2695300
15,2019-08-23,0.29,0.29,0.25,0.26,1025000
16,2019-08-22,0.28,0.31,0.27,0.28,1636600
17,2019-08-21,0.29,0.29,0.26,0.28,2148600
18,2019-08-20,0.26,0.31,0.25,0.28,2931700
19,2019-08-19,0.25,0.28,0.25,0.26,2264200
20,2019-08-16,0.23,0.26,0.22,0.25,2720800
21,2019-08-15,0.27,0.27,0.24,0.24,2773200
22,2019-08-14,0.283,0.283,0.255,0.261,3220800
23,2019-08-13,0.27,0.42,0.25,0.28,4393100
24,2019-08-12,0.28,0.29,0.25,0.26,1656600
25,2019-08-09,0.325,0.325,0.284,0.286,1480000
26,2019-08-08,0.33,0.35,0.3,0.31,1463300
27,2019-08-07,0.332,0.338,0.311,0.331,1098900
28,2019-08-06,0.34,0.35,0.32,0.33,1160900
29,2019-08-05,0.31,0.35,0.3,0.33,2041500
30,2019-08-02,0.37,0.39,0.31,0.33,2401400
31,2019-08-01,0.43,0.45,0.36,0.36,4779300
32,2019-07-31,0.42,0.47,0.42,0.44,1776700
33,2019-07-30,0.42,0.44,0.41,0.42,924600
34,2019-07-29,0.44,0.45,0.41,0.43,1373700
35,2019-07-26,0.45,0.48,0.42,0.44,1863700
36,2019-07-25,0.46,0.47,0.43,0.45,1863600
37,2019-07-24,0.48,0.5,0.45,0.46,1933500
38,2019-07-23,0.52,0.53,0.47,0.48,1799000
39,2019-07-22,0.53,0.54,0.49,0.5,1497400
40,2019-07-19,0.57,0.62,0.5,0.52,3396700
41,2019-07-18,0.62,0.63,0.56,0.58,1572500
42,2019-07-17,0.74,0.75,0.61,0.62,2363800
43,2019-07-16,0.7301,0.81,0.72,0.75,5737900
44,2019-07-15,0.68,0.74,0.65,0.72,4428100
