,timestamp,open,high,low,close,volume
0,2019-09-16,5.37,5.39,5.3366,5.39,6973
1,2019-09-13,5.33,5.55,5.23,5.46,27900
2,2019-09-12,5.2,5.42,5.12,5.4,43700
3,2019-09-11,4.97,5.2,4.97,5.18,35900
4,2019-09-10,5.0,5.1,4.95,4.97,22700
5,2019-09-09,5.24,5.26,5.0,5.05,30200
6,2019-09-06,5.15,5.17,5.12,5.15,7900
7,2019-09-05,5.27,5.3,5.06,5.13,60500
8,2019-09-04,5.31,5.34,5.13,5.34,14500
9,2019-09-03,5.15,5.32,5.04,5.31,36800
10,2019-08-30,5.17,5.3,5.06,5.07,40100
11,2019-08-29,5.0,5.19,5.0,5.17,34200
12,2019-08-28,4.9,5.01,4.9,4.97,22100
13,2019-08-27,4.94,5.0,4.94,4.95,26400
14,2019-08-26,5.02,5.06,4.82,5.0,39200
15,2019-08-23,5.29,5.29,4.98,5.01,34300
16,2019-08-22,4.91,5.29,4.79,5.21,69900
17,2019-08-21,5.22,5.22,4.98,5.03,30000
18,2019-08-20,5.28,5.3,5.16,5.22,24200
19,2019-08-19,5.0,5.3,4.89,5.28,108400
20,2019-08-16,5.07,5.14,4.96,5.02,42800
21,2019-08-15,5.27,5.27,5.02,5.13,27400
22,2019-08-14,5.28,5.28,5.02,5.25,15400
23,2019-08-13,5.06,5.48,5.0298,5.18,63300
24,2019-08-12,5.13,5.26,5.1,5.1,35000
25,2019-08-09,5.8,5.81,5.171,5.25,92300
26,2019-08-08,5.47,5.99,5.47,5.85,62900
27,2019-08-07,5.54,5.55,5.435,5.49,28000
28,2019-08-06,5.59,5.69,5.5,5.55,30900
29,2019-08-05,5.51,5.6,5.37,5.56,41900
30,2019-08-02,5.7,5.79,5.65,5.72,20100
31,2019-08-01,5.83,6.02,5.75,5.75,42700
32,2019-07-31,6.07,6.07,5.83,5.88,37600
33,2019-07-30,6.01,6.1,5.95,6.04,27400
34,2019-07-29,6.05,6.19,6.0,6.05,60400
35,2019-07-26,6.0,6.05,5.89,6.04,59800
36,2019-07-25,6.0,6.03,5.74,5.99,50800
37,2019-07-24,5.79,6.01,5.79,5.95,37200
38,2019-07-23,5.78,5.84,5.7,5.8,18700
39,2019-07-22,5.85,5.93,5.7,5.8,35400
40,2019-07-19,5.8,5.89,5.72,5.88,19500
41,2019-07-18,5.81,5.92,5.77,5.83,22000
42,2019-07-17,5.65,5.81,5.65,5.73,34300
43,2019-07-16,5.92,6.0,5.63,5.64,102100
44,2019-07-15,5.98,6.0,5.86,5.98,17400
45,2019-07-12,6.0,6.14,5.95,6.0,59700
46,2019-07-11,5.9,6.03,5.87,6.0,38100
47,2019-07-10,6.02,6.2,5.83,5.88,61000
48,2019-07-09,6.15,6.18,5.86,5.95,73700
49,2019-07-08,6.0,6.25,5.9,6.15,118300
50,2019-07-05,5.75,5.95,5.59,5.94,32100
51,2019-07-03,5.69,5.9,5.527,5.75,23900
52,2019-07-02,5.77,5.7708,5.66,5.73,26400
53,2019-07-01,5.53,6.07,5.53,5.74,122700
54,2019-06-28,5.26,5.71,5.26,5.5,86200
55,2019-06-27,5.2,5.31,5.11,5.2,269000
56,2019-06-26,5.15,5.3998,5.05,5.16,81600
57,2019-06-25,5.7,5.704,4.95,5.1,159000
58,2019-06-24,5.93,6.0,5.76,5.76,28700
59,2019-06-21,5.96,5.99,5.86,5.97,28800
60,2019-06-20,6.1,6.24,5.85,5.96,35600
61,2019-06-19,6.09,6.14,5.72,6.02,44000
62,2019-06-18,6.14,6.23,6.0,6.14,83200
63,2019-06-17,6.0,6.1,5.813,6.01,94900
64,2019-06-14,6.12,6.165,5.96,6.02,96300
65,2019-06-13,6.32,6.32,6.08,6.22,94900
66,2019-06-12,6.12,6.2,6.0,6.14,60200
67,2019-06-11,5.8,6.28,5.66,6.03,119400
68,2019-06-10,5.65,6.0,5.65,5.815,62300
69,2019-06-07,5.5405,5.86,5.26,5.6,67300
70,2019-06-06,5.82,5.82,5.55,5.61,87900
71,2019-06-05,5.62,5.76,5.56,5.67,47900
72,2019-06-04,5.51,5.6,5.411,5.55,46400
73,2019-06-03,5.48,5.5,5.372,5.5,21900
74,2019-05-31,5.548,5.68,5.26,5.37,55600
75,2019-05-30,5.45,5.73,5.45,5.59,52900
76,2019-05-29,5.63,5.689,5.43,5.44,59600
77,2019-05-28,5.72,5.748,5.605,5.72,41000
78,2019-05-24,5.864,5.91,5.723,5.76,17700
79,2019-05-23,5.95,5.962,5.775,5.85,18200
80,2019-05-22,5.97,6.11,5.95,5.96,13600
81,2019-05-21,6.1,6.12,6.01,6.03,13700
82,2019-05-20,6.08,6.14,5.955,6.03,61300
83,2019-05-17,6.03,6.13,5.975,6.05,38300
84,2019-05-16,6.05,6.2503,5.997,6.08,23600
85,2019-05-15,6.0102,6.16,6.0,6.125,36300
86,2019-05-14,6.0499,6.1,5.922,6.0,50000
87,2019-05-13,6.16,6.249,5.83,6.04,71700
88,2019-05-10,5.85,6.42,5.7604,6.37,81800
