,timestamp,open,high,low,close,volume
0,2019-09-16,3.58,3.58,3.48,3.505,235142
1,2019-09-13,3.45,3.63,3.45,3.53,1845264
2,2019-09-12,3.33,3.5,3.31,3.41,3582300
3,2019-09-11,3.25,3.32,3.22,3.31,1395000
4,2019-09-10,3.43,3.45,3.21,3.22,1352600
5,2019-09-09,3.49,3.5,3.4,3.44,497600
6,2019-09-06,3.49,3.51,3.44,3.47,503400
7,2019-09-05,3.35,3.51,3.34,3.5,1169300
8,2019-09-04,3.5,3.51,3.32,3.34,921600
9,2019-09-03,3.49,3.51,3.43,3.49,1079400
10,2019-08-30,3.49,3.53,3.4,3.5,961800
11,2019-08-29,3.41,3.49,3.35,3.45,929900
12,2019-08-28,3.27,3.46,3.27,3.37,651000
13,2019-08-27,3.4,3.48,3.26,3.31,971900
14,2019-08-26,3.37,3.44,3.34,3.4,999900
15,2019-08-23,3.29,3.42,3.27,3.31,1325000
16,2019-08-22,3.25,3.37,3.21,3.32,801700
17,2019-08-21,3.11,3.32,3.09,3.25,1053800
18,2019-08-20,3.03,3.18,3.03,3.1,608800
19,2019-08-19,3.05,3.1,2.98,3.07,549400
20,2019-08-16,2.95,3.0799,2.93,3.01,484800
21,2019-08-15,2.93,2.97,2.76,2.95,1032200
22,2019-08-14,3.01,3.04,2.89,2.93,590300
23,2019-08-13,3.06,3.23,3.01,3.08,816700
24,2019-08-12,2.92,3.08,2.87,3.06,1189800
25,2019-08-09,2.96,3.0,2.86,2.92,538000
26,2019-08-08,2.85,3.19,2.82,2.96,2356300
27,2019-08-07,2.71,2.79,2.64,2.77,307800
28,2019-08-06,2.73,2.83,2.62,2.67,553500
29,2019-08-05,2.78,2.82,2.66,2.73,1002600
30,2019-08-02,2.85,3.01,2.77,2.79,1376900
31,2019-08-01,2.83,2.9,2.79,2.84,1005900
32,2019-07-31,2.9,2.92,2.82,2.83,843300
33,2019-07-30,2.81,2.92,2.7,2.88,1149600
34,2019-07-29,2.77,2.87,2.76,2.76,332400
35,2019-07-26,2.77,2.84,2.77,2.79,472900
36,2019-07-25,2.85,2.86,2.68,2.75,729400
37,2019-07-24,2.87,2.92,2.85,2.86,477600
38,2019-07-23,2.88,2.95,2.81,2.88,552300
39,2019-07-22,2.87,2.92,2.76,2.87,833800
40,2019-07-19,2.75,2.91,2.74,2.85,1008800
41,2019-07-18,2.89,2.93,2.75,2.78,534200
42,2019-07-17,2.88,2.91,2.82,2.89,741500
43,2019-07-16,2.77,2.96,2.74,2.87,2490500
44,2019-07-15,2.6,2.82,2.59,2.76,4108500
45,2019-07-12,2.53,2.63,2.51,2.6,798200
46,2019-07-11,2.54,2.54,2.42,2.51,695000
47,2019-07-10,2.61,2.67,2.48,2.5,898600
48,2019-07-09,2.64,2.65,2.51,2.6,642000
49,2019-07-08,2.61,2.65,2.55,2.64,688800
50,2019-07-05,2.49,2.62,2.42,2.61,826400
51,2019-07-03,2.51,2.555,2.48,2.5,268200
52,2019-07-02,2.5,2.502,2.3898,2.5,425400
53,2019-07-01,2.64,2.66,2.5,2.5,1083900
54,2019-06-28,2.44,2.6,2.42,2.6,1786800
55,2019-06-27,2.2998,2.45,2.3,2.45,1217100
56,2019-06-26,2.3,2.33,2.275,2.29,250600
57,2019-06-25,2.3,2.34,2.251,2.3,258600
58,2019-06-24,2.31,2.35,2.22,2.29,817700
59,2019-06-21,2.33,2.37,2.285,2.31,1397300
60,2019-06-20,2.35,2.4,2.28,2.33,650500
61,2019-06-19,2.32,2.33,2.25,2.32,344100
62,2019-06-18,2.36,2.414,2.29,2.31,613700
63,2019-06-17,2.22,2.36,2.2,2.34,2015800
64,2019-06-14,2.19,2.2501,2.17,2.22,576200
65,2019-06-13,2.14,2.21,2.14,2.2,754300
66,2019-06-12,2.17,2.19,2.1,2.13,592400
67,2019-06-11,2.19,2.21,2.14,2.18,457700
68,2019-06-10,2.14,2.19,2.1399,2.19,339500
69,2019-06-07,2.17,2.1799,2.12,2.16,294000
70,2019-06-06,2.18,2.188,2.07,2.16,1021400
71,2019-06-05,2.14,2.25,2.1199,2.2,992200
72,2019-06-04,2.0,2.15,1.98,2.14,683000
73,2019-06-03,2.06,2.1,1.935,1.99,1099400
74,2019-05-31,2.02,2.0799,1.98,2.07,755000
75,2019-05-30,1.95,2.03,1.95,2.03,497300
76,2019-05-29,1.99,2.03,1.94,1.95,653000
77,2019-05-28,2.04,2.07,1.99,2.0,995700
78,2019-05-24,2.04,2.1,2.02,2.05,360300
79,2019-05-23,2.15,2.15,2.02,2.03,713800
80,2019-05-22,2.23,2.26,2.09,2.17,745600
81,2019-05-21,2.16,2.27,2.14,2.23,1115700
82,2019-05-20,2.1,2.15,2.08,2.14,557500
83,2019-05-17,2.05,2.19,2.04,2.11,1007200
84,2019-05-16,2.04,2.12,1.9899,2.06,1091600
85,2019-05-15,1.9501,2.08,1.92,2.08,2220600
86,2019-05-14,1.9,2.01,1.9,1.99,738400
87,2019-05-13,1.95,1.98,1.88,1.9,475200
88,2019-05-10,2.02,2.05,1.95,2.0,474000
89,2019-05-09,2.05,2.09,2.01,2.03,520900
90,2019-05-08,2.0,2.09,1.98,2.06,778200
91,2019-05-07,2.01,2.07,2.005,2.01,862500
92,2019-05-06,1.95,2.04,1.92,2.03,833900
93,2019-05-03,1.96,2.01,1.931,1.98,1273500
94,2019-05-02,1.91,1.96,1.9,1.93,788200
95,2019-05-01,1.93,1.99,1.895,1.91,1208800
96,2019-04-30,1.96,2.04,1.88,1.92,1704300
97,2019-04-29,1.99,2.0,1.9001,1.95,948100
98,2019-04-26,1.92,2.06,1.88,2.01,1612300
99,2019-04-25,1.85,1.96,1.76,1.92,1553100
100,2019-04-24,1.83,1.875,1.77,1.85,1179800
