,timestamp,open,high,low,close,volume
0,2019-09-16,0.64,0.6641,0.61,0.61,1294
1,2019-09-13,0.7,0.7,0.62,0.62,10800
2,2019-09-12,0.62,0.67,0.62,0.67,1000
3,2019-09-11,0.68,0.7,0.62,0.67,12100
4,2019-09-10,0.62,0.7,0.62,0.68,12900
5,2019-09-09,0.69,0.69,0.62,0.62,10300
6,2019-09-06,0.69,0.7,0.67,0.67,3000
7,2019-09-05,0.7,0.7,0.61,0.66,90700
8,2019-09-04,0.7,0.7,0.7,0.7,8000
9,2019-09-03,0.76,0.8,0.7,0.7,6800
10,2019-08-30,0.71,0.78,0.71,0.72,3400
11,2019-08-29,0.74,0.75,0.73,0.75,6000
12,2019-08-28,0.78,0.8,0.75,0.75,9500
13,2019-08-27,0.79,0.85,0.79,0.85,10100
14,2019-08-26,0.85,0.85,0.79,0.79,1500
15,2019-08-23,0.81,0.83,0.79,0.83,3500
16,2019-08-22,0.8,0.83,0.79,0.79,9200
17,2019-08-21,0.82,0.82,0.77,0.8,3400
18,2019-08-20,0.82,0.82,0.79,0.82,4800
19,2019-08-19,0.85,0.85,0.82,0.82,5400
20,2019-08-16,0.92,0.92,0.83,0.84,7800
21,2019-08-15,0.97,0.97,0.9,0.9,7600
22,2019-08-14,0.89,0.89,0.89,0.89,500
23,2019-08-13,0.93,0.93,0.88,0.884,10600
24,2019-08-12,0.968,0.976,0.93,0.93,4200
25,2019-08-09,1.05,1.1,0.8,0.93,95300
26,2019-08-08,1.13,1.21,1.13,1.13,1900
27,2019-08-07,1.21,1.212,1.19,1.19,4100
28,2019-08-06,1.25,1.25,1.21,1.21,2100
29,2019-08-05,1.22,1.22,1.2,1.21,5300
30,2019-08-02,1.22,1.22,1.22,1.22,500
31,2019-08-01,1.24,1.28,1.23,1.28,1300
32,2019-07-31,1.28,1.29,1.21,1.29,13100
33,2019-07-30,1.22,1.29,1.22,1.29,4200
34,2019-07-29,1.29,1.29,1.21,1.21,8900
35,2019-07-26,1.22,1.28,1.21,1.21,9200
36,2019-07-25,1.21,1.24,1.21,1.21,4600
37,2019-07-24,1.21,1.24,1.21,1.24,5200
38,2019-07-23,1.23,1.27,1.21,1.24,11400
39,2019-07-22,1.21,1.3,1.21,1.25,10100
40,2019-07-19,1.21,1.22,1.21,1.21,6400
41,2019-07-18,1.25,1.27,1.24,1.24,1500
42,2019-07-17,1.25,1.26,1.2499,1.26,1500
43,2019-07-16,1.28,1.28,1.24,1.28,2600
44,2019-07-15,1.3,1.3,1.23,1.24,2600
45,2019-07-12,1.27,1.27,1.21,1.22,6700
46,2019-07-11,1.23,1.31,1.23,1.24,6000
47,2019-07-10,1.29,1.29,1.24,1.24,800
48,2019-07-09,1.28,1.28,1.26,1.26,1800
49,2019-07-08,1.3,1.3,1.26,1.3,4000
50,2019-07-05,1.27,1.3,1.27,1.27,6700
51,2019-07-03,1.27,1.27,1.27,1.27,1700
52,2019-07-02,1.23,1.27,1.23,1.24,6900
53,2019-07-01,1.29,1.29,1.23,1.24,9000
54,2019-06-28,1.28,1.29,1.21,1.23,3000
55,2019-06-27,1.27,1.27,1.22,1.22,8900
56,2019-06-26,1.26,1.27,1.21,1.27,7500
57,2019-06-25,1.26,1.27,1.21,1.26,3400
58,2019-06-24,1.21,1.29,1.21,1.25,7800
59,2019-06-21,1.26,1.26,1.21,1.23,11700
60,2019-06-20,1.3,1.3,1.24,1.24,13700
61,2019-06-19,1.28,1.32,1.24,1.24,5900
62,2019-06-18,1.21,1.26,1.16,1.22,36900
63,2019-06-17,1.15,1.15,1.14,1.15,5900
64,2019-06-14,1.14,1.14,1.09,1.13,4600
65,2019-06-13,1.08,1.08,1.08,1.08,200
66,2019-06-12,1.06,1.14,1.03,1.03,5300
67,2019-06-11,1.13,1.15,1.05,1.06,11800
68,2019-06-10,0.98,1.16,0.98,1.08,32600
69,2019-06-07,1.0,1.0,0.95,0.95,1200
70,2019-06-06,1.0,1.02,0.9801,0.99,3300
71,2019-06-05,1.06,1.06,0.96,1.01,8300
72,2019-06-04,1.05,1.06,1.04,1.05,5900
73,2019-06-03,1.05,1.0799,1.04,1.08,3800
74,2019-05-31,1.06,1.06,1.04,1.05,28900
75,2019-05-30,1.05,1.09,1.05,1.07,23100
76,2019-05-29,1.07,1.08,1.05,1.06,15800
77,2019-05-28,1.09,1.1,1.05,1.05,23400
78,2019-05-24,1.1,1.12,1.1,1.1,3800
79,2019-05-23,1.1,1.12,1.1,1.1,14300
80,2019-05-22,1.08,1.09,1.08,1.08,3000
81,2019-05-21,1.12,1.12,1.08,1.12,10000
82,2019-05-20,1.08,1.12,1.08,1.08,5800
83,2019-05-17,1.2,1.2,1.07,1.08,17200
84,2019-05-16,1.07,1.22,1.07,1.22,49600
85,2019-05-15,1.32,1.32,1.24,1.31,5600
86,2019-05-14,1.28,1.3,1.25,1.3,24500
87,2019-05-13,1.4,1.4,1.31,1.31,7500
88,2019-05-10,1.32,1.34,1.3,1.32,11900
89,2019-05-09,1.31,1.35,1.28,1.34,8100
90,2019-05-08,1.3,1.3,1.27,1.27,1000
91,2019-05-07,1.3,1.2998,1.25,1.26,28200
92,2019-05-06,1.25,1.34,1.25,1.26,1900
93,2019-05-03,1.3,1.35,1.27,1.28,5200
94,2019-05-02,1.39,1.39,1.23,1.24,1800
95,2019-05-01,1.35,1.4,1.24,1.33,28400
96,2019-04-30,1.2,1.33,1.17,1.3,29500
97,2019-04-29,1.19,1.2,1.13,1.16,36700
98,2019-04-26,1.14,1.15,1.13,1.15,2700
99,2019-04-25,1.11,1.12,1.1,1.12,5500
100,2019-04-24,1.15,1.15,1.11,1.12,6300
101,2019-04-23,1.18,1.1799,1.17,1.17,500
102,2019-04-22,1.17,1.18,1.13,1.18,4200
103,2019-04-18,1.16,1.2,1.13,1.19,12700
104,2019-04-17,1.22,1.22,1.2,1.21,8200
105,2019-04-16,1.18,1.21,1.17,1.19,5200
106,2019-04-15,1.32,1.34,1.1,1.13,29800
107,2019-04-12,1.3101,1.34,1.29,1.32,7600
108,2019-04-11,1.34,1.36,1.32,1.35,7400
109,2019-04-10,1.42,1.42,1.3,1.3,15100
110,2019-04-09,1.44,1.44,1.35,1.37,12700
111,2019-04-08,1.4,1.45,1.37,1.45,15900
112,2019-04-05,1.42,1.42,1.39,1.4,8700
113,2019-04-04,1.41,1.42,1.36,1.4,19200
114,2019-04-03,1.35,1.42,1.35,1.36,30500
115,2019-04-02,1.3,1.38,1.25,1.37,30200
116,2019-04-01,1.53,1.53,1.41,1.42,30900
117,2019-03-29,1.38,1.54,1.3799,1.47,89500
118,2019-03-28,1.3,1.36,1.3,1.36,32000
119,2019-03-27,1.3,1.31,1.26,1.29,32900
120,2019-03-26,1.22,1.31,1.22,1.28,16600
121,2019-03-25,1.24,1.24,1.1601,1.21,20800
122,2019-03-22,1.2,1.2601,1.2,1.24,20800
123,2019-03-21,1.15,1.2,1.15,1.18,8100
