,timestamp,open,high,low,close,volume
0,2019-09-16,2.84,2.85,2.76,2.83,38955
1,2019-09-13,2.67,2.85,2.637,2.81,383400
2,2019-09-12,2.69,2.723,2.6,2.67,97700
3,2019-09-11,2.53,2.75,2.53,2.68,297300
4,2019-09-10,2.55,2.57,2.47,2.52,88100
5,2019-09-09,2.55,2.55,2.5,2.51,107000
6,2019-09-06,2.43,2.6,2.43,2.5,296200
7,2019-09-05,2.48,2.48,2.4,2.42,110700
8,2019-09-04,2.52,2.52,2.4,2.45,142100
9,2019-09-03,2.55,2.55,2.45,2.48,131200
10,2019-08-30,2.6,2.613,2.5,2.56,75200
11,2019-08-29,2.56,2.67,2.52,2.57,68500
12,2019-08-28,2.5,2.6,2.45,2.55,110100
13,2019-08-27,2.63,2.65,2.52,2.52,135400
14,2019-08-26,2.6,2.75,2.55,2.57,206800
15,2019-08-23,2.68,2.68,2.52,2.59,140200
16,2019-08-22,2.71,2.72,2.65,2.67,79000
17,2019-08-21,2.74,2.78,2.68,2.72,82300
18,2019-08-20,2.77,2.81,2.69,2.73,54200
19,2019-08-19,2.73,2.815,2.68,2.73,94500
20,2019-08-16,2.63,2.75,2.63,2.75,102400
21,2019-08-15,2.67,2.7,2.57,2.63,163000
22,2019-08-14,2.76,2.82,2.61,2.68,195700
23,2019-08-13,2.76,2.9,2.75,2.83,89700
24,2019-08-12,2.69,2.9,2.674,2.805,171500
25,2019-08-09,2.66,2.74,2.62,2.66,77000
26,2019-08-08,2.7,2.79,2.6,2.71,109900
27,2019-08-07,2.63,2.7,2.6,2.67,65500
28,2019-08-06,2.74,2.81,2.66,2.685,125200
29,2019-08-05,2.81,2.814,2.66,2.74,166300
30,2019-08-02,3.12,3.14,2.8,2.84,194600
31,2019-08-01,3.1,3.15,2.8999,2.92,222300
32,2019-07-31,3.01,3.18,2.945,3.04,526100
33,2019-07-30,2.83,3.0699,2.753,3.02,645800
34,2019-07-29,2.67,2.85,2.66,2.74,272300
35,2019-07-26,2.66,2.78,2.6,2.66,112200
36,2019-07-25,2.65,2.73,2.62,2.66,60000
37,2019-07-24,2.7,2.78,2.64,2.66,126900
38,2019-07-23,2.55,2.78,2.52,2.76,218200
39,2019-07-22,2.52,2.54,2.5,2.52,103800
40,2019-07-19,2.6,2.61,2.515,2.54,94800
41,2019-07-18,2.63,2.66,2.51,2.56,123600
42,2019-07-17,2.63,2.68,2.62,2.66,77800
43,2019-07-16,2.7,2.7,2.59,2.64,65500
44,2019-07-15,2.6,2.75,2.58,2.66,145400
45,2019-07-12,2.72,2.747,2.65,2.67,86700
46,2019-07-11,2.83,2.83,2.71,2.72,104200
47,2019-07-10,2.76,2.855,2.72,2.78,212100
48,2019-07-09,2.87,2.89,2.71,2.72,164400
49,2019-07-08,2.69,2.93,2.652,2.86,362500
50,2019-07-05,2.72,2.72,2.65,2.69,86200
51,2019-07-03,2.63,2.74,2.59,2.72,114800
52,2019-07-02,2.6,2.658,2.58,2.62,53700
53,2019-07-01,2.72,2.72,2.6,2.62,114700
54,2019-06-28,2.51,2.69,2.51,2.68,187000
55,2019-06-27,2.54,2.597,2.5,2.565,84900
56,2019-06-26,2.5899,2.62,2.5,2.53,119200
57,2019-06-25,2.6,2.7,2.55,2.58,147200
58,2019-06-24,2.57,2.65,2.55,2.59,139400
59,2019-06-21,2.61,2.639,2.53,2.56,125600
60,2019-06-20,2.71,2.75,2.62,2.64,96400
61,2019-06-19,2.74,2.8099,2.64,2.65,221500
62,2019-06-18,2.8,2.8,2.65,2.66,149300
63,2019-06-17,2.64,2.78,2.5699,2.72,165100
64,2019-06-14,2.79,2.8001,2.603,2.64,139500
65,2019-06-13,2.85,2.85,2.71,2.79,140000
66,2019-06-12,2.77,2.79,2.65,2.78,258000
67,2019-06-11,2.58,2.67,2.5,2.62,228000
68,2019-06-10,2.37,2.53,2.37,2.515,167100
69,2019-06-07,2.32,2.38,2.293,2.37,117900
70,2019-06-06,2.3001,2.359,2.166,2.32,155200
71,2019-06-05,2.37,2.38,2.1801,2.28,166500
72,2019-06-04,2.14,2.4,2.12,2.33,292500
73,2019-06-03,2.21,2.241,2.07,2.11,138600
74,2019-05-31,2.33,2.33,2.071,2.19,382900
75,2019-05-30,2.5,2.5,2.28,2.33,255600
76,2019-05-29,2.55,2.59,2.48,2.51,149300
77,2019-05-28,2.58,2.61,2.5,2.53,163700
78,2019-05-24,2.51,2.62,2.5,2.51,155500
79,2019-05-23,2.63,2.7,2.45,2.49,302000
80,2019-05-22,2.83,2.86,2.65,2.67,263700
81,2019-05-21,2.82,2.87,2.73,2.81,276600
82,2019-05-20,2.71,2.84,2.7,2.79,101100
83,2019-05-17,2.87,2.8999,2.68,2.75,311600
84,2019-05-16,2.8301,3.02,2.77,2.85,540200
85,2019-05-15,2.85,2.85,2.712,2.78,161900
86,2019-05-14,2.7802,2.86,2.78,2.78,183600
87,2019-05-13,2.84,2.89,2.75,2.78,198700
88,2019-05-10,2.93,2.93,2.82,2.89,216900
89,2019-05-09,2.95,2.95,2.76,2.94,170300
90,2019-05-08,2.82,3.0,2.795,2.99,312000
91,2019-05-07,3.01,3.05,2.71,2.8,615400
92,2019-05-06,2.95,3.08,2.95,3.01,275700
93,2019-05-03,3.14,3.14,2.9901,3.03,396000
94,2019-05-02,3.04,3.14,3.02,3.11,463800
95,2019-05-01,3.13,3.15,3.02,3.08,313300
96,2019-04-30,3.36,3.36,3.08,3.13,892200
97,2019-04-29,3.4,3.4,3.32,3.36,299000
98,2019-04-26,3.38,3.51,3.3,3.39,1335400
99,2019-04-25,3.41,3.41,3.25,3.35,390400
100,2019-04-24,3.24,3.44,3.1502,3.26,967000
101,2019-04-23,3.14,3.18,3.07,3.18,243100
102,2019-04-22,3.06,3.14,3.05,3.14,229100
103,2019-04-18,3.0,3.09,2.96,3.09,201900
104,2019-04-17,3.03,3.064,2.9,3.0,179000
105,2019-04-16,3.0999,3.14,2.97,3.02,272400
106,2019-04-15,3.07,3.13,3.06,3.1,202600
107,2019-04-12,3.09,3.14,3.06,3.07,184600
108,2019-04-11,3.16,3.18,3.07,3.08,315300
109,2019-04-10,3.24,3.35,3.11,3.18,567000
110,2019-04-09,3.2,3.25,3.1,3.24,217900
111,2019-04-08,3.05,3.25,3.01,3.22,677800
112,2019-04-05,3.04,3.05,2.99,3.03,371700
113,2019-04-04,3.07,3.08,2.96,2.99,280300
114,2019-04-03,3.06,3.21,3.0,3.04,733300
115,2019-04-02,3.2,3.25,2.96,3.05,635300
116,2019-04-01,3.18,3.33,3.07,3.15,525000
117,2019-03-29,2.9,3.23,2.86,3.13,1011600
118,2019-03-28,2.88,2.939,2.81,2.9,313800
119,2019-03-27,2.95,2.99,2.8,2.9,270800
120,2019-03-26,2.96,2.988,2.88,2.95,327100
121,2019-03-25,2.85,2.98,2.78,2.93,252300
122,2019-03-22,2.97,2.99,2.8,2.88,434000
123,2019-03-21,3.11,3.14,2.8902,3.0,778400
124,2019-03-20,3.05,3.256,3.0503,3.14,878900
125,2019-03-19,2.68,3.39,2.66,3.06,3372600
126,2019-03-18,2.71,2.894,2.62,2.69,856500
127,2019-03-15,2.9,2.9,2.71,2.75,777700
128,2019-03-14,3.0498,3.085,2.86,2.9,595000
129,2019-03-13,3.2,3.2,2.95,3.05,1074900
130,2019-03-12,3.36,3.5,3.2,3.24,991600
131,2019-03-11,3.29,3.45,3.28,3.365,444300
132,2019-03-08,3.53,3.65,3.2,3.28,1264900
133,2019-03-07,3.6699,3.762,3.5,3.59,581800
134,2019-03-06,3.8999,3.97,3.6,3.67,1067200
135,2019-03-05,3.9,4.15,3.67,3.92,2636900
136,2019-03-04,3.48,3.932,3.4,3.89,1818200
137,2019-03-01,3.59,3.65,3.43,3.45,592700
