,timestamp,open,high,low,close,volume
0,2019-09-16,14.0,14.0,14.0,14.0,180
1,2019-09-13,13.95,14.68,13.95,14.05,5700
2,2019-09-12,14.01,14.01,14.01,14.01,300
3,2019-09-11,13.96,13.96,13.96,13.96,0
4,2019-09-10,14.06,14.1,13.96,13.96,1600
5,2019-09-09,14.1,14.1,14.02,14.02,1300
6,2019-09-06,14.05,14.05,14.05,14.05,1000
7,2019-09-05,13.9,13.95,13.74,13.95,6300
8,2019-09-04,14.1,14.1,13.76,13.85,2000
9,2019-09-03,14.35,14.35,14.35,14.35,900
10,2019-08-30,14.42,14.42,14.42,14.42,500
11,2019-08-29,14.5,14.54,14.35,14.35,6500
12,2019-08-28,14.5,14.5,14.5,14.5,200
13,2019-08-27,14.52,14.52,14.02,14.02,1200
14,2019-08-26,14.52,14.52,14.52,14.52,300
15,2019-08-23,14.52,14.52,14.52,14.52,200
16,2019-08-22,14.52,14.52,14.52,14.52,200
17,2019-08-21,14.54,14.54,14.54,14.54,200
18,2019-08-20,14.9,14.9,14.9,14.9,0
19,2019-08-19,14.9,14.9,14.9,14.9,0
20,2019-08-16,14.77,14.9,14.77,14.9,200
21,2019-08-15,14.96,14.99,14.9594,14.97,500
22,2019-08-14,14.9506,14.99,14.61,14.93,5400
23,2019-08-13,14.9,14.921,14.9,14.921,1500
24,2019-08-12,14.9,14.9,14.9,14.9,900
25,2019-08-09,14.9,14.9589,14.61,14.959,4400
26,2019-08-08,14.9,15.24,14.9,14.9,4400
27,2019-08-07,14.34,14.65,14.34,14.65,2800
28,2019-08-06,14.4311,14.58,14.02,14.02,6500
29,2019-08-05,15.11,15.11,14.25,14.92,1600
30,2019-08-02,15.1,15.21,15.1,15.11,3400
31,2019-08-01,15.02,15.25,15.02,15.1,4000
32,2019-07-31,15.04,15.5,15.02,15.02,3000
33,2019-07-30,14.93,15.4993,14.93,15.25,4400
34,2019-07-29,14.95,14.95,14.75,14.75,1600
35,2019-07-26,14.75,14.75,14.75,14.75,100
36,2019-07-25,14.75,14.75,14.75,14.75,100
37,2019-07-24,14.67,14.79,14.61,14.75,12500
38,2019-07-23,14.75,14.759,14.75,14.76,6100
39,2019-07-22,14.86,14.86,14.71,14.73,1400
40,2019-07-19,14.61,14.61,14.61,14.61,100
41,2019-07-18,14.71,14.71,14.61,14.61,2400
42,2019-07-17,14.75,14.75,14.75,14.75,400
43,2019-07-16,14.57,14.57,14.57,14.57,300
44,2019-07-15,14.55,15.0,14.55,14.78,1500
45,2019-07-12,15.0,15.0,14.55,14.55,1200
46,2019-07-11,14.71,15.0017,14.71,14.74,1200
47,2019-07-10,14.61,14.65,14.55,14.55,2700
48,2019-07-09,14.7,14.7,14.56,14.6,3800
49,2019-07-08,14.49,14.55,14.37,14.55,700
50,2019-07-05,14.76,14.76,14.76,14.76,100
51,2019-07-03,14.76,14.76,14.76,14.76,0
52,2019-07-02,14.76,14.76,14.76,14.76,100
53,2019-07-01,14.31,14.76,14.31,14.76,800
54,2019-06-28,14.31,14.94,14.3,14.76,12300
55,2019-06-27,14.5,14.69,14.5,14.61,1300
56,2019-06-26,14.502,14.7,14.325,14.7,6200
57,2019-06-25,14.603,14.603,14.521,14.521,600
58,2019-06-24,14.4,14.3988,14.366,14.4,2300
59,2019-06-21,14.359,14.63,14.359,14.63,2200
60,2019-06-20,13.9,14.354,13.9,14.28,7400
61,2019-06-19,13.68,13.95,13.57,13.63,4400
62,2019-06-18,13.56,13.57,13.56,13.57,700
63,2019-06-17,13.643,13.75,13.643,13.75,600
64,2019-06-14,13.56,13.56,13.56,13.56,400
65,2019-06-13,13.21,13.82,13.2105,13.8,1500
66,2019-06-12,13.29,13.52,13.0994,13.29,3700
67,2019-06-11,13.5,14.01,13.5,13.6,2100
68,2019-06-10,14.1,14.1,13.433,13.99,2800
69,2019-06-07,13.97,13.99,13.61,13.98,1800
70,2019-06-06,14.0,14.0,14.0,14.0,300
71,2019-06-05,13.67,13.67,13.67,13.67,300
