,timestamp,open,high,low,close,volume
0,2019-09-16,10.45,10.59,10.45,10.55,2405
1,2019-09-13,10.49,10.83,10.21,10.44,25821
2,2019-09-12,10.45,10.48,10.2,10.47,21600
3,2019-09-11,9.39,10.49,9.218,10.26,88600
4,2019-09-10,8.95,9.1,8.6,8.68,20800
5,2019-09-09,8.87,9.29,8.53,9.09,6600
6,2019-09-06,9.52,9.52,9.29,9.35,3400
7,2019-09-05,9.38,9.62,9.25,9.38,88100
8,2019-09-04,10.06,10.06,8.5,9.59,85200
9,2019-09-03,9.67,9.9,9.5,9.6,8600
10,2019-08-30,10.0,10.39,9.65,9.81,28900
11,2019-08-29,9.5,10.0,9.27,9.99,26100
12,2019-08-28,9.347,9.664,9.18,9.28,9200
13,2019-08-27,9.35,9.842,9.25,9.59,19900
14,2019-08-26,9.39,9.39,8.97,9.29,12800
15,2019-08-23,8.95,9.6,8.95,9.12,27000
16,2019-08-22,8.42,9.151,8.42,9.12,28400
17,2019-08-21,8.472,8.87,8.255,8.76,19800
18,2019-08-20,8.79,8.935,8.436,8.49,7600
19,2019-08-19,9.21,9.279,8.63,8.84,23200
20,2019-08-16,8.74,9.21,8.55,9.15,8300
21,2019-08-15,8.6,8.75,8.6,8.67,10900
22,2019-08-14,8.52,8.622,8.2,8.47,8200
23,2019-08-13,8.21,8.83,8.21,8.81,26700
24,2019-08-12,8.65,8.95,7.9,8.255,21800
25,2019-08-09,8.89,9.0,8.241,8.455,14300
26,2019-08-08,7.76,9.0,7.76,8.88,21200
27,2019-08-07,8.75,8.762,7.725,7.76,69100
28,2019-08-06,9.15,9.95,8.81,8.85,36400
29,2019-08-05,10.2,10.2,9.035,9.14,48000
30,2019-08-02,10.73,10.745,10.0,10.22,36600
31,2019-08-01,10.93,10.999,10.757,10.76,9100
32,2019-07-31,10.9,11.08,10.7695,10.77,13500
33,2019-07-30,10.82,11.09,10.681,11.02,19000
34,2019-07-29,11.055,11.128,10.57,10.83,33400
35,2019-07-26,10.81,11.15,10.81,11.0,32800
36,2019-07-25,10.78,11.05,10.5,10.69,10700
37,2019-07-24,10.89,11.09,10.795,10.9,26300
38,2019-07-23,10.91,11.05,10.46,10.77,25400
39,2019-07-22,11.0,11.388,10.25,10.6,73700
40,2019-07-19,10.31,10.57,10.21,10.54,10100
41,2019-07-18,10.41,10.5,10.178,10.32,6100
42,2019-07-17,10.21,10.58,10.15,10.53,23700
43,2019-07-16,10.34,10.629,10.2,10.36,15100
44,2019-07-15,10.58,10.8,10.25,10.34,18000
45,2019-07-12,10.75,10.91,10.38,10.44,17500
46,2019-07-11,11.01,11.1,10.64,10.87,11400
47,2019-07-10,10.74,11.17,10.7408,10.94,12000
48,2019-07-09,10.61,10.76,10.46,10.72,18100
49,2019-07-08,11.4,11.423,10.5,10.61,34700
50,2019-07-05,11.381,11.48,11.2,11.38,15000
51,2019-07-03,11.45,11.5,11.24,11.4,12800
52,2019-07-02,11.2904,11.5,11.18,11.37,57600
53,2019-07-01,11.1,11.4,11.02,11.28,110900
54,2019-06-28,11.0,11.25,10.85,10.96,686000
55,2019-06-27,10.2363,11.0,10.13,10.96,24600
56,2019-06-26,10.35,10.63,10.0552,10.49,24200
57,2019-06-25,11.31,11.31,10.3414,10.49,43000
58,2019-06-24,10.95,10.95,10.64,10.94,25100
59,2019-06-21,10.81,11.14,10.67,11.02,33000
60,2019-06-20,11.2,11.2,10.65,10.92,39500
61,2019-06-19,11.17,11.2,11.03,11.09,36100
62,2019-06-18,11.145,11.18,10.91,10.91,27000
63,2019-06-17,11.09,11.18,10.89,10.89,35600
64,2019-06-14,11.1,11.12,10.84,10.9,34100
65,2019-06-13,10.91,11.2,10.9095,10.925,29500
66,2019-06-12,10.8899,11.215,10.8,11.0,43500
67,2019-06-11,10.7,11.22,10.7,10.81,27500
68,2019-06-10,10.99,11.38,10.8,10.89,49800
69,2019-06-07,11.0,11.17,10.56,10.95,40100
70,2019-06-06,11.13,11.17,10.872,11.0,28000
71,2019-06-05,10.8,11.0,10.3314,10.89,22300
72,2019-06-04,10.3,10.85,10.28,10.8,17400
73,2019-06-03,9.8099,10.52,9.751,10.18,78900
74,2019-05-31,10.88,10.88,10.45,10.69,16500
75,2019-05-30,10.6,11.19,10.591,10.88,24100
76,2019-05-29,10.46,11.0,10.215,10.49,31700
77,2019-05-28,10.83,10.905,10.56,10.6,9600
78,2019-05-24,9.89,10.99,9.89,10.85,34500
79,2019-05-23,11.06,11.06,9.97,10.04,42800
80,2019-05-22,11.13,11.13,10.9,10.9,15800
81,2019-05-21,11.19,11.19,10.89,11.0,21600
82,2019-05-20,10.93,11.19,10.301,11.0,24200
83,2019-05-17,10.99,10.99,10.58,10.9,19500
84,2019-05-16,10.76,10.93,10.53,10.93,16600
85,2019-05-15,10.8304,10.98,10.301,10.74,60300
86,2019-05-14,9.8,10.84,9.8,10.71,29800
87,2019-05-13,11.2,11.2,9.53,9.75,44500
88,2019-05-10,10.88,11.61,10.71,11.43,34700
89,2019-05-09,11.73,11.81,10.8,10.81,42600
90,2019-05-08,11.05,12.0,11.05,11.79,47800
91,2019-05-07,10.96,11.1,10.437,10.83,24900
92,2019-05-06,10.41,11.11,10.245,10.45,20400
93,2019-05-03,10.37,10.9899,10.215,10.43,41900
94,2019-05-02,10.18,10.42,10.05,10.36,48500
95,2019-05-01,10.909,10.909,10.12,10.36,32200
96,2019-04-30,11.5,11.5,10.5,10.62,44300
97,2019-04-29,11.0,11.5,10.95,11.5,38400
98,2019-04-26,10.75,11.2,10.613,10.94,49000
99,2019-04-25,10.87,10.87,9.9,10.43,21400
100,2019-04-24,10.0591,10.75,9.97,10.75,53100
101,2019-04-23,9.79,10.22,9.77,10.05,40600
102,2019-04-22,9.66,10.35,9.66,9.9,30600
103,2019-04-18,9.77,9.978,9.687,9.72,22500
104,2019-04-17,9.9,10.02,9.515,9.63,29000
105,2019-04-16,10.27,10.315,9.785,9.97,34000
106,2019-04-15,10.65,10.66,10.19,10.19,23500
107,2019-04-12,10.13,10.74,10.11,10.56,28800
108,2019-04-11,10.28,10.4498,10.04,10.16,22500
109,2019-04-10,10.147,10.5,9.96,10.26,40700
110,2019-04-09,10.065,10.49,9.93,10.45,19400
111,2019-04-08,10.25,10.4492,9.613,10.45,22300
112,2019-04-05,10.2,10.5,10.059,10.24,35200
113,2019-04-04,9.55,10.2,9.5,10.2,44500
114,2019-04-03,9.0,9.74,8.8,9.46,63800
115,2019-04-02,9.52,9.52,8.61,8.99,96000
116,2019-04-01,10.05,10.2,9.46,9.56,26900
117,2019-03-29,10.29,10.31,9.89,9.89,37300
118,2019-03-28,9.56,10.25,9.285,10.21,35000
119,2019-03-27,9.22,10.3,9.22,9.53,77400
120,2019-03-26,9.49,9.5398,9.17,9.17,17500
121,2019-03-25,9.15,9.47,8.85,9.3,26700
122,2019-03-22,9.25,9.5,8.97,9.18,35000
123,2019-03-21,9.28,9.795,8.936,9.32,36300
124,2019-03-20,10.16,10.16,9.425,9.83,40300
125,2019-03-19,10.42,10.42,10.0,10.25,75000
126,2019-03-18,9.84,10.39,9.8,10.33,113800
127,2019-03-15,9.77,9.77,9.3694,9.69,39000
128,2019-03-14,9.3503,9.495,9.243,9.49,17100
129,2019-03-13,9.45,9.6,9.03,9.37,16300
130,2019-03-12,8.92,9.6,8.824,9.34,47400
131,2019-03-11,7.81,9.05,7.81,8.656,69600
132,2019-03-08,8.0,8.45,7.6,7.77,48200
133,2019-03-07,8.41,8.63,7.85,7.91,49500
134,2019-03-06,8.49,8.49,8.0,8.32,62200
135,2019-03-05,8.8903,9.096,8.42,8.47,83300
136,2019-03-04,8.82,9.12,8.5,8.92,36000
137,2019-03-01,8.55,9.18,8.17,8.79,86300
138,2019-02-28,8.6,9.0,8.25,8.48,33500
139,2019-02-27,9.05,9.1,8.46,8.58,66700
140,2019-02-26,7.99,9.0,7.99,8.8,72900
141,2019-02-25,8.34,8.35,8.0,8.25,65300
142,2019-02-22,8.03,8.23,7.9995,8.13,45900
143,2019-02-21,8.15,8.25,7.8298,8.06,37200
144,2019-02-20,8.76,8.76,7.85,8.24,96100
145,2019-02-19,8.68,8.93,8.59,8.83,27600
146,2019-02-15,9.84,9.849,8.28,8.68,165800
147,2019-02-14,10.47,10.47,9.612,9.88,68300
148,2019-02-13,10.41,10.83,9.95,10.3,101200
149,2019-02-12,10.12,11.96,10.12,10.47,245800
150,2019-02-11,9.75,9.9,8.6,9.9,119000
151,2019-02-08,8.54,9.751,8.38,9.6,230000
152,2019-02-07,7.89,8.31,7.33,8.31,95200
153,2019-02-06,6.83,8.0,6.706,7.83,178800
154,2019-02-05,5.9,6.83,5.9,6.6,132000
155,2019-02-04,5.82,6.16,5.71,5.95,103900
156,2019-02-01,5.33,5.52,5.3,5.38,36900
157,2019-01-31,5.4602,5.66,5.34,5.36,11500
158,2019-01-30,5.85,5.85,5.36,5.48,28500
159,2019-01-29,5.66,5.66,5.54,5.64,11800
160,2019-01-28,5.67,5.84,5.54,5.65,88700
161,2019-01-25,5.7,5.85,5.53,5.53,16900
162,2019-01-24,5.69,5.83,5.5,5.5,17900
163,2019-01-23,5.71,5.713,5.55,5.7,23000
164,2019-01-22,5.85,6.198,5.6,5.73,80000
165,2019-01-18,5.82,5.89,5.645,5.86,28500
166,2019-01-17,5.6,5.78,5.6,5.61,12300
167,2019-01-16,5.2,5.939,5.2,5.57,44400
168,2019-01-15,5.75,5.75,5.21,5.27,60600
169,2019-01-14,6.25,6.25,5.5,5.76,32600
170,2019-01-11,6.0,6.21,5.84,6.07,43300
171,2019-01-10,6.0,6.4,5.51,6.18,50900
172,2019-01-09,6.0,6.25,5.46,5.97,121300
173,2019-01-08,5.44,6.26,5.181,6.09,183000
174,2019-01-07,5.28,5.4,4.9,5.32,225100
175,2019-01-04,5.3,5.3,4.5398,5.22,326900
176,2019-01-03,4.5,5.84,4.0,5.02,1910100
177,2019-01-02,3.75,3.871,3.3303,3.49,140200
178,2018-12-31,3.94,4.08,3.75,3.86,46500
179,2018-12-28,4.16,4.3003,3.3,3.94,327400
180,2018-12-27,3.3,4.97,2.861,4.36,2717200
181,2018-12-26,2.81,2.91,2.41,2.41,52800
182,2018-12-24,2.53,2.81,2.5,2.78,17800
183,2018-12-21,2.6101,2.78,2.51,2.55,49100
184,2018-12-20,2.98,3.0,2.5,2.59,263500
185,2018-12-19,3.38,3.397,2.88,2.98,30800
186,2018-12-18,3.61,3.704,3.33,3.33,24700
187,2018-12-17,3.8,4.147,3.512,3.73,30700
188,2018-12-14,4.15,4.5,3.83,3.84,80400
189,2018-12-13,4.8,4.8,4.105,4.18,15800
190,2018-12-12,4.81,4.95,4.5502,4.55,35800
191,2018-12-11,4.6,4.721,4.55,4.55,16100
192,2018-12-10,4.75,4.95,4.55,4.661,47900
193,2018-12-07,5.01,5.07,4.73,4.73,18300
194,2018-12-06,4.96,5.06,4.93,5.06,17100
195,2018-12-04,4.98,5.22,4.85,4.86,22700
196,2018-12-03,4.98,5.32,4.91,5.09,25800
197,2018-11-30,4.84,5.2,4.83,4.83,19300
198,2018-11-29,4.8,5.0223,4.65,4.73,23000
199,2018-11-28,4.9398,5.08,4.81,4.81,28000
200,2018-11-27,5.095,5.095,4.89,4.9,29300
201,2018-11-26,5.12,5.37,5.02,5.09,15600
