,timestamp,open,high,low,close,volume
0,2019-09-17,10.5,10.6879,10.39,10.46,97256
1,2019-09-16,10.55,10.7,10.47,10.5,126974
2,2019-09-13,10.66,10.91,10.5,10.58,169900
3,2019-09-12,10.82,10.86,10.57,10.61,276900
4,2019-09-11,10.99,11.06,10.67,10.76,266200
5,2019-09-10,10.56,11.0,10.32,10.98,185500
6,2019-09-09,10.13,10.57,10.07,10.56,210200
7,2019-09-06,10.2,10.3,10.05,10.08,129300
8,2019-09-05,10.25,10.33,10.06,10.14,194100
9,2019-09-04,10.36,10.45,10.14,10.14,149300
10,2019-09-03,10.22,10.31,10.02,10.26,208700
11,2019-08-30,10.29,10.29,10.07,10.25,161300
12,2019-08-29,10.29,10.37,10.18,10.24,136700
13,2019-08-28,10.02,10.38,9.93,10.17,195800
14,2019-08-27,10.24,10.33,9.93,10.05,196700
15,2019-08-26,10.17,10.2,9.98,10.18,148900
16,2019-08-23,10.36,10.41,9.97,10.02,137600
17,2019-08-22,10.43,10.5,10.25,10.36,92800
18,2019-08-21,10.21,10.48,10.15,10.34,92700
19,2019-08-20,10.12,10.35,10.07,10.14,295200
20,2019-08-19,10.14,10.25,10.01,10.07,111800
21,2019-08-16,9.67,10.04,9.67,10.02,144900
22,2019-08-15,9.3196,9.68,9.21,9.59,267300
23,2019-08-14,9.35,9.53,9.33,9.39,253100
24,2019-08-13,9.76,10.1,9.58,9.58,236300
25,2019-08-12,10.02,10.05,9.57,9.78,276100
26,2019-08-09,9.98,10.1,9.84,9.91,110100
27,2019-08-08,9.86,10.17,9.8504,10.0,268600
28,2019-08-07,9.46,10.03,9.36,9.82,185600
29,2019-08-06,9.14,9.63,9.13,9.59,178000
30,2019-08-05,9.02,9.32,8.97,9.18,194600
31,2019-08-02,9.66,9.79,9.24,9.25,229200
32,2019-08-01,10.24,10.24,9.43,9.63,350300
33,2019-07-31,9.72,9.84,9.4,9.49,198000
34,2019-07-30,9.42,9.72,9.34,9.71,116900
35,2019-07-29,9.7,9.76,9.48,9.53,94400
36,2019-07-26,9.55,9.81,9.55,9.65,102700
37,2019-07-25,9.39,9.52,9.36,9.51,95300
38,2019-07-24,8.94,9.43,8.83,9.42,126300
39,2019-07-23,9.05,9.05,8.89,8.95,98600
40,2019-07-22,8.9503,9.05,8.91,9.02,79100
41,2019-07-19,8.94,9.12,8.9,8.91,122800
