,timestamp,open,high,low,close,volume
0,2019-09-17,1.97,2.005,1.91,1.98,264227
1,2019-09-16,1.97,2.0,1.86,1.99,666405
2,2019-09-13,1.99,1.99,1.9,1.98,433100
3,2019-09-12,1.93,2.01,1.89,1.97,688100
4,2019-09-11,2.01,2.07,1.92,1.93,599200
5,2019-09-10,2.02,2.03,1.79,2.0,627700
6,2019-09-09,2.0,2.062,1.92,2.02,809400
7,2019-09-06,2.16,2.2,1.97,1.98,939400
8,2019-09-05,2.12,2.175,1.935,2.15,1004300
9,2019-09-04,2.2,2.2,1.985,2.08,692700
10,2019-09-03,2.1,2.295,2.1,2.2,643200
11,2019-08-30,2.26,2.29,2.08,2.14,595300
12,2019-08-29,2.33,2.353,2.18,2.25,814300
13,2019-08-28,2.09,2.33,2.071,2.29,772400
14,2019-08-27,2.21,2.27,2.07,2.11,863000
15,2019-08-26,1.95,2.27,1.86,2.19,1614200
16,2019-08-23,2.02,2.06,1.855,1.92,826300
17,2019-08-22,2.09,2.15,2.01,2.02,563600
18,2019-08-21,2.04,2.13,2.0,2.06,503600
19,2019-08-20,2.1,2.18,1.96,2.02,969800
20,2019-08-19,1.92,2.19,1.865,2.07,1215900
21,2019-08-16,1.83,1.92,1.7901,1.87,531300
22,2019-08-15,1.84,1.937,1.75,1.83,838200
23,2019-08-14,1.86,1.865,1.72,1.83,945700
24,2019-08-13,1.72,1.88,1.72,1.84,836100
25,2019-08-12,1.74,1.78,1.66,1.725,605800
26,2019-08-09,1.78,1.84,1.732,1.77,1115100
27,2019-08-08,1.66,1.75,1.655,1.74,1226600
28,2019-08-07,1.64,1.73,1.59,1.66,787800
29,2019-08-06,1.66,1.776,1.55,1.63,1124600
30,2019-08-05,1.49,1.6501,1.41,1.63,1330500
31,2019-08-02,1.53,1.5652,1.49,1.53,1879900
32,2019-08-01,1.87,1.88,1.443,1.49,6088700
33,2019-07-31,2.92,3.02,2.72,2.76,1296400
34,2019-07-30,2.69,2.98,2.68,2.96,1002100
35,2019-07-29,2.77,2.796,2.615,2.7,622700
36,2019-07-26,2.56,2.87,2.528,2.78,812300
37,2019-07-25,2.71,2.888,2.55,2.58,1164800
38,2019-07-24,2.39,2.8,2.39,2.71,1727800
39,2019-07-23,2.72,2.74,2.26,2.38,2848300
40,2019-07-22,3.06,3.105,2.64,2.76,2486500
41,2019-07-19,3.2,3.2198,3.08,3.08,635800
42,2019-07-18,3.1601,3.26,3.14,3.2,656400
