,timestamp,open,high,low,close,volume
0,2019-09-16,86.36,86.8313,84.79,84.8,240682
1,2019-09-13,86.5,88.725,86.95,87.1,229166
2,2019-09-12,89.07,89.07,85.92,86.45,1096200
3,2019-09-11,86.61,89.17,85.75,89.07,2302000
4,2019-09-10,83.44,87.39,83.41,86.7,2586100
5,2019-09-09,83.42,83.8,82.47,83.29,1470700
6,2019-09-06,84.24,84.64,83.11,83.28,1586200
7,2019-09-05,83.12,84.12,83.04,83.94,853900
8,2019-09-04,82.67,83.24,82.23,82.76,917200
9,2019-09-03,83.68,84.5,81.88,82.05,1355300
10,2019-08-30,84.6,85.5,84.22,84.49,819400
11,2019-08-29,84.0,85.31,83.76,84.12,881900
12,2019-08-28,82.34,83.53,81.69,83.17,1004600
13,2019-08-27,83.68,83.92,82.21,82.33,930500
14,2019-08-26,82.67,83.21,82.12,83.09,892300
15,2019-08-23,83.58,83.58,81.88,82.23,1166200
16,2019-08-22,84.43,84.73,83.15,83.72,1237600
17,2019-08-21,84.76,85.16,84.15,84.26,1140700
18,2019-08-20,84.42,84.84,83.7,84.17,1491200
19,2019-08-19,84.62,85.81,84.1,84.31,1474500
20,2019-08-16,83.53,84.33,82.87,83.82,1075700
21,2019-08-15,82.64,83.16,81.9999,82.9,1027700
22,2019-08-14,83.66,84.01,82.1,82.39,1097300
23,2019-08-13,84.53,85.58,83.81,84.63,1104700
24,2019-08-12,84.26,85.11,83.58,84.43,1097500
25,2019-08-09,86.0896,87.06,84.4,84.48,1800200
26,2019-08-08,83.75,86.47,83.6,86.06,1821000
27,2019-08-07,80.91,83.67,80.53,83.5,2055800
28,2019-08-06,81.72,82.2,80.87,81.33,1005000
29,2019-08-05,81.0,81.49,80.5693,81.16,2238600
30,2019-08-02,81.16,82.63,81.0212,81.66,1308200
31,2019-08-01,83.13,83.29,80.16,81.0,2330500
32,2019-07-31,81.76,84.41,79.52,83.73,3196600
33,2019-07-30,84.85,85.88,84.35,84.77,1437200
34,2019-07-29,84.85,85.81,84.6211,85.06,1232600
35,2019-07-26,83.58,85.27,83.45,85.12,1344600
36,2019-07-25,85.83,86.36,83.45,84.07,1855100
37,2019-07-24,83.65,86.83,83.43,85.89,2019700
38,2019-07-23,83.49,83.54,82.4,83.41,860800
39,2019-07-22,83.89,84.39,83.15,83.22,1012700
40,2019-07-19,82.65,84.35,82.34,83.65,875800
41,2019-07-18,81.8389,82.67,81.42,82.46,1641300
42,2019-07-17,84.6,84.6,82.0,82.25,2522400
43,2019-07-16,84.61,86.01,83.89,84.95,1698400
44,2019-07-15,85.09,85.24,84.27,84.51,769800
45,2019-07-12,82.75,85.67,82.75,85.06,1379900
46,2019-07-11,82.11,83.05,81.54,82.84,880100
47,2019-07-10,83.38,83.99,82.14,82.19,703100
48,2019-07-09,83.38,84.05,82.21,83.19,961000
49,2019-07-08,84.87,85.03,83.37,83.92,791000
50,2019-07-05,84.57,84.99,83.94,84.9,542300
51,2019-07-03,83.88,85.22,83.874,85.04,500500
52,2019-07-02,84.22,84.77,83.07,83.63,786200
53,2019-07-01,85.31,85.56,83.75,84.31,932700
54,2019-06-28,84.33,85.36,84.0,84.35,2101100
55,2019-06-27,83.63,84.87,83.48,84.17,1074100
56,2019-06-26,82.62,83.69,82.1,83.32,1229300
57,2019-06-25,82.91,83.195,81.48,82.74,965200
58,2019-06-24,82.95,83.49,82.37,82.87,1076600
59,2019-06-21,84.02,84.02,82.86,83.03,1626500
60,2019-06-20,84.34,84.5,83.14,84.0,932100
61,2019-06-19,83.57,83.73,82.74,83.37,852300
62,2019-06-18,83.0,84.396,82.87,83.5,1084400
63,2019-06-17,83.76,83.76,82.23,82.29,1074400
64,2019-06-14,83.65,83.81,82.69,83.7,1365000
65,2019-06-13,82.37,83.75,82.22,83.57,1404700
66,2019-06-12,80.62,82.26,80.3907,82.22,1074400
67,2019-06-11,80.7702,81.34,80.07,80.41,733100
68,2019-06-10,80.14,81.24,79.98,80.2,828300
69,2019-06-07,79.97,80.97,79.66,79.69,761900
70,2019-06-06,80.18,80.41,78.8324,79.56,1274900
71,2019-06-05,80.19,81.16,79.7,81.0,888700
72,2019-06-04,80.35,80.52,79.5,80.24,2216400
73,2019-06-03,79.39,80.62,79.0338,79.8,1049700
74,2019-05-31,78.0108,79.89,78.01,79.63,1919200
75,2019-05-30,79.84,80.23,77.89,78.79,1400600
76,2019-05-29,78.95,80.0011,78.0,79.69,1260200
77,2019-05-28,79.82,79.82,78.54,79.01,1994300
78,2019-05-24,81.0,81.263,79.47,79.72,1453500
79,2019-05-23,80.65,81.63,80.16,80.74,1542800
80,2019-05-22,81.37,81.625,80.07,81.18,755600
81,2019-05-21,82.178,82.75,81.78,81.89,718700
82,2019-05-20,81.83,82.43,81.485,81.79,1009200
83,2019-05-17,82.19,83.24,81.76,82.22,809000
84,2019-05-16,82.2,83.65,81.81,82.91,1631500
85,2019-05-15,81.01,82.015,80.61,81.86,915500
86,2019-05-14,80.42,82.13,80.33,81.39,1057800
87,2019-05-13,80.42,81.33,79.75,80.05,1388300
88,2019-05-10,82.56,82.56,80.51,81.73,1349300
89,2019-05-09,83.08,83.89,82.32,82.68,1783500
90,2019-05-08,82.63,84.46,82.0224,83.26,2017800
91,2019-05-07,82.67,83.135,82.08,82.55,1769000
92,2019-05-06,82.81,83.97,82.15,83.21,1144900
93,2019-05-03,84.25,84.97,83.16,83.9,1673600
94,2019-05-02,81.04,84.66,80.72,83.42,3730700
95,2019-05-01,78.62,82.43,77.72,80.73,5235600
96,2019-04-30,81.46,82.11,80.95,81.0,2914600
97,2019-04-29,87.44,87.44,80.97,81.11,3803300
98,2019-04-26,88.7,88.94,87.49,87.76,1893000
99,2019-04-25,91.28,91.2677,87.88,88.58,1059900
100,2019-04-24,90.65,91.965,90.6472,91.42,910900
101,2019-04-23,90.59,91.43,90.22,90.73,932100
102,2019-04-22,89.59,90.23,89.29,90.16,641500
103,2019-04-18,89.77,90.889,89.3,89.99,760800
104,2019-04-17,90.1,90.142,89.33,89.47,872800
105,2019-04-16,87.72,89.875,87.5,89.52,1869200
106,2019-04-15,90.94,91.49,90.2,90.88,946200
107,2019-04-12,90.0,90.97,89.7,90.79,813200
108,2019-04-11,88.95,89.87,88.76,89.67,871300
109,2019-04-10,89.1,89.1,87.79,88.33,760600
