,timestamp,open,high,low,close,volume
0,2019-09-17,28.5,28.5494,28.3501,28.53,10689
1,2019-09-16,28.22,28.61,28.1701,28.49,31620
2,2019-09-13,28.06,28.62,27.87,28.22,111200
3,2019-09-12,28.25,28.43,28.16,28.28,17500
4,2019-09-11,28.34,28.4,28.21,28.25,28700
5,2019-09-10,28.36,28.5,28.22,28.22,12500
6,2019-09-09,28.54,28.55,28.27,28.31,16000
7,2019-09-06,28.52,28.52,28.4,28.46,9000
8,2019-09-05,28.44,28.57,28.35,28.57,12300
9,2019-09-04,28.39,28.5,28.29,28.4,15600
10,2019-09-03,28.23,28.38,28.23,28.3,14500
11,2019-08-30,28.42,28.42,28.15,28.16,73400
12,2019-08-29,28.47,28.76,28.3,28.33,13700
13,2019-08-28,28.34,28.75,28.34,28.65,9300
14,2019-08-27,28.28,28.35,28.28,28.3,6500
15,2019-08-26,28.4,28.5,28.25,28.25,20800
16,2019-08-23,28.36,28.41,28.25,28.4,9500
17,2019-08-22,28.38,28.66,28.3,28.32,10000
18,2019-08-21,28.55,28.62,28.4,28.42,8300
19,2019-08-20,28.41,28.59,28.37,28.55,12400
20,2019-08-19,28.53,28.63,28.3,28.5,7300
21,2019-08-16,28.42,28.64,28.1998,28.27,19400
22,2019-08-15,28.6887,28.69,28.33,28.33,9100
23,2019-08-14,28.31,28.55,28.25,28.55,7100
24,2019-08-13,28.44,28.681,28.15,28.23,6900
25,2019-08-12,28.6,28.7,28.15,28.4,8200
26,2019-08-09,28.14,28.45,28.039,28.45,6700
27,2019-08-08,28.215,28.341,28.2,28.341,9200
28,2019-08-07,28.089,28.28,28.089,28.25,7000
29,2019-08-06,28.0,28.28,28.0,28.27,10600
30,2019-08-05,28.2,28.2,27.91,27.97,20000
31,2019-08-02,28.09,28.2,28.08,28.2,8300
32,2019-08-01,28.16,28.25,28.11,28.18,9900
33,2019-07-31,27.95,28.17,27.9,27.96,67200
34,2019-07-30,28.21,28.26,28.009,28.06,18500
35,2019-07-29,28.15,28.28,28.11,28.17,15200
36,2019-07-26,28.1,28.25,28.0,28.2,10100
37,2019-07-25,28.03,28.14,27.91,28.0,12500
38,2019-07-24,27.92,28.19,27.82,28.0,17000
39,2019-07-23,28.17,28.17,27.9,27.91,17200
40,2019-07-22,28.0015,28.35,28.0,28.01,7900
41,2019-07-19,28.23,28.27,28.01,28.09,10600
42,2019-07-18,28.1,28.33,28.04,28.2,17100
43,2019-07-17,27.97,28.14,27.89,28.1,10400
44,2019-07-16,28.04,28.04,27.88,27.9,7500
45,2019-07-15,28.14,28.14,27.9,27.96,10400
46,2019-07-12,27.95,28.15,27.81,28.01,7500
47,2019-07-11,27.96,28.1,27.8,27.8,6400
48,2019-07-10,27.96,28.15,27.89,27.91,23300
49,2019-07-09,28.08,28.15,27.9,27.93,11200
50,2019-07-08,28.03,28.14,27.98,28.04,13900
51,2019-07-05,28.15,28.2504,28.01,28.14,4100
52,2019-07-03,28.27,28.3,28.11,28.24,10800
53,2019-07-02,27.9497,28.4,27.82,28.25,13800
54,2019-07-01,27.89,28.15,27.88,28.03,17900
55,2019-06-28,28.0401,28.5,27.57,27.65,88300
56,2019-06-27,27.96,27.96,27.66,27.78,20100
57,2019-06-26,28.35,28.37,27.91,27.97,17900
58,2019-06-25,28.58,28.8,28.26,28.3,35800
59,2019-06-24,28.7,28.7,28.48,28.48,9700
60,2019-06-21,28.57,28.7,28.55,28.67,15400
61,2019-06-20,28.52,28.64,28.4,28.55,7900
62,2019-06-19,28.53,28.8,28.36,28.46,9100
63,2019-06-18,28.55,28.59,28.32,28.46,23000
64,2019-06-17,28.51,28.55,28.34,28.46,7200
65,2019-06-14,28.55,28.55,28.35,28.43,20400
66,2019-06-13,28.64,28.64,28.37,28.49,13600
67,2019-06-12,28.75,28.89,28.7,28.72,10300
68,2019-06-11,28.92,28.92,28.65,28.83,10500
69,2019-06-10,28.9,28.99,28.86,28.9,17400
70,2019-06-07,28.75,28.83,28.64,28.78,9900
71,2019-06-06,28.7499,28.75,28.4,28.58,42800
72,2019-06-05,28.6416,28.76,28.6,28.75,14500
73,2019-06-04,28.4,28.59,28.4,28.54,15300
74,2019-06-03,28.32,28.7,28.2,28.4,14100
