,timestamp,open,high,low,close,volume
0,2019-09-17,287.17,289.4,280.33,286.06,68623
1,2019-09-16,289.24,297.85,285.75,286.98,134436
2,2019-09-13,299.5,301.89,289.22,290.96,60100
3,2019-09-12,296.05,300.91,295.64,300.17,81500
4,2019-09-11,290.54,298.0,290.54,294.63,69900
5,2019-09-10,291.74,291.74,282.26,289.27,98500
6,2019-09-09,300.49,300.49,286.52,292.45,124800
7,2019-09-06,306.47,309.99,295.33,298.51,104200
8,2019-09-05,315.0,316.73,302.32,305.83,80400
9,2019-09-04,335.63,335.63,311.44,312.8,104100
10,2019-09-03,335.13,341.21,332.34,333.71,57600
11,2019-08-30,348.9,350.98,334.14,336.61,53600
12,2019-08-29,348.84,352.28,345.91,346.6,56000
13,2019-08-28,340.5,349.75,339.53,345.91,88800
14,2019-08-27,339.36,343.95,333.87,339.82,84300
15,2019-08-26,341.71,348.0,337.61,338.7,73100
16,2019-08-23,354.67,358.5,339.17,339.17,64500
17,2019-08-22,349.15,360.77,342.98,355.69,65900
18,2019-08-21,370.23,371.13,344.29,349.6,104300
19,2019-08-20,369.04,375.99,363.12,365.82,78400
20,2019-08-19,367.15,382.51,367.15,368.91,112000
21,2019-08-16,357.14,366.0,355.18,364.81,43600
22,2019-08-15,349.77,360.91,346.91,356.93,63900
23,2019-08-14,346.16,353.23,343.39,347.53,75500
24,2019-08-13,347.8,356.122,345.46,352.13,59300
25,2019-08-12,333.73,350.87,332.6377,346.5,76500
26,2019-08-09,335.5,338.915,328.04,333.76,66400
27,2019-08-08,326.1,338.145,323.6,336.55,167300
28,2019-08-07,301.36,360.0,300.99,324.79,368000
29,2019-08-06,281.95,298.97,281.95,293.44,88200
30,2019-08-05,291.44,291.44,277.64,280.28,90600
31,2019-08-02,287.43,294.72,283.46,292.6,65200
32,2019-08-01,294.3853,296.21,287.71,288.33,85600
33,2019-07-31,294.48,296.5876,290.01,293.53,70000
34,2019-07-30,292.01,296.99,292.01,294.45,66300
35,2019-07-29,293.08,298.39,290.1035,292.72,82900
36,2019-07-26,290.5,296.0,290.5,293.0,64200
37,2019-07-25,290.41,290.8,288.35,289.68,38500
38,2019-07-24,289.44,290.52,287.0,290.28,35100
39,2019-07-23,294.04,297.19,288.04,289.77,46600
40,2019-07-22,292.42,296.4,290.0,292.86,41800
41,2019-07-19,295.67,299.48,290.76,291.27,45800
42,2019-07-18,300.32,303.0,295.61,297.2,33800
43,2019-07-17,303.24,304.23,299.57,300.26,28200
44,2019-07-16,304.3374,305.22,301.4,302.94,24400
45,2019-07-15,304.72,307.2372,303.37,304.56,35600
46,2019-07-12,306.15,306.28,302.4,304.65,54000
47,2019-07-11,311.93,313.4,304.02,305.85,91700
48,2019-07-10,309.83,317.2,307.8,311.62,107200
49,2019-07-09,314.87,314.87,305.67,308.88,62400
50,2019-07-08,317.96,319.01,309.27,310.49,63400
51,2019-07-05,315.0,321.54,308.18,318.4,65600
52,2019-07-03,311.64,316.51,310.71,315.0,25000
53,2019-07-02,311.49,313.743,308.123,312.88,58800
54,2019-07-01,300.02,311.39,299.92,311.13,44800
55,2019-06-28,300.93,301.2951,297.62,299.25,75000
56,2019-06-27,292.23,302.29,291.62,301.93,56000
57,2019-06-26,301.48,301.48,292.34,292.34,41500
58,2019-06-25,298.81,304.6,298.7114,300.11,36400
59,2019-06-24,302.61,303.75,295.9908,297.55,35400
60,2019-06-21,300.77,302.462,298.25,302.42,53100
61,2019-06-20,300.3,305.08,297.0,301.75,47000
62,2019-06-19,303.42,305.0,295.35,299.8,82800
63,2019-06-18,312.38,316.0,303.075,303.9,62100
64,2019-06-17,307.52,313.0053,303.71,310.34,59800
65,2019-06-14,314.9,318.123,303.575,306.98,57300
66,2019-06-13,312.32,318.373,312.0,314.13,35100
67,2019-06-12,317.59,321.03,310.465,310.85,37000
68,2019-06-11,313.72,324.0,312.0,317.59,56900
69,2019-06-10,310.8,314.75,308.0,312.43,54200
70,2019-06-07,313.93,317.47,310.4094,310.53,40700
71,2019-06-06,309.88,314.14,309.82,311.05,33700
72,2019-06-05,297.58,312.0,296.82,308.79,83300
73,2019-06-04,299.0,300.005,291.23,295.99,85500
74,2019-06-03,301.9,304.01,294.13,298.46,75500
75,2019-05-31,309.62,309.62,300.303,302.01,61400
76,2019-05-30,305.99,312.86,301.5,311.73,63800
77,2019-05-29,305.0,308.265,297.921,306.2,59300
78,2019-05-28,307.04,314.0,304.0221,305.66,89400
79,2019-05-24,306.36,311.185,303.46,307.34,66400
80,2019-05-23,317.9,319.03,301.35,304.4,123000
81,2019-05-22,311.79,320.18,306.13,318.73,79300
82,2019-05-21,315.5,323.38,308.59,310.55,122200
83,2019-05-20,312.0,314.68,294.8,313.89,176900
84,2019-05-17,321.69,338.0,310.01,313.05,230300
85,2019-05-16,325.51,350.75,316.8,324.94,200400
86,2019-05-15,363.0,363.0,310.21,326.22,248900
87,2019-05-14,402.18,413.387,363.95,364.5,210700
88,2019-05-13,382.2363,404.25,377.25,399.86,103600
89,2019-05-10,369.88,390.857,369.88,386.81,112000
90,2019-05-09,358.28,371.45,352.35,369.53,83100
91,2019-05-08,331.11,367.22,328.21,358.65,114000
92,2019-05-07,337.26,346.313,323.89,339.59,108400
93,2019-05-06,329.13,339.87,321.3,339.29,49500
94,2019-05-03,330.0,336.71,327.72,333.9,73600
95,2019-05-02,328.53,334.59,322.07,328.5,44100
96,2019-05-01,325.53,331.61,320.725,328.21,70100
97,2019-04-30,328.29,329.63,321.9,325.03,62100
98,2019-04-29,330.33,339.45,327.6,328.0,42600
99,2019-04-26,334.0,342.95,328.85,331.57,56500
100,2019-04-25,320.1699,334.69,319.45,332.5,50500
101,2019-04-24,309.31,324.9,306.39,320.4,54000
102,2019-04-23,304.6794,310.0,303.0,309.39,40100
103,2019-04-22,302.15,308.239,301.78,303.98,49300
104,2019-04-18,295.03,302.71,293.2,302.09,34500
105,2019-04-17,296.25,297.6,289.0,294.73,39600
106,2019-04-16,299.32,302.0,293.34,295.67,39300
107,2019-04-15,290.5053,299.01,290.51,298.15,34300
108,2019-04-12,294.71,296.0086,290.0,290.51,37800
109,2019-04-11,295.4,297.02,292.42,293.66,36100
110,2019-04-10,291.17,298.9869,290.177,294.7,60000
111,2019-04-09,290.55,294.012,289.99,291.62,50400
112,2019-04-08,295.84,297.1,290.1,291.22,47800
113,2019-04-05,292.5,299.88,292.0,296.8,66100
114,2019-04-04,289.29,294.6925,287.2,294.67,43100
115,2019-04-03,283.56,292.89,283.5757,285.79,52400
116,2019-04-02,279.72,283.66,273.815,283.66,42600
117,2019-04-01,289.34,289.92,278.065,280.8,65400
118,2019-03-29,284.91,293.07,284.68,287.83,46200
119,2019-03-28,276.83,286.92,274.25,283.97,42200
120,2019-03-27,280.0,280.0,270.111,277.66,62700
121,2019-03-26,264.9876,282.38,260.01,281.01,60900
122,2019-03-25,259.27,264.155,256.585,262.97,21700
123,2019-03-22,260.07,263.0,257.47,259.25,26000
124,2019-03-21,258.31,266.542,258.25,260.65,32900
125,2019-03-20,258.72,262.2933,258.59,258.59,30300
126,2019-03-19,259.79,261.5,255.53,258.96,32400
127,2019-03-18,258.22,261.7,255.23,258.54,32500
128,2019-03-15,256.36,259.71,254.41,257.75,45600
129,2019-03-14,258.44,258.638,255.21,256.24,17600
130,2019-03-13,254.61,259.72,254.61,258.02,22900
131,2019-03-12,256.11,259.06,254.54,254.91,32900
132,2019-03-11,247.22,256.66,247.22,256.01,33800
133,2019-03-08,246.83,249.7453,240.0,248.6,18800
134,2019-03-07,250.5,253.241,247.98,247.98,17100
135,2019-03-06,249.3,252.5665,244.7,250.51,48600
136,2019-03-05,243.91,250.9,236.1742,248.42,44900
137,2019-03-04,249.99,252.73,243.712,244.85,47700
138,2019-03-01,247.02,251.94,239.596,248.2,55900
139,2019-02-28,230.35,250.46,229.5,247.86,51900
140,2019-02-27,214.84,230.34,211.268,229.16,66400
141,2019-02-26,218.0,219.065,210.0,211.96,47000
142,2019-02-25,226.9878,227.8,218.31,218.8,34500
143,2019-02-22,226.72,230.0,226.0116,226.84,34100
144,2019-02-21,224.11,227.8,223.1,226.78,18700
145,2019-02-20,224.6973,228.0,224.17,225.14,21000
146,2019-02-19,225.0428,227.66,223.558,224.0,26200
147,2019-02-15,227.19,229.5,225.18,225.18,39100
148,2019-02-14,224.35,226.9,221.621,226.48,21300
149,2019-02-13,225.0,227.0,224.02,225.93,14100
150,2019-02-12,225.0,226.583,222.0,224.88,21600
151,2019-02-11,220.81,224.61,220.81,224.61,28000
152,2019-02-08,219.13,222.006,218.0,220.77,13400
153,2019-02-07,217.17,222.23,217.17,220.5,32100
154,2019-02-06,217.27,218.7,215.49,218.0,11000
155,2019-02-05,219.7,220.73,215.25,217.13,15200
156,2019-02-04,216.55,220.61,215.645,220.0,39700
157,2019-02-01,216.65,217.0,212.67,216.99,14500
158,2019-01-31,211.43,215.8529,207.581,215.8,19600
159,2019-01-30,210.0,213.625,209.06,211.75,13800
160,2019-01-29,211.67,211.98,209.27,210.45,14200
161,2019-01-28,212.0,213.1588,203.813,211.36,17300
162,2019-01-25,213.21,217.95,211.197,211.62,26600
163,2019-01-24,212.08,216.64,210.855,213.76,17300
164,2019-01-23,207.6153,214.43,205.755,213.81,20900
165,2019-01-22,208.0,209.5,204.264,208.11,22300
166,2019-01-18,204.76,209.88,200.758,207.45,18200
167,2019-01-17,199.59,205.24,198.4863,205.24,38600
168,2019-01-16,201.51,203.1,197.92,199.11,28400
169,2019-01-15,201.16,203.58,200.117,201.34,26800
170,2019-01-14,207.3,207.3,199.0,200.66,47900
171,2019-01-11,199.6,208.66,198.8355,208.66,31100
172,2019-01-10,194.26,203.23,193.435,199.61,55100
173,2019-01-09,192.16,196.441,192.08,193.32,41500
174,2019-01-08,187.33,194.23,186.191,191.47,27200
175,2019-01-07,182.2,188.39,180.03,185.47,34500
176,2019-01-04,178.84,183.965,178.164,181.89,29100
177,2019-01-03,180.1,203.59,177.45,177.89,27200
178,2019-01-02,175.84,181.0,172.5,180.11,39900
179,2018-12-31,179.69,180.945,173.76,177.38,28800
180,2018-12-28,177.14,183.175,176.1,179.55,31800
181,2018-12-27,174.27,178.334,173.24,176.59,18600
182,2018-12-26,169.35,176.686,166.667,175.83,45400
183,2018-12-24,176.52,176.96,172.31,172.31,21500
184,2018-12-21,187.36,196.26,177.8,180.39,183300
185,2018-12-20,188.66,190.83,185.0,188.81,30200
186,2018-12-19,199.5,199.5,187.1462,189.44,34800
187,2018-12-18,203.16,204.41,198.01,199.3,28500
188,2018-12-17,209.3906,209.38,201.876,202.1,26600
189,2018-12-14,214.14,216.63,208.04,210.15,23700
190,2018-12-13,216.62,217.76,212.41,214.99,30600
191,2018-12-12,213.94,218.35,213.94,216.38,28200
192,2018-12-11,220.0099,220.0,213.11,213.12,37800
