,timestamp,open,high,low,close,volume
0,2019-09-16,8.25,8.287,8.2154,8.28,24530
1,2019-09-13,8.19,8.3,8.19,8.25,94300
2,2019-09-12,8.19,8.2,8.06,8.19,85400
3,2019-09-11,8.05,8.19,8.02,8.19,117400
4,2019-09-10,7.89,8.02,7.89,8.02,108800
5,2019-09-09,7.77,7.89,7.77,7.89,128200
6,2019-09-06,7.62,7.76,7.6,7.76,67500
7,2019-09-05,7.67,7.72,7.57,7.62,133000
8,2019-09-04,7.82,7.88,7.65,7.65,100700
9,2019-09-03,7.6,7.82,7.58,7.82,95900
10,2019-08-30,7.45,7.67,7.44,7.66,119200
11,2019-08-29,7.45,7.54,7.34,7.41,106000
12,2019-08-28,7.6,7.63,7.38,7.45,239500
13,2019-08-27,7.67,7.742,7.63,7.63,124700
14,2019-08-26,7.61,7.83,7.6,7.64,164600
15,2019-08-23,7.52,7.75,7.502,7.58,204200
16,2019-08-22,8.0,8.0,7.56,7.56,299200
17,2019-08-21,8.21,8.226,7.85,8.02,334800
18,2019-08-20,8.4,8.47,8.3,8.3,260800
19,2019-08-19,8.24,8.47,8.24,8.4,201400
20,2019-08-16,8.1,8.259,8.08,8.2,115700
21,2019-08-15,8.09,8.23,8.05,8.05,142600
22,2019-08-14,8.068,8.15,8.03,8.05,131800
23,2019-08-13,8.01,8.23,8.0,8.06,207700
24,2019-08-12,8.11,8.16,7.99,8.01,189900
25,2019-08-09,8.27,8.45,8.14,8.14,129900
26,2019-08-08,8.31,8.42,8.1399,8.28,190700
27,2019-08-07,8.27,8.27,8.01,8.12,306400
28,2019-08-06,9.63,9.63,8.1,8.11,708100
29,2019-08-05,9.5,9.5,9.27,9.32,144600
30,2019-08-02,9.53,9.75,9.47,9.56,90700
31,2019-08-01,9.6,9.6998,9.53,9.53,65700
32,2019-07-31,9.49,9.67,9.49,9.58,66700
33,2019-07-30,9.57,9.57,9.41,9.53,122700
34,2019-07-29,9.52,9.58,9.46,9.54,147200
35,2019-07-26,9.63,9.65,9.22,9.5,199400
36,2019-07-25,9.82,9.85,9.57,9.6,98700
37,2019-07-24,9.68,9.86,9.64,9.83,76100
38,2019-07-23,9.71,9.76,9.48,9.73,115700
39,2019-07-22,9.8,9.81,9.71,9.73,99600
40,2019-07-19,9.86,9.873,9.816,9.83,106800
41,2019-07-18,9.87,9.9,9.76,9.82,64900
42,2019-07-17,9.91,9.939,9.84,9.87,123500
43,2019-07-16,9.98,9.99,9.93,9.94,130500
44,2019-07-15,9.91,9.95,9.83,9.93,120700
45,2019-07-12,9.76,9.8801,9.76,9.88,75800
46,2019-07-11,9.8,9.85,9.72,9.75,101600
47,2019-07-10,9.71,9.76,9.65,9.76,107100
48,2019-07-09,9.7,9.745,9.61,9.7,58200
49,2019-07-08,9.66,9.7,9.58,9.7,124200
50,2019-07-05,9.51,9.67,9.47,9.66,106500
51,2019-07-03,9.59,9.5996,9.437,9.46,81200
52,2019-07-02,9.59,9.66,9.49,9.6,157300
53,2019-07-01,9.5,9.63,9.46,9.49,136400
54,2019-06-28,9.3205,9.48,9.27,9.45,109200
55,2019-06-27,9.3005,9.36,9.151,9.3,64500
56,2019-06-26,9.26,9.37,9.19,9.32,61600
57,2019-06-25,9.18,9.26,9.15,9.21,68500
58,2019-06-24,9.2,9.26,9.1,9.19,78300
59,2019-06-21,9.26,9.28,9.1104,9.17,91000
60,2019-06-20,9.41,9.4291,9.07,9.24,167000
61,2019-06-19,9.65,9.665,9.42,9.42,199200
62,2019-06-18,9.51,9.6901,9.5,9.67,295200
63,2019-06-17,9.36,9.51,9.343,9.51,198000
64,2019-06-14,9.25,9.36,9.194,9.3,189100
65,2019-06-13,9.19,9.22,9.16,9.22,117300
66,2019-06-12,9.1,9.18,9.08,9.16,131400
67,2019-06-11,9.1,9.14,9.05,9.1,78400
68,2019-06-10,8.99,9.1,8.971,9.05,112100
69,2019-06-07,8.9306,8.97,8.86,8.96,84500
70,2019-06-06,8.66,8.94,8.66,8.91,103300
71,2019-06-05,8.5405,8.85,8.54,8.66,82600
72,2019-06-04,8.6,8.64,8.46,8.56,108100
73,2019-06-03,8.51,8.6,8.51,8.55,66600
74,2019-05-31,8.81,8.81,8.51,8.51,189600
75,2019-05-30,8.95,8.977,8.81,8.81,106000
76,2019-05-29,9.02,9.05,8.86,8.87,68300
77,2019-05-28,8.99,9.1,8.99,9.05,90300
78,2019-05-24,9.02,9.03,8.84,8.88,67900
79,2019-05-23,8.92,9.05,8.91,9.01,52900
80,2019-05-22,9.04,9.0994,9.0,9.05,135300
81,2019-05-21,8.94,9.21,8.9404,9.175,216900
82,2019-05-20,8.98,9.0,8.92,8.92,63600
83,2019-05-17,8.86,8.98,8.86,8.97,97200
84,2019-05-16,8.77,8.97,8.77,8.92,158300
85,2019-05-15,8.95,8.96,8.86,8.92,168600
86,2019-05-14,8.96,8.9996,8.91,8.94,74900
87,2019-05-13,8.96,8.99,8.8,8.93,83000
88,2019-05-10,8.95,8.99,8.896,8.99,125600
89,2019-05-09,8.91,8.9503,8.8,8.94,90900
90,2019-05-08,8.87,8.91,8.8047,8.9,54900
91,2019-05-07,8.82,8.9,8.79,8.85,109800
92,2019-05-06,8.73,8.8279,8.7,8.78,62300
93,2019-05-03,8.69,8.78,8.6504,8.7,74800
94,2019-05-02,8.69,8.73,8.65,8.68,69500
95,2019-05-01,8.69,8.69,8.61,8.65,38900
96,2019-04-30,8.63,8.67,8.61,8.67,93900
97,2019-04-29,8.6,8.67,8.59,8.61,69500
98,2019-04-26,8.4999,8.6,8.46,8.59,59200
99,2019-04-25,8.5,8.548,8.46,8.505,45500
100,2019-04-24,8.73,8.73,8.43,8.59,96000
101,2019-04-23,8.75,8.75,8.63,8.71,69000
102,2019-04-22,8.73,8.78,8.663,8.74,69700
103,2019-04-18,8.7,8.72,8.6,8.69,47000
104,2019-04-17,8.7,8.8307,8.65,8.78,151800
105,2019-04-16,8.65,8.74,8.57,8.7,119200
106,2019-04-15,8.55,8.5902,8.52,8.59,86800
107,2019-04-12,8.52,8.53,8.42,8.5,76200
108,2019-04-11,8.5,8.545,8.46,8.46,105700
109,2019-04-10,8.47,8.48,8.37,8.48,101500
110,2019-04-09,8.4,8.4,8.31,8.4,79400
111,2019-04-08,8.29,8.383,8.26,8.37,106700
112,2019-04-05,8.2,8.26,8.18,8.26,59700
113,2019-04-04,8.15,8.28,8.15,8.23,53500
114,2019-04-03,8.08,8.211,8.079,8.11,65300
115,2019-04-02,8.01,8.15,8.01,8.08,73200
116,2019-04-01,8.1,8.1,7.97,8.01,56100
117,2019-03-29,8.0595,8.06,7.96,7.96,56900
118,2019-03-28,7.94,8.04,7.93,7.99,44700
119,2019-03-27,8.0,8.0,7.9101,7.93,84000
120,2019-03-26,7.99,8.015,7.9,7.97,67400
121,2019-03-25,7.96,8.095,7.95,7.97,58800
122,2019-03-22,8.12,8.143,7.96,8.0,67600
123,2019-03-21,8.1,8.195,8.1,8.12,54000
124,2019-03-20,8.2,8.2,8.03,8.12,80700
125,2019-03-19,8.2,8.28,8.169,8.28,139100
126,2019-03-18,7.97,8.15,7.93,8.15,130000
127,2019-03-15,7.95,7.98,7.86,7.94,130600
128,2019-03-14,7.94,7.94,7.8202,7.91,83100
129,2019-03-13,7.87,7.87,7.81,7.83,93100
130,2019-03-12,7.79,7.838,7.78,7.81,75900
131,2019-03-11,7.8,7.85,7.755,7.79,101300
132,2019-03-08,7.68,7.76,7.63,7.72,117700
133,2019-03-07,7.65,7.71,7.63,7.68,72600
134,2019-03-06,7.69,7.74,7.6501,7.71,50200
135,2019-03-05,8.0,8.0,7.46,7.73,254900
136,2019-03-04,8.22,8.43,8.15,8.31,80700
137,2019-03-01,8.36,8.36,8.22,8.3,87300
138,2019-02-28,8.47,8.51,8.36,8.4,78900
139,2019-02-27,8.58,8.6,8.44,8.49,49500
140,2019-02-26,8.56,8.655,8.48,8.6,108600
141,2019-02-25,8.61,8.69,8.51,8.61,119600
142,2019-02-22,8.35,8.62,8.32,8.61,208900
143,2019-02-21,8.35,8.48,8.35,8.45,70600
144,2019-02-20,8.48,8.5,8.31,8.4,57600
145,2019-02-19,8.57,8.57,8.31,8.42,57000
146,2019-02-15,8.59,8.6,8.5,8.595,67500
147,2019-02-14,8.62,8.62,8.53,8.6,40400
148,2019-02-13,8.55,8.66,8.49,8.64,66500
149,2019-02-12,8.46,8.53,8.39,8.5,57700
150,2019-02-11,8.45,8.57,8.44,8.46,62300
151,2019-02-08,8.44,8.5,8.3908,8.49,15100
152,2019-02-07,8.48,8.52,8.33,8.44,62700
153,2019-02-06,8.6,8.66,8.48,8.51,117500
154,2019-02-05,8.67,8.74,8.59,8.6,97300
155,2019-02-04,8.68,8.68,8.47,8.67,80100
156,2019-02-01,8.49,8.584,8.31,8.57,69800
157,2019-01-31,8.3,8.52,8.216,8.49,121600
158,2019-01-30,8.19,8.332,8.13,8.25,76500
159,2019-01-29,8.11,8.2,8.08,8.19,36400
160,2019-01-28,8.05,8.1903,8.03,8.18,57200
161,2019-01-25,8.12,8.15,8.057,8.09,47800
162,2019-01-24,8.12,8.12,8.02,8.08,47000
163,2019-01-23,8.09,8.09,7.98,8.09,34000
164,2019-01-22,8.09,8.12,7.98,8.12,120800
165,2019-01-18,7.8599,8.04,7.86,8.02,83400
166,2019-01-17,7.75,7.86,7.71,7.81,38300
167,2019-01-16,7.73,7.76,7.7,7.75,38700
168,2019-01-15,7.64,7.74,7.55,7.68,117000
169,2019-01-14,7.6399,7.67,7.51,7.59,25900
170,2019-01-11,7.6,7.71,7.6,7.64,20000
171,2019-01-10,7.48,7.71,7.48,7.6,47400
172,2019-01-09,7.54,7.66,7.5,7.5,78200
173,2019-01-08,7.53,7.62,7.39,7.48,45900
174,2019-01-07,7.3997,7.54,7.35,7.52,73000
175,2019-01-04,7.32,7.48,7.262,7.38,89000
176,2019-01-03,7.35,7.355,7.08,7.2,56000
177,2019-01-02,7.13,7.35,6.83,7.35,81800
178,2018-12-31,7.42,7.71,7.16,7.17,171300
179,2018-12-28,7.25,7.645,7.07,7.62,129200
180,2018-12-27,6.89,7.27,6.7598,7.25,83500
181,2018-12-26,6.62,6.9,6.6195,6.86,57800
182,2018-12-24,6.7,6.7802,6.46,6.68,95300
183,2018-12-21,6.86,6.9004,6.69,6.75,79100
184,2018-12-20,7.12,7.14,6.55,6.8,151500
185,2018-12-19,7.06,7.419,7.01,7.16,109600
186,2018-12-18,7.4,7.5,7.1797,7.25,60500
187,2018-12-17,7.7,7.93,7.31,7.4,81700
188,2018-12-14,7.87,7.88,7.56,7.66,94500
189,2018-12-13,7.92,7.96,7.87,7.9,39800
