,timestamp,open,high,low,close,volume
0,2019-09-17,2.12,2.15,2.0788,2.09,21303
1,2019-09-16,2.03,2.15,2.02,2.12,94969
2,2019-09-13,2.01,2.09,1.97,2.07,104500
3,2019-09-12,1.92,2.02,1.92,2.0,38300
4,2019-09-11,1.95,2.04,1.9,1.95,103700
5,2019-09-10,1.89,1.97,1.84,1.96,77000
6,2019-09-09,1.85,1.93,1.82,1.88,77200
7,2019-09-06,1.88,1.93,1.82,1.88,109400
8,2019-09-05,1.93,1.93,1.84,1.88,72800
9,2019-09-04,1.9,1.93,1.88,1.9,84700
10,2019-09-03,1.89,1.93,1.88,1.9,52600
11,2019-08-30,1.89,1.95,1.88,1.92,36400
12,2019-08-29,1.94,2.01,1.88,1.88,51400
13,2019-08-28,1.89,1.97,1.88,1.91,57000
14,2019-08-27,1.89,1.99,1.87,1.89,292700
15,2019-08-26,2.04,2.14,1.91,2.04,81100
16,2019-08-23,2.06,2.09,2.0,2.03,44900
17,2019-08-22,2.04,2.13,2.02,2.09,107300
18,2019-08-21,2.12,2.18,2.01,2.02,126700
19,2019-08-20,2.06,2.15,2.05,2.11,181200
20,2019-08-19,2.03,2.08,1.99,2.06,232600
21,2019-08-16,1.96,2.07,1.91,2.01,139500
22,2019-08-15,1.86,1.96,1.82,1.96,165700
23,2019-08-14,1.9,1.93,1.8,1.86,94900
24,2019-08-13,1.83,1.98,1.83,1.94,178800
25,2019-08-12,1.81,1.893,1.74,1.85,99800
26,2019-08-09,1.76,1.85,1.71,1.82,188800
27,2019-08-08,1.81,1.948,1.75,1.77,223400
28,2019-08-07,2.25,2.25,1.75,1.81,604500
29,2019-08-06,2.29,2.39,2.18,2.32,143500
30,2019-08-05,2.33,2.4,2.22,2.3,138900
31,2019-08-02,2.31,2.4202,2.29,2.35,93300
32,2019-08-01,2.27,2.49,2.27,2.3,395400
33,2019-07-31,2.25,2.45,2.21,2.27,225400
34,2019-07-30,2.21,2.3,2.21,2.21,155800
35,2019-07-29,2.3,2.35,2.15,2.19,165900
36,2019-07-26,2.29,2.38,2.25,2.34,92100
37,2019-07-25,2.39,2.39,2.26,2.3,110800
38,2019-07-24,2.4,2.46,2.35,2.4,144000
39,2019-07-23,2.52,2.67,2.4,2.43,243900
40,2019-07-22,2.34,2.5,2.25,2.5,329900
41,2019-07-19,2.26,2.3098,2.15,2.3,292300
42,2019-07-18,2.38,2.45,2.1,2.26,615500
43,2019-07-17,2.8,2.9,2.35,2.36,942400
44,2019-07-16,2.5,2.85,2.41,2.83,1184700
45,2019-07-15,2.22,2.47,2.21,2.46,310300
46,2019-07-12,2.24,2.3,2.15,2.25,255500
47,2019-07-11,2.03,2.3,2.02,2.24,556700
48,2019-07-10,1.88,2.04,1.88,2.04,232200
49,2019-07-09,1.82,1.9,1.78,1.86,120400
50,2019-07-08,1.8,1.84,1.8,1.83,73200
51,2019-07-05,1.73,1.825,1.73,1.79,63400
52,2019-07-03,1.77,1.83,1.7,1.74,75400
53,2019-07-02,1.82,1.83,1.7,1.79,75400
54,2019-07-01,1.8702,1.87,1.81,1.83,58700
55,2019-06-28,1.85,1.891,1.76,1.86,203400
56,2019-06-27,1.76,1.85,1.76,1.83,112100
57,2019-06-26,1.72,1.83,1.72,1.78,150200
58,2019-06-25,1.67,1.72,1.63,1.7,108600
59,2019-06-24,1.61,1.71,1.59,1.63,105500
60,2019-06-21,1.68,1.69,1.57,1.63,176300
61,2019-06-20,1.62,1.7,1.55,1.66,194600
62,2019-06-19,1.57,1.685,1.57,1.61,166900
63,2019-06-18,1.53,1.57,1.5,1.57,83900
64,2019-06-17,1.47,1.56,1.44,1.5,85400
65,2019-06-14,1.43,1.57,1.43,1.46,130700
66,2019-06-13,1.4,1.47,1.37,1.43,70300
67,2019-06-12,1.39,1.43,1.307,1.4,186200
68,2019-06-11,1.45,1.45,1.31,1.41,116300
69,2019-06-10,1.45,1.49,1.426,1.45,45700
70,2019-06-07,1.43,1.5,1.387,1.43,24000
71,2019-06-06,1.5,1.5,1.3701,1.44,66000
72,2019-06-05,1.43,1.51,1.428,1.5,64700
73,2019-06-04,1.44,1.47,1.339,1.43,32900
74,2019-06-03,1.39,1.47,1.38,1.43,45100
75,2019-05-31,1.45,1.45,1.32,1.4,62400
76,2019-05-30,1.39,1.51,1.39,1.48,89300
77,2019-05-29,1.35,1.4,1.35,1.39,72000
78,2019-05-28,1.5,1.523,1.35,1.36,239900
79,2019-05-24,1.53,1.53,1.46,1.48,55200
80,2019-05-23,1.5299,1.55,1.42,1.54,119900
81,2019-05-22,1.53,1.59,1.509,1.57,107000
82,2019-05-21,1.53,1.567,1.44,1.55,189200
83,2019-05-20,1.63,1.65,1.5,1.52,244200
