,timestamp,open,high,low,close,volume
0,2019-01-04,12.44,12.44,12.44,12.44,0
1,2019-01-03,12.42,12.47,12.35,12.44,159063
2,2019-01-02,12.36,12.46,12.335,12.44,668168
3,2018-12-31,12.36,12.38,12.31,12.38,221542
4,2018-12-28,12.38,12.47,12.3,12.31,452197
5,2018-12-27,12.34,12.38,12.34,12.38,487346
6,2018-12-26,12.35,12.39,12.34,12.34,552208
7,2018-12-24,12.33,12.37,12.32,12.34,157149
8,2018-12-21,12.42,12.42,12.28,12.34,615939
9,2018-12-20,12.4,12.44,12.36,12.37,311893
10,2018-12-19,12.4,12.45,12.36,12.39,265325
11,2018-12-18,12.34,12.43,12.28,12.38,117074
12,2018-12-17,12.44,12.46,12.3,12.34,306057
13,2018-12-14,12.47,12.49,12.41,12.44,358508
14,2018-12-13,12.49,12.49,12.46,12.49,224659
15,2018-12-12,12.48,12.5,12.46,12.48,103739
16,2018-12-11,12.52,12.52,12.46,12.47,318079
17,2018-12-10,12.49,12.52,12.46,12.5,39029
18,2018-12-07,12.54,12.55,12.45,12.47,77610
19,2018-12-06,12.46,12.55,12.44,12.53,91894
20,2018-12-04,12.47,12.5,12.45,12.46,68684
21,2018-12-03,12.54,12.54,12.45,12.46,136302
22,2018-11-30,12.51,12.52,12.46,12.52,230058
23,2018-11-29,12.61,12.64,12.46,12.49,48374
24,2018-11-28,12.59,12.62,12.51,12.62,89274
25,2018-11-27,12.59,12.7,12.46,12.5,61682
26,2018-11-26,12.6,12.7,12.51,12.6,67253
27,2018-11-23,12.56,12.75,12.56,12.6,97429
28,2018-11-21,12.46,12.61,12.43,12.59,62403
29,2018-11-20,12.46,12.5,12.43,12.47,99991
30,2018-11-19,12.49,12.5,12.45,12.46,78644
31,2018-11-16,12.47,12.52,12.46,12.49,101036
32,2018-11-15,12.48,12.49,12.46,12.49,143934
33,2018-11-14,12.47,12.53,12.46,12.48,170911
34,2018-11-13,12.47,12.655,12.43,12.47,181478
35,2018-11-12,12.44,12.475,12.43,12.47,192633
36,2018-11-09,12.46,12.48,12.43,12.46,206576
37,2018-11-08,12.45,12.475,12.45,12.47,296146
38,2018-11-07,12.42,12.47,12.42,12.46,540558
39,2018-11-06,12.45,12.49,12.41,12.41,5353104
40,2018-11-05,9.36,9.45,9.3,9.43,64259
41,2018-11-02,9.23,9.39,9.03,9.28,39090
42,2018-11-01,9.34,9.45,9.15,9.15,40837
43,2018-10-31,9.45,9.45,8.94,9.32,54347
44,2018-10-30,9.15,9.45,9.15,9.44,103589
45,2018-10-29,9.11,9.17,8.86,9.11,34139
46,2018-10-26,8.87,9.15,8.78,9.0,35738
47,2018-10-25,8.63,9.82,8.5,8.98,280639
48,2018-10-24,8.75,9.1,8.5,8.54,29818
49,2018-10-23,8.79,8.9,8.75,8.79,30003
50,2018-10-22,8.99,9.0,8.71,8.88,15055
51,2018-10-19,8.85,9.22,8.7,8.91,33863
52,2018-10-18,8.94,9.1,8.585,8.95,46439
