,timestamp,open,high,low,close,volume
0,2019-09-17,1.68,1.8,1.68,1.68,14549
1,2019-09-16,1.68,1.7593,1.68,1.7,15606
2,2019-09-13,1.69,1.7,1.68,1.68,10500
3,2019-09-12,1.75,1.8,1.67,1.69,49800
4,2019-09-11,1.61,1.65,1.58,1.64,17400
5,2019-09-10,1.74,1.74,1.55,1.55,30400
6,2019-09-09,1.87,1.87,1.55,1.77,25300
7,2019-09-06,1.54,1.85,1.51,1.85,13700
8,2019-09-05,1.68,1.79,1.5,1.59,21500
9,2019-09-04,1.59,1.72,1.57,1.57,29800
10,2019-09-03,1.68,1.77,1.6,1.67,105800
11,2019-08-30,1.6,1.7,1.53,1.6,36400
12,2019-08-29,1.45,1.6,1.45,1.57,5600
13,2019-08-28,1.54,1.54,1.46,1.54,51600
14,2019-08-27,1.45,1.54,1.45,1.54,19200
15,2019-08-26,1.46,1.53,1.43,1.51,10200
16,2019-08-23,1.41,1.54,1.4,1.54,50900
17,2019-08-22,1.42,1.53,1.36,1.49,28300
18,2019-08-21,1.48,1.57,1.4,1.4,41200
19,2019-08-20,1.49,1.53,1.43,1.45,21800
20,2019-08-19,1.47,1.5,1.33,1.49,49900
21,2019-08-16,1.45,1.49,1.3,1.47,35300
22,2019-08-15,1.47,1.47,1.3001,1.41,108300
23,2019-08-14,1.56,1.56,1.36,1.38,63900
24,2019-08-13,1.56,1.64,1.56,1.6,13800
25,2019-08-12,1.55,1.71,1.55,1.64,9100
26,2019-08-09,1.557,1.73,1.5,1.57,24200
27,2019-08-08,1.57,1.72,1.53,1.55,24700
28,2019-08-07,1.5002,1.58,1.5,1.526,4000
29,2019-08-06,1.51,1.59,1.5,1.56,10400
30,2019-08-05,1.62,1.62,1.5,1.53,36800
31,2019-08-02,1.52,1.63,1.52,1.63,10700
32,2019-08-01,1.58,1.61,1.52,1.53,11300
33,2019-07-31,1.58,1.62,1.52,1.6,27000
34,2019-07-30,1.59,1.64,1.57,1.59,4700
35,2019-07-29,1.6899,1.69,1.57,1.57,35900
36,2019-07-26,1.72,1.72,1.68,1.71,600
37,2019-07-25,1.64,1.74,1.62,1.62,10900
38,2019-07-24,1.59,1.65,1.57,1.61,13100
39,2019-07-23,1.67,1.67,1.62,1.63,6900
40,2019-07-22,1.59,1.7,1.59,1.7,3800
41,2019-07-19,1.64,1.69,1.64,1.69,800
42,2019-07-18,1.63,1.72,1.62,1.67,2700
43,2019-07-17,1.59,1.6499,1.52,1.62,19500
44,2019-07-16,1.62,1.63,1.5701,1.6,11500
45,2019-07-15,1.66,1.66,1.64,1.64,1400
46,2019-07-12,1.65,1.65,1.64,1.65,2800
47,2019-07-11,1.65,1.69,1.62,1.62,14000
48,2019-07-10,1.65,1.7,1.62,1.7,2900
49,2019-07-09,1.62,1.69,1.6,1.69,23900
50,2019-07-08,1.76,1.78,1.65,1.68,24800
51,2019-07-05,1.69,1.74,1.69,1.74,3300
52,2019-07-03,1.66,1.741,1.66,1.741,9600
53,2019-07-02,1.735,1.78,1.68,1.762,2600
54,2019-07-01,1.74,1.7899,1.74,1.79,9500
55,2019-06-28,1.68,1.78,1.68,1.73,22800
56,2019-06-27,1.6,1.749,1.52,1.66,29200
57,2019-06-26,1.76,1.7599,1.53,1.6,19300
58,2019-06-25,1.63,1.63,1.54,1.62,7600
59,2019-06-24,1.5999,1.65,1.58,1.65,9500
60,2019-06-21,1.62,1.732,1.57,1.57,2900
61,2019-06-20,1.6609,1.707,1.62,1.62,12700
62,2019-06-19,1.62,1.67,1.56,1.67,47900
63,2019-06-18,1.65,1.65,1.61,1.63,34000
