,timestamp,open,high,low,close,volume
0,2019-09-17,0.6718,0.7174,0.655,0.683,103623
1,2019-09-16,0.75,0.7716,0.7263,0.7694,72885
2,2019-09-13,0.74,0.75,0.69,0.71,78500
3,2019-09-12,0.92,0.92,0.72,0.72,206300
4,2019-09-11,0.75,0.93,0.71,0.9,348300
5,2019-09-10,0.62,0.75,0.62,0.75,398700
6,2019-09-09,0.7,0.7,0.62,0.63,128100
7,2019-09-06,0.63,0.69,0.62,0.67,144800
8,2019-09-05,0.62,0.66,0.62,0.65,35100
9,2019-09-04,0.7,0.7,0.61,0.66,264800
10,2019-09-03,0.68,0.7,0.67,0.69,18400
11,2019-08-30,0.7,0.7,0.66,0.67,18200
12,2019-08-29,0.67,0.7,0.65,0.68,26200
13,2019-08-28,0.67,0.7,0.64,0.67,26200
14,2019-08-27,0.71,0.74,0.66,0.66,67700
15,2019-08-26,0.7,0.76,0.67,0.7,47400
16,2019-08-23,0.75,0.75,0.7,0.74,71400
17,2019-08-22,0.74,0.79,0.65,0.76,380500
18,2019-08-21,0.7,0.75,0.7,0.72,147600
19,2019-08-20,0.72,0.75,0.68,0.75,180600
20,2019-08-19,0.81,0.84,0.65,0.74,653500
21,2019-08-16,0.77,1.02,0.77,0.8,1569700
22,2019-08-15,0.65,0.95,0.61,0.75,2378200
23,2019-08-14,0.62,0.69,0.555,0.579,379900
24,2019-08-13,0.67,0.7,0.6,0.61,135500
25,2019-08-12,0.7,0.7,0.63,0.65,99000
26,2019-08-09,0.69,0.734,0.621,0.68,480200
27,2019-08-08,0.693,0.717,0.675,0.675,42500
28,2019-08-07,0.701,0.73,0.65,0.686,274900
29,2019-08-06,0.76,0.76,0.68,0.73,392300
30,2019-08-05,0.8,0.8,0.73,0.76,243500
31,2019-08-02,0.82,0.85,0.76,0.77,106300
32,2019-08-01,0.8,0.88,0.8,0.81,5200
33,2019-07-31,0.9,0.9,0.83,0.83,29700
34,2019-07-30,0.9,0.9,0.84,0.86,5000
35,2019-07-29,0.87,0.88,0.84,0.84,47500
36,2019-07-26,0.87,0.9,0.87,0.88,39400
37,2019-07-25,0.95,0.95,0.87,0.87,84700
38,2019-07-24,0.98,0.99,0.95,0.96,24100
39,2019-07-23,0.96,1.05,0.96,0.99,35100
40,2019-07-22,1.0,1.0,0.97,0.98,6700
41,2019-07-19,1.02,1.02,0.99,0.99,24300
