,timestamp,open,high,low,close,volume
0,2019-09-17,109.74,111.095,109.255,111.04,859636
1,2019-09-16,112.1,112.1,109.51,109.56,1573888
2,2019-09-13,111.89,113.12,111.51,112.86,1789100
3,2019-09-12,111.83,112.91,111.01,111.94,1549900
4,2019-09-11,111.02,112.65,110.42,111.36,3242900
5,2019-09-10,108.55,110.02,106.81,109.93,1826200
6,2019-09-09,109.87,110.72,107.71,108.9,2687100
7,2019-09-06,107.68,109.72,107.17,109.62,2531200
8,2019-09-05,106.43,108.29,106.19,107.63,2448500
9,2019-09-04,102.86,105.18,102.51,105.0,2570500
10,2019-09-03,101.19,102.15,99.88,101.99,2110800
11,2019-08-30,98.25,101.93,97.91,101.53,3975300
12,2019-08-29,102.5,104.24,96.68,97.67,6131300
13,2019-08-28,96.45,99.87,96.28,99.6,2971900
14,2019-08-27,96.37,97.97,95.88,96.75,2292700
15,2019-08-26,96.35,96.59,94.52,95.87,2596000
16,2019-08-23,96.92,98.09,94.83,95.16,2533300
17,2019-08-22,96.03,97.43,95.95,97.21,1355000
18,2019-08-21,95.84,96.23,94.88,96.08,1556700
19,2019-08-20,95.81,95.99,93.49,93.63,1512300
20,2019-08-19,95.17,96.4,94.64,96.2,2303800
21,2019-08-16,93.89,94.55,93.4,93.71,1504700
22,2019-08-15,93.72,94.92,92.3409,93.14,1563600
23,2019-08-14,92.3,94.08,92.13,93.17,2455100
24,2019-08-13,91.09,98.41,90.41,94.6,4286200
25,2019-08-12,89.92,91.34,89.41,91.0,2276700
26,2019-08-09,92.86,92.86,89.9,90.09,2153000
27,2019-08-08,92.26,93.18,91.615,92.92,1858400
28,2019-08-07,92.12,93.36,91.25,92.38,2237500
29,2019-08-06,92.89,93.66,91.74,92.72,2840600
30,2019-08-05,94.6,94.78,91.88,92.86,4313300
31,2019-08-02,97.43,98.93,96.33,96.87,2424500
32,2019-08-01,101.45,103.83,94.7,97.69,4272200
33,2019-07-31,101.5,102.94,100.0412,101.75,2641100
34,2019-07-30,103.47,103.86,101.19,101.49,1806200
35,2019-07-29,106.01,106.22,103.5365,103.84,1714200
36,2019-07-26,106.55,106.55,105.85,106.1,1504700
37,2019-07-25,106.18,106.85,105.53,106.55,1232300
38,2019-07-24,105.32,106.7,104.76,106.24,1192500
39,2019-07-23,107.6,107.77,104.32,105.49,2187500
40,2019-07-22,108.09,108.35,107.0,107.55,1348000
41,2019-07-19,110.5,110.5024,108.15,108.2,1245700
42,2019-07-18,111.94,111.98,109.52,110.12,1473800
43,2019-07-17,112.44,112.67,111.54,112.25,1262900
44,2019-07-16,111.84,112.44,111.4722,112.32,1210600
45,2019-07-15,112.47,112.87,111.5,111.75,1194900
46,2019-07-12,111.14,112.47,110.65,112.43,1209300
47,2019-07-11,112.12,112.49,110.67,110.97,1407200
48,2019-07-10,111.62,112.18,111.23,111.69,1468900
49,2019-07-09,109.83,111.8,109.27,111.49,2045100
50,2019-07-08,109.32,110.49,109.0,110.26,1642500
51,2019-07-05,108.98,109.94,107.92,109.64,1024100
52,2019-07-03,109.39,110.43,109.02,109.75,1149700
53,2019-07-02,110.09,110.11,107.9191,109.08,1841900
54,2019-07-01,108.79,110.34,108.75,110.09,2107600
55,2019-06-28,107.98,108.565,106.58,107.39,3885900
56,2019-06-27,109.23,109.2374,108.03,108.14,1155900
57,2019-06-26,109.0,110.05,108.33,109.07,1407900
58,2019-06-25,112.61,112.675,108.75,108.95,2392900
59,2019-06-24,112.3,113.375,111.75,112.71,2007800
60,2019-06-21,110.89,112.5,110.46,112.19,3037100
61,2019-06-20,110.5,111.06,109.43,110.79,1678200
62,2019-06-19,109.5,109.72,107.64,109.37,1870000
63,2019-06-18,109.25,110.11,108.67,109.47,1899200
64,2019-06-17,110.43,110.76,107.96,108.13,2148800
65,2019-06-14,108.9774,111.12,108.93,110.31,3320700
66,2019-06-13,108.27,108.73,107.1033,108.66,1672600
67,2019-06-12,106.15,108.1614,106.15,108.05,1778900
68,2019-06-11,108.0,108.3,105.36,106.53,3479300
69,2019-06-10,102.7,104.41,102.36,103.78,2186900
70,2019-06-07,102.58,103.7402,102.15,102.64,1782700
71,2019-06-06,100.18,102.6,100.18,102.22,1619900
72,2019-06-05,100.87,101.4419,99.876,100.29,1806100
73,2019-06-04,101.18,101.92,100.04,100.69,2257000
74,2019-06-03,101.59,102.75,100.24,100.69,2242200
75,2019-05-31,97.57,101.77,97.0,101.59,3477900
76,2019-05-30,96.17,100.82,96.06,98.31,4004200
77,2019-05-29,96.26,96.98,95.11,95.32,3289700
78,2019-05-28,98.42,98.95,96.94,97.27,3131300
79,2019-05-24,98.13,98.77,97.51,98.42,2191300
80,2019-05-23,99.16,99.44,96.69,97.46,2659600
81,2019-05-22,99.89,101.2312,99.55,99.57,1425100
82,2019-05-21,99.65,100.18,97.6,99.77,1961500
83,2019-05-20,99.9,100.42,99.16,100.06,1878200
84,2019-05-17,100.47,101.03,99.4,100.39,1877900
85,2019-05-16,100.51,102.25,100.4,100.89,2052800
86,2019-05-15,98.16,100.42,97.83,100.2,1870600
87,2019-05-14,99.29,99.7829,98.5,98.75,2947800
88,2019-05-13,102.62,102.62,99.01,99.34,2739400
89,2019-05-10,105.42,105.42,102.97,104.02,2163700
90,2019-05-09,105.43,106.43,104.865,105.64,1525200
91,2019-05-08,104.73,106.7099,104.67,106.11,1593000
92,2019-05-07,107.99,108.07,104.42,105.45,2368000
93,2019-05-06,107.68,108.7971,106.24,108.62,1577000
94,2019-05-03,109.7,110.18,108.36,108.82,1529700
95,2019-05-02,109.75,110.2,108.225,109.45,1508000
96,2019-05-01,111.29,111.36,109.64,109.65,1010600
97,2019-04-30,111.4,111.6074,110.62,111.28,1639600
98,2019-04-29,110.16,111.04,109.4586,110.98,1771500
99,2019-04-26,110.42,110.64,109.16,109.94,1438900
100,2019-04-25,110.06,111.53,109.403,110.76,1293000
101,2019-04-24,109.57,110.72,109.35,110.21,1386100
102,2019-04-23,108.21,109.57,107.18,109.3,1895100
103,2019-04-22,108.7,109.28,107.9341,108.2,1603900
104,2019-04-18,108.66,109.05,107.98,108.67,1625500
105,2019-04-17,106.47,108.18,105.86,108.0,1536600
106,2019-04-16,107.05,107.59,105.9,106.31,1212200
107,2019-04-15,104.69,107.0,104.53,106.81,2553600
108,2019-04-12,104.77,105.0,104.11,104.45,1422800
109,2019-04-11,103.56,104.79,103.37,104.65,1393200
110,2019-04-10,102.85,103.75,102.76,103.43,2408800
111,2019-04-09,102.0,103.38,101.49,102.6,2913200
112,2019-04-08,104.42,104.93,102.02,102.44,3993700
113,2019-04-05,105.63,106.9,105.28,105.99,2615000
114,2019-04-04,104.72,105.97,104.095,105.63,1886300
115,2019-04-03,104.1,105.87,103.92,104.71,2025000
116,2019-04-02,103.31,104.31,102.7523,104.11,1824200
117,2019-04-01,105.6,105.648,102.55,103.72,1922400
118,2019-03-29,103.73,105.24,103.27,105.04,1897400
119,2019-03-28,104.28,104.75,103.43,103.47,1332500
120,2019-03-27,102.07,105.15,101.46,104.22,2594700
121,2019-03-26,102.7,102.835,101.43,101.77,1280400
122,2019-03-25,101.4,102.56,101.28,101.96,1801200
123,2019-03-22,101.04,102.15,101.0,101.43,1423200
124,2019-03-21,101.74,102.39,101.3,101.41,1341600
125,2019-03-20,101.31,102.323,101.06,101.35,2119900
126,2019-03-19,101.14,102.23,100.81,101.31,2081100
127,2019-03-18,100.41,101.08,99.77,101.03,1738100
128,2019-03-15,100.52,100.79,99.51,99.86,3500200
129,2019-03-14,101.7516,101.75,99.84,100.65,2565800
130,2019-03-13,102.62,103.22,102.2,102.56,1746500
131,2019-03-12,104.27,104.49,101.96,102.45,1885700
132,2019-03-11,102.19,103.91,101.661,103.84,2199700
133,2019-03-08,102.42,104.19,101.13,102.4,2332400
134,2019-03-07,99.43,103.51,99.04,103.16,5266000
135,2019-03-06,97.66,101.09,95.2,100.35,10496200
136,2019-03-05,96.14,96.14,95.08,95.47,2565600
137,2019-03-04,96.4297,97.05,95.01,95.27,1945100
138,2019-03-01,96.86,97.39,95.95,96.36,2153400
139,2019-02-28,95.55,96.7,95.14,96.33,2551600
140,2019-02-27,96.19,96.6,94.75,95.77,2892500
141,2019-02-26,97.29,97.52,95.8,96.49,2621500
