,timestamp,open,high,low,close,volume
0,2019-09-17,4.7,4.72,4.16,4.44,709252
1,2019-09-16,5.54,5.54,4.28,4.57,2899376
2,2019-09-13,6.1,6.15,5.63,5.69,1105600
3,2019-09-12,6.02,6.19,5.94,6.06,609600
4,2019-09-11,5.94,6.131,5.88,6.05,346900
5,2019-09-10,5.72,6.04,5.7,5.92,570100
6,2019-09-09,5.42,5.68,5.38,5.67,242000
7,2019-09-06,5.45,5.59,5.39,5.41,177000
8,2019-09-05,5.33,5.52,5.31,5.43,263500
9,2019-09-04,5.07,5.29,5.008,5.27,224500
10,2019-09-03,4.97,5.08,4.83,5.0,454300
11,2019-08-30,5.1,5.21,4.94,5.04,247700
12,2019-08-29,5.18,5.27,5.04,5.05,204400
13,2019-08-28,5.08,5.22,4.98,5.15,215300
14,2019-08-27,5.01,5.16,4.91,5.11,459500
15,2019-08-26,4.83,5.03,4.72,4.96,298100
16,2019-08-23,5.01,5.01,4.72,4.75,271700
17,2019-08-22,5.02,5.08,4.94,5.01,174100
18,2019-08-21,4.98,5.08,4.79,4.98,207200
19,2019-08-20,4.68,4.92,4.67,4.87,245400
20,2019-08-19,4.59,4.78,4.59,4.66,221500
21,2019-08-16,4.3799,4.59,4.34,4.53,436000
22,2019-08-15,4.37,4.425,4.21,4.33,260300
23,2019-08-14,4.63,4.63,4.34,4.36,331000
24,2019-08-13,4.75,4.9,4.54,4.72,145200
25,2019-08-12,4.76,4.79,4.66,4.73,153900
26,2019-08-09,5.15,5.15,4.75,4.79,190400
27,2019-08-08,4.82,5.14,4.8,5.11,290000
28,2019-08-07,4.6,4.835,4.59,4.81,217800
29,2019-08-06,4.85,5.03,4.57,4.7,326800
30,2019-08-05,4.9,5.01,4.82,4.87,398000
31,2019-08-02,5.29,5.29,4.8,5.07,516900
32,2019-08-01,4.59,5.71,4.13,5.29,618700
33,2019-07-31,4.54,4.91,4.54,4.74,462800
34,2019-07-30,4.44,4.605,4.4,4.56,436100
35,2019-07-29,4.53,4.62,4.44,4.5,308500
36,2019-07-26,4.57,4.635,4.51,4.52,578500
37,2019-07-25,4.65,4.65,4.49,4.49,247400
38,2019-07-24,4.47,4.72,4.47,4.67,311000
39,2019-07-23,4.43,4.5,4.34,4.49,268800
40,2019-07-22,4.27,4.48,4.22,4.44,563300
41,2019-07-19,4.29,4.45,4.1399,4.23,371400
42,2019-07-18,4.48,4.52,4.21,4.29,401400
43,2019-07-17,4.8498,4.88,4.52,4.54,426400
44,2019-07-16,4.84,4.92,4.75,4.86,708500
45,2019-07-15,4.87,4.91,4.84,4.85,257100
46,2019-07-12,4.91,5.0,4.84,4.88,258200
47,2019-07-11,4.9,4.965,4.82,4.89,227600
48,2019-07-10,4.97,5.06,4.84,4.88,239700
49,2019-07-09,4.62,4.985,4.61,4.96,316900
50,2019-07-08,4.87,4.87,4.61,4.63,361400
51,2019-07-05,4.77,4.94,4.77,4.89,250300
52,2019-07-03,4.79,4.85,4.74,4.83,138300
53,2019-07-02,4.76,4.85,4.755,4.82,264900
54,2019-07-01,4.9,5.0,4.76,4.78,373900
55,2019-06-28,4.9,4.94,4.78,4.8,834700
56,2019-06-27,4.84,4.97,4.79,4.83,404400
57,2019-06-26,4.98,5.07,4.81,4.82,300000
58,2019-06-25,4.98,5.13,4.9399,4.95,443800
59,2019-06-24,5.34,5.43,4.95,4.96,619600
60,2019-06-21,5.45,5.499,5.08,5.34,3553700
61,2019-06-20,5.25,5.5647,5.25,5.44,651200
62,2019-06-19,5.39,5.525,5.2,5.22,575400
63,2019-06-18,5.5,5.725,5.38,5.43,803700
64,2019-06-17,4.56,5.78,4.56,5.54,2356800
65,2019-06-14,4.56,4.62,4.48,4.51,256500
66,2019-06-13,4.52,4.64,4.5,4.57,186100
67,2019-06-12,4.56,4.56,4.45,4.49,180000
68,2019-06-11,4.47,4.6,4.42,4.58,365000
69,2019-06-10,4.51,5.038,4.39,4.43,238800
70,2019-06-07,4.32,4.52,4.32,4.48,325700
71,2019-06-06,4.35,4.38,4.25,4.31,383400
72,2019-06-05,4.4,4.43,4.25,4.36,323200
73,2019-06-04,4.34,4.385,4.28,4.37,342400
74,2019-06-03,4.51,4.57,4.3,4.31,515700
75,2019-05-31,4.33,4.46,4.27,4.45,384600
76,2019-05-30,4.42,4.49,4.34,4.39,386100
77,2019-05-29,4.43,4.43,4.223,4.4,546600
78,2019-05-28,4.69,4.74,4.45,4.46,325500
79,2019-05-24,4.75,4.78,4.59,4.69,387800
80,2019-05-23,4.81,4.85,4.7,4.73,406600
81,2019-05-22,4.9,4.94,4.76,4.87,351500
82,2019-05-21,4.83,4.9402,4.83,4.9,252000
83,2019-05-20,4.69,4.815,4.67,4.81,242500
84,2019-05-17,4.81,4.8752,4.72,4.73,560700
85,2019-05-16,4.91,4.99,4.85,4.88,342200
86,2019-05-15,4.92,4.98,4.9,4.95,272900
87,2019-05-14,5.01,5.04,4.93,4.96,478600
88,2019-05-13,5.0,5.1,4.93,5.0,589600
89,2019-05-10,5.12,5.12,5.05,5.11,596400
90,2019-05-09,5.09,5.13,5.0,5.1,484900
91,2019-05-08,5.09,5.1897,5.05,5.15,521200
92,2019-05-07,5.16,5.25,5.03,5.1,554700
93,2019-05-06,4.98,5.26,4.98,5.23,511200
94,2019-05-03,4.95,5.24,4.9,5.1,2176100
95,2019-05-02,5.13,5.23,4.74,4.88,1626000
96,2019-05-01,5.5,5.56,5.18,5.21,857400
97,2019-04-30,5.96,6.125,5.5,5.53,1769700
98,2019-04-29,6.39,6.5,6.24,6.27,559300
99,2019-04-26,6.25,6.42,6.24,6.38,394000
100,2019-04-25,6.18,6.34,6.13,6.26,370100
101,2019-04-24,6.39,6.39,6.19,6.2,259800
102,2019-04-23,6.2,6.42,6.18,6.34,313900
103,2019-04-22,6.27,6.32,6.11,6.16,418600
104,2019-04-18,6.24,6.36,6.12,6.32,506600
105,2019-04-17,6.51,6.59,6.08,6.3,1060800
106,2019-04-16,6.81,6.85,6.46,6.5,381500
107,2019-04-15,6.86,6.95,6.74,6.75,370100
108,2019-04-12,6.5003,6.89,6.5,6.82,1148100
109,2019-04-11,6.79,6.815,6.47,6.49,5767100
110,2019-04-10,6.82,6.82,6.7,6.79,246800
111,2019-04-09,7.0201,7.13,6.8,6.81,298600
112,2019-04-08,6.98,7.06,6.92,7.04,255600
113,2019-04-05,6.97,7.15,6.81,7.02,725500
114,2019-04-04,7.2795,7.28,6.95,6.95,397600
115,2019-04-03,7.42,7.46,7.21,7.27,320800
116,2019-04-02,7.3999,7.47,7.33,7.4,232500
117,2019-04-01,7.3,7.44,7.27,7.43,384900
118,2019-03-29,7.27,7.32,7.1099,7.25,757900
119,2019-03-28,7.1,7.24,7.05,7.22,233600
120,2019-03-27,7.24,7.74,7.02,7.09,758700
121,2019-03-26,7.0,7.15,6.93,7.12,459600
122,2019-03-25,6.8,6.99,6.75,6.92,376500
123,2019-03-22,6.75,6.96,6.75,6.81,452300
124,2019-03-21,6.59,6.87,6.56,6.74,707900
125,2019-03-20,6.59,6.76,6.51,6.61,352000
126,2019-03-19,7.09,7.12,6.5654,6.58,599500
127,2019-03-18,7.04,7.15,6.99,7.08,507200
128,2019-03-15,6.93,7.04,6.8701,7.01,1487600
129,2019-03-14,7.21,7.23,6.94,6.94,361000
130,2019-03-13,7.32,7.39,7.14,7.23,408400
131,2019-03-12,7.32,7.488,7.22,7.29,378300
132,2019-03-11,7.03,7.3093,6.98,7.27,513000
133,2019-03-08,6.94,7.06,6.84,6.9,349300
134,2019-03-07,7.06,7.08,6.96,7.0,221500
135,2019-03-06,7.05,7.2,6.99,7.06,272900
136,2019-03-05,7.1,7.11,6.92,7.07,403100
137,2019-03-04,7.18,7.21,7.0,7.12,241100
138,2019-03-01,7.02,7.1654,6.98,7.16,278500
139,2019-02-28,7.01,7.1,6.98,7.0,216500
140,2019-02-27,6.96,7.1,6.88,7.03,222100
141,2019-02-26,7.04,7.085,6.96,7.01,248700
142,2019-02-25,7.19,7.24,7.06,7.06,255500
143,2019-02-22,7.04,7.13,7.01,7.13,211500
144,2019-02-21,7.0,7.1,6.99,7.03,235100
145,2019-02-20,7.13,7.25,6.99,7.07,719400
146,2019-02-19,7.34,7.4,7.0407,7.14,766400
147,2019-02-15,7.43,7.48,7.36,7.4,640200
148,2019-02-14,7.42,7.5,7.31,7.39,604900
149,2019-02-13,7.33,7.63,7.33,7.44,847200
150,2019-02-12,7.4803,7.55,7.3,7.31,460600
151,2019-02-11,7.55,7.66,7.38,7.42,579900
152,2019-02-08,7.7,7.76,7.41,7.59,937200
153,2019-02-07,7.9903,8.53,7.77,7.79,560900
154,2019-02-06,8.21,8.265,7.97,7.99,483000
155,2019-02-05,8.08,8.265,8.03,8.21,435200
156,2019-02-04,7.95,8.18,7.94,8.03,349600
157,2019-02-01,8.09,8.1,7.87,7.99,942200
158,2019-01-31,8.16,8.227,7.93,8.1,496200
159,2019-01-30,7.8801,8.14,7.85,8.13,264500
160,2019-01-29,7.87,7.9298,7.74,7.87,242700
161,2019-01-28,7.9,8.04,7.8,7.88,295500
162,2019-01-25,7.84,8.01,7.7699,7.98,361400
163,2019-01-24,7.56,7.83,7.5,7.8,305700
164,2019-01-23,7.63,7.76,7.44,7.52,178000
165,2019-01-22,7.66,7.76,7.59,7.61,246400
166,2019-01-18,7.62,7.85,7.61,7.72,301600
167,2019-01-17,7.38,7.685,7.38,7.63,239200
168,2019-01-16,7.27,7.44,7.2502,7.43,322100
169,2019-01-15,7.24,7.32,7.1502,7.25,311700
170,2019-01-14,7.29,7.38,7.16,7.29,274600
171,2019-01-11,7.19,7.4,7.155,7.35,226000
172,2019-01-10,7.02,7.27,6.97,7.25,242600
173,2019-01-09,7.15,7.22,6.96,7.09,214000
174,2019-01-08,7.07,7.2,6.8899,7.14,517600
175,2019-01-07,7.0,7.07,6.9197,7.0,433200
176,2019-01-04,6.56,7.06,6.52,7.01,482300
177,2019-01-03,6.64,6.78,6.44,6.46,447500
178,2019-01-02,6.56,6.87,6.5,6.69,503100
179,2018-12-31,6.56,6.7,6.47,6.65,750200
180,2018-12-28,6.5,6.59,6.39,6.55,446000
181,2018-12-27,6.13,6.48,6.13,6.48,387200
182,2018-12-26,6.07,6.3,5.87,6.25,438200
