,timestamp,open,high,low,close,volume
0,2019-09-17,8.73,8.8,8.6,8.66,6551
1,2019-09-16,8.75,8.96,8.75,8.79,26525
2,2019-09-13,8.52,8.79,8.34,8.7,32000
3,2019-09-12,8.25,8.63,8.25,8.54,20000
4,2019-09-11,8.2,8.4,7.89,8.39,16800
5,2019-09-10,8.0,8.15,7.89,8.12,24500
6,2019-09-09,7.74,8.06,7.74,8.06,8200
7,2019-09-06,7.99,7.99,7.62,7.69,15300
8,2019-09-05,7.81,8.0,7.79,7.95,22100
9,2019-09-04,8.12,8.22,7.55,7.82,20300
10,2019-09-03,7.67,8.45,7.67,7.99,28700
11,2019-08-30,7.84,7.84,7.65,7.76,13000
12,2019-08-29,7.9,7.9,7.79,7.85,8500
13,2019-08-28,7.78,7.8,7.75,7.8,5300
14,2019-08-27,7.92,7.92,7.6,7.68,9400
15,2019-08-26,7.6,7.86,7.52,7.85,14700
16,2019-08-23,7.78,7.78,7.51,7.51,29900
17,2019-08-22,7.88,7.88,7.62,7.62,12900
18,2019-08-21,7.8,7.8,7.62,7.68,11200
19,2019-08-20,7.67,7.67,7.62,7.65,3100
20,2019-08-19,7.92,7.92,7.63,7.72,4300
21,2019-08-16,7.67,8.14,7.67,7.85,11400
22,2019-08-15,7.6,7.62,7.58,7.62,7700
23,2019-08-14,7.77,7.8,7.51,7.51,9100
24,2019-08-13,8.01,8.28,7.82,7.99,8900
25,2019-08-12,7.7,8.11,7.6,7.62,278600
26,2019-08-09,7.82,7.89,7.699,7.71,12300
27,2019-08-08,7.76,7.98,7.76,7.79,17500
28,2019-08-07,7.71,7.71,7.47,7.65,30000
29,2019-08-06,7.56,7.75,7.56,7.68,24300
30,2019-08-05,7.7,7.71,7.53,7.55,28400
31,2019-08-02,7.72,7.86,7.72,7.8,19000
32,2019-08-01,7.98,7.98,7.8,7.8,31000
33,2019-07-31,7.94,8.47,7.94,7.96,38300
34,2019-07-30,7.77,8.07,7.77,7.93,173200
35,2019-07-29,7.9,8.14,7.82,7.9,32000
36,2019-07-26,7.72,8.17,7.72,7.86,23500
37,2019-07-25,7.75,7.9501,7.75,7.84,11200
38,2019-07-24,7.81,8.0,7.81,7.96,20200
39,2019-07-23,7.86,7.94,7.81,7.91,6000
40,2019-07-22,7.64,7.98,7.64,7.98,12000
41,2019-07-19,7.8503,7.86,7.67,7.83,16500
42,2019-07-18,7.89,8.06,7.79,7.9,31300
43,2019-07-17,7.9201,7.99,7.86,7.95,12300
44,2019-07-16,7.66,8.03,7.66,8.0,8700
45,2019-07-15,7.9,7.95,7.88,7.92,8900
46,2019-07-12,7.9895,8.07,7.94,7.97,17600
47,2019-07-11,7.99,7.99,7.85,7.95,8700
48,2019-07-10,7.97,8.04,7.81,7.92,11100
49,2019-07-09,7.97,8.03,7.96,7.96,5100
50,2019-07-08,8.04,8.13,7.96,8.01,12800
51,2019-07-05,8.1,8.22,7.8,8.13,7800
52,2019-07-03,8.0,8.33,7.795,8.04,22000
53,2019-07-02,8.09,8.285,7.795,8.05,11400
54,2019-07-01,8.25,8.43,8.0001,8.04,45200
55,2019-06-28,7.85,9.21,7.83,8.47,206300
56,2019-06-27,7.8,7.83,7.68,7.83,22600
57,2019-06-26,7.77,7.79,7.72,7.75,7700
58,2019-06-25,7.68,7.72,7.63,7.67,28100
59,2019-06-24,7.7506,7.87,7.6,7.61,34200
60,2019-06-21,7.75,7.8,7.61,7.75,44500
61,2019-06-20,7.94,7.99,7.84,7.89,10600
62,2019-06-19,7.87,7.93,7.87,7.93,3800
63,2019-06-18,7.74,7.89,7.5896,7.89,9200
64,2019-06-17,7.85,7.86,7.7097,7.78,6900
65,2019-06-14,7.6191,7.96,7.618,7.73,14100
66,2019-06-13,7.601,7.92,7.524,7.89,5500
67,2019-06-12,7.56,7.5994,7.37,7.6,15600
68,2019-06-11,7.57,7.57,7.356,7.55,13400
69,2019-06-10,7.4,7.58,7.39,7.57,10700
70,2019-06-07,7.22,7.45,7.2,7.38,47800
71,2019-06-06,7.12,7.32,7.11,7.11,24600
72,2019-06-05,7.48,7.54,7.1497,7.16,9000
73,2019-06-04,7.48,7.58,7.398,7.53,10800
74,2019-06-03,7.21,7.47,7.21,7.33,43800
75,2019-05-31,7.22,7.37,7.16,7.28,16300
76,2019-05-30,7.34,7.49,7.23,7.28,17300
77,2019-05-29,7.31,7.49,7.31,7.38,14700
78,2019-05-28,7.59,7.59,7.36,7.36,7400
79,2019-05-24,7.347,7.6,7.34,7.6,11600
80,2019-05-23,7.47,7.56,7.28,7.28,13100
81,2019-05-22,7.398,7.59,7.398,7.57,7500
82,2019-05-21,7.59,7.6,7.57,7.6,5700
83,2019-05-20,7.501,7.54,7.5,7.54,4000
84,2019-05-17,7.64,7.66,7.56,7.56,11200
85,2019-05-16,7.77,7.77,7.67,7.71,4800
86,2019-05-15,7.66,7.8,7.62,7.78,5900
87,2019-05-14,7.5,7.76,7.5,7.76,6500
