,timestamp,open,high,low,close,volume
0,2019-09-17,0.985,1.1,0.9705,0.9901,857360
1,2019-09-16,0.985,0.985,0.985,0.97,71690
2,2019-09-13,0.98,0.98,0.95,0.955,53700
3,2019-09-12,0.958,0.975,0.95,0.95,96200
4,2019-09-11,0.98,0.98,0.89,0.968,197300
5,2019-09-10,0.931,0.984,0.93,0.984,101000
6,2019-09-09,0.96,0.963,0.93,0.943,112600
7,2019-09-06,0.98,1.0,0.961,0.961,201500
8,2019-09-05,0.991,0.999,0.95,0.96,70200
9,2019-09-04,0.951,0.99,0.95,0.959,70700
10,2019-09-03,1.04,1.04,0.951,0.96,263700
11,2019-08-30,0.96,1.01,0.96,0.994,250100
12,2019-08-29,0.92,1.04,0.92,0.95,1177600
13,2019-08-28,0.91,0.92,0.893,0.91,91400
14,2019-08-27,0.911,0.93,0.88,0.897,71700
15,2019-08-26,0.91,0.94,0.89,0.916,88200
16,2019-08-23,0.909,0.92,0.89,0.92,84800
17,2019-08-22,0.923,0.962,0.89,0.911,136900
18,2019-08-21,0.86,0.95,0.851,0.933,373800
19,2019-08-20,0.9,0.905,0.851,0.885,133200
20,2019-08-19,0.916,0.92,0.871,0.888,161400
21,2019-08-16,0.93,0.939,0.831,0.88,394300
22,2019-08-15,0.84,0.86,0.805,0.86,135100
23,2019-08-14,0.87,0.875,0.803,0.843,235000
24,2019-08-13,0.907,0.918,0.87,0.875,169500
25,2019-08-12,0.85,0.89,0.85,0.89,207200
26,2019-08-09,0.93,0.93,0.85,0.885,387300
27,2019-08-08,1.01,1.04,0.9,0.903,710200
28,2019-08-07,0.88,1.08,0.88,0.982,538700
29,2019-08-06,0.88,0.92,0.88,0.886,248800
30,2019-08-05,0.912,0.93,0.82,0.879,419700
31,2019-08-02,0.95,0.95,0.9,0.9,236200
32,2019-08-01,0.96,1.0,0.907,0.921,399500
33,2019-07-31,0.995,1.01,0.95,0.974,431600
34,2019-07-30,1.011,1.0299,0.98,1.005,263100
35,2019-07-29,0.811,1.05,0.801,1.03,1013000
36,2019-07-26,1.0399,1.04,0.86,0.984,1635400
37,2019-07-25,1.1299,1.13,1.05,1.05,1282700
38,2019-07-24,1.23,1.23,1.04,1.14,1708700
39,2019-07-23,1.27,1.39,1.16,1.21,4409700
40,2019-07-22,1.12,1.23,1.11,1.23,2603000
41,2019-07-19,1.04,1.14,1.01,1.09,1830500
42,2019-07-18,1.04,1.05,1.0199,1.04,707100
43,2019-07-17,1.08,1.09,1.01,1.02,1402000
44,2019-07-16,1.06,1.12,1.02,1.08,2493700
45,2019-07-15,0.925,1.12,0.89,1.12,5264400
46,2019-07-12,0.92,0.94,0.855,0.88,628400
47,2019-07-11,0.839,0.948,0.81,0.895,1194500
48,2019-07-10,0.927,0.95,0.836,0.875,1518900
49,2019-07-09,0.84,1.0,0.819,0.904,5441800
50,2019-07-08,0.69,0.81,0.69,0.8,1278700
51,2019-07-05,0.66,0.7099,0.66,0.685,482500
52,2019-07-03,0.63,0.66,0.62,0.66,203400
53,2019-07-02,0.63,0.66,0.62,0.625,246300
54,2019-07-01,0.62,0.68,0.62,0.628,212200
55,2019-06-28,0.645,0.67,0.582,0.625,717500
56,2019-06-27,0.55,0.743,0.544,0.573,3754200
57,2019-06-26,0.589,0.589,0.5,0.53,272900
58,2019-06-25,0.595,0.62,0.55,0.561,301200
59,2019-06-24,0.62,0.62,0.59,0.59,90300
60,2019-06-21,0.61,0.639,0.61,0.62,80200
61,2019-06-20,0.61,0.639,0.602,0.626,67600
62,2019-06-19,0.61,0.668,0.602,0.604,233300
63,2019-06-18,0.62,0.62,0.585,0.61,138300
64,2019-06-17,0.64,0.647,0.61,0.62,78400
65,2019-06-14,0.62,0.648,0.61,0.64,56400
66,2019-06-13,0.63,0.647,0.62,0.62,39900
67,2019-06-12,0.65,0.653,0.6,0.62,71900
68,2019-06-11,0.68,0.68,0.65,0.65,69400
69,2019-06-10,0.66,0.68,0.65,0.659,98300
70,2019-06-07,0.66,0.69,0.66,0.66,94100
71,2019-06-06,0.678,0.7,0.66,0.665,93400
72,2019-06-05,0.7,0.7,0.669,0.68,62500
73,2019-06-04,0.65,0.71,0.65,0.695,166900
74,2019-06-03,0.67,0.721,0.621,0.67,384300
75,2019-05-31,0.6,0.65,0.6,0.633,237500
76,2019-05-30,0.6,0.619,0.6,0.619,226100
77,2019-05-29,0.61,0.624,0.58,0.603,209700
78,2019-05-28,0.58,0.63,0.555,0.611,318700
79,2019-05-24,0.6,0.602,0.568,0.568,272500
80,2019-05-23,0.606,0.607,0.57,0.6,176300
81,2019-05-22,0.6,0.61,0.585,0.607,369900
82,2019-05-21,0.59,0.607,0.53,0.605,584200
83,2019-05-20,0.61,0.61,0.59,0.599,193400
84,2019-05-17,0.581,0.62,0.56,0.595,152200
85,2019-05-16,0.61,0.639,0.582,0.605,345300
86,2019-05-15,0.5999,0.61,0.575,0.61,456600
87,2019-05-14,0.583,0.623,0.561,0.59,265400
88,2019-05-13,0.655,0.662,0.56,0.594,689700
89,2019-05-10,0.67,0.6901,0.655,0.655,291500
90,2019-05-09,0.72,0.72,0.662,0.67,484800
91,2019-05-08,0.71,0.74,0.701,0.72,224500
92,2019-05-07,0.71,0.73,0.6999,0.72,204400
93,2019-05-06,0.7,0.73,0.7,0.71,290400
94,2019-05-03,0.71,0.72,0.703,0.706,186000
95,2019-05-02,0.73,0.731,0.71,0.715,91800
96,2019-05-01,0.73,0.74,0.705,0.73,252100
97,2019-04-30,0.735,0.739,0.7,0.72,300100
98,2019-04-29,0.76,0.761,0.73,0.73,362900
99,2019-04-26,0.71,0.77,0.701,0.75,1613700
100,2019-04-25,0.72,0.72,0.7,0.702,217200
101,2019-04-24,0.71,0.723,0.71,0.716,212400
102,2019-04-23,0.72,0.729,0.706,0.711,267000
103,2019-04-22,0.728,0.728,0.71,0.728,231500
104,2019-04-18,0.73,0.745,0.701,0.728,327500
105,2019-04-17,0.76,0.77,0.73,0.735,303500
106,2019-04-16,0.78,0.78,0.73,0.748,366900
107,2019-04-15,0.75,0.79,0.73,0.79,453000
108,2019-04-12,0.74,0.772,0.735,0.768,538300
109,2019-04-11,0.73,0.8,0.715,0.73,1219100
110,2019-04-10,0.73,0.735,0.71,0.715,527400
111,2019-04-09,0.76,0.78,0.715,0.73,1044800
112,2019-04-08,0.8,0.81,0.76,0.762,974300
113,2019-04-05,0.78,0.8,0.77,0.78,1139300
114,2019-04-04,0.855,0.855,0.764,0.772,3128500
115,2019-04-03,0.9,0.9,0.86,0.865,2814900
116,2019-04-02,0.951,0.98,0.87,0.9,9135100
117,2019-04-01,1.63,2.0,1.47,1.7,6135500
118,2019-03-29,1.37,1.54,1.34,1.5,1049600
119,2019-03-28,1.41,1.41,1.33,1.37,524700
120,2019-03-27,1.39,1.4,1.32,1.4,267700
121,2019-03-26,1.46,1.4701,1.31,1.38,562700
122,2019-03-25,1.42,1.48,1.37,1.45,444000
123,2019-03-22,1.56,1.575,1.41,1.42,606200
124,2019-03-21,1.55,1.64,1.48,1.5,931900
125,2019-03-20,1.54,1.6,1.5,1.53,1334400
126,2019-03-19,1.45,1.529,1.3501,1.51,1160400
127,2019-03-18,1.43,1.55,1.37,1.43,1145500
128,2019-03-15,1.39,1.407,1.28,1.33,881500
129,2019-03-14,1.33,1.68,1.28,1.41,6051400
130,2019-03-13,1.22,1.24,1.13,1.2,320800
131,2019-03-12,1.26,1.29,1.2,1.2,352900
132,2019-03-11,1.28,1.3,1.23,1.27,397700
133,2019-03-08,1.26,1.3,1.21,1.27,586900
134,2019-03-07,1.2,1.34,1.13,1.27,1017900
135,2019-03-06,1.16,1.25,1.04,1.18,1373900
136,2019-03-05,1.33,1.33,1.2,1.23,1118200
137,2019-03-04,1.44,1.44,1.17,1.3,5522600
138,2019-03-01,3.08,3.08,3.039,3.04,16200
139,2019-02-28,3.06,3.08,3.04,3.08,12300
140,2019-02-27,3.045,3.08,3.045,3.063,18200
141,2019-02-26,3.115,3.157,3.02,3.02,26500
142,2019-02-25,3.12,3.13,3.031,3.1,60000
143,2019-02-22,3.06,3.11,3.01,3.11,18400
144,2019-02-21,3.14,3.15,3.0,3.03,47100
145,2019-02-20,3.25,3.2599,3.1,3.12,60900
146,2019-02-19,3.15,3.22,3.06,3.2,71500
147,2019-02-15,2.97,3.05,2.92,3.04,57000
148,2019-02-14,2.97,2.99,2.935,2.94,30400
