,timestamp,open,high,low,close,volume
0,2019-09-18,1.86,1.9,1.79,1.835,63875
1,2019-09-17,1.92,1.93,1.82,1.86,111260
2,2019-09-16,1.83,1.98,1.81,1.92,258200
3,2019-09-13,1.86,1.88,1.8,1.86,199100
4,2019-09-12,1.93,1.93,1.83,1.85,220300
5,2019-09-11,1.91,1.97,1.81,1.93,329200
6,2019-09-10,1.9,1.94,1.83,1.89,281100
7,2019-09-09,2.01,2.01,1.88,1.92,195800
8,2019-09-06,1.8,2.05,1.76,1.96,674900
9,2019-09-05,1.75,1.81,1.71,1.8,300300
10,2019-09-04,1.77,1.79,1.72,1.74,203800
11,2019-09-03,1.8,1.83,1.74,1.75,208700
12,2019-08-30,1.79,1.84,1.77,1.81,256600
13,2019-08-29,1.8,1.83,1.75,1.79,186800
14,2019-08-28,1.75,1.83,1.71,1.76,390100
15,2019-08-27,1.77,1.85,1.74,1.76,669500
16,2019-08-26,1.95,1.97,1.68,1.81,2951600
17,2019-08-23,1.76,1.76,1.58,1.58,286300
18,2019-08-22,1.84,1.85,1.71,1.76,585000
19,2019-08-21,1.75,1.84,1.72,1.8,432500
20,2019-08-20,1.69,1.75,1.66,1.74,318100
21,2019-08-19,1.63,1.75,1.57,1.68,291600
22,2019-08-16,1.56,1.67,1.5201,1.6,159800
23,2019-08-15,1.57,1.65,1.49,1.53,210000
24,2019-08-14,1.48,1.61,1.39,1.58,390300
25,2019-08-13,1.33,1.5,1.2999,1.5,551900
26,2019-08-12,1.41,1.42,1.28,1.33,346700
27,2019-08-09,1.31,1.39,1.31,1.34,372100
28,2019-08-08,1.32,1.34,1.29,1.32,194200
29,2019-08-07,1.3,1.352,1.29,1.31,254400
30,2019-08-06,1.3,1.35,1.23,1.32,342800
31,2019-08-05,1.35,1.39,1.28,1.3,202800
32,2019-08-02,1.38,1.4,1.31,1.38,88700
33,2019-08-01,1.36,1.41,1.3,1.38,237200
34,2019-07-31,1.39,1.45,1.36,1.37,162300
35,2019-07-30,1.38,1.49,1.37,1.4,310800
36,2019-07-29,1.26,1.41,1.26,1.37,288300
37,2019-07-26,1.28,1.34,1.26,1.27,176900
38,2019-07-25,1.37,1.37,1.28,1.28,210400
39,2019-07-24,1.27,1.37,1.22,1.34,417500
40,2019-07-23,1.34,1.34,1.26,1.26,202900
41,2019-07-22,1.37,1.4,1.29,1.3,178900
42,2019-07-19,1.26,1.41,1.26,1.37,372200
43,2019-07-18,1.38,1.38,1.21,1.26,398400
44,2019-07-17,1.41,1.42,1.3,1.37,539700
45,2019-07-16,1.51,1.52,1.38,1.42,578000
46,2019-07-15,1.53,1.56,1.5,1.52,227600
47,2019-07-12,1.6,1.6,1.52,1.54,193600
48,2019-07-11,1.72,1.73,1.56,1.59,281800
49,2019-07-10,1.67,1.77,1.64,1.73,621200
50,2019-07-09,1.58,1.6901,1.57,1.66,498600
51,2019-07-08,1.5,1.6,1.5,1.59,370000
52,2019-07-05,1.54,1.57,1.5,1.52,168400
53,2019-07-03,1.491,1.57,1.47,1.56,128900
54,2019-07-02,1.56,1.57,1.46,1.51,304200
55,2019-07-01,1.55,1.59,1.5,1.55,540100
56,2019-06-28,1.47,1.54,1.42,1.5,3823900
57,2019-06-27,1.54,1.57,1.46,1.47,732700
58,2019-06-26,1.67,1.69,1.5,1.51,501400
59,2019-06-25,1.65,1.71,1.56,1.66,347200
60,2019-06-24,1.72,1.74,1.6,1.64,554400
61,2019-06-21,1.7,1.75,1.7,1.71,233800
62,2019-06-20,1.81,1.83,1.68,1.71,221600
63,2019-06-19,1.88,1.895,1.75,1.8,261100
64,2019-06-18,1.81,1.85,1.74,1.85,329100
65,2019-06-17,1.68,1.82,1.65,1.78,358900
66,2019-06-14,1.78,1.79,1.65,1.69,242200
67,2019-06-13,1.65,1.79,1.6,1.76,396500
68,2019-06-12,1.65,1.71,1.58,1.63,267700
69,2019-06-11,1.64,1.69,1.56,1.67,345200
70,2019-06-10,1.65,1.7,1.57,1.61,348400
71,2019-06-07,1.72,1.72,1.61,1.62,350300
72,2019-06-06,1.74,1.75,1.66,1.7,221600
73,2019-06-05,1.83,1.84,1.66,1.76,220300
74,2019-06-04,1.72,1.8299,1.71,1.82,186400
75,2019-06-03,1.73,1.85,1.65,1.7,332600
76,2019-05-31,1.74,1.79,1.71,1.73,149000
77,2019-05-30,1.81,1.81,1.71,1.77,164100
78,2019-05-29,1.92,1.92,1.78,1.8,241500
79,2019-05-28,1.84,1.94,1.78,1.92,429100
80,2019-05-24,1.82,1.87,1.78,1.85,228400
81,2019-05-23,1.9,1.91,1.74,1.77,349600
82,2019-05-22,1.92,1.97,1.8,1.94,341000
83,2019-05-21,1.93,2.03,1.88,1.94,354800
84,2019-05-20,1.89,1.97,1.78,1.91,298900
85,2019-05-17,1.92,2.04,1.88,1.9,685900
86,2019-05-16,1.7699,1.95,1.73,1.93,464100
87,2019-05-15,1.65,1.825,1.61,1.78,775100
88,2019-05-14,1.64,1.75,1.63,1.69,354900
89,2019-05-13,1.7,1.73,1.6,1.6,666900
90,2019-05-10,1.67,1.8,1.58,1.78,497300
91,2019-05-09,1.66,1.7,1.52,1.61,356400
92,2019-05-08,1.69,1.78,1.655,1.68,199100
93,2019-05-07,1.81,1.84,1.65,1.69,631200
94,2019-05-06,1.67,1.85,1.63,1.84,568300
95,2019-05-03,1.6,1.74,1.52,1.72,651800
96,2019-05-02,1.58,1.62,1.4801,1.6,774100
97,2019-05-01,1.59,1.66,1.53,1.57,266100
98,2019-04-30,1.6,1.65,1.3601,1.59,831800
99,2019-04-29,1.66,1.7,1.57,1.58,388900
100,2019-04-26,1.76,1.77,1.63,1.67,546700
101,2019-04-25,1.83,1.86,1.72,1.73,446100
102,2019-04-24,1.8,1.89,1.69,1.83,830700
103,2019-04-23,1.87,1.89,1.72,1.77,1381600
104,2019-04-22,1.55,1.95,1.524,1.88,3387100
105,2019-04-18,2.26,2.49,1.59,1.62,19231000
106,2019-04-17,1.47,1.56,1.33,1.46,1825300
107,2019-04-16,1.54,1.58,1.41,1.43,426100
108,2019-04-15,1.62,1.64,1.52,1.55,201700
109,2019-04-12,1.67,1.7,1.56,1.62,211100
110,2019-04-11,1.62,1.7,1.53,1.66,184100
111,2019-04-10,1.69,1.7,1.58,1.62,272000
112,2019-04-09,1.77,1.78,1.67,1.68,207600
113,2019-04-08,1.91,1.91,1.69,1.73,325700
114,2019-04-05,1.76,1.94,1.76,1.91,336000
115,2019-04-04,1.8,1.85,1.75,1.75,111000
116,2019-04-03,1.82,1.84,1.74,1.78,134400
117,2019-04-02,1.74,1.82,1.74,1.81,88300
118,2019-04-01,1.81,1.83,1.69,1.73,192000
119,2019-03-29,1.85,1.85,1.76,1.78,161300
120,2019-03-28,1.9,1.9,1.73,1.81,190800
121,2019-03-27,1.8198,1.88,1.76,1.88,301200
122,2019-03-26,1.81,1.9,1.77,1.8,128300
123,2019-03-25,1.84,1.86,1.69,1.81,569400
124,2019-03-22,1.95,1.9681,1.84,1.86,281600
125,2019-03-21,2.15,2.15,1.91,1.98,593900
126,2019-03-20,1.99,2.19,1.95,2.15,804600
127,2019-03-19,2.0,2.02,1.915,1.99,345400
128,2019-03-18,2.0,2.062,1.96,1.99,267400
129,2019-03-15,1.96,2.14,1.91,1.99,845100
130,2019-03-14,1.9,2.0001,1.812,1.96,303400
131,2019-03-13,2.01,2.09,1.87,1.88,340200
132,2019-03-12,1.83,2.1,1.78,2.04,547100
133,2019-03-11,1.76,1.87,1.7,1.82,120200
134,2019-03-08,1.81,1.856,1.72,1.75,184800
135,2019-03-07,1.74,2.03,1.71,1.83,420300
136,2019-03-06,1.89,1.9002,1.69,1.72,416900
137,2019-03-05,2.02,2.03,1.85,1.91,243300
138,2019-03-04,2.07,2.1,1.78,2.04,830800
139,2019-03-01,2.12,2.12,1.999,2.04,418400
140,2019-02-28,2.14,2.17,1.99,2.09,530400
141,2019-02-27,2.19,2.2,2.11,2.15,184500
142,2019-02-26,2.17,2.21,2.0,2.18,315500
143,2019-02-25,2.16,2.21,2.1,2.19,281300
144,2019-02-22,2.14,2.16,2.1,2.15,365400
145,2019-02-21,2.13,2.16,2.01,2.14,287200
146,2019-02-20,2.15,2.2,2.07,2.13,259100
147,2019-02-19,2.18,2.22,2.11,2.15,454300
148,2019-02-15,2.1699,2.24,2.14,2.18,655400
149,2019-02-14,2.18,2.27,2.12,2.17,578300
150,2019-02-13,2.1,2.25,2.06,2.18,599100
151,2019-02-12,2.1,2.15,2.05,2.11,367500
152,2019-02-11,2.19,2.23,2.07,2.11,418100
153,2019-02-08,2.09,2.24,2.04,2.13,481200
154,2019-02-07,2.07,2.2,1.99,2.09,813400
155,2019-02-06,2.25,2.3,2.12,2.12,522500
156,2019-02-05,2.2,2.405,2.15,2.27,620800
157,2019-02-04,2.5,2.59,2.13,2.23,1123400
158,2019-02-01,2.03,2.531,1.96,2.47,2196700
159,2019-01-31,2.27,2.34,1.93,2.07,9566800
160,2019-01-30,1.43,1.68,1.36,1.48,712300
161,2019-01-29,1.4,1.5,1.23,1.44,827400
162,2019-01-28,1.04,1.59,1.032,1.38,1017700
163,2019-01-25,1.07,1.1,1.03,1.06,132600
164,2019-01-24,1.06,1.08,1.03,1.06,95500
165,2019-01-23,1.04,1.11,1.04,1.06,44800
166,2019-01-22,1.15,1.16,1.0001,1.04,219500
167,2019-01-18,1.24,1.264,1.13,1.15,251100
168,2019-01-17,1.21,1.29,1.21,1.25,142200
169,2019-01-16,1.25,1.3,1.126,1.23,198100
170,2019-01-15,1.11,1.3,1.07,1.28,263800
171,2019-01-14,1.16,1.18,1.06,1.11,116100
172,2019-01-11,1.16,1.19,1.141,1.18,152900
173,2019-01-10,1.21,1.21,1.05,1.16,202400
174,2019-01-09,1.07,1.22,1.05,1.21,353800
175,2019-01-08,1.03,1.1101,1.02,1.05,119800
176,2019-01-07,1.12,1.13,1.01,1.02,187100
177,2019-01-04,0.95,1.17,0.95,1.11,411900
178,2019-01-03,1.06,1.06,0.912,0.942,204600
179,2019-01-02,0.92,1.138,0.86,1.09,452400
180,2018-12-31,0.92,0.92,0.85,0.86,339900
