,timestamp,open,high,low,close,volume
0,2019-09-13,19.1,19.1,19.1,17.3,364
1,2019-09-12,19.22,19.366,18.84,19.14,22056
2,2019-09-11,17.87,19.5,17.87,19.25,30600
3,2019-09-10,17.74,18.49,17.58,18.4,6800
4,2019-09-09,17.33,17.86,17.33,17.86,6200
5,2019-09-06,17.41,17.42,17.29,17.33,85300
6,2019-09-05,17.24,17.43,17.07,17.31,6900
7,2019-09-04,17.45,17.45,17.18,17.23,2800
8,2019-09-03,17.3,17.39,17.16,17.33,2400
9,2019-08-30,17.45,17.45,17.0,17.41,3500
10,2019-08-29,17.12,17.57,17.12,17.25,12900
11,2019-08-28,17.15,17.17,16.95,16.98,6200
12,2019-08-27,17.22,17.22,17.05,17.15,4600
13,2019-08-26,17.18,17.31,17.18,17.31,3200
14,2019-08-23,17.11,17.28,16.9,16.9,11900
15,2019-08-22,17.08,17.29,17.0,17.01,7700
16,2019-08-21,17.21,17.32,16.88,16.99,3700
17,2019-08-20,17.11,17.25,17.1,17.16,6500
18,2019-08-19,17.28,17.28,17.08,17.19,7700
19,2019-08-16,16.85,17.56,16.8,17.45,18200
20,2019-08-15,16.72,16.98,16.65,16.79,6700
21,2019-08-14,16.97,16.97,16.5204,16.53,8000
22,2019-08-13,17.055,17.33,17.055,17.33,2000
23,2019-08-12,17.08,17.26,17.02,17.2,8400
24,2019-08-09,17.144,17.234,16.97,17.03,9700
25,2019-08-08,17.43,17.43,16.89,17.05,19600
26,2019-08-07,17.08,17.57,17.08,17.43,2800
27,2019-08-06,17.01,17.37,17.0001,17.1,6400
28,2019-08-05,17.59,17.59,16.84,17.01,7200
29,2019-08-02,17.7899,17.79,17.62,17.62,6100
30,2019-08-01,18.21,18.49,17.81,17.93,14100
31,2019-07-31,18.31,18.5,18.21,18.21,13200
32,2019-07-30,18.27,18.39,18.06,18.2,11300
33,2019-07-29,18.16,18.3594,17.93,18.3,12700
34,2019-07-26,18.08,18.32,18.08,18.18,11700
35,2019-07-25,18.071,18.18,17.9,17.9,4700
36,2019-07-24,17.62,18.2,17.62,18.07,31500
37,2019-07-23,17.99,18.26,17.66,17.82,13400
38,2019-07-22,18.3,18.3,18.06,18.17,6700
39,2019-07-19,18.2,18.5,18.03,18.2,13700
40,2019-07-18,18.18,18.4,18.14,18.3,16200
41,2019-07-17,18.0,18.36,17.95,18.17,7800
42,2019-07-16,18.22,18.29,17.98,18.29,6200
43,2019-07-15,18.06,18.37,18.06,18.33,8000
44,2019-07-12,18.16,18.47,18.1,18.12,17900
45,2019-07-11,18.27,18.27,17.85,17.95,9000
46,2019-07-10,18.06,18.34,17.94,18.1,13100
47,2019-07-09,18.46,18.47,18.2,18.29,60200
48,2019-07-08,18.4,18.5,18.23,18.44,9600
49,2019-07-05,18.05,18.3,18.05,18.24,6200
50,2019-07-03,18.2,18.24,17.99,18.165,3400
51,2019-07-02,17.97,18.21,17.76,18.21,13800
52,2019-07-01,18.67,18.6912,17.95,17.95,20200
53,2019-06-28,18.06,18.5,18.05,18.47,48200
54,2019-06-27,17.9,18.09,17.75,18.09,26500
55,2019-06-26,17.78,17.98,17.73,17.9,10900
56,2019-06-25,18.1,18.1,17.5,17.54,6600
57,2019-06-24,18.67,18.67,17.66,18.09,56600
58,2019-06-21,18.62,18.87,18.62,18.87,23600
59,2019-06-20,18.7,18.7,18.62,18.7,5200
60,2019-06-19,18.62,18.8,18.62,18.8,3000
61,2019-06-18,19.1,19.1,18.73,18.73,9300
62,2019-06-17,18.81,19.0,18.8116,18.93,1800
63,2019-06-14,18.84,19.115,18.81,18.81,7100
64,2019-06-13,19.05,19.15,18.83,19.03,5200
65,2019-06-12,18.8,18.97,18.78,18.97,4400
66,2019-06-11,18.75,18.85,18.66,18.85,5900
67,2019-06-10,18.66,18.85,18.66,18.8,5300
68,2019-06-07,18.81,18.84,18.66,18.66,2800
69,2019-06-06,18.94,18.95,18.66,18.93,5600
70,2019-06-05,18.958,18.958,18.77,18.77,2700
71,2019-06-04,18.75,19.0,18.681,18.99,3200
72,2019-06-03,18.62,18.81,18.57,18.81,6300
73,2019-05-31,18.77,18.85,18.66,18.66,3800
74,2019-05-30,19.03,19.03,18.77,18.95,3100
75,2019-05-29,18.87,19.05,18.77,18.77,3800
76,2019-05-28,18.803,19.03,18.59,18.91,6300
77,2019-05-24,18.69,19.3,18.529,18.75,8200
78,2019-05-23,18.821,18.97,18.3,18.42,14500
79,2019-05-22,18.8096,18.99,18.81,18.81,2600
80,2019-05-21,18.99,18.99,18.99,18.99,1700
81,2019-05-20,18.874,18.99,18.81,18.99,2600
82,2019-05-17,18.86,18.99,18.86,18.86,2500
83,2019-05-16,18.94,19.0,18.905,19.0,3800
84,2019-05-15,18.7605,18.94,18.76,18.94,1300
85,2019-05-14,18.7944,18.95,18.795,18.95,3100
86,2019-05-13,18.87,18.94,18.7097,18.74,6600
87,2019-05-10,18.98,18.98,18.86,18.95,3000
88,2019-05-09,18.95,19.345,18.93,18.93,1900
89,2019-05-08,19.0,19.16,18.954,19.01,3100
90,2019-05-07,18.82,19.0,18.82,19.0,2600
91,2019-05-06,18.82,19.36,18.82,18.82,2700
92,2019-05-03,19.05,19.36,18.866,19.36,2900
93,2019-05-02,19.055,19.1,18.74,18.95,2600
94,2019-05-01,18.85,18.97,18.735,18.78,2500
95,2019-04-30,18.85,18.85,18.71,18.78,12900
96,2019-04-29,18.61,18.8,18.61,18.8,4900
97,2019-04-26,18.6,18.74,18.57,18.61,3600
98,2019-04-25,18.44,18.63,18.43,18.6,4700
99,2019-04-24,18.4795,18.55,18.43,18.43,2800
100,2019-04-23,18.38,18.52,18.38,18.52,9500
101,2019-04-22,18.45,18.45,18.31,18.37,7100
102,2019-04-18,18.29,18.5,17.23,18.5,6100
103,2019-04-17,18.49,18.54,18.27,18.27,2400
104,2019-04-16,18.27,18.57,18.27,18.31,5000
105,2019-04-15,18.23,18.48,18.21,18.48,2700
106,2019-04-12,18.45,18.56,18.22,18.23,3000
107,2019-04-11,18.59,18.62,18.28,18.28,1500
108,2019-04-10,18.16,18.48,18.16,18.38,6100
109,2019-04-09,18.26,18.26,18.26,18.26,1900
110,2019-04-08,18.259,18.375,18.26,18.31,8300
111,2019-04-05,18.177,18.41,18.12,18.38,17100
112,2019-04-04,18.24,18.5,18.09,18.4,7000
113,2019-04-03,18.12,18.4,17.86,18.29,5900
114,2019-04-02,17.8,18.0705,17.8,18.07,5600
115,2019-04-01,18.16,18.16,17.84,17.9,5100
116,2019-03-29,18.08,18.27,17.77,17.77,5100
117,2019-03-28,18.2,18.2,17.702,18.06,4600
118,2019-03-27,17.34,17.63,17.34,17.6,8300
119,2019-03-26,16.61,17.37,16.61,17.34,10700
120,2019-03-25,17.75,18.234,16.47,16.59,7000
121,2019-03-22,18.63,18.67,17.82,17.82,11800
122,2019-03-21,18.33,18.76,18.33,18.53,9300
123,2019-03-20,18.8,18.8,18.52,18.585,5300
124,2019-03-19,18.52,18.52,18.52,18.52,1100
125,2019-03-18,18.71,18.74,18.577,18.7,4700
126,2019-03-15,18.63,18.95,18.5,18.52,30900
127,2019-03-14,18.572,18.74,18.4201,18.74,3300
128,2019-03-13,18.75,18.869,18.6,18.7,5200
129,2019-03-12,18.75,18.75,18.65,18.65,3100
130,2019-03-11,18.37,18.75,18.37,18.75,27500
131,2019-03-08,18.33,18.7,18.33,18.44,4700
132,2019-03-07,18.72,18.72,18.37,18.38,7500
133,2019-03-06,18.74,18.74,18.67,18.67,2800
134,2019-03-05,18.71,18.71,18.37,18.54,4000
135,2019-03-04,18.8,18.8,18.57,18.57,3500
136,2019-03-01,18.92,19.1,18.6999,18.94,2600
137,2019-02-28,18.69,18.83,18.6,18.67,5500
138,2019-02-27,18.52,18.57,18.38,18.57,2500
139,2019-02-26,18.37,18.99,18.3699,18.8,3300
