,timestamp,open,high,low,close,volume
0,2019-09-17,2.91,2.93,2.91,2.93,172971
1,2019-09-16,2.93,2.93,2.91,2.93,714497
2,2019-09-13,2.92,2.95,2.91,2.92,3855900
3,2019-09-12,1.85,1.9,1.83,1.83,249700
4,2019-09-11,1.85,1.91,1.84,1.88,53100
5,2019-09-10,1.89,1.89,1.81,1.86,21000
6,2019-09-09,1.81,1.88,1.81,1.88,10200
7,2019-09-06,1.85,1.88,1.81,1.83,34000
8,2019-09-05,1.83,1.88,1.8,1.88,26400
9,2019-09-04,1.88,1.9,1.84,1.86,28400
10,2019-09-03,1.93,1.93,1.86,1.87,16900
11,2019-08-30,1.9,1.93,1.9,1.92,29600
12,2019-08-29,1.88,1.93,1.88,1.9,65400
13,2019-08-28,1.85,1.89,1.83,1.89,22700
14,2019-08-27,1.87,1.92,1.83,1.85,83200
15,2019-08-26,1.88,1.89,1.86,1.88,23700
16,2019-08-23,1.9,1.94,1.85,1.86,27700
17,2019-08-22,1.9,1.95,1.84,1.89,94200
18,2019-08-21,1.89,1.93,1.88,1.88,54200
19,2019-08-20,1.9,1.91,1.87,1.9,40500
20,2019-08-19,1.83,1.95,1.81,1.88,90400
21,2019-08-16,1.82,1.87,1.7601,1.82,92300
22,2019-08-15,1.8,1.9,1.7699,1.8,149400
23,2019-08-14,1.7601,1.81,1.76,1.76,36800
24,2019-08-13,1.75,1.8,1.74,1.79,49400
25,2019-08-12,1.76,1.78,1.7,1.74,40000
26,2019-08-09,1.7859,1.786,1.7,1.74,46800
27,2019-08-08,1.78,1.84,1.75,1.75,51100
28,2019-08-07,1.79,1.82,1.72,1.75,49300
29,2019-08-06,1.8,1.82,1.72,1.78,30400
30,2019-08-05,1.82,1.84,1.76,1.8,45900
31,2019-08-02,1.8299,1.85,1.81,1.82,27500
32,2019-08-01,1.88,1.9,1.83,1.85,28100
33,2019-07-31,1.92,1.93,1.85,1.85,34700
34,2019-07-30,1.89,1.97,1.89,1.93,33900
35,2019-07-29,1.82,1.97,1.8,1.94,124500
36,2019-07-26,1.83,1.85,1.82,1.84,31800
37,2019-07-25,1.86,1.88,1.83,1.85,12300
38,2019-07-24,1.81,1.84,1.81,1.82,56600
39,2019-07-23,1.82,1.83,1.78,1.82,25600
40,2019-07-22,1.8,1.84,1.8,1.84,36100
41,2019-07-19,1.82,1.85,1.78,1.8,38900
