,timestamp,open,high,low,close,volume
0,2019-09-17,28.47,28.9299,28.19,28.85,35322
1,2019-09-16,28.27,29.08,28.27,28.75,51430
2,2019-09-13,27.82,28.78,27.66,28.55,92700
3,2019-09-12,27.62,28.05,27.42,27.85,102300
4,2019-09-11,28.4,28.4,27.52,27.6,164400
5,2019-09-10,27.36,28.0,27.16,27.87,94400
6,2019-09-09,26.0,27.49,25.86,27.23,97000
7,2019-09-06,26.45,26.46,26.29,26.32,25900
8,2019-09-05,26.22,27.12,26.22,26.43,64800
9,2019-09-04,25.74,26.09,25.74,25.83,60000
10,2019-09-03,26.03,26.03,25.5,25.7,41200
11,2019-08-30,26.37,26.37,25.91,26.15,25800
12,2019-08-29,26.13,26.64,26.13,26.26,30700
13,2019-08-28,25.9,26.38,25.9,26.0,41100
14,2019-08-27,26.6,26.6,25.68,25.7,46300
15,2019-08-26,25.97,26.43,25.97,26.42,41800
16,2019-08-23,26.74,27.11,25.8,25.89,51400
17,2019-08-22,27.22,27.22,26.8,26.83,35700
18,2019-08-21,26.89,27.24,26.89,27.03,25300
19,2019-08-20,27.17,27.17,26.83,26.83,96700
20,2019-08-19,27.67,27.67,27.12,27.26,29600
21,2019-08-16,26.7709,27.33,26.77,27.3,50000
22,2019-08-15,26.83,27.0,26.49,26.61,22200
23,2019-08-14,27.16,27.184,26.44,26.93,43200
24,2019-08-13,27.44,28.03,27.42,27.64,35600
25,2019-08-12,27.51,27.57,27.09,27.48,31200
26,2019-08-09,27.61,27.96,27.377,27.64,47500
27,2019-08-08,27.41,27.93,27.38,27.65,38400
28,2019-08-07,27.01,27.36,26.59,27.21,36200
29,2019-08-06,27.27,27.69,26.98,27.45,34100
30,2019-08-05,27.57,27.62,26.84,27.21,95100
31,2019-08-02,28.11,28.35,27.81,28.02,43000
32,2019-08-01,28.85,29.1799,28.32,28.34,66200
33,2019-07-31,28.61,29.23,28.61,28.72,83300
34,2019-07-30,28.05,28.85,28.05,28.69,58300
35,2019-07-29,28.54,28.78,28.1,28.3,38500
36,2019-07-26,28.04,28.7426,27.62,28.5,51200
37,2019-07-25,28.34,28.53,27.8,27.87,39100
38,2019-07-24,27.26,28.44,27.09,28.36,66700
39,2019-07-23,27.91,27.91,26.7,27.37,62200
40,2019-07-22,27.2298,27.51,26.93,27.17,36800
41,2019-07-19,27.38,27.74,27.25,27.27,31700
42,2019-07-18,27.4,27.73,27.4,27.49,36100
43,2019-07-17,27.35,27.67,27.08,27.47,54500
44,2019-07-16,27.47,27.7,27.4317,27.43,35100
45,2019-07-15,27.8,27.8,27.3094,27.45,41400
46,2019-07-12,27.61,27.91,27.38,27.83,53200
47,2019-07-11,27.59,27.6001,27.41,27.55,53700
48,2019-07-10,28.0199,28.4,27.55,27.6,40200
49,2019-07-09,27.84,28.16,27.58,28.09,105600
50,2019-07-08,28.27,28.39,27.8,27.96,40200
51,2019-07-05,28.37,28.53,28.0594,28.45,34600
52,2019-07-03,28.37,28.465,28.22,28.37,17000
53,2019-07-02,28.425,28.66,28.242,28.35,64800
54,2019-07-01,28.66,28.79,28.47,28.54,65500
55,2019-06-28,28.08,28.88,28.06,28.57,177600
56,2019-06-27,27.24,28.0,27.21,27.97,66200
57,2019-06-26,27.4,27.68,27.1,27.2,40500
58,2019-06-25,27.2,27.59,26.93,27.4,105900
59,2019-06-24,26.92,27.34,26.92,27.15,69900
60,2019-06-21,27.1,27.31,26.83,26.87,105700
61,2019-06-20,27.71,27.7109,27.04,27.3,46400
62,2019-06-19,27.55,27.83,27.38,27.56,41700
63,2019-06-18,27.39,27.845,27.2,27.69,37700
64,2019-06-17,27.75,27.75,27.26,27.36,39700
65,2019-06-14,27.46,27.84,27.38,27.7,48100
66,2019-06-13,27.75,28.01,27.53,27.62,40700
67,2019-06-12,27.65,27.91,27.58,27.68,38800
68,2019-06-11,27.8597,27.98,27.503,27.89,59600
69,2019-06-10,27.52,27.94,26.97,27.66,18700
70,2019-06-07,27.55,27.7,27.37,27.42,16800
71,2019-06-06,27.78,27.8,27.3,27.63,23600
72,2019-06-05,28.11,28.11,27.67,27.84,39500
73,2019-06-04,27.6,28.2,27.4,28.14,48400
74,2019-06-03,27.02,27.47,26.75,27.33,50400
75,2019-05-31,26.97,27.615,26.59,27.1,44900
76,2019-05-30,27.88,27.88,27.03,27.39,36800
77,2019-05-29,27.6,28.05,27.56,27.84,39800
78,2019-05-28,28.25,28.3679,27.89,27.94,38800
79,2019-05-24,27.97,28.6,27.885,28.25,36000
80,2019-05-23,28.11,28.11,27.3874,27.67,30400
81,2019-05-22,28.89,28.89,28.28,28.38,26500
82,2019-05-21,29.2,29.2,28.61,28.85,84100
83,2019-05-20,28.44,29.06,28.4412,28.74,26800
84,2019-05-17,28.76,29.06,28.4686,28.61,29700
85,2019-05-16,29.02,29.16,28.8886,29.0,22500
86,2019-05-15,29.16,29.245,28.85,29.1,40600
87,2019-05-14,29.2,29.64,29.087,29.45,26700
88,2019-05-13,29.78,29.78,29.0,29.14,36100
89,2019-05-10,29.98,30.24,29.76,30.18,40900
90,2019-05-09,29.77,30.205,29.585,30.05,38000
91,2019-05-08,29.74,30.3,29.74,29.9,32900
92,2019-05-07,30.09,30.09,29.644,29.97,31500
93,2019-05-06,29.9,30.44,29.778,30.34,22500
94,2019-05-03,29.85,30.34,29.535,30.29,37700
95,2019-05-02,29.41,29.84,29.33,29.66,45300
96,2019-05-01,29.44,29.73,29.25,29.41,50400
97,2019-04-30,29.95,29.95,29.3397,29.51,59600
98,2019-04-29,29.96,30.06,29.158,29.94,24800
99,2019-04-26,29.4,29.86,29.15,29.84,29100
100,2019-04-25,29.44,29.61,29.15,29.41,37300
101,2019-04-24,29.99,30.25,29.58,29.63,56900
102,2019-04-23,28.16,30.0307,28.16,29.87,71300
103,2019-04-22,28.8981,29.176,28.08,28.25,22800
104,2019-04-18,29.11,29.24,28.73,28.9,33000
105,2019-04-17,29.2697,29.32,29.045,29.19,23800
106,2019-04-16,29.22,29.5,29.17,29.35,26300
107,2019-04-15,29.44,29.955,28.94,29.14,25300
108,2019-04-12,29.66,29.75,29.11,29.47,33300
109,2019-04-11,29.5,29.64,29.39,29.44,22400
110,2019-04-10,28.8589,29.42,28.82,29.38,34400
111,2019-04-09,29.29,29.31,28.9,28.92,30700
112,2019-04-08,29.28,29.5915,29.205,29.3,25000
113,2019-04-05,29.14,29.48,27.83,29.48,21800
114,2019-04-04,28.8,29.23,28.6,29.13,33900
115,2019-04-03,29.0801,29.08,28.57,28.79,134500
116,2019-04-02,29.25,29.338,28.9,28.9,25800
117,2019-04-01,28.92,29.3,28.87,29.28,32900
118,2019-03-29,29.29,29.31,28.6,28.74,89300
119,2019-03-28,29.13,29.3031,28.79,29.2,34400
120,2019-03-27,28.98,29.26,28.61,29.16,34000
121,2019-03-26,28.35,28.98,28.35,28.93,33700
122,2019-03-25,27.72,28.38,27.6,28.25,40400
123,2019-03-22,28.79,28.89,27.58,27.82,62200
124,2019-03-21,29.14,29.71,28.9,29.02,42600
125,2019-03-20,29.64,29.99,29.17,29.25,47500
126,2019-03-19,30.64,30.64,29.7,29.77,26900
127,2019-03-18,30.38,30.87,30.38,30.52,37800
128,2019-03-15,30.69,30.895,30.22,30.37,167800
129,2019-03-14,30.773,31.01,30.47,30.68,21500
130,2019-03-13,30.57,31.1,30.57,30.9,42600
131,2019-03-12,30.83,30.93,30.4221,30.69,55600
132,2019-03-11,29.96,30.84,29.95,30.74,64000
133,2019-03-08,29.49,30.02,29.16,29.95,53300
134,2019-03-07,30.04,30.04,29.485,29.68,58800
135,2019-03-06,30.99,31.1,30.01,30.07,54000
136,2019-03-05,31.03,31.03,30.42,30.93,197900
137,2019-03-04,31.07,31.21,30.94,31.15,117200
138,2019-03-01,31.13,31.14,30.64,31.1,73300
139,2019-02-28,30.8,31.0,30.8,30.94,91600
140,2019-02-27,30.8,31.0385,30.54,30.95,57500
141,2019-02-26,31.01,31.1896,30.7,30.77,60200
142,2019-02-25,31.09,31.3,31.04,31.04,79900
143,2019-02-22,30.8009,31.08,30.79,30.99,64500
144,2019-02-21,30.75,30.85,30.19,30.78,53800
145,2019-02-20,30.4,30.895,30.27,30.76,50900
146,2019-02-19,30.01,30.96,29.63,30.41,131500
147,2019-02-15,29.48,30.57,29.48,30.25,76400
148,2019-02-14,29.33,29.5,29.106,29.33,43300
149,2019-02-13,29.4,29.815,29.4,29.68,50500
150,2019-02-12,29.31,29.57,29.098,29.51,27300
151,2019-02-11,29.4,29.4,28.92,29.24,52100
152,2019-02-08,29.09,29.58,28.88,29.39,60200
153,2019-02-07,28.93,29.28,28.87,29.15,55000
154,2019-02-06,28.64,29.05,28.6392,28.93,36700
155,2019-02-05,28.72,28.98,28.48,28.78,49700
156,2019-02-04,28.48,28.64,28.24,28.57,126800
157,2019-02-01,28.24,28.466,28.24,28.4,34700
158,2019-01-31,27.89,28.2,27.76,28.18,55000
159,2019-01-30,28.06,28.22,27.92,28.08,50600
160,2019-01-29,28.26,28.325,27.96,28.07,91000
161,2019-01-28,28.46,28.46,28.09,28.15,68900
162,2019-01-25,28.91,29.15,28.345,28.46,75300
163,2019-01-24,28.42,28.99,28.42,28.58,55000
164,2019-01-23,27.97,28.663,27.97,28.41,61000
165,2019-01-22,27.05,28.57,27.0,27.95,87700
166,2019-01-18,26.84,27.42,26.775,27.06,72600
167,2019-01-17,26.67,27.17,26.6206,26.87,57500
168,2019-01-16,26.32,26.9102,26.32,26.77,40800
169,2019-01-15,26.12,26.48,25.96,26.29,41400
170,2019-01-14,26.27,26.69,26.07,26.11,49600
171,2019-01-11,26.17,26.61,26.17,26.48,36800
172,2019-01-10,26.0611,26.52,25.71,26.37,51400
173,2019-01-09,26.3391,26.73,26.13,26.31,31700
174,2019-01-08,25.0,26.4103,25.0,26.35,65500
175,2019-01-07,25.76,26.11,25.017,25.76,75400
176,2019-01-04,25.16,25.84,25.16,25.81,47500
177,2019-01-03,24.92,25.34,24.48,24.84,35100
178,2019-01-02,24.12,25.17,24.12,25.03,94300
179,2018-12-31,24.58,24.93,24.19,24.51,46700
180,2018-12-28,23.94,24.75,23.77,24.47,62600
181,2018-12-27,23.85,24.5,22.78,23.89,67000
182,2018-12-26,23.44,24.38,23.26,24.19,69300
183,2018-12-24,23.74,23.98,23.4,23.4,23400
184,2018-12-21,24.13,24.75,23.615,24.08,98400
185,2018-12-20,24.25,24.675,23.985,24.36,43200
186,2018-12-19,25.09,25.469,24.09,24.24,49400
187,2018-12-18,25.6,25.955,25.01,25.19,64300
188,2018-12-17,25.24,25.58,24.985,25.19,64200
189,2018-12-14,25.19,25.865,25.11,25.24,49300
190,2018-12-13,26.0,26.39,25.27,25.42,53600
191,2018-12-12,26.15,26.56,25.75,26.18,73500
192,2018-12-11,26.55,26.55,25.72,25.86,65000
193,2018-12-10,26.43,26.95,25.83,26.31,41700
194,2018-12-07,26.49,26.95,26.15,26.46,57100
195,2018-12-06,25.95,27.45,25.75,26.54,53900
196,2018-12-04,28.07,29.0,26.336,26.44,56700
197,2018-12-03,28.47,28.815,27.06,28.23,37400
198,2018-11-30,27.83,28.49,27.82,28.18,51800
199,2018-11-29,28.2,28.7187,27.67,27.82,27300
200,2018-11-28,27.47,28.33,27.12,28.19,45200
201,2018-11-27,27.5388,27.82,27.46,27.6,36400
202,2018-11-26,27.56,27.87,27.0,27.81,113800
203,2018-11-23,27.04,28.2,26.87,27.4,24000
204,2018-11-21,27.19,27.81,27.1,27.21,27800
205,2018-11-20,27.27,27.505,27.125,27.18,37800
206,2018-11-19,27.34,27.866,26.903,27.44,31700
207,2018-11-16,27.4616,28.23,26.54,27.45,87300
208,2018-11-15,26.9721,27.61,26.97,27.58,41000
209,2018-11-14,27.87,28.12,26.94,27.1,48300
210,2018-11-13,27.62,28.31,27.39,27.65,37500
211,2018-11-12,27.26,28.03,27.02,27.55,52000
212,2018-11-09,27.6,29.09,27.24,27.32,28000
213,2018-11-08,27.48,27.87,27.25,27.71,55000
214,2018-11-07,27.47,27.85,27.445,27.77,31100
215,2018-11-06,27.31,27.49,27.113,27.46,20800
216,2018-11-05,27.49,27.81,27.19,27.3,50300
217,2018-11-02,27.31,27.795,26.91,27.3,25300
218,2018-11-01,27.28,27.36,26.91,27.16,33200
219,2018-10-31,27.07,27.7,27.0,27.22,60600
220,2018-10-30,26.64,27.34,25.839,26.92,33500
221,2018-10-29,26.5794,27.54,26.36,26.65,170400
222,2018-10-26,26.3,26.76,25.49,26.29,35500
223,2018-10-25,25.84,26.83,25.57,26.57,33400
224,2018-10-24,26.75,26.856,25.6,25.66,63300
225,2018-10-23,26.08,26.95,25.5309,26.74,45300
226,2018-10-22,26.86,26.94,26.17,26.29,47800
227,2018-10-19,26.91,27.572,26.51,26.83,53100
228,2018-10-18,28.1,28.1,26.83,27.07,36700
229,2018-10-17,27.95,28.25,27.37,28.09,42700
230,2018-10-16,28.37,28.39,26.81,27.96,75600
231,2018-10-15,26.95,27.79,26.25,27.41,57800
232,2018-10-12,28.5,28.55,26.2,26.99,71900
233,2018-10-11,29.04,29.3568,28.18,28.18,29900
234,2018-10-10,29.5,29.9,29.05,29.15,43400
235,2018-10-09,29.47,30.01,29.23,29.51,47500
236,2018-10-08,29.36,30.46,29.36,29.58,15100
237,2018-10-05,29.7891,30.18,29.13,29.39,16100
238,2018-10-04,29.81,29.985,29.473,29.7,30900
239,2018-10-03,29.35,29.92,29.01,29.82,23600
240,2018-10-02,29.55,29.882,29.14,29.28,17300
241,2018-10-01,30.18,31.094,29.52,29.56,40400
242,2018-09-28,29.76,30.56,29.61,30.11,56300
243,2018-09-27,29.95,30.149,29.67,29.85,51200
244,2018-09-26,30.48,30.5087,29.98,30.11,40800
245,2018-09-25,30.6823,31.1,30.33,30.52,38700
246,2018-09-24,31.33,31.68,30.46,30.66,29600
247,2018-09-21,31.53,31.77,31.2,31.33,155600
248,2018-09-20,31.25,31.677,31.25,31.56,24700
249,2018-09-19,30.9998,31.31,30.93,31.11,31900
250,2018-09-18,31.25,31.28,31.01,31.01,27000
251,2018-09-17,31.44,31.457,31.03,31.19,25300
252,2018-09-14,31.02,31.72,31.02,31.39,37500
253,2018-09-13,31.43,31.6,30.9101,31.01,51700
254,2018-09-12,31.83,31.83,31.14,31.39,31600
255,2018-09-11,31.85,32.125,31.75,31.83,27300
256,2018-09-10,31.7,32.15,31.7,31.85,28200
257,2018-09-07,31.74,31.9,31.51,31.71,53500
258,2018-09-06,31.86,32.09,31.69,31.75,24900
259,2018-09-05,31.89,32.11,31.74,31.85,85000
260,2018-09-04,32.0,32.11,31.775,31.9,21900
261,2018-08-31,31.9,32.15,31.49,31.99,50700
262,2018-08-30,31.78,32.17,31.7,31.92,47000
263,2018-08-29,32.11,32.19,31.9,31.99,61700
264,2018-08-28,32.44,32.44,31.89,32.11,30600
265,2018-08-27,32.6,32.92,32.23,32.29,36700
266,2018-08-24,32.56,33.1794,32.43,32.53,92300
267,2018-08-23,32.73,32.83,32.38,32.58,32500
268,2018-08-22,33.15,33.17,32.59,32.78,51100
269,2018-08-21,32.52,33.34,32.52,32.97,64400
270,2018-08-20,32.24,32.53,32.0778,32.41,43700
271,2018-08-17,31.76,32.24,31.76,32.18,49800
272,2018-08-16,31.68,32.14,31.52,31.86,29300
273,2018-08-15,32.08,32.2,31.58,31.69,26400
274,2018-08-14,32.0679,32.37,31.94,32.13,20000
275,2018-08-13,31.8495,32.07,31.71,31.8,35200
