,timestamp,open,high,low,close,volume
0,2019-09-18,20.27,20.2718,20.27,20.27,1112
1,2019-09-16,20.2,20.2,20.2,20.2,0
2,2019-09-13,20.2,20.2,20.2,20.2,0
3,2019-09-12,20.14,20.21,20.08,20.2,14700
4,2019-09-11,19.79,20.09,19.67,19.8,23600
5,2019-09-10,19.68,19.68,19.55,19.55,700
6,2019-09-09,19.36,19.36,19.36,19.36,0
7,2019-09-06,19.45,19.45,19.36,19.36,600
8,2019-09-05,19.16,19.16,19.16,19.16,0
9,2019-09-04,19.15,19.16,19.15,19.16,500
10,2019-09-03,18.78,18.78,18.75,18.75,700
11,2019-08-30,18.82,18.82,18.82,18.82,0
12,2019-08-29,18.82,18.82,18.82,18.82,200
13,2019-08-28,18.76,18.8,18.76,18.8,200
14,2019-08-27,18.79,18.79,18.79,18.79,0
15,2019-08-26,18.79,18.79,18.79,18.79,0
16,2019-08-23,18.79,18.79,18.79,18.79,0
17,2019-08-22,18.79,18.79,18.79,18.79,200
18,2019-08-21,18.98,18.98,18.98,18.98,0
19,2019-08-20,19.03,19.03,18.98,18.98,200
20,2019-08-19,18.84,18.84,18.84,18.84,0
21,2019-08-16,18.84,18.84,18.84,18.84,100
22,2019-08-15,18.5,18.5,18.39,18.5,100
23,2019-08-14,18.5,18.5,18.3888,18.5,3600
24,2019-08-13,18.875,18.875,18.862,18.865,600
25,2019-08-12,18.74,18.76,18.74,18.76,100
26,2019-08-09,18.74,18.76,18.7398,18.76,100
27,2019-08-08,18.74,18.76,18.74,18.76,1300
28,2019-08-07,18.52,18.52,18.5,18.5,600
29,2019-08-06,18.7,18.79,18.55,18.68,29100
30,2019-08-05,18.69,18.6901,18.54,18.59,3200
31,2019-08-02,19.5,19.55,19.34,19.34,600
32,2019-08-01,19.97,19.97,19.65,19.65,900
33,2019-07-31,20.22,20.4,19.9699,19.97,31800
34,2019-07-30,20.33,20.51,20.2,20.31,53800
35,2019-07-29,20.5,20.51,20.4511,20.51,1700
36,2019-07-26,20.77,20.77,20.77,20.77,0
37,2019-07-25,20.93,20.93,20.77,20.77,900
38,2019-07-24,21.19,21.19,21.19,21.19,600
39,2019-07-23,21.19,21.19,21.19,21.19,300
40,2019-07-22,21.1,21.16,21.1,21.16,500
41,2019-07-19,21.19,21.2,21.07,21.07,1500
42,2019-07-18,21.05,21.11,20.92,21.08,2500
43,2019-07-17,21.05,21.05,21.0,21.0,1100
44,2019-07-16,21.16,21.19,21.16,21.17,1000
45,2019-07-15,21.13,21.15,21.13,21.13,1100
46,2019-07-12,21.18,21.19,21.11,21.11,1000
47,2019-07-11,21.17,21.17,21.17,21.17,200
48,2019-07-10,21.24,21.28,21.05,21.1,25800
49,2019-07-09,20.9996,21.08,20.67,20.98,29200
50,2019-07-08,21.2,21.2,21.169,21.18,1900
51,2019-07-05,21.5,21.5,21.5,21.5,400
52,2019-07-03,21.64,21.64,21.54,21.54,600
53,2019-07-02,21.77,21.88,21.65,21.81,20100
54,2019-07-01,22.11,22.12,21.97,22.03,3300
55,2019-06-28,22.21,22.26,22.21,22.24,1000
56,2019-06-27,22.36,22.4,22.36,22.38,600
57,2019-06-26,22.25,22.25,22.2,22.21,2200
58,2019-06-25,22.0,22.1879,22.0,22.17,10900
59,2019-06-24,22.01,22.2,21.98,22.04,11800
60,2019-06-21,22.05,22.25,22.03,22.03,13900
61,2019-06-20,22.1408,22.3,22.09,22.24,2500
62,2019-06-19,21.6,21.6,21.6,21.6,300
63,2019-06-17,21.45,21.45,21.45,21.45,0
64,2019-06-14,21.45,21.45,21.45,21.45,0
65,2019-06-13,21.45,21.45,21.45,21.45,0
66,2019-06-12,21.45,21.45,21.45,21.45,100
67,2019-06-11,21.49,21.49,21.45,21.45,200
68,2019-06-10,21.27,21.27,21.27,21.27,0
69,2019-06-07,21.27,21.27,21.27,21.27,0
70,2019-06-06,21.27,21.27,21.27,21.27,0
71,2019-06-05,21.27,21.27,21.27,21.27,0
72,2019-06-04,20.99,21.27,20.99,21.27,1700
73,2019-06-03,20.92,21.0,20.89,21.0,800
74,2019-05-31,20.49,20.49,20.41,20.43,1800
75,2019-05-30,20.76,20.76,20.76,20.76,100
76,2019-05-29,20.76,20.76,20.76,20.76,100
77,2019-05-28,20.76,20.76,20.76,20.76,100
78,2019-05-24,20.64,20.64,20.64,20.64,0
79,2019-05-23,20.64,20.64,20.64,20.64,0
80,2019-05-22,20.642,20.642,20.642,20.642,100
81,2019-05-21,20.64,20.64,20.64,20.64,100
82,2019-05-20,20.64,20.64,20.64,20.64,100
83,2019-05-17,20.6198,20.64,20.62,20.64,400
84,2019-05-16,20.83,20.84,20.83,20.84,600
85,2019-05-15,21.07,21.07,21.07,21.07,100
86,2019-05-14,21.07,21.07,21.07,21.07,300
87,2019-05-13,21.32,21.32,21.32,21.32,100
88,2019-05-10,21.324,21.324,21.324,21.324,1100
89,2019-05-09,22.1,22.1,22.1,22.1,100
90,2019-05-08,22.1,22.1,22.1,22.1,100
91,2019-05-07,22.1,22.1,22.1,22.1,0
92,2019-05-06,21.8,22.14,21.8,22.1,1300
93,2019-05-03,22.4,22.4,22.38,22.38,600
94,2019-05-02,22.48,22.48,22.48,22.48,0
95,2019-05-01,22.45,22.48,22.45,22.48,200
96,2019-04-30,22.68,22.68,22.68,22.68,100
97,2019-04-29,22.68,22.68,22.68,22.68,0
98,2019-04-26,22.68,22.68,22.68,22.68,100
99,2019-04-25,22.68,22.68,22.68,22.68,0
100,2019-04-24,22.68,22.68,22.68,22.68,100
101,2019-04-23,23.085,23.085,23.085,23.085,200
102,2019-04-22,23.26,23.26,23.26,23.26,100
103,2019-04-18,23.26,23.26,23.26,23.26,0
104,2019-04-17,23.26,23.26,23.26,23.26,0
105,2019-04-16,23.26,23.26,23.26,23.26,0
106,2019-04-15,23.26,23.26,23.26,23.26,100
107,2019-04-12,23.26,23.26,23.26,23.26,100
108,2019-04-11,23.26,23.26,23.26,23.26,0
109,2019-04-10,23.24,23.26,23.24,23.26,300
110,2019-04-09,22.99,22.99,22.99,22.99,300
111,2019-04-08,22.8986,22.9,22.85,22.85,600
112,2019-04-05,22.93,22.93,22.93,22.93,0
113,2019-04-04,22.99,22.99,22.93,22.93,600
114,2019-04-03,23.02,23.02,23.02,23.02,100
115,2019-04-02,23.02,23.02,23.02,23.02,100
116,2019-04-01,22.97,23.02,22.96,23.02,500
117,2019-03-29,22.6,22.6,22.6,22.6,100
118,2019-03-28,22.6,22.6,22.6,22.6,0
119,2019-03-27,22.69,22.69,22.6,22.6,200
120,2019-03-26,22.98,22.98,22.98,22.98,0
121,2019-03-25,22.98,22.98,22.98,22.98,0
122,2019-03-22,22.98,22.98,22.98,22.98,0
123,2019-03-21,22.98,22.98,22.98,22.98,0
124,2019-03-20,22.98,22.98,22.98,22.98,0
125,2019-03-19,22.98,22.98,22.98,22.98,0
126,2019-03-18,23.01,23.0092,22.98,22.98,900
127,2019-03-15,23.04,23.14,23.04,23.14,500
128,2019-03-14,22.613,22.613,22.613,22.613,300
129,2019-03-13,22.66,22.6592,22.66,22.66,200
130,2019-03-12,23.22,23.22,23.22,23.22,100
131,2019-03-11,23.22,23.22,23.22,23.22,100
132,2019-03-08,23.22,23.22,23.22,23.22,0
133,2019-03-07,23.22,23.22,23.22,23.22,100
134,2019-03-06,23.22,23.22,23.22,23.22,100
135,2019-03-05,23.216,23.216,23.216,23.216,300
136,2019-03-04,23.09,23.09,23.09,23.09,100
137,2019-03-01,23.39,23.39,23.39,23.39,0
138,2019-02-28,23.39,23.39,23.39,23.39,0
139,2019-02-27,23.39,23.39,23.39,23.39,0
140,2019-02-26,23.39,23.39,23.39,23.39,100
141,2019-02-25,23.39,23.39,23.39,23.39,200
142,2019-02-22,23.39,23.39,23.39,23.39,100
143,2019-02-21,23.386,23.386,23.386,23.386,100
144,2019-02-20,23.34,23.34,23.34,23.34,0
145,2019-02-19,23.34,23.34,23.34,23.34,100
146,2019-02-15,23.34,23.34,23.34,23.34,0
147,2019-02-14,23.34,23.34,23.34,23.34,0
148,2019-02-13,23.34,23.34,23.34,23.34,0
149,2019-02-12,23.34,23.34,23.34,23.34,0
150,2019-02-11,23.34,23.34,23.34,23.34,100
151,2019-02-08,23.34,23.34,23.34,23.34,100
152,2019-02-07,23.34,23.34,23.34,23.34,0
153,2019-02-06,23.34,23.34,23.34,23.34,0
154,2019-02-05,23.34,23.34,23.34,23.34,100
155,2019-02-04,23.32,23.34,23.32,23.34,500
156,2019-02-01,24.0,24.0,24.0,24.0,100
157,2019-01-31,24.0,24.0,24.0,24.0,100
158,2019-01-30,24.0,24.0,24.0,24.0,200
159,2019-01-29,23.284,23.284,23.25,23.25,500
160,2019-01-28,22.98,22.98,22.98,22.98,0
161,2019-01-25,22.98,22.98,22.98,22.98,0
162,2019-01-24,22.982,22.982,22.982,22.982,100
163,2019-01-23,22.9,22.9,22.9,22.9,200
164,2019-01-22,22.9,22.9,22.9,22.9,100
165,2019-01-18,23.3,23.3,23.3,23.3,100
166,2019-01-17,22.8103,22.99,22.81,22.99,700
167,2019-01-16,22.21,22.21,22.21,22.21,0
168,2019-01-15,22.21,22.21,22.21,22.21,100
169,2019-01-14,22.21,22.21,22.21,22.21,0
170,2019-01-11,22.21,22.21,22.21,22.21,0
171,2019-01-10,22.21,22.21,22.21,22.21,0
172,2019-01-09,22.21,22.21,22.21,22.21,0
173,2019-01-08,22.2705,22.27,22.08,22.21,500
174,2019-01-07,22.43,22.43,22.43,22.43,0
175,2019-01-04,22.11,22.43,22.11,22.43,400
176,2019-01-03,22.55,22.55,22.55,22.55,100
177,2019-01-02,22.55,22.55,22.55,22.55,100
178,2018-12-31,22.55,22.55,22.55,22.55,100
179,2018-12-28,22.35,22.55,22.31,22.55,1300
180,2018-12-27,22.27,22.27,22.27,22.27,100
181,2018-12-26,22.09,22.2,22.04,22.16,24600
182,2018-12-24,22.4698,22.48,22.01,22.01,10900
183,2018-12-21,22.37,22.37,22.37,22.37,100
184,2018-12-20,22.45,22.45,22.45,22.45,0
185,2018-12-19,22.45,22.45,22.45,22.45,0
186,2018-12-18,22.32,22.4509,22.32,22.45,12700
187,2018-12-17,22.7,22.6989,22.7,22.7,300
188,2018-12-14,23.17,23.17,23.17,23.17,0
189,2018-12-13,23.17,23.17,23.17,23.17,100
190,2018-12-12,23.1,23.1,23.1,23.1,100
191,2018-12-11,22.815,22.815,22.8139,22.815,600
192,2018-12-10,22.62,22.62,22.62,22.62,1100
193,2018-12-07,23.07,23.07,23.07,23.07,100
194,2018-12-06,23.07,23.07,23.07,23.07,200
195,2018-12-04,23.4,23.43,23.28,23.38,15200
196,2018-12-03,22.92,22.92,22.92,22.92,100
197,2018-11-30,22.92,22.92,22.92,22.92,100
198,2018-11-29,22.92,22.92,22.92,22.92,0
199,2018-11-28,22.92,22.92,22.92,22.92,0
200,2018-11-27,22.75,22.92,22.75,22.92,600
201,2018-11-26,22.76,22.76,22.76,22.76,100
202,2018-11-23,22.47,22.47,22.28,22.28,600
203,2018-11-21,22.75,22.75,22.75,22.75,200
204,2018-11-20,22.8,22.8,22.51,22.51,200
205,2018-11-19,23.07,23.07,22.77,22.77,700
