,timestamp,open,high,low,close,volume
0,2019-09-18,3.53,3.56,3.42,3.475,48995
1,2019-09-17,3.5,3.56,3.4,3.52,445208
2,2019-09-16,3.51,3.6,3.44,3.5,476600
3,2019-09-13,3.42,3.54,3.4,3.5,487800
4,2019-09-12,3.6,3.6,3.37,3.42,530800
5,2019-09-11,3.64,3.785,3.52,3.61,894300
6,2019-09-10,3.43,3.72,3.43,3.65,1008100
7,2019-09-09,3.31,3.52,3.26,3.43,852900
8,2019-09-06,3.26,3.36,3.21,3.29,555500
9,2019-09-05,3.14,3.37,3.1,3.26,593800
10,2019-09-04,2.95,3.125,2.93,3.08,517100
11,2019-09-03,2.95,3.04,2.9,2.95,368300
12,2019-08-30,3.05,3.12,2.87,2.89,495700
13,2019-08-29,3.17,3.34,2.95,3.02,563000
14,2019-08-28,3.12,3.17,3.01,3.14,351400
15,2019-08-27,3.32,3.344,3.007,3.1,707100
16,2019-08-26,3.45,3.49,3.22,3.28,965700
17,2019-08-23,3.2,3.42,3.07,3.37,1508600
18,2019-08-22,2.98,3.28,2.98,3.23,1021200
19,2019-08-21,2.9,3.03,2.87,2.97,649700
20,2019-08-20,2.94,2.98,2.835,2.9,761600
21,2019-08-19,3.22,3.25,2.92,3.0,740200
22,2019-08-16,2.93,3.23,2.93,3.1,963100
23,2019-08-15,2.98,3.04,2.86,2.89,648300
24,2019-08-14,3.05,3.08,2.76,2.94,1249800
25,2019-08-13,2.7102,3.29,2.71,3.08,2776300
26,2019-08-12,2.81,2.85,2.541,2.68,1664000
27,2019-08-09,2.4,2.85,2.38,2.78,2277100
28,2019-08-08,2.35,2.42,2.335,2.39,745200
29,2019-08-07,2.42,2.46,2.31,2.36,577200
30,2019-08-06,2.4,2.487,2.34,2.42,1565500
31,2019-08-05,2.4,2.43,2.29,2.39,952400
32,2019-08-02,2.3,2.47,2.28,2.44,2249500
33,2019-08-01,2.38,2.4001,2.27,2.33,774300
34,2019-07-31,2.36,2.41,2.33,2.39,1058600
35,2019-07-30,2.5,2.6,2.32,2.35,4750900
36,2019-07-29,2.13,2.15,2.08,2.14,142500
37,2019-07-26,1.97,2.2,1.97,2.11,289100
38,2019-07-25,2.09,2.1,1.98,1.99,265200
39,2019-07-24,2.08,2.14,2.04,2.08,323900
40,2019-07-23,2.25,2.25,2.12,2.13,329200
41,2019-07-22,2.31,2.33,2.23,2.25,156000
42,2019-07-19,2.33,2.338,2.23,2.31,230900
43,2019-07-18,2.31,2.37,2.31,2.34,315200
44,2019-07-17,2.3499,2.37,2.299,2.31,268200
45,2019-07-16,2.2598,2.405,2.26,2.35,559500
46,2019-07-15,2.33,2.3699,2.28,2.28,210700
47,2019-07-12,2.36,2.38,2.26,2.35,266700
48,2019-07-11,2.4,2.4,2.34,2.36,155500
49,2019-07-10,2.36,2.39,2.31,2.38,186400
50,2019-07-09,2.27,2.37,2.27,2.34,276300
51,2019-07-08,2.26,2.31,2.21,2.25,369400
52,2019-07-05,2.32,2.36,2.27,2.29,283200
53,2019-07-03,2.32,2.37,2.28,2.33,509600
54,2019-07-02,2.37,2.37,2.2899,2.3,199300
55,2019-07-01,2.4,2.4,2.33,2.35,234100
56,2019-06-28,2.41,2.46,2.36,2.38,332000
57,2019-06-27,2.5,2.52,2.39,2.4,296500
58,2019-06-26,2.6,2.62,2.48,2.48,121500
59,2019-06-25,2.6001,2.64,2.555,2.59,159400
60,2019-06-24,2.67,2.77,2.56,2.59,161400
61,2019-06-21,2.66,2.71,2.56,2.67,242000
62,2019-06-20,2.71,2.7301,2.65,2.65,162900
63,2019-06-19,2.67,2.727,2.62,2.67,285100
64,2019-06-18,2.82,2.87,2.65,2.67,370200
65,2019-06-17,2.71,2.8299,2.65,2.8,326200
66,2019-06-14,2.69,2.75,2.62,2.69,315400
67,2019-06-13,2.66,2.694,2.6,2.66,463900
68,2019-06-12,2.54,2.72,2.504,2.65,381600
69,2019-06-11,2.74,2.75,2.5,2.53,528400
70,2019-06-10,2.51,2.55,2.46,2.5,245400
71,2019-06-07,2.49,2.56,2.477,2.5,175200
72,2019-06-06,2.54,2.54,2.44,2.49,194500
73,2019-06-05,2.61,2.61,2.5,2.55,137400
74,2019-06-04,2.68,2.75,2.45,2.58,391200
75,2019-06-03,2.47,2.59,2.442,2.54,250800
76,2019-05-31,2.4402,2.5,2.39,2.45,132100
77,2019-05-30,2.36,2.46,2.355,2.44,199900
