,timestamp,open,high,low,close,volume
0,2019-09-18,70.9,70.9616,70.7,70.9247,6613
1,2019-09-17,70.39,71.05,70.39,71.05,21785
2,2019-09-16,69.97,70.38,69.92,70.37,24300
3,2019-09-13,70.46,70.63,70.1,70.16,48700
4,2019-09-12,70.36,70.81,70.36,70.43,114700
5,2019-09-11,69.89,70.17,69.75,70.01,34900
6,2019-09-10,70.23,70.23,69.22,69.81,41100
7,2019-09-09,71.89,71.89,70.4,70.49,113800
8,2019-09-06,71.95,72.06,71.61,71.63,25700
9,2019-09-05,71.63,72.05,71.61,71.83,237900
10,2019-09-04,70.99,71.04,70.7,71.04,47600
11,2019-09-03,70.48,70.78,70.09,70.4,98200
12,2019-08-30,71.54,71.54,70.77,70.89,20700
13,2019-08-29,71.08,71.49,70.85,71.28,19800
14,2019-08-28,69.89,70.44,69.61,70.35,34800
15,2019-08-27,70.62,70.68,69.83,70.14,96500
16,2019-08-26,70.05,70.18,69.61,70.18,238700
17,2019-08-23,70.92,71.33,69.31,69.47,27800
18,2019-08-22,71.52,71.58,70.73,71.26,33500
19,2019-08-21,71.11,71.35,71.07,71.23,57600
20,2019-08-20,70.83,71.0,70.58,70.58,36900
21,2019-08-19,71.08,71.13,70.75,70.99,38500
22,2019-08-16,69.66,70.38,69.6574,70.29,68300
23,2019-08-15,69.15,69.41,68.89,69.34,42500
24,2019-08-14,69.91,70.06,68.88,68.95,67200
25,2019-08-13,69.65,71.091,69.568,70.9,105100
26,2019-08-12,70.51,70.54,69.679,69.85,32500
27,2019-08-09,70.95,71.189,70.474,70.92,32100
28,2019-08-08,70.12,71.3,70.05,71.3,101700
29,2019-08-07,68.57,69.785,68.35,69.62,93800
30,2019-08-06,68.6,69.34,68.46,69.26,76400
31,2019-08-05,69.13,69.27,67.49,68.0,112000
32,2019-08-02,70.65,70.65,69.86,70.25,70000
33,2019-08-01,71.37,72.23,70.83,71.01,66200
34,2019-07-31,72.42,72.42,70.77,71.44,39900
35,2019-07-30,71.81,72.24,71.81,72.09,35100
36,2019-07-29,72.59,72.59,71.95,72.34,68800
37,2019-07-26,72.29,72.67,72.29,72.64,41000
38,2019-07-25,72.28,72.33,71.99,72.04,32100
39,2019-07-24,71.89,72.5,71.89,72.49,89300
40,2019-07-23,72.0,72.06,71.54,72.02,43800
41,2019-07-22,71.6165,71.93,71.6,71.68,35400
42,2019-07-19,72.27,72.304,71.42,71.5,37800
43,2019-07-18,71.69,72.18,71.59,72.06,47600
44,2019-07-17,72.03,72.19,71.79,71.82,51700
45,2019-07-16,72.25,72.35,71.96,72.01,57800
46,2019-07-15,72.33,72.34,72.06,72.31,40900
47,2019-07-12,71.97,72.23,71.81,72.17,89000
48,2019-07-11,71.92,71.96,71.63,71.96,31800
49,2019-07-10,71.9607,72.12,71.69,71.84,47500
50,2019-07-09,71.05,71.65,71.05,71.57,54300
51,2019-07-08,71.45,71.51,71.19,71.34,30800
52,2019-07-05,71.5,71.72,70.99,71.72,59300
53,2019-07-03,71.37,71.86,71.37,71.86,39900
54,2019-07-02,70.87,71.13,70.86,71.13,85500
55,2019-07-01,71.16,71.28,70.61,70.9,153700
