,timestamp,open,high,low,close,volume
0,2019-09-18,1.12,1.16,1.1,1.125,223111
1,2019-09-17,1.16,1.17,1.1,1.14,1123378
2,2019-09-16,1.08,1.15,1.02,1.14,1877200
3,2019-09-13,1.14,1.19,1.0,1.05,1871400
4,2019-09-12,1.25,1.25,1.05,1.15,2195500
5,2019-09-11,1.05,1.23,1.05,1.19,4201300
6,2019-09-10,0.84,1.03,0.84,1.02,5169500
7,2019-09-09,0.82,0.85,0.81,0.85,1640200
8,2019-09-06,0.79,0.85,0.77,0.81,1646600
9,2019-09-05,0.76,0.8,0.75,0.79,1081600
10,2019-09-04,0.75,0.8,0.75,0.76,559200
11,2019-09-03,0.8,0.81,0.72,0.74,1378700
12,2019-08-30,0.78,0.81,0.76,0.8,1074200
13,2019-08-29,0.79,0.8,0.75,0.77,679900
14,2019-08-28,0.7,0.78,0.7,0.77,876700
15,2019-08-27,0.82,0.82,0.72,0.73,1551200
16,2019-08-26,0.78,0.83,0.74,0.81,1220600
17,2019-08-23,0.83,0.84,0.74,0.74,1631400
18,2019-08-22,0.84,0.85,0.81,0.83,651300
19,2019-08-21,0.86,0.88,0.81,0.84,1288600
20,2019-08-20,0.82,0.88,0.8,0.86,1194400
21,2019-08-19,0.8,0.85,0.78,0.82,1893700
22,2019-08-16,0.72,0.81,0.7,0.78,2451300
23,2019-08-15,0.69,0.74,0.67,0.71,1756100
24,2019-08-14,0.76,0.77,0.67,0.676,4564900
25,2019-08-13,0.8,0.8,0.75,0.77,2008900
26,2019-08-12,0.85,0.85,0.72,0.79,2924700
27,2019-08-09,0.93,0.93,0.83,0.83,2834000
28,2019-08-08,0.951,0.964,0.85,0.93,4411500
29,2019-08-07,1.0,1.02,0.92,0.94,4577000
30,2019-08-06,1.13,1.25,1.07,1.23,3941000
31,2019-08-05,1.16,1.2,1.12,1.13,2118400
32,2019-08-02,1.22,1.27,1.17,1.21,2787800
33,2019-08-01,1.3799,1.38,1.23,1.23,3188100
34,2019-07-31,1.38,1.42,1.32,1.32,1972000
35,2019-07-30,1.31,1.4,1.28,1.36,1815200
36,2019-07-29,1.27,1.36,1.25,1.32,1651900
37,2019-07-26,1.29,1.32,1.25,1.31,1074700
38,2019-07-25,1.33,1.36,1.28,1.28,1849500
39,2019-07-24,1.3,1.33,1.27,1.32,1526000
40,2019-07-23,1.31,1.33,1.28,1.29,714400
41,2019-07-22,1.3,1.36,1.29,1.31,1768900
42,2019-07-19,1.35,1.39,1.31,1.31,2306800
43,2019-07-18,1.36,1.43,1.33,1.39,1335700
44,2019-07-17,1.5,1.57,1.37,1.38,3315500
45,2019-07-16,1.68,1.68,1.53,1.55,2492400
46,2019-07-15,1.73,1.73,1.67,1.67,678100
47,2019-07-12,1.78,1.78,1.65,1.71,2316300
48,2019-07-11,1.79,1.79,1.72,1.73,998500
49,2019-07-10,1.72,1.78,1.67,1.78,2984900
50,2019-07-09,1.71,1.72,1.64,1.7,757900
51,2019-07-08,1.78,1.81,1.68,1.69,2367700
52,2019-07-05,1.75,1.81,1.71,1.77,1040500
53,2019-07-03,1.75,1.83,1.75,1.77,1144300
54,2019-07-02,1.73,1.79,1.675,1.78,2555200
55,2019-07-01,1.76,1.79,1.7,1.75,1934500
56,2019-06-28,1.7,1.77,1.64,1.75,4042600
57,2019-06-27,1.6,1.7101,1.56,1.7,6594800
58,2019-06-26,1.5,1.63,1.48,1.63,4581900
59,2019-06-25,1.42,1.54,1.345,1.51,4805300
60,2019-06-24,1.42,1.47,1.34,1.43,3899600
61,2019-06-21,1.36,1.44,1.29,1.39,8604400
62,2019-06-20,1.22,1.485,1.22,1.35,6731500
63,2019-06-19,1.32,1.33,1.205,1.21,5242000
64,2019-06-18,1.4,1.43,1.31,1.33,4683700
65,2019-06-17,1.46,1.46,1.39,1.4,2508100
66,2019-06-14,1.51,1.52,1.32,1.46,3852600
67,2019-06-13,1.48,1.54,1.43,1.52,2415600
68,2019-06-12,1.66,1.72,1.47,1.49,5455500
69,2019-06-11,1.78,1.83,1.6599,1.69,2995600
70,2019-06-10,1.86,1.86,1.75,1.78,1515600
71,2019-06-07,1.99,1.99,1.72,1.74,5237200
72,2019-06-06,1.98,2.0,1.92,1.98,1198400
73,2019-06-05,2.05,2.05,1.93,1.95,2551000
74,2019-06-04,1.9,2.03,1.85,2.02,3417600
75,2019-06-03,1.87,1.88,1.82,1.88,1137100
76,2019-05-31,1.86,1.9,1.82,1.88,3083000
77,2019-05-30,1.87,1.91,1.855,1.88,3370700
78,2019-05-29,2.165,2.17,1.83,1.85,7272800
79,2019-05-28,1.8,1.82,1.66,1.73,2455300
80,2019-05-24,1.8,1.83,1.76,1.77,1526300
81,2019-05-23,1.94,1.95,1.75,1.78,4439100
82,2019-05-22,2.09,2.09,1.92,1.93,1963000
83,2019-05-21,1.97,2.09,1.94,2.03,2911400
84,2019-05-20,1.92,1.98,1.909,1.97,2535800
85,2019-05-17,2.0,2.035,1.91,1.92,2757200
86,2019-05-16,2.09,2.09,2.0,2.02,2004600
87,2019-05-15,2.1,2.1,2.0401,2.06,1831700
88,2019-05-14,2.03,2.11,2.02,2.08,1907000
89,2019-05-13,2.05,2.06,2.0,2.03,3379600
90,2019-05-10,2.13,2.17,2.07,2.08,2486700
91,2019-05-09,2.17,2.175,2.06,2.17,2084600
92,2019-05-08,2.11,2.19,2.1,2.17,2691000
93,2019-05-07,2.1,2.19,2.08,2.1,3048700
94,2019-05-06,2.08,2.15,2.04,2.12,2785700
95,2019-05-03,2.14,2.14,2.02,2.06,3277300
