,timestamp,open,high,low,close,volume
0,2019-09-16,69.73,70.3085,68.005,68.815,139924
1,2019-09-13,69.49,71.04,68.33,70.17,356869
2,2019-09-12,67.76,69.2,66.73,68.78,411600
3,2019-09-11,66.69,67.86,65.58,67.82,629000
4,2019-09-10,64.57,66.99,64.02,66.2,343500
5,2019-09-09,62.5,64.88,62.33,64.87,275100
6,2019-09-06,62.12,63.49,61.65,62.32,214800
7,2019-09-05,62.08,64.01,62.08,62.26,317300
8,2019-09-04,62.19,62.66,61.22,61.36,205800
9,2019-09-03,62.18,62.43,60.31,61.07,288200
10,2019-08-30,65.81,65.9,62.48,62.84,413800
11,2019-08-29,64.17,65.38,64.17,64.78,249600
12,2019-08-28,62.47,63.34,62.13,63.23,317800
13,2019-08-27,63.56,65.1,62.64,62.76,303800
14,2019-08-26,63.71,63.71,62.25,63.06,224600
15,2019-08-23,63.24,64.97,62.28,62.47,651600
16,2019-08-22,63.11,65.55,63.05,64.16,718500
17,2019-08-21,63.34,64.18,62.67,63.07,418900
18,2019-08-20,63.0,63.1,61.73,62.34,212800
19,2019-08-19,62.62,63.78,61.87,63.3,412200
20,2019-08-16,59.68,61.69,59.3,61.42,349400
21,2019-08-15,59.16,59.92,58.25,58.69,466500
22,2019-08-14,60.62,60.92,58.39,59.09,263600
23,2019-08-13,60.7,62.45,58.5264,62.28,740600
24,2019-08-12,61.0,61.28,58.06,58.67,649800
25,2019-08-09,63.5883,64.05,61.72,61.87,251800
26,2019-08-08,63.2911,64.16,62.47,64.04,346500
27,2019-08-07,64.31,66.38,62.29,62.98,614400
28,2019-08-06,65.49,66.63,65.17,65.7,253100
29,2019-08-05,68.8,69.99,64.07,65.15,662000
30,2019-08-02,73.48,73.48,68.8,69.99,615400
31,2019-08-01,75.41,77.4,73.47,73.86,359800
32,2019-07-31,76.31,76.92,74.56,75.53,385400
33,2019-07-30,74.31,76.46,74.12,76.43,275900
34,2019-07-29,75.31,75.69,73.89,75.05,281400
35,2019-07-26,75.13,76.06,74.67,75.42,288900
36,2019-07-25,76.93,77.11,74.58,74.96,407600
37,2019-07-24,75.38,77.39,74.31,77.27,533900
38,2019-07-23,75.77,77.27,75.45,76.17,477900
39,2019-07-22,76.7,78.8,72.56,74.39,1016000
40,2019-07-19,73.83,78.09,73.83,76.7,1053000
41,2019-07-18,73.71,74.57,70.38,73.85,846100
42,2019-07-17,72.71,72.71,69.46,69.59,918400
43,2019-07-16,72.89,74.59,72.89,72.96,358300
44,2019-07-15,74.89,74.99,72.82,73.14,483800
45,2019-07-12,72.42,74.3,72.01,74.01,322200
46,2019-07-11,72.0,73.18,71.72,72.41,572600
47,2019-07-10,72.88,73.4281,71.42,72.06,422100
48,2019-07-09,72.53,73.66,71.76,72.5,332200
49,2019-07-08,73.4,73.96,72.0908,72.95,399700
50,2019-07-05,73.14,73.91,72.65,73.53,259500
51,2019-07-03,74.3,74.77,73.57,73.82,158700
52,2019-07-02,75.5881,76.04,73.75,74.27,322500
53,2019-07-01,77.48,78.17,74.6,75.64,545300
54,2019-06-28,74.8166,77.0,73.8,76.88,2022400
55,2019-06-27,73.26,75.17,72.19,74.76,702200
56,2019-06-26,71.68,72.39,70.5655,71.91,294600
57,2019-06-25,70.42,71.93,69.83,71.13,361300
58,2019-06-24,70.4415,71.5,69.9,70.41,516600
59,2019-06-21,71.92,72.555,70.09,70.17,614800
60,2019-06-20,72.2,72.53,71.01,72.44,675500
61,2019-06-19,74.9564,75.26,70.53,71.02,1169400
62,2019-06-18,75.98,76.87,74.885,75.09,349400
63,2019-06-17,76.13,76.13,74.4179,75.03,376800
64,2019-06-14,76.4,76.53,75.14,75.3,1031200
65,2019-06-13,74.52,77.12,74.29,76.98,997900
66,2019-06-12,75.54,77.2,73.5,74.94,2331800
67,2019-06-11,78.4,78.9,74.27,74.9,855200
68,2019-06-10,81.36,82.49,80.21,80.29,278100
69,2019-06-07,80.36,81.534,79.5,80.93,393000
70,2019-06-06,78.25,80.4,78.25,79.67,412900
71,2019-06-05,79.09,79.339,77.645,78.19,257800
72,2019-06-04,78.31,79.45,77.07,79.0,411500
73,2019-06-03,76.64,77.8047,75.272,77.46,298000
74,2019-05-31,76.99,77.37,76.15,76.63,286700
75,2019-05-30,78.2,79.65,77.19,78.07,261000
76,2019-05-29,77.5,78.76,76.85,77.91,418900
77,2019-05-28,76.78,79.21,76.78,78.23,500500
78,2019-05-24,74.53,77.22,74.53,76.95,378600
79,2019-05-23,76.51,76.57,73.05,73.68,282300
80,2019-05-22,78.77,78.98,77.13,77.34,366600
81,2019-05-21,78.94,80.42,78.78,78.84,284500
82,2019-05-20,78.44,79.54,77.02,78.51,436300
83,2019-05-17,81.5049,82.52,78.61,78.88,508700
84,2019-05-16,83.61,84.32,81.785,82.18,664500
85,2019-05-15,82.82,83.47,82.14,83.22,376800
86,2019-05-14,85.65,86.51,83.63,83.72,577800
87,2019-05-13,88.98,90.2,84.16,85.03,738400
88,2019-05-10,91.79,92.44,89.525,91.03,596400
89,2019-05-09,88.49,93.52,87.24,93.16,1283400
90,2019-05-08,87.31,87.31,85.965,86.09,175600
91,2019-05-07,87.71,88.328,86.4,87.61,405500
92,2019-05-06,87.57,89.245,87.38,88.84,216000
93,2019-05-03,88.09,89.7,88.0,89.63,204400
94,2019-05-02,86.0,87.51,84.95,87.49,231900
95,2019-05-01,88.63,88.92,86.42,86.5,394500
96,2019-04-30,89.3,89.74,87.94,88.27,262700
97,2019-04-29,88.78,89.305,88.31,89.22,256100
98,2019-04-26,87.01,88.52,86.27,88.31,246800
99,2019-04-25,87.9276,87.92,85.95,87.22,273200
100,2019-04-24,87.15,88.44,86.46,88.35,429900
101,2019-04-23,84.39,87.65,84.04,87.23,662900
102,2019-04-22,86.53,86.945,80.8,84.43,1168800
103,2019-04-18,85.0,93.75,85.0,87.16,1116000
104,2019-04-17,87.06,88.74,86.382,88.03,473500
105,2019-04-16,87.6198,88.51,86.77,86.93,654600
106,2019-04-15,88.54,89.64,87.02,87.07,260200
107,2019-04-12,90.2,90.768,88.4101,88.42,478500
108,2019-04-11,87.76,89.34,87.7,89.3,323500
109,2019-04-10,86.1,88.5543,84.82,87.95,434800
110,2019-04-09,87.37,87.37,85.86,85.97,226600
111,2019-04-08,87.89,88.02,86.38,87.56,386600
112,2019-04-05,89.21,89.99,88.43,88.48,292200
113,2019-04-04,88.8,89.5,88.17,89.01,426500
114,2019-04-03,88.74,89.98,88.36,89.09,337400
115,2019-04-02,90.73,90.73,87.93,88.0,354200
116,2019-04-01,91.72,91.85,90.115,90.72,302500
117,2019-03-29,91.03,91.19,90.12,90.52,491200
118,2019-03-28,90.06,91.6,88.671,90.0,295200
119,2019-03-27,90.65,90.99,88.21,89.66,178000
120,2019-03-26,89.15,91.0,88.92,90.66,222600
121,2019-03-25,89.1,89.82,87.56,88.18,367800
122,2019-03-22,94.49,95.66,87.27,88.73,640700
123,2019-03-21,92.15,94.895,92.15,94.46,386000
124,2019-03-20,93.0,94.055,90.96,92.37,273500
125,2019-03-19,93.61,93.68,92.23,92.92,318000
126,2019-03-18,90.85,93.32,90.39,92.92,238500
127,2019-03-15,89.45,91.0282,88.96,90.85,507500
128,2019-03-14,90.11,91.06,88.89,89.04,264600
129,2019-03-13,89.9,91.245,89.5319,90.03,415300
130,2019-03-12,88.97,89.64,88.1325,89.4,264100
131,2019-03-11,86.69,88.71,86.12,88.65,217700
132,2019-03-08,85.75,86.79,84.25,86.7,201300
133,2019-03-07,86.07,86.9322,85.145,86.74,227700
134,2019-03-06,86.97,88.42,86.05,86.11,214700
135,2019-03-05,87.39,87.62,86.46,87.29,174800
136,2019-03-04,89.36,89.36,86.224,87.4,230100
137,2019-03-01,88.93,89.8,87.145,88.98,323700
138,2019-02-28,87.54,88.709,86.4,88.28,362300
139,2019-02-27,87.42,87.99,86.49,87.61,250500
140,2019-02-26,87.16,88.3248,86.78,87.41,232800
141,2019-02-25,88.95,89.1,86.89,87.6,371300
142,2019-02-22,86.68,88.54,85.95,87.99,382400
143,2019-02-21,84.79,86.469,84.4668,85.94,750600
144,2019-02-20,84.76,86.02,83.855,85.2,476600
145,2019-02-19,87.47,88.77,84.49,84.62,622100
146,2019-02-15,86.14,88.68,83.33,88.16,774500
147,2019-02-14,81.62,89.48,79.93,85.84,1296800
148,2019-02-13,81.74,83.0239,81.35,82.45,638300
149,2019-02-12,81.17,82.65,80.43,81.48,452900
150,2019-02-11,76.1,80.475,76.1,80.15,878500
151,2019-02-08,74.76,76.2,74.0,76.2,261900
152,2019-02-07,75.55,75.91,74.68,75.02,275400
153,2019-02-06,75.81,76.75,75.39,76.27,180700
154,2019-02-05,76.54,77.22,74.635,76.03,175900
155,2019-02-04,75.11,76.815,73.79,76.74,236600
156,2019-02-01,74.9063,75.89,73.72,75.11,382800
157,2019-01-31,73.7,74.96,71.36,74.7,261600
