,timestamp,open,high,low,close,volume
0,2019-09-18,9.2,9.69,9.2,9.4,8026
1,2019-09-17,8.81,9.25,8.39,9.18,9536
2,2019-09-16,8.71,8.73,8.43,8.54,9300
3,2019-09-13,8.73,8.73,8.68,8.68,1700
4,2019-09-12,8.5,8.75,8.0,8.75,13300
5,2019-09-11,8.72,9.0,8.32,8.61,11300
6,2019-09-10,8.5,8.69,8.114,8.465,28600
7,2019-09-09,9.658,9.658,8.5,8.63,27400
8,2019-09-06,9.15,9.15,8.7,8.85,14400
9,2019-09-05,8.99,10.122,8.74,9.28,17400
10,2019-09-04,8.97,9.58,8.59,8.93,21300
11,2019-09-03,10.3,10.65,8.96,9.25,31400
12,2019-08-30,8.93,9.5,8.565,9.5,8900
13,2019-08-29,9.036,9.15,8.841,8.98,4400
14,2019-08-28,8.63,9.05,8.616,8.99,10400
15,2019-08-27,9.41,9.41,8.91,8.96,17300
16,2019-08-26,9.41,9.41,9.07,9.4,3100
17,2019-08-23,9.45,9.45,8.67,9.41,10200
18,2019-08-22,9.24,9.448,9.24,9.27,4900
19,2019-08-21,9.53,9.53,9.04,9.28,5200
20,2019-08-20,9.61,9.82,9.37,9.37,5200
21,2019-08-19,10.19,10.19,9.55,9.8,2500
22,2019-08-16,10.674,10.674,9.529,9.9,10100
23,2019-08-15,10.25,10.585,10.16,10.18,4500
24,2019-08-14,10.6,10.998,10.3501,10.6,6000
25,2019-08-13,10.9,11.05,10.644,11.05,8800
26,2019-08-12,10.5,10.55,10.15,10.37,3200
27,2019-08-09,10.633,10.633,10.25,10.48,5900
28,2019-08-08,10.32,11.05,10.03,10.22,7300
29,2019-08-07,10.665,11.0,10.04,10.05,11600
30,2019-08-06,10.06,10.53,10.01,10.4,4600
31,2019-08-05,10.23,10.86,10.03,10.03,5400
32,2019-08-02,10.01,10.76,10.01,10.71,3200
33,2019-08-01,11.08,11.25,10.597,10.8,9900
34,2019-07-31,9.99,11.15,9.99,10.86,34100
35,2019-07-30,10.08,10.08,9.84,9.89,7200
36,2019-07-29,10.19,10.19,9.87,9.87,4500
37,2019-07-26,10.51,10.75,9.568,9.93,26000
38,2019-07-25,10.35,11.47,10.35,10.35,41800
39,2019-07-24,9.79,10.447,9.31,10.21,15300
40,2019-07-23,8.99,9.9,8.9904,9.9,30700
41,2019-07-22,8.94,9.0,8.885,9.0,13700
42,2019-07-19,8.92,9.46,8.9,8.95,13700
43,2019-07-18,9.0,9.33,8.75,8.98,31600
44,2019-07-17,8.6,9.125,8.32,8.93,42400
45,2019-07-16,7.88,8.2,7.85,8.18,11000
46,2019-07-15,7.5,8.042,7.5,7.95,25800
47,2019-07-12,7.41,7.76,7.205,7.65,22100
48,2019-07-11,7.35,7.49,7.02,7.13,29700
49,2019-07-10,6.5,7.43,6.5,7.39,61800
50,2019-07-09,6.93,6.93,6.46,6.56,32600
51,2019-07-08,7.57,7.57,6.38,6.55,69100
52,2019-07-05,8.0,8.5,7.23,7.47,31000
53,2019-07-03,7.8,8.33,7.8,8.0,3900
54,2019-07-02,7.58,8.182,7.5,7.65,12900
55,2019-07-01,7.03,8.11,7.03,7.63,38800
56,2019-06-28,6.57,7.43,6.1,7.14,253700
57,2019-06-27,7.0,7.195,6.3,6.49,43100
58,2019-06-26,7.55,7.79,6.55,6.78,47400
59,2019-06-25,7.9794,8.226,7.71,7.79,38500
60,2019-06-24,7.431,7.866,7.0,7.84,30700
61,2019-06-21,8.25,8.25,7.65,7.79,16000
62,2019-06-20,8.614,8.614,7.15,7.8,102100
63,2019-06-19,9.0,9.251,7.865,8.24,118000
64,2019-06-18,9.828,9.828,8.95,9.11,33500
65,2019-06-17,9.59,9.743,8.965,9.18,79300
