,timestamp,open,high,low,close,volume
0,2019-09-18,6.84,6.84,6.53,6.555,107321
1,2019-09-17,6.82,6.82,6.7,6.75,318313
2,2019-09-16,6.84,7.01,6.83,6.85,549000
3,2019-09-13,6.83,6.98,6.77,6.87,322200
4,2019-09-12,6.75,6.95,6.69,6.82,1142500
5,2019-09-11,6.72,7.3,6.66,6.76,6538000
6,2019-09-10,6.57,6.74,6.46,6.66,312000
7,2019-09-09,6.61,6.69,6.49,6.6,506600
8,2019-09-06,6.75,6.81,6.58,6.6,293900
9,2019-09-05,6.58,6.79,6.55,6.72,553700
10,2019-09-04,6.54,6.61,6.46,6.53,222700
11,2019-09-03,6.52,6.6,6.47,6.49,353600
12,2019-08-30,6.63,6.66,6.54,6.59,308100
13,2019-08-29,6.71,6.82,6.64,6.66,388300
14,2019-08-28,6.51,6.7,6.48,6.64,282600
15,2019-08-27,6.47,6.61,6.46,6.55,506800
16,2019-08-26,6.59,6.69,6.43,6.46,822200
17,2019-08-23,6.73,6.73,6.51,6.56,499100
18,2019-08-22,6.91,6.91,6.72,6.75,310500
19,2019-08-21,6.9,6.94,6.71,6.93,369600
20,2019-08-20,6.59,6.89,6.56,6.85,866000
21,2019-08-19,6.73,6.85,6.72,6.77,418000
22,2019-08-16,6.61,6.68,6.5,6.66,707900
23,2019-08-15,6.8,6.8,6.58,6.59,683900
24,2019-08-14,6.78,6.86,6.63,6.8,670500
25,2019-08-13,7.0,7.1,6.83,6.88,887100
26,2019-08-12,7.1,7.14,7.01,7.01,462100
27,2019-08-09,7.22,7.25,7.075,7.14,627200
28,2019-08-08,7.24,7.39,7.19,7.23,509300
29,2019-08-07,7.18,7.25,7.13,7.19,667200
30,2019-08-06,7.2,7.33,7.1906,7.26,557400
31,2019-08-05,7.22,7.27,7.08,7.15,588100
32,2019-08-02,7.35,7.35,7.16,7.33,603300
33,2019-08-01,7.42,7.56,7.31,7.35,701400
34,2019-07-31,7.34,7.63,7.26,7.47,1287800
35,2019-07-30,7.95,8.0,6.9,7.31,2880100
36,2019-07-29,7.73,7.95,7.62,7.94,738600
37,2019-07-26,7.76,7.87,7.74,7.76,696300
38,2019-07-25,7.85,7.85,7.66,7.74,501600
39,2019-07-24,7.47,7.86,7.16,7.86,1316200
40,2019-07-23,7.78,7.79,7.5,7.52,926700
41,2019-07-22,7.75,7.9,7.68,7.74,558800
42,2019-07-19,7.76,7.8,7.66,7.71,785300
43,2019-07-18,7.93,7.96,7.7302,7.77,556500
44,2019-07-17,8.0,8.09,7.85,7.94,1126400
45,2019-07-16,7.97,8.0,7.87,7.96,1188600
46,2019-07-15,7.74,8.06,7.6603,7.97,2105400
47,2019-07-12,7.7,7.85,7.53,7.68,2131200
48,2019-07-11,7.43,7.7,7.33,7.68,2216900
49,2019-07-10,6.77,7.78,6.75,7.45,9373100
50,2019-07-09,5.85,6.1,5.84,5.98,1561500
51,2019-07-08,5.88,5.92,5.84,5.85,310500
52,2019-07-05,5.85,5.9,5.82,5.88,277900
53,2019-07-03,5.75,5.87,5.68,5.86,327500
54,2019-07-02,5.47,5.74,5.42,5.74,1185900
55,2019-07-01,5.6,5.655,5.47,5.5,403200
56,2019-06-28,5.6002,5.68,5.54,5.55,1313800
57,2019-06-27,5.57,5.6,5.5,5.55,298700
58,2019-06-26,5.61,5.67,5.55,5.56,187700
59,2019-06-25,5.53,5.65,5.51,5.6,279600
60,2019-06-24,5.58,5.64,5.49,5.52,433500
61,2019-06-21,5.68,5.7,5.56,5.6,752700
62,2019-06-20,5.78,5.81,5.705,5.71,274700
63,2019-06-19,5.7,5.78,5.7,5.75,445200
64,2019-06-18,5.56,5.75,5.55,5.7,384200
65,2019-06-17,5.57,5.605,5.5,5.55,966200
66,2019-06-14,5.53,5.62,5.3103,5.55,1073300
67,2019-06-13,5.12,5.16,5.07,5.1,227800
68,2019-06-12,5.16,5.2,5.07,5.09,194800
69,2019-06-11,5.21,5.26,5.12,5.16,449000
70,2019-06-10,5.4705,5.49,5.17,5.18,224500
71,2019-06-07,5.34,5.455,5.285,5.45,919700
72,2019-06-06,5.4,5.48,5.295,5.32,439800
73,2019-06-05,5.33,5.435,5.31,5.41,412900
74,2019-06-04,5.1598,5.31,5.15,5.3,568600
75,2019-06-03,5.21,5.235,5.05,5.11,424100
76,2019-05-31,5.26,5.33,5.21,5.22,528100
77,2019-05-30,5.28,5.335,5.26,5.305,302300
78,2019-05-29,5.34,5.38,5.23,5.28,532000
79,2019-05-28,5.4,5.445,5.38,5.4,349400
80,2019-05-24,5.4,5.43,5.3,5.38,296100
81,2019-05-23,5.36,5.4,5.3,5.36,327600
82,2019-05-22,5.45,5.53,5.37,5.4,192700
83,2019-05-21,5.49,5.52,5.45,5.47,318600
84,2019-05-20,5.49,5.53,5.42,5.45,258800
85,2019-05-17,5.58,5.61,5.5,5.5,364300
86,2019-05-16,5.55,5.63,5.55,5.62,301900
87,2019-05-15,5.47,5.615,5.455,5.56,358100
88,2019-05-14,5.63,5.66,5.4401,5.47,370400
89,2019-05-13,5.62,5.67,5.59,5.62,342100
90,2019-05-10,5.71,5.77,5.605,5.69,633000
91,2019-05-09,5.79,5.83,5.73,5.73,471000
92,2019-05-08,5.78,5.855,5.7601,5.84,476000
93,2019-05-07,5.69,5.79,5.69,5.78,460400
94,2019-05-06,5.66,5.77,5.64,5.76,362500
95,2019-05-03,5.67,5.85,5.67,5.74,783000
96,2019-05-02,5.56,5.69,5.55,5.68,596900
97,2019-05-01,5.61,5.77,5.56,5.58,892700
98,2019-04-30,5.07,5.67,5.012,5.66,1789300
99,2019-04-29,5.64,5.65,5.53,5.64,306500
100,2019-04-26,5.62,5.67,5.61,5.64,255600
101,2019-04-25,5.7,5.7,5.63,5.64,523400
102,2019-04-24,5.67,5.72,5.635,5.67,872300
103,2019-04-23,5.63,5.74,5.62,5.65,396300
104,2019-04-22,5.67,5.69,5.615,5.67,208600
105,2019-04-18,5.66,5.68,5.63,5.66,236100
106,2019-04-17,5.69,5.7,5.65,5.68,312900
107,2019-04-16,5.6897,5.73,5.62,5.65,203800
108,2019-04-15,5.66,5.68,5.63,5.65,346600
109,2019-04-12,5.67,5.72,5.64,5.68,174400
110,2019-04-11,5.69,5.71,5.61,5.67,189600
