,timestamp,open,high,low,close,volume
0,2019-09-18,3.4575,3.4575,3.4575,3.4575,235
1,2019-09-17,3.36,3.36,3.36,3.36,100
2,2019-09-16,3.4,3.56,3.4,3.47,800
3,2019-09-13,3.35,3.35,3.35,3.35,0
4,2019-09-12,3.24,3.54,3.24,3.35,900
5,2019-09-11,3.53,3.65,3.23,3.6,800
6,2019-09-10,4.17,4.17,3.91,3.91,700
7,2019-09-09,3.82,3.98,3.59,3.85,5100
8,2019-09-06,3.0,3.68,3.0,3.5,59100
9,2019-09-05,3.05,3.12,3.04,3.05,10700
10,2019-09-04,3.05,3.07,3.05,3.07,4500
11,2019-09-03,3.04,3.04,3.02,3.02,1100
12,2019-08-30,3.0,3.0,3.0,3.0,1300
13,2019-08-29,3.0,3.0,3.0,3.0,600
14,2019-08-28,3.11,3.11,3.0,3.0,1000
15,2019-08-27,3.0,3.02,3.0,3.0,6100
16,2019-08-26,2.85,3.01,2.85,2.99,2100
17,2019-08-23,2.72,2.84,2.7,2.7,1200
18,2019-08-22,2.87,2.87,2.74,2.74,400
19,2019-08-21,3.02,3.02,3.02,3.02,200
20,2019-08-20,3.0,3.0,3.0,3.0,0
21,2019-08-19,3.0,3.0,3.0,3.0,0
22,2019-08-16,3.0,3.0,3.0,3.0,500
23,2019-08-15,3.0,3.0,3.0,3.0,5100
24,2019-08-14,3.0,2.9997,3.0,3.0,5100
25,2019-08-13,3.0,3.0,3.0,3.0,5100
26,2019-08-12,3.0,3.107,2.9999,3.107,1600
27,2019-08-09,3.0,3.0,3.0001,3.0,2800
28,2019-08-08,3.08,3.08,3.0,3.0,5700
29,2019-08-07,3.078,3.078,3.0,3.0,5700
30,2019-08-06,3.01,3.03,3.0,3.0,5700
31,2019-08-05,3.01,3.03,3.0,3.0,5700
32,2019-08-02,3.0,3.04,3.0,3.0,4400
33,2019-08-01,3.09,3.09,3.09,3.09,800
34,2019-07-31,3.0,3.09,3.0,3.09,1400
35,2019-07-30,2.5,3.12,2.5,3.11,6500
36,2019-07-29,3.0,3.0,3.0,3.0,500
37,2019-07-26,3.0,2.9999,3.0,3.0,500
38,2019-07-25,3.01,3.11,3.0,3.11,2700
39,2019-07-24,3.0,3.0,3.0,3.0,400
40,2019-07-23,3.01,3.01,3.0,3.0,10400
41,2019-07-22,2.7,3.05,2.49,3.0,12300
42,2019-07-19,3.0,3.0,3.0,3.0,6700
43,2019-07-18,3.15,3.1499,3.15,3.15,0
44,2019-07-17,3.15,3.15,3.15,3.15,0
45,2019-07-16,3.15,3.15,3.15,3.15,3000
46,2019-07-15,3.0,3.0,3.0,3.0,1200
47,2019-07-12,3.0,3.25,3.0,3.15,2300
48,2019-07-11,3.19,3.19,3.0,3.1,12800
49,2019-07-10,2.73,3.07,2.73,3.07,1700
50,2019-07-09,2.64,3.0,2.64,3.0,6400
51,2019-07-08,2.8999,3.0,2.9,3.0,1600
52,2019-07-05,3.0,3.05,3.0,3.01,6800
53,2019-07-03,3.02,3.02,3.02,3.02,0
54,2019-07-02,3.02,3.02,3.02,3.02,0
55,2019-07-01,3.03,3.17,3.02,3.02,300
56,2019-06-28,3.03,3.03,3.03,3.03,0
57,2019-06-27,3.03,3.03,3.03,3.03,100
58,2019-06-26,3.03,3.03,3.03,3.03,4900
59,2019-06-25,2.99,2.99,2.45,2.98,4600
60,2019-06-24,2.66,3.01,2.6599,3.01,2100
61,2019-06-21,2.96,2.96,2.8,2.8,500
62,2019-06-20,3.01,3.03,3.01,3.03,400
63,2019-06-19,3.28,3.28,3.28,3.28,500
64,2019-06-18,3.35,3.35,3.35,3.35,2300
65,2019-06-17,3.35,3.35,3.35,3.35,100
66,2019-06-14,3.24,3.35,3.24,3.25,5200
67,2019-06-13,3.39,3.39,3.3898,3.39,5000
68,2019-06-12,3.39,3.3897,3.39,3.39,100
69,2019-06-11,3.35,3.3999,3.33,3.35,7700
70,2019-06-10,3.11,3.35,3.11,3.35,1200
71,2019-06-07,3.35,3.35,3.35,3.35,0
72,2019-06-06,3.11,3.35,3.1,3.35,2000
73,2019-06-05,3.4,3.4,3.4,3.4,0
74,2019-06-04,3.4,3.4,3.4,3.4,1000
75,2019-06-03,3.38,3.38,3.38,3.38,500
76,2019-05-31,3.37,3.37,3.33,3.36,7600
77,2019-05-30,3.3,3.3,3.3,3.3,100
78,2019-05-29,3.3,3.3,3.3,3.3,11400
79,2019-05-28,3.29,3.29,3.29,3.29,1300
80,2019-05-24,3.25,3.25,3.11,3.11,4000
81,2019-05-23,3.28,3.2798,3.28,3.28,2000
82,2019-05-22,3.28,3.28,3.28,3.28,0
83,2019-05-21,3.28,3.28,3.28,3.28,1000
84,2019-05-20,3.28,3.28,3.28,3.28,0
85,2019-05-17,3.1,3.28,3.1,3.28,2500
86,2019-05-16,3.11,3.25,3.1,3.25,1200
87,2019-05-15,3.57,3.57,3.57,3.57,100
88,2019-05-14,3.33,3.33,3.33,3.33,0
89,2019-05-13,3.06,3.33,3.0501,3.33,1000
90,2019-05-10,3.21,3.3799,2.89,3.38,1600
91,2019-05-09,3.27,3.39,3.27,3.39,200
92,2019-05-08,3.43,3.43,3.43,3.43,200
93,2019-05-07,3.32,3.32,3.15,3.25,5900
94,2019-05-06,3.5,3.52,3.0,3.3,15500
95,2019-05-03,3.52,3.52,3.52,3.52,300
96,2019-05-02,3.55,3.74,3.43,3.74,2100
97,2019-05-01,3.75,3.75,3.75,3.75,0
98,2019-04-30,3.75,3.75,3.75,3.75,0
99,2019-04-29,3.73,3.75,3.45,3.75,1000
100,2019-04-26,3.58,3.58,3.58,3.58,300
101,2019-04-25,3.75,3.75,3.75,3.75,0
102,2019-04-24,3.79,3.79,3.75,3.75,700
103,2019-04-23,3.35,3.9,3.35,3.78,11300
104,2019-04-22,3.35,3.35,3.35,3.35,0
105,2019-04-18,3.35,3.35,3.31,3.35,800
106,2019-04-17,3.5,3.5,3.5,3.5,0
107,2019-04-16,3.5,3.5,3.5,3.5,1000
108,2019-04-15,3.5,3.5,3.15,3.15,600
109,2019-04-12,3.41,3.41,3.41,3.41,0
110,2019-04-11,3.41,3.41,3.41,3.41,100
111,2019-04-10,3.4,3.4,3.4,3.4,0
112,2019-04-09,3.83,3.8301,3.4,3.4,2900
113,2019-04-08,3.82,3.82,3.82,3.82,100
114,2019-04-05,3.82,3.82,3.82,3.82,0
115,2019-04-04,3.819,3.819,3.819,3.819,200
116,2019-04-03,4.1301,4.18,4.13,4.18,300
117,2019-04-02,3.92,3.92,3.92,3.92,0
118,2019-04-01,4.0,4.0,3.92,3.92,1200
119,2019-03-29,4.17,4.17,4.17,4.17,1000
120,2019-03-28,4.24,4.25,4.0,4.16,7800
121,2019-03-27,3.33,3.33,3.33,3.33,0
122,2019-03-26,3.33,3.33,3.33,3.33,0
123,2019-03-25,3.33,3.33,3.33,3.33,1500
124,2019-03-22,2.4,3.34,2.4,3.33,3400
125,2019-03-21,2.6,3.79,2.6,3.0,55800
126,2019-03-20,2.66,2.69,2.65,2.65,900
127,2019-03-19,2.6,2.5999,2.6,2.6,0
128,2019-03-18,2.6,2.6,2.6,2.6,0
129,2019-03-15,2.6,2.6,2.6,2.6,0
130,2019-03-14,2.6,2.6,2.6,2.6,0
131,2019-03-13,2.72,2.72,2.6,2.6,2200
132,2019-03-12,2.57,2.57,2.48,2.53,600
133,2019-03-11,3.1,3.1,2.86,2.86,1200
134,2019-03-08,2.7,2.7,2.7,2.7,0
135,2019-03-07,2.7,2.7,2.6998,2.7,0
136,2019-03-06,2.7,2.7,2.7,2.7,0
137,2019-03-05,2.7,2.7,2.7,2.7,500
138,2019-03-04,2.85,2.86,2.61,2.64,1600
139,2019-03-01,2.83,2.97,2.8,2.97,1100
140,2019-02-28,2.59,2.76,2.59,2.76,9900
141,2019-02-27,2.19,2.75,2.11,2.65,64900
142,2019-02-26,2.23,2.23,2.23,2.23,0
143,2019-02-25,2.23,2.2302,2.23,2.23,200
144,2019-02-22,2.03,2.1,2.02,2.06,1700
145,2019-02-21,2.06,2.17,2.06,2.17,1300
146,2019-02-20,2.1,2.23,2.09,2.23,5700
147,2019-02-19,2.02,2.02,2.02,2.02,100
148,2019-02-15,2.02,2.02,2.02,2.02,600
149,2019-02-14,2.25,2.25,2.25,2.25,0
150,2019-02-13,2.25,2.25,2.25,2.25,0
151,2019-02-12,2.25,2.25,2.25,2.25,0
152,2019-02-11,2.25,2.25,2.25,2.25,0
153,2019-02-08,2.23,2.25,2.23,2.25,500
154,2019-02-07,2.24,2.24,2.24,2.24,300
155,2019-02-06,2.13,2.33,2.13,2.3,2200
156,2019-02-05,2.12,2.12,2.12,2.12,100
157,2019-02-04,2.15,2.15,2.15,2.15,300
158,2019-02-01,2.25,2.47,2.25,2.47,1000
159,2019-01-31,2.23,2.5,2.23,2.5,6800
160,2019-01-30,2.14,2.25,2.14,2.25,1800
161,2019-01-29,2.15,2.2403,2.15,2.16,2600
162,2019-01-28,2.11,2.15,2.11,2.15,500
163,2019-01-25,2.09,2.09,2.0901,2.09,500
164,2019-01-24,2.4,2.4,2.07,2.09,800
165,2019-01-23,2.07,2.07,2.07,2.07,0
166,2019-01-22,2.07,2.07,2.07,2.07,100
167,2019-01-18,2.07,2.07,2.07,2.07,400
168,2019-01-17,2.07,2.07,2.07,2.07,1000
169,2019-01-16,2.2,2.2,2.2,2.2,0
170,2019-01-15,2.15,2.2,2.15,2.2,600
171,2019-01-14,2.13,2.13,2.13,2.13,1200
172,2019-01-11,2.08,2.08,2.08,2.08,200
173,2019-01-10,2.06,2.06,2.06,2.06,100
174,2019-01-09,2.06,2.06,2.06,2.06,100
175,2019-01-08,2.06,2.06,2.06,2.06,600
176,2019-01-07,2.5,2.5,2.5,2.5,800
177,2019-01-04,2.42,2.42,2.42,2.42,100
178,2019-01-03,2.35,2.42,2.35,2.42,11200
179,2019-01-02,2.4,2.4,2.35,2.35,1100
180,2018-12-31,1.94,2.56,1.9,2.5,111200
181,2018-12-28,2.21,2.45,1.9,2.28,55900
182,2018-12-27,2.08,2.19,1.73,2.01,71800
183,2018-12-26,2.04,2.85,1.88,2.1,51800
184,2018-12-24,2.23,2.23,1.8,2.04,40900
185,2018-12-21,2.44,2.51,1.82,2.19,38000
186,2018-12-20,2.98,2.98,1.65,2.45,21100
187,2018-12-19,3.14,3.15,2.51,2.85,20100
188,2018-12-18,3.1999,3.38,2.925,3.11,5000
189,2018-12-17,3.25,3.75,2.51,2.8,9400
190,2018-12-14,3.41,3.55,2.929,3.25,14300
191,2018-12-13,3.5,3.55,3.5,3.55,1700
192,2018-12-12,3.55,3.91,3.5498,3.641,2400
193,2018-12-11,3.69,3.69,3.5,3.64,2700
194,2018-12-10,4.1,4.1,4.1,4.1,0
195,2018-12-07,4.1,4.1,4.1,4.1,0
196,2018-12-06,4.1,4.1,4.1,4.1,0
197,2018-12-04,3.62,4.5,3.62,4.1,11700
198,2018-12-03,4.5,4.5,4.5,4.5,0
199,2018-11-30,4.15,4.5,4.02,4.5,22700
200,2018-11-29,3.85,4.05,3.81,4.04,11400
201,2018-11-28,3.75,3.75,3.747,3.75,600
202,2018-11-27,3.42,3.457,3.42,3.437,800
203,2018-11-26,3.83,3.83,3.38,3.75,7900
204,2018-11-23,4.01,4.1,4.01,4.09,1000
205,2018-11-21,3.78,3.78,3.78,3.78,0
206,2018-11-20,3.78,3.8,3.78,3.78,1000
207,2018-11-19,4.15,4.15,3.63,3.78,20700
208,2018-11-16,4.37,4.37,4.37,4.37,0
209,2018-11-15,4.37,4.37,4.37,4.37,200
210,2018-11-14,4.26,4.26,4.04,4.04,10700
211,2018-11-13,4.46,4.4997,4.25,4.5,45800
212,2018-11-12,4.02,4.559,4.02,4.5,9600
213,2018-11-09,4.3,4.3,4.02,4.02,700
214,2018-11-08,4.1402,4.14,4.1,4.1,900
215,2018-11-07,4.479,4.479,4.479,4.479,200
216,2018-11-06,4.5,4.5,4.5,4.5,0
217,2018-11-05,4.02,4.5,4.02,4.5,1300
218,2018-11-02,4.19,4.5,4.19,4.5,600
219,2018-11-01,4.5,4.5,4.5,4.5,0
220,2018-10-31,4.36,4.5,4.24,4.5,10200
221,2018-10-30,4.4,4.4,4.02,4.077,7900
222,2018-10-29,4.12,4.19,4.109,4.11,1200
223,2018-10-26,4.15,4.15,4.12,4.12,7000
224,2018-10-25,4.11,4.11,4.11,4.11,0
225,2018-10-24,4.05,4.11,4.05,4.11,400
226,2018-10-23,4.5,4.5,4.5,4.5,3400
227,2018-10-22,4.5002,4.54,4.15,4.5,127400
228,2018-10-19,4.55,4.55,4.55,4.55,200
229,2018-10-18,4.82,4.82,4.04,4.605,5500
230,2018-10-17,4.35,4.35,4.35,4.35,200
231,2018-10-16,4.22,4.22,4.22,4.22,300
232,2018-10-15,4.17,4.17,4.17,4.17,0
233,2018-10-12,4.05,4.19,4.05,4.17,4000
234,2018-10-11,4.48,4.48,4.48,4.48,0
235,2018-10-10,4.48,4.48,4.48,4.48,0
236,2018-10-09,4.48,4.48,4.48,4.48,200
237,2018-10-08,4.4398,4.98,4.05,4.98,1500
238,2018-10-05,5.49,5.49,5.49,5.49,0
239,2018-10-04,5.49,5.49,5.4898,5.49,200
240,2018-10-03,5.49,5.49,5.49,5.49,0
241,2018-10-02,5.49,5.49,5.49,5.49,0
242,2018-10-01,5.49,5.49,5.49,5.49,1000
243,2018-09-28,5.03,5.5,5.03,5.5,11100
244,2018-09-27,4.66,4.66,4.388,4.388,2500
245,2018-09-26,5.0,5.0,5.0,5.0,0
246,2018-09-25,5.0,5.0,5.0,5.0,0
247,2018-09-24,5.0,5.0,5.0,5.0,0
248,2018-09-21,4.99,5.49,4.95,5.0,4800
249,2018-09-20,4.75,4.75,4.75,4.75,0
250,2018-09-19,4.75,4.75,4.75,4.75,0
251,2018-09-18,4.6552,4.747,4.65,4.747,2100
252,2018-09-17,4.75,4.77,4.67,4.77,1100
253,2018-09-14,5.09,5.09,5.09,5.09,0
254,2018-09-13,5.09,5.09,5.09,5.09,200
255,2018-09-12,5.05,5.05,4.651,4.651,1400
256,2018-09-11,5.0,5.015,5.0,5.0,4100
257,2018-09-10,4.738,4.738,4.738,4.738,400
258,2018-09-07,4.66,4.66,4.65,4.65,1000
259,2018-09-06,4.62,4.629,4.609,4.609,500
260,2018-09-05,4.8,4.8,4.8,4.8,500
261,2018-09-04,5.25,5.25,5.19,5.19,49000
262,2018-08-31,5.25,5.276,5.15,5.15,4700
263,2018-08-30,5.0,5.0,5.0,5.0,0
264,2018-08-29,4.77,4.9996,4.77,5.0,300
265,2018-08-28,5.45,5.45,5.289,5.315,600
266,2018-08-27,4.6,5.38,4.6,5.38,4400
267,2018-08-24,4.5,4.5001,4.5,4.5,1600
268,2018-08-23,5.0,5.0,5.0,5.0,0
269,2018-08-22,5.0001,5.0,5.0,5.0,500
270,2018-08-21,5.0,5.025,5.0,5.0,3200
271,2018-08-20,4.96,4.96,4.96,4.96,0
272,2018-08-17,4.96,4.9603,4.96,4.96,200
273,2018-08-16,4.9998,5.0,5.0,5.0,100
274,2018-08-15,5.0,5.0,5.0,5.0,0
275,2018-08-14,4.925,5.0,4.925,5.0,400
276,2018-08-13,4.84,4.84,4.8,4.8,1000
277,2018-08-10,5.25,5.25,5.25,5.25,0
278,2018-08-09,5.25,5.25,5.25,5.25,0
279,2018-08-08,5.55,5.55,5.25,5.25,500
280,2018-08-07,5.75,5.75,5.75,5.75,0
281,2018-08-06,5.51,5.75,5.51,5.75,1900
282,2018-08-03,5.75,5.75,5.75,5.75,0
283,2018-08-02,5.75,5.75,5.75,5.75,100
284,2018-08-01,5.85,5.85,5.5,5.75,1700
285,2018-07-31,5.5499,6.23,5.5,6.23,3900
286,2018-07-30,5.9,5.9,5.9,5.9,0
287,2018-07-27,5.9,5.9,5.9,5.9,100
288,2018-07-26,6.01,6.01,5.93,5.93,200
289,2018-07-25,6.09,6.101,5.3001,5.3,1400
290,2018-07-24,6.24,6.29,6.24,6.29,900
291,2018-07-23,6.25,6.25,6.25,6.25,0
292,2018-07-20,6.1,6.246,6.1,6.246,1100
293,2018-07-19,6.18,6.18,6.18,6.18,0
294,2018-07-18,6.18,6.18,6.18,6.18,200
295,2018-07-17,6.181,6.181,6.1813,6.181,500
296,2018-07-16,6.08,6.08,6.08,6.08,0
297,2018-07-13,6.08,6.08,6.08,6.08,0
298,2018-07-12,6.083,6.083,6.083,6.083,400
299,2018-07-11,6.53,6.53,6.53,6.53,0
300,2018-07-10,6.55,6.5606,6.51,6.529,1100
301,2018-07-09,5.8,5.8,5.8004,5.8,1000
302,2018-07-06,6.07,6.28,6.07,6.28,400
303,2018-07-05,6.1004,6.1,6.1,6.1,100
304,2018-07-03,6.09,6.09,6.09,6.09,0
305,2018-07-02,6.09,6.09,6.09,6.09,0
306,2018-06-29,6.09,6.09,6.09,6.09,0
307,2018-06-28,6.48,6.5,6.08,6.09,12300
308,2018-06-27,6.12,6.14,6.0,6.1,1500
309,2018-06-26,6.1,6.1,6.1,6.1,0
310,2018-06-25,6.1,6.1,6.1,6.1,100
311,2018-06-22,6.45,6.45,6.45,6.45,500
312,2018-06-21,6.45,6.45,6.4505,6.45,200
313,2018-06-20,6.53,6.53,6.53,6.53,0
314,2018-06-19,6.5,6.532,6.5,6.532,6600
315,2018-06-18,6.5,6.532,6.5002,6.532,9600
316,2018-06-15,6.1,6.532,6.1,6.5,1800
317,2018-06-14,6.6169,6.617,6.5,6.5,8900
318,2018-06-13,6.5,6.532,6.5,6.5,15300
319,2018-06-12,6.5,6.5,6.5,6.5,7800
320,2018-06-11,6.51,6.51,6.51,6.51,300
321,2018-06-08,6.65,6.683,6.5,6.524,2700
322,2018-06-07,6.5,7.0,6.5,6.513,12800
323,2018-06-06,6.74,6.74,6.74,6.74,0
324,2018-06-05,6.72,6.737,6.72,6.737,200
325,2018-06-04,6.59,6.6,6.5,6.547,1500
326,2018-06-01,6.56,6.56,6.56,6.56,0
327,2018-05-31,6.5,6.56,6.5,6.56,3600
328,2018-05-30,6.61,6.695,6.5,6.5,8800
329,2018-05-29,6.51,6.522,6.5,6.5,9600
330,2018-05-25,6.51,6.593,6.5,6.5,5100
331,2018-05-24,6.5,6.5,6.39,6.5,8900
332,2018-05-23,6.56,6.75,6.359,6.359,11300
333,2018-05-22,6.25,6.613,6.25,6.35,25700
334,2018-05-21,6.12,6.26,6.0,6.26,4700
335,2018-05-18,6.151,6.3,6.151,6.3,500
336,2018-05-17,6.26,6.272,6.25,6.25,1800
337,2018-05-16,6.5,6.5,6.5,6.5,0
338,2018-05-15,6.668,6.668,6.5,6.5,2800
339,2018-05-14,6.51,6.585,6.5,6.585,800
340,2018-05-11,6.54,6.54,6.54,6.54,1000
341,2018-05-10,6.5,6.595,6.5,6.53,700
342,2018-05-09,6.503,6.52,6.501,6.52,1400
343,2018-05-08,6.74,6.85,6.62,6.85,2200
344,2018-05-07,6.82,6.84,6.71,6.84,1700
345,2018-05-04,6.789,6.7894,6.789,6.789,300
346,2018-05-03,6.776,6.776,6.72,6.72,1200
347,2018-05-02,7.0,7.0,6.54,6.84,24000
348,2018-05-01,7.0,7.0,7.0,7.0,0
349,2018-04-30,7.0,7.0,7.0,7.0,0
350,2018-04-27,7.024,7.024,7.0,7.0,1700
351,2018-04-26,6.93,7.0,6.93,7.0,31300
352,2018-04-25,6.82,6.93,6.82,6.93,400
353,2018-04-24,6.8,7.0,6.77,6.77,5000
354,2018-04-23,6.85,6.85,6.85,6.85,1000
355,2018-04-20,6.907,6.9074,6.907,6.907,700
356,2018-04-19,7.0,7.0,7.0,7.0,50000
357,2018-04-18,7.0,7.0,7.0,7.0,300
358,2018-04-17,7.07,7.07,7.0,7.01,8500
359,2018-04-16,7.01,7.15,7.0,7.15,2000
360,2018-04-13,7.1728,7.173,7.0,7.0,29600
361,2018-04-12,7.06,7.06,7.0,7.0,2200
362,2018-04-11,7.0,7.06,7.0,7.01,11500
363,2018-04-10,7.01,7.01,7.01,7.01,0
364,2018-04-09,7.08,7.26,7.01,7.01,600
365,2018-04-06,7.01,7.01,7.01,7.01,0
366,2018-04-05,7.0884,7.089,7.01,7.01,700
367,2018-04-04,7.15,7.15,7.0,7.0,2900
368,2018-04-03,7.0,7.102,6.95,7.0,11900
369,2018-04-02,7.06,7.1498,7.0,7.15,1200
370,2018-03-29,7.0,7.1099,7.0,7.11,1200
371,2018-03-28,7.09,7.295,7.01,7.06,2500
372,2018-03-27,7.07,7.07,7.02,7.02,600
373,2018-03-26,7.0,7.058,7.0,7.01,3600
374,2018-03-23,7.04,7.11,6.9,6.9,21600
375,2018-03-22,7.29,7.42,7.0,7.0,22000
376,2018-03-21,7.2,7.495,7.2,7.23,18600
377,2018-03-20,7.26,7.65,7.2,7.24,21200
378,2018-03-19,7.204,7.214,7.2,7.2,1100
379,2018-03-16,7.16,7.36,7.16,7.21,13200
380,2018-03-15,7.11,7.1196,7.11,7.11,2000
381,2018-03-14,7.23,7.23,7.06,7.11,3700
382,2018-03-13,7.05,7.416,7.05,7.416,2500
383,2018-03-12,7.0499,7.05,7.0,7.01,4100
384,2018-03-09,7.15,7.15,6.85,6.97,6600
385,2018-03-08,7.33,7.3604,7.0,7.02,77600
386,2018-03-07,7.96,8.01,7.61,7.61,4400
387,2018-03-06,7.94,8.0,7.93,7.99,7600
388,2018-03-05,7.36,7.595,7.26,7.5,10900
389,2018-03-02,7.49,7.49,7.49,7.49,100
390,2018-03-01,7.31,7.31,7.31,7.31,200
391,2018-02-28,7.1,7.399,7.068,7.35,5600
392,2018-02-27,7.151,7.151,7.151,7.151,200
393,2018-02-26,7.1,7.1,7.1,7.1,1900
