,timestamp,open,high,low,close,volume
0,2019-09-18,25.02,25.09,24.84,25.09,118373
1,2019-09-17,25.25,25.2757,24.87,25.03,868308
2,2019-09-16,25.49,25.61,25.19,25.27,983900
3,2019-09-13,25.14,25.59,25.14,25.49,1111300
4,2019-09-12,25.53,25.53,25.08,25.17,700000
5,2019-09-11,25.41,25.59,25.18,25.51,1213500
6,2019-09-10,25.57,25.72,25.12,25.34,1870600
7,2019-09-09,25.13,25.56,24.82,25.55,1343400
8,2019-09-06,24.89,25.04,24.82,24.9,753800
9,2019-09-05,24.73,24.93,24.64,24.89,640000
10,2019-09-04,24.32,24.68,24.25,24.66,791700
11,2019-09-03,24.0,24.24,23.9,24.15,834500
12,2019-08-30,23.81,24.2,23.71,24.14,773600
13,2019-08-29,23.61,23.87,23.57,23.73,694800
14,2019-08-28,23.43,23.69,23.3,23.56,683500
15,2019-08-27,23.93,23.96,23.4,23.4,1033900
16,2019-08-26,23.96,24.06,23.66,23.8,951100
17,2019-08-23,24.33,24.46,23.82,23.86,819100
18,2019-08-22,24.2,24.38,24.04,24.34,499600
19,2019-08-21,24.5,24.5,24.16,24.17,685000
20,2019-08-20,24.97,25.01,24.34,24.4,788900
21,2019-08-19,24.94,25.07,24.73,24.99,699200
22,2019-08-16,24.21,24.8,24.21,24.69,983300
23,2019-08-15,24.75,24.89,24.19,24.2,866700
24,2019-08-14,24.7707,24.81,24.48,24.7,929000
25,2019-08-13,24.76,25.06,24.7,25.02,895700
26,2019-08-12,24.19,24.7517,24.15,24.73,1106700
27,2019-08-09,24.01,24.4192,23.66,24.33,885500
28,2019-08-08,23.7909,24.33,23.7,24.24,1291200
29,2019-08-07,23.52,23.75,23.18,23.66,962700
30,2019-08-06,23.57,23.86,23.5,23.54,689600
31,2019-08-05,24.16,24.16,23.14,23.45,956800
32,2019-08-02,24.44,24.55,24.21,24.29,656900
33,2019-08-01,24.76,24.76,24.32,24.43,1952000
34,2019-07-31,24.69,24.92,24.51,24.71,1812100
35,2019-07-30,24.44,24.83,24.4,24.82,675100
36,2019-07-29,24.51,24.64,24.44,24.5,606200
37,2019-07-26,24.39,24.58,24.2106,24.45,1034300
38,2019-07-25,25.2,25.21,24.92,25.04,981700
39,2019-07-24,25.21,25.25,24.91,25.19,881400
40,2019-07-23,24.8,25.2,24.7291,25.19,860600
41,2019-07-22,24.57,24.76,24.43,24.7,954400
42,2019-07-19,24.68,24.78,24.51,24.56,854200
43,2019-07-18,24.61,24.77,24.47,24.71,769800
44,2019-07-17,24.86,24.91,24.58,24.71,621400
45,2019-07-16,24.8,25.01,24.6,24.87,781100
46,2019-07-15,24.84,24.86,24.58,24.79,666300
47,2019-07-12,24.88,25.01,24.7,24.8,734000
48,2019-07-11,25.37,25.5,24.79,24.82,962300
49,2019-07-10,25.36,25.54,25.26,25.37,599500
50,2019-07-09,25.23,25.31,25.07,25.21,567300
51,2019-07-08,25.21,25.38,25.12,25.26,548600
52,2019-07-05,25.09,25.27,24.84,25.26,572400
53,2019-07-03,25.02,25.365,24.96,25.2,682100
54,2019-07-02,24.84,25.17,24.68,24.98,932700
55,2019-07-01,25.18,25.22,24.62,24.79,873700
56,2019-06-28,24.79,25.13,24.79,25.0,1294200
57,2019-06-27,24.32,24.79,24.3,24.78,666600
58,2019-06-26,24.44,24.51,24.11,24.18,880500
59,2019-06-25,24.46,24.75,24.31,24.36,665200
60,2019-06-24,24.9,25.08,24.4388,24.45,659300
61,2019-06-21,25.2,25.254,24.82,24.88,1312800
62,2019-06-20,25.57,25.57,25.24,25.25,859600
63,2019-06-19,25.23,25.42,25.1,25.38,926200
64,2019-06-18,25.16,25.47,25.08,25.31,841100
65,2019-06-17,24.64,25.04,24.64,24.96,811500
66,2019-06-14,24.67,24.8,24.54,24.54,690700
67,2019-06-13,24.5,24.68,24.32,24.67,1198000
68,2019-06-12,24.55,24.66,24.34,24.43,2159500
69,2019-06-11,24.45,24.7,24.39,24.61,823400
70,2019-06-10,24.43,24.51,24.23,24.41,623200
71,2019-06-07,24.46,24.49,24.23,24.35,562800
72,2019-06-06,24.36,24.36,24.03,24.19,690700
73,2019-06-05,24.31,24.37,24.05,24.25,725500
74,2019-06-04,24.31,24.425,23.95,24.18,921000
75,2019-06-03,24.28,24.3986,23.549,24.26,2052900
76,2019-05-31,25.58,25.58,24.77,24.87,897600
77,2019-05-30,25.51,25.645,25.16,25.23,526800
78,2019-05-29,25.67,25.71,25.24,25.46,711700
79,2019-05-28,26.08,26.11,25.54,25.62,912400
80,2019-05-24,26.1,26.24,25.9213,26.0,320800
81,2019-05-23,25.9,26.07,25.69,26.0,869900
82,2019-05-22,26.12,26.24,25.8925,26.02,417700
83,2019-05-21,25.98,26.24,25.94,26.18,512500
84,2019-05-20,26.16,26.21,25.8,25.92,466300
85,2019-05-17,26.3788,26.4,26.13,26.28,700400
86,2019-05-16,26.4,26.64,26.338,26.48,643100
87,2019-05-15,25.82,26.41,25.79,26.36,632700
88,2019-05-14,25.9308,26.24,25.86,26.01,603900
89,2019-05-13,26.19,26.19,25.58,25.89,818300
