,timestamp,open,high,low,close,volume
0,2019-09-18,12.3,12.37,12.26,12.31,19647
1,2019-09-17,12.32,12.37,12.15,12.34,107459
2,2019-09-16,12.32,12.45,12.24,12.38,145500
3,2019-09-13,12.42,12.44,12.32,12.43,143600
4,2019-09-12,12.2,12.36,12.12,12.33,173000
5,2019-09-11,12.09,12.37,11.86,12.34,193000
6,2019-09-10,11.75,12.05,11.25,12.02,399700
7,2019-09-09,11.41,11.78,11.41,11.74,103900
8,2019-09-06,11.5,11.5,10.95,11.33,287900
9,2019-09-05,11.45,11.7,11.4,11.5,159100
10,2019-09-04,11.36,11.41,11.21,11.29,77900
11,2019-09-03,11.55,11.55,11.26,11.29,129700
12,2019-08-30,11.67,11.72,11.46,11.59,134900
13,2019-08-29,11.57,11.71,11.57,11.64,97600
14,2019-08-28,11.36,11.56,11.36,11.5,144100
15,2019-08-27,11.56,11.62,11.32,11.42,256400
16,2019-08-26,11.41,11.55,11.37,11.55,105500
17,2019-08-23,11.62,11.7,11.28,11.34,181300
18,2019-08-22,11.81,11.83,11.6,11.65,148600
19,2019-08-21,11.65,11.79,11.49,11.77,157100
20,2019-08-20,11.57,11.62,11.52,11.52,403300
21,2019-08-19,11.63,11.67,11.55,11.61,97900
22,2019-08-16,11.21,11.53,11.17,11.46,197600
23,2019-08-15,11.24,11.24,10.9996,11.16,199800
24,2019-08-14,11.19,11.21,11.08,11.18,176300
25,2019-08-13,11.37,11.58,11.33,11.38,125300
26,2019-08-12,11.53,11.56,11.38,11.39,114200
27,2019-08-09,11.5,11.71,11.49,11.66,143000
28,2019-08-08,11.5,11.67,11.45,11.54,164000
29,2019-08-07,11.26,11.38,11.185,11.35,151900
30,2019-08-06,11.65,11.71,11.4,11.58,136000
31,2019-08-05,11.62,11.67,11.44,11.6,138700
32,2019-08-02,12.0,12.05,11.75,11.82,141400
33,2019-08-01,12.35,12.45,12.0202,12.03,204200
34,2019-07-31,12.38,12.48,12.33,12.37,248700
35,2019-07-30,12.26,12.47,12.26,12.42,247800
36,2019-07-29,12.38,12.45,11.8005,12.33,419800
37,2019-07-26,12.33,12.43,12.28,12.4,171700
38,2019-07-25,12.29,12.38,12.13,12.21,100000
39,2019-07-24,12.04,12.38,12.0,12.32,236600
40,2019-07-23,12.01,12.08,11.9396,12.07,388100
41,2019-07-22,11.91,12.01,11.81,11.99,109100
42,2019-07-19,11.87,12.01,11.87,11.94,91300
43,2019-07-18,11.9,12.03,11.85,11.93,85400
44,2019-07-17,11.99,12.01,11.84,11.91,88500
45,2019-07-16,12.03,12.13,11.97,12.04,90400
46,2019-07-15,12.19,12.22,11.96,12.02,99000
47,2019-07-12,12.13,12.27,12.12,12.22,112700
48,2019-07-11,12.12,12.2,12.05,12.14,95800
49,2019-07-10,12.28,12.29,12.1,12.13,91600
50,2019-07-09,12.06,12.27,12.0598,12.26,365100
51,2019-07-08,12.18,12.2501,12.11,12.13,336200
52,2019-07-05,12.23,12.35,12.23,12.29,92000
53,2019-07-03,12.12,12.21,12.05,12.19,64800
54,2019-07-02,12.28,12.33,12.0,12.11,98400
55,2019-07-01,12.32,12.39,12.26,12.29,132100
56,2019-06-28,12.2593,12.377,12.17,12.25,1458600
57,2019-06-27,12.06,12.24,12.01,12.24,129800
58,2019-06-26,12.09,12.18,12.0,12.01,95100
59,2019-06-25,11.99,12.11,11.89,12.04,69700
60,2019-06-24,12.06,12.19,12.0,12.04,115700
61,2019-06-21,12.05,12.24,12.03,12.08,380500
62,2019-06-20,12.19,12.2,11.9995,12.13,73800
63,2019-06-19,12.25,12.33,12.14,12.17,74300
64,2019-06-18,12.08,12.34,12.08,12.26,148700
65,2019-06-17,12.31,12.34,12.03,12.08,104500
66,2019-06-14,12.29,12.39,12.23,12.3,105900
67,2019-06-13,12.33,12.33,12.24,12.29,111000
68,2019-06-12,12.12,12.28,12.12,12.23,101600
69,2019-06-11,12.25,12.3,12.14,12.25,230300
70,2019-06-10,12.0,12.22,11.93,12.17,141600
71,2019-06-07,12.03,12.0496,11.94,11.94,262500
72,2019-06-06,12.09,12.17,11.9,12.04,76000
73,2019-06-05,12.24,12.26,12.02,12.1,112600
74,2019-06-04,12.25,12.27,11.57,12.26,281000
75,2019-06-03,11.88,12.08,11.83,11.97,127800
76,2019-05-31,11.85,12.0,11.775,11.91,143500
77,2019-05-30,12.17,12.21,11.88,12.0,99200
78,2019-05-29,12.0,12.225,12.0,12.16,406700
79,2019-05-28,12.21,12.26,12.0908,12.15,161100
80,2019-05-24,12.15,12.26,12.08,12.24,205700
81,2019-05-23,12.06,12.45,11.87,11.96,128200
82,2019-05-22,12.25,12.3,12.114,12.16,117600
83,2019-05-21,12.18,12.39,12.18,12.27,266800
84,2019-05-20,12.11,12.43,12.11,12.2,317100
85,2019-05-17,11.93,12.12,11.84,12.07,1658300
86,2019-05-16,12.07,12.34,12.07,12.22,77400
87,2019-05-15,12.01,12.09,11.85,12.05,283500
88,2019-05-14,11.8,12.11,11.8,12.07,158800
