,timestamp,open,high,low,close,volume
0,2019-09-17,19.71,19.8098,19.69,19.71,3529
1,2019-09-16,19.61,19.88,19.15,19.67,3868
2,2019-09-13,19.38,19.7,18.83,19.69,6800
3,2019-09-12,19.4,19.4,19.201,19.39,3500
4,2019-09-11,19.14,19.39,19.14,19.236,5000
5,2019-09-10,19.095,19.28,19.095,19.11,1400
6,2019-09-09,18.32,18.985,18.32,18.985,5000
7,2019-09-06,17.33,18.49,17.33,18.42,12600
8,2019-09-05,17.3,17.77,17.3,17.77,6500
9,2019-09-04,17.325,17.325,17.3,17.3,800
10,2019-09-03,17.338,17.338,17.17,17.26,2100
11,2019-08-30,17.25,17.3,17.25,17.3,1800
12,2019-08-29,17.16,17.298,17.06,17.2,3900
13,2019-08-28,16.965,17.33,16.965,17.14,4400
14,2019-08-27,17.0,17.0,16.85,16.85,4300
15,2019-08-26,17.25,17.25,16.8,16.8,8800
16,2019-08-23,17.28,17.28,17.04,17.04,5000
17,2019-08-22,17.29,17.389,17.2,17.2,2400
18,2019-08-21,17.39,17.39,17.2,17.28,3100
19,2019-08-20,17.24,17.4,17.24,17.325,3700
20,2019-08-19,17.36,17.5,17.25,17.25,7800
21,2019-08-16,17.41,17.41,17.22,17.35,1500
22,2019-08-15,17.46,17.46,17.2,17.22,2200
23,2019-08-14,17.52,17.63,17.2,17.63,6800
24,2019-08-13,17.56,17.92,17.56,17.8,1100
25,2019-08-12,17.902,17.902,17.902,17.902,300
26,2019-08-09,18.0,18.0,17.72,17.89,2100
27,2019-08-08,17.8,18.05,17.8,17.81,5700
28,2019-08-07,18.21,18.3504,17.65,17.65,1000
29,2019-08-06,17.555,17.929,17.5,17.625,5000
30,2019-08-05,17.6665,17.666,17.47,17.5,1800
31,2019-08-02,17.87,18.28,17.786,18.15,10700
32,2019-08-01,18.25,18.25,17.77,17.77,3000
33,2019-07-31,18.18,18.49,17.8616,17.86,8800
34,2019-07-30,17.82,18.52,17.81,18.52,15600
35,2019-07-29,18.01,18.26,17.9998,18.04,8700
36,2019-07-26,18.05,18.23,18.01,18.02,16600
37,2019-07-25,18.03,18.16,17.86,18.1,6100
38,2019-07-24,18.18,18.39,18.11,18.185,10100
39,2019-07-23,17.8,18.51,17.7503,18.3,27400
40,2019-07-22,17.5,17.9,17.5,17.75,7600
41,2019-07-19,17.234,17.55,17.21,17.42,26100
42,2019-07-18,17.97,17.97,17.08,17.08,20000
43,2019-07-17,17.392,17.654,17.04,17.04,17600
44,2019-07-16,17.75,17.928,17.55,17.55,6000
45,2019-07-15,17.5,17.72,17.5,17.7,2800
46,2019-07-12,17.51,17.806,17.5,17.5,13500
47,2019-07-11,17.73,17.73,17.36,17.5,4700
48,2019-07-10,17.51,17.89,17.5,17.55,7200
49,2019-07-09,17.565,17.65,17.5,17.55,10500
50,2019-07-08,17.52,17.64,17.46,17.5,7600
51,2019-07-05,17.81,17.81,17.35,17.52,7500
52,2019-07-03,17.61,17.61,17.35,17.61,2000
53,2019-07-02,17.42,17.75,17.3306,17.41,8800
54,2019-07-01,17.24,17.61,17.24,17.4,24400
55,2019-06-28,17.16,17.25,16.93,17.09,584300
56,2019-06-27,17.0,17.1499,16.9,16.92,42700
57,2019-06-26,17.45,17.45,16.81,16.81,38100
58,2019-06-25,17.1,17.64,17.1,17.25,19500
59,2019-06-24,17.703,17.703,17.15,17.2,20500
60,2019-06-21,16.97,17.88,16.97,17.88,31100
61,2019-06-20,17.07,17.22,16.92,17.22,13000
62,2019-06-19,17.29,17.49,17.0,17.14,13700
63,2019-06-18,16.77,17.215,16.7709,17.17,15400
64,2019-06-17,17.59,17.74,16.52,16.79,21700
65,2019-06-14,17.75,17.785,17.27,17.58,18300
66,2019-06-13,17.7,18.0,17.435,17.76,26000
67,2019-06-12,18.01,18.38,17.6,17.77,20400
68,2019-06-11,17.735,18.75,17.593,18.06,19900
69,2019-06-10,16.947,18.005,16.89,17.75,20600
70,2019-06-07,17.02,17.13,16.75,16.75,17800
71,2019-06-06,17.36,17.53,17.01,17.1,7500
72,2019-06-05,17.533,17.553,17.3,17.42,9700
73,2019-06-04,17.42,17.57,17.3,17.43,19100
74,2019-06-03,17.33,17.54,17.15,17.35,19800
75,2019-05-31,17.67,17.7,17.06,17.22,18400
76,2019-05-30,17.748,17.78,17.65,17.7,15800
77,2019-05-29,17.73,17.86,17.68,17.69,9100
78,2019-05-28,17.72,17.8686,17.72,17.8,6700
79,2019-05-24,17.8,17.88,17.62,17.74,6600
80,2019-05-23,17.81,17.907,17.4505,17.66,19200
81,2019-05-22,17.86,18.31,17.7989,17.82,18300
82,2019-05-21,17.897,17.897,17.75,17.76,16300
83,2019-05-20,18.0,18.24,17.46,17.785,13000
84,2019-05-17,17.95,18.08,17.45,18.06,10600
85,2019-05-16,17.46,18.04,17.35,18.0,12000
86,2019-05-15,17.25,18.16,17.25,17.69,8400
87,2019-05-14,18.01,18.15,17.05,17.3,17600
88,2019-05-13,18.0,18.1,18.0,18.0,5900
89,2019-05-10,18.0,18.157,18.0,18.145,4800
90,2019-05-09,18.1805,18.2,18.0,18.11,5700
91,2019-05-08,17.88,18.35,17.88,18.16,7500
92,2019-05-07,17.94,18.2,17.33,17.81,17600
93,2019-05-06,18.25,18.297,18.0,18.0,3300
94,2019-05-03,18.59,18.59,18.15,18.5,4900
95,2019-05-02,18.44,18.695,18.13,18.38,6000
96,2019-05-01,18.2,18.7,18.0,18.7,14500
97,2019-04-30,18.07,18.22,17.85,17.93,17300
98,2019-04-29,18.411,18.4883,17.82,18.39,9800
99,2019-04-26,17.98,18.255,17.45,17.6,9000
100,2019-04-25,18.4,18.735,17.76,17.76,10600
101,2019-04-24,18.35,18.41,17.93,18.25,17400
102,2019-04-23,17.95,18.45,17.8,18.24,11800
103,2019-04-22,17.79,18.92,17.65,17.9,12400
104,2019-04-18,17.0,17.87,17.0,17.67,54400
105,2019-04-17,16.85,17.33,16.85,17.08,8100
106,2019-04-16,16.87,16.96,16.85,16.85,6700
