,timestamp,open,high,low,close,volume
0,2019-09-18,11.48,11.52,11.4,11.47,205770
1,2019-09-17,11.39,11.53,11.34,11.48,1144796
2,2019-09-16,11.46,11.6,11.23,11.5,1273400
3,2019-09-13,11.54,11.65,11.48,11.52,2374300
4,2019-09-12,11.28,11.5,11.23,11.43,1419500
5,2019-09-11,11.32,11.33,11.16,11.31,1617000
6,2019-09-10,11.32,11.35,11.13,11.23,1522500
7,2019-09-09,11.2,11.37,11.13,11.26,1910800
8,2019-09-06,11.13,11.19,11.04,11.15,1078900
9,2019-09-05,11.04,11.26,11.04,11.09,1250100
10,2019-09-04,11.0,11.01,10.86,10.94,737100
11,2019-09-03,11.05,11.05,10.78,10.91,1237400
12,2019-08-30,11.12,11.17,11.05,11.1,718000
13,2019-08-29,10.96,11.14,10.91,11.07,888900
14,2019-08-28,10.6,10.9,10.6,10.83,835500
15,2019-08-27,10.95,10.97,10.63,10.68,882000
16,2019-08-26,10.92,10.97,10.8,10.89,765200
17,2019-08-23,11.17,11.26,10.81,10.84,1320200
18,2019-08-22,11.21,11.3,11.18,11.18,1208200
19,2019-08-21,11.15,11.17,11.06,11.15,979100
20,2019-08-20,11.15,11.16,11.02,11.06,807400
21,2019-08-19,11.17,11.25,11.11,11.2,1172800
22,2019-08-16,10.84,11.05,10.83,11.04,807500
23,2019-08-15,10.88,10.92,10.76,10.78,815300
24,2019-08-14,10.82,10.97,10.71,10.82,1330300
25,2019-08-13,10.9702,11.21,10.94,10.98,1138900
26,2019-08-12,10.91,11.07,10.91,10.97,1309000
27,2019-08-09,11.03,11.14,10.9,11.02,1637400
28,2019-08-08,10.9,11.18,10.9,11.1,1327800
29,2019-08-07,10.87,11.02,10.74,10.99,1433600
30,2019-08-06,11.2,11.26,10.81,11.05,1920200
31,2019-08-05,10.91,11.04,10.77,11.02,2257400
32,2019-08-02,11.03,11.16,10.99,11.11,2065100
33,2019-08-01,11.38,11.4,11.01,11.07,2242600
34,2019-07-31,11.31,11.51,11.25,11.36,3731300
35,2019-07-30,11.07,11.33,11.04,11.32,2457100
36,2019-07-29,11.25,11.29,11.06,11.14,1766100
37,2019-07-26,11.05,11.27,11.05,11.27,2561200
38,2019-07-25,11.18,11.18,10.62,11.02,7029300
39,2019-07-24,11.2,11.46,11.18,11.43,2953500
40,2019-07-23,11.07,11.22,11.07,11.2,1173100
41,2019-07-22,11.17,11.17,11.05,11.06,1376100
42,2019-07-19,11.17,11.28,11.17,11.17,963500
43,2019-07-18,11.11,11.28,11.06,11.22,1165500
44,2019-07-17,11.08,11.14,10.9706,11.1,1477500
45,2019-07-16,11.1,11.18,11.03,11.13,1828200
46,2019-07-15,11.28,11.28,11.08,11.1,1538200
47,2019-07-12,11.16,11.28,11.12,11.24,1866900
48,2019-07-11,11.16,11.22,11.01,11.13,1651500
49,2019-07-10,11.18,11.18,11.02,11.12,1543400
50,2019-07-09,11.16,11.22,11.02,11.16,1602000
51,2019-07-08,11.24,11.34,11.17,11.24,1617000
52,2019-07-05,11.28,11.36,11.18,11.29,808200
53,2019-07-03,11.09,11.255,11.07,11.23,655000
54,2019-07-02,11.13,11.19,10.94,11.06,1063300
55,2019-07-01,11.2,11.24,11.02,11.13,1854000
56,2019-06-28,11.0,11.17,10.9806,11.15,2966400
57,2019-06-27,10.72,10.92,10.72,10.92,1738400
58,2019-06-26,10.93,10.94,10.7009,10.72,1396000
59,2019-06-25,10.69,10.9,10.6607,10.87,2906500
60,2019-06-24,10.85,10.98,10.68,10.68,918200
61,2019-06-21,10.87,10.995,10.8,10.82,3261300
62,2019-06-20,10.84,10.93,10.67,10.91,2614000
63,2019-06-19,10.78,10.8295,10.67,10.77,2017000
64,2019-06-18,10.56,10.886,10.55,10.77,1215500
65,2019-06-17,10.58,10.68,10.49,10.59,2047000
66,2019-06-14,10.63,10.71,10.5,10.6,1416800
67,2019-06-13,10.7,10.77,10.57,10.64,1173100
68,2019-06-12,10.9398,10.96,10.63,10.64,1112700
69,2019-06-11,10.87,10.9,10.68,10.76,1737700
70,2019-06-10,10.89,10.98,10.8,10.82,1189700
71,2019-06-07,10.87,10.91,10.78,10.83,1402000
72,2019-06-06,10.92,10.9891,10.8,10.9,1307800
73,2019-06-05,10.85,10.995,10.76,10.94,1834000
74,2019-06-04,10.82,10.96,10.76,10.89,2018900
75,2019-06-03,10.44,10.755,10.42,10.68,4299200
76,2019-05-31,10.39,10.61,10.35,10.41,4941300
77,2019-05-30,10.74,10.8,10.45,10.5,6037800
78,2019-05-29,10.38,10.75,10.37,10.69,2817700
79,2019-05-28,10.58,10.58,10.39,10.44,3253300
80,2019-05-24,10.61,10.6798,10.46,10.58,1901900
81,2019-05-23,10.62,10.67,10.445,10.49,3692900
82,2019-05-22,10.83,10.9,10.675,10.76,1405900
83,2019-05-21,10.8,10.865,10.74,10.83,1320800
84,2019-05-20,10.76,10.89,10.705,10.75,1506400
85,2019-05-17,10.84,11.02,10.79,10.81,1428700
86,2019-05-16,10.93,11.07,10.92,10.94,4134200
87,2019-05-15,10.9,11.02,10.72,10.92,4359300
88,2019-05-14,10.78,11.0,10.78,10.98,2719400
89,2019-05-13,11.04,11.08,10.79,10.82,2209000
90,2019-05-10,11.13,11.26,11.08,11.19,1854600
91,2019-05-09,11.25,11.27,11.1199,11.2,1662100
92,2019-05-08,11.51,11.57,11.37,11.4,2095200
93,2019-05-07,11.64,11.72,11.47,11.54,1383200
94,2019-05-06,11.69,11.795,11.65,11.76,1217300
95,2019-05-03,11.69,11.905,11.65,11.82,2102000
96,2019-05-02,11.68,11.8,11.55,11.66,1380900
97,2019-05-01,11.79,11.87,11.58,11.64,1728300
98,2019-04-30,11.82,11.96,11.6599,11.75,2155300
99,2019-04-29,11.85,12.01,11.76,11.85,2285900
100,2019-04-26,11.64,11.86,11.6202,11.82,1926900
101,2019-04-25,11.9,12.015,11.61,11.75,3904900
102,2019-04-24,12.25,12.32,12.13,12.27,1883500
103,2019-04-23,12.06,12.22,11.93,12.21,1959800
104,2019-04-22,12.18,12.245,12.015,12.03,1448800
105,2019-04-18,12.34,12.38,12.19,12.23,1233600
106,2019-04-17,12.53,12.57,12.355,12.39,1312700
107,2019-04-16,12.38,12.56,12.261,12.54,1495200
108,2019-04-15,12.49,12.56,12.35,12.37,1655900
109,2019-04-12,12.52,12.55,12.25,12.5,1718800
110,2019-04-11,12.42,12.49,12.295,12.35,1277100
111,2019-04-10,12.21,12.36,12.2,12.36,2391400
112,2019-04-09,12.29,12.365,12.13,12.18,1502500
113,2019-04-08,12.26,12.39,12.24,12.36,1504900
114,2019-04-05,12.35,12.39,12.25,12.31,1293300
115,2019-04-04,12.08,12.33,12.0591,12.31,2269100
116,2019-04-03,12.19,12.23,12.0406,12.1,1346700
117,2019-04-02,12.06,12.18,12.01,12.06,1336500
118,2019-04-01,11.91,12.13,11.91,12.1,2206600
119,2019-03-29,12.04,12.206,11.8198,11.85,3118200
120,2019-03-28,11.81,12.01,11.774,11.99,2497900
121,2019-03-27,11.94,11.94,11.67,11.83,2491000
122,2019-03-26,11.36,11.84,11.29,11.83,3168900
