,timestamp,open,high,low,close,volume
0,2019-09-23,14.77,14.96,14.77,14.96,5239
1,2019-09-20,15.05,15.24,14.62,14.96,132433
2,2019-09-19,15.38,15.617,15.02,15.05,67800
3,2019-09-18,15.96,16.015,15.44,15.5,77200
4,2019-09-17,15.8,16.0,15.65,15.91,55700
5,2019-09-16,15.65,16.25,15.65,15.92,77000
6,2019-09-13,15.34,15.89,15.34,15.76,79500
7,2019-09-12,15.04,15.44,14.9,15.31,93000
8,2019-09-11,14.61,15.38,14.61,15.26,94500
9,2019-09-10,13.75,14.73,13.455,14.52,56100
10,2019-09-09,13.25,13.9,13.21,13.77,76400
11,2019-09-06,13.38,13.65,13.21,13.43,40800
12,2019-09-05,12.79,13.46,12.75,13.26,62000
13,2019-09-04,12.88,12.88,12.53,12.58,27800
14,2019-09-03,12.94,13.28,12.48,12.72,63100
15,2019-08-30,13.63,13.63,13.2,13.21,34700
16,2019-08-29,13.36,13.91,13.32,13.55,55000
17,2019-08-28,12.98,13.25,12.935,13.14,42900
18,2019-08-27,13.44,13.5,12.95,13.0,66000
19,2019-08-26,13.68,13.7,13.27,13.31,30300
20,2019-08-23,14.2,14.46,13.5,13.55,46100
21,2019-08-22,14.51,14.91,14.34,14.35,61400
22,2019-08-21,14.56,14.73,14.35,14.45,44400
23,2019-08-20,14.29,14.51,14.29,14.43,19400
24,2019-08-19,14.57,14.929,14.34,14.39,29800
25,2019-08-16,13.8,14.36,13.8,14.3,109700
26,2019-08-15,13.9188,13.97,13.53,13.67,32500
27,2019-08-14,14.25,14.25,13.86,13.87,34500
28,2019-08-13,14.39,14.93,14.36,14.55,25100
29,2019-08-12,14.6,14.66,14.38,14.41,44500
30,2019-08-09,14.98,14.98,14.572,14.6,45400
31,2019-08-08,14.7999,15.14,14.8,15.04,43700
32,2019-08-07,14.44,14.85,14.44,14.67,36000
33,2019-08-06,14.91,15.0,14.5006,14.65,72400
34,2019-08-05,15.08,15.22,14.7,14.88,58600
35,2019-08-02,15.49,15.61,15.1,15.22,36900
36,2019-08-01,16.12,16.42,15.5,15.67,58200
37,2019-07-31,16.28,16.46,15.8807,15.9,72100
38,2019-07-30,16.21,16.54,16.14,16.3,48500
39,2019-07-29,16.09,16.51,16.01,16.33,80900
40,2019-07-26,15.73,16.2,15.73,16.11,46700
41,2019-07-25,15.7,15.73,15.27,15.73,52700
42,2019-07-24,15.2596,15.82,15.26,15.69,73500
43,2019-07-23,15.38,15.495,15.28,15.38,31800
44,2019-07-22,15.49,15.67,15.181,15.37,43400
45,2019-07-19,15.4598,15.82,15.45,15.49,38100
