,timestamp,open,high,low,close,volume
0,2019-09-23,5.18,5.22,5.18,5.22,2156
1,2019-09-20,5.1594,5.18,5.12,5.16,5299
2,2019-09-19,5.16,5.2,5.12,5.13,17700
3,2019-09-18,5.2,5.24,5.15,5.15,19700
4,2019-09-17,5.16,5.19,5.15,5.17,7200
5,2019-09-16,5.22,5.22,5.14,5.14,15200
6,2019-09-13,5.27,5.29,5.21,5.26,7500
7,2019-09-12,5.29,5.3,5.25,5.28,5400
8,2019-09-11,5.22,5.32,5.21,5.25,7300
9,2019-09-10,5.25,5.29,5.2,5.26,30900
10,2019-09-09,5.38,5.4,5.31,5.39,7400
11,2019-09-06,5.4,5.46,5.39,5.39,18100
12,2019-09-05,5.45,5.48,5.39,5.41,13800
13,2019-09-04,5.64,5.64,5.45,5.45,36100
14,2019-09-03,5.7,5.78,5.56,5.59,41700
15,2019-08-30,5.64,5.64,5.57,5.61,17400
16,2019-08-29,5.65,5.66,5.55,5.63,14500
17,2019-08-28,5.48,5.64,5.48,5.63,149600
18,2019-08-27,5.57,5.6,5.43,5.48,33100
19,2019-08-26,5.58,5.61,5.53,5.57,23500
20,2019-08-23,5.47,5.51,5.37,5.41,15000
21,2019-08-22,5.52,5.53,5.28,5.53,15700
22,2019-08-21,5.44,5.47,5.4,5.4,7400
23,2019-08-20,5.39,5.46,5.37,5.38,9500
24,2019-08-19,5.36,5.43,5.35,5.37,34800
25,2019-08-16,5.27,5.33,5.22,5.31,24200
26,2019-08-15,5.26,5.32,5.12,5.26,25800
27,2019-08-14,5.39,5.42,5.11,5.27,67900
28,2019-08-13,5.51,5.6,5.47,5.5,37600
29,2019-08-12,5.58,5.65,5.4,5.48,56600
30,2019-08-09,5.588,5.613,5.36,5.566,59500
31,2019-08-08,5.69,5.75,5.6,5.6,58800
32,2019-08-07,5.58,5.6,5.48,5.55,23300
33,2019-08-06,5.7602,5.76,5.48,5.54,42400
34,2019-08-05,5.61,5.64,5.52,5.64,31700
35,2019-08-02,5.54,5.71,5.51,5.55,14500
36,2019-08-01,5.66,5.72,5.6,5.6,15600
37,2019-07-31,5.73,5.75,5.6702,5.67,14500
38,2019-07-30,5.7,5.76,5.63,5.74,18900
39,2019-07-29,5.75,5.75,5.62,5.65,28300
40,2019-07-26,5.8,5.86,5.7405,5.78,9100
41,2019-07-25,5.79,5.85,5.74,5.8,3800
42,2019-07-24,5.85,5.8601,5.72,5.79,48700
43,2019-07-23,5.98,5.98,5.77,5.9,45900
44,2019-07-22,5.99,5.99,5.9,5.93,23800
45,2019-07-19,5.96,5.98,5.94,5.94,25000
46,2019-07-18,6.02,6.02,5.91,5.97,48200
47,2019-07-17,5.94,6.02,5.92,5.99,85700
48,2019-07-16,5.92,5.9202,5.84,5.9,39900
49,2019-07-15,5.87,5.9,5.82,5.86,15000
50,2019-07-12,5.8,5.8801,5.76,5.87,32900
51,2019-07-11,5.95,5.95,5.82,5.86,14600
52,2019-07-10,5.87,5.96,5.87,5.95,23700
