,timestamp,open,high,low,close,volume
0,2019-09-23,2.05,2.05,2.0142,2.0142,2057
1,2019-09-20,2.04,2.04,2.0028,2.04,2886
2,2019-09-19,2.0,2.13,1.96,2.04,12700
3,2019-09-18,2.03,2.06,1.98,2.05,5000
4,2019-09-17,1.97,2.03,1.94,2.03,3100
5,2019-09-16,1.98,2.03,1.94,1.95,9200
6,2019-09-13,1.97,2.06,1.95,1.97,4000
7,2019-09-12,1.97,2.01,1.93,1.93,29600
8,2019-09-11,1.95,1.98,1.92,1.96,9500
9,2019-09-10,1.95,1.98,1.91,1.93,12300
10,2019-09-09,1.95,1.98,1.91,1.97,14100
11,2019-09-06,1.95,1.97,1.91,1.95,13800
12,2019-09-05,1.99,2.09,1.91,1.92,52500
13,2019-09-04,1.95,1.99,1.87,1.91,44200
14,2019-09-03,1.77,1.95,1.77,1.85,30100
15,2019-08-30,1.89,1.97,1.73,1.76,57200
16,2019-08-29,2.25,2.4,1.8,1.85,249600
17,2019-08-28,2.53,2.75,1.81,2.22,415800
18,2019-08-27,2.25,2.9,2.05,2.65,381600
19,2019-08-26,1.9,2.5,1.89,2.05,564500
20,2019-08-23,1.93,1.93,1.85,1.85,17200
21,2019-08-22,1.97,1.97,1.96,1.97,2800
22,2019-08-21,1.95,1.97,1.95,1.97,3800
23,2019-08-20,1.93,1.94,1.93,1.94,700
24,2019-08-19,1.94,1.94,1.94,1.94,100
25,2019-08-16,1.84,1.85,1.83,1.85,5600
26,2019-08-15,1.83,1.86,1.82,1.83,400
27,2019-08-14,1.85,1.86,1.82,1.83,7100
28,2019-08-13,1.97,1.97,1.94,1.94,1700
29,2019-08-12,1.97,1.97,1.86,1.86,400
30,2019-08-09,1.95,1.96,1.86,1.96,3100
31,2019-08-08,1.95,1.95,1.8899,1.89,1600
32,2019-08-07,1.98,1.98,1.98,1.98,200
33,2019-08-06,1.98,1.9898,1.87,1.87,20700
34,2019-08-05,1.94,1.99,1.9002,1.99,9200
35,2019-08-02,1.97,1.97,1.97,1.97,200
36,2019-08-01,1.94,1.99,1.93,1.93,5500
37,2019-07-31,1.95,1.99,1.95,1.95,11700
38,2019-07-30,1.92,1.99,1.92,1.95,100
39,2019-07-29,1.9199,1.99,1.92,1.95,3900
40,2019-07-26,1.99,1.99,1.97,1.99,3100
41,2019-07-25,1.99,1.99,1.97,1.99,1700
42,2019-07-24,1.99,1.99,1.97,1.97,2300
43,2019-07-23,1.97,1.97,1.97,1.97,1200
44,2019-07-22,1.99,1.99,1.99,1.99,500
45,2019-07-19,1.9801,1.98,1.98,1.98,3900
46,2019-07-18,1.98,1.98,1.97,1.97,5200
47,2019-07-17,1.96,1.9801,1.96,1.97,1200
48,2019-07-16,1.97,1.99,1.95,1.95,4800
49,2019-07-15,1.96,1.99,1.96,1.99,800
50,2019-07-12,2.03,2.03,1.98,1.98,1200
51,2019-07-11,2.0,2.02,2.0001,2.02,600
52,2019-07-10,2.0,2.03,1.96,2.0,3300
53,2019-07-09,2.03,2.03,2.03,2.03,200
54,2019-07-08,2.0,2.0,2.0,2.0,300
55,2019-07-05,2.0401,2.04,2.0,2.0,1700
56,2019-07-03,2.04,2.04,2.04,2.04,2100
57,2019-07-02,1.97,2.04,1.97,2.04,1100
58,2019-07-01,2.066,2.066,1.97,1.992,1900
59,2019-06-28,1.99,2.0,1.984,2.0,4700
60,2019-06-27,2.07,2.07,2.07,2.07,100
61,2019-06-26,2.07,2.07,2.07,2.07,2200
62,2019-06-25,2.08,2.08,1.985,2.05,3800
63,2019-06-24,2.08,2.08,1.95,2.05,12300
64,2019-06-21,2.037,2.07,1.97,2.07,13000
65,2019-06-20,2.047,2.047,2.01,2.01,9500
66,2019-06-19,2.01,2.09,2.01,2.02,3900
67,2019-06-18,2.09,2.09,2.014,2.03,2600
68,2019-06-17,2.1,2.1,2.1,2.1,100
69,2019-06-14,2.04,2.1,2.04,2.1,1200
70,2019-06-13,2.01,2.024,2.0,2.01,6700
71,2019-06-12,2.04,2.05,2.01,2.03,4300
72,2019-06-11,2.03,2.03,2.03,2.03,1000
73,2019-06-10,2.01,2.099,2.01,2.06,60800
74,2019-06-07,2.09,2.09,2.09,2.09,100
75,2019-06-06,2.1,2.1,2.084,2.09,16300
76,2019-06-05,2.066,2.1,2.06,2.1,21500
77,2019-06-04,2.046,2.05,2.046,2.05,2300
78,2019-06-03,2.01,2.0959,2.009,2.01,6600
79,2019-05-31,2.1,2.1,2.1,2.1,100
80,2019-05-30,2.1,2.1,2.1,2.1,10000
81,2019-05-29,2.0,2.1,2.0,2.1,10700
82,2019-05-28,2.13,2.13,2.07,2.13,400
83,2019-05-24,2.1,2.1,2.1,2.1,0
84,2019-05-23,2.1,2.1,2.07,2.1,7200
85,2019-05-22,2.02,2.1401,2.02,2.13,700
86,2019-05-21,2.16,2.16,2.0,2.0,2500
87,2019-05-20,2.115,2.115,2.09,2.09,1800
88,2019-05-17,2.1,2.16,2.09,2.12,9600
89,2019-05-16,2.16,2.19,2.09,2.11,10100
