,timestamp,open,high,low,close,volume
0,2019-09-23,10.71,10.71,10.44,10.44,1370
1,2019-09-20,10.29,10.62,10.0,10.62,55867
2,2019-09-19,10.36,10.5,10.23,10.31,20300
3,2019-09-18,10.35,10.48,9.97,10.34,30000
4,2019-09-17,9.98,10.45,9.82,10.25,30600
5,2019-09-16,10.25,10.36,10.04,10.08,31900
6,2019-09-13,10.35,10.59,9.98,10.43,34700
7,2019-09-12,10.36,10.36,10.02,10.26,23200
8,2019-09-11,9.82,10.34,9.61,10.3,37200
9,2019-09-10,9.36,9.81,9.36,9.74,13200
10,2019-09-09,9.44,9.81,9.33,9.59,23900
11,2019-09-06,9.63,9.63,9.37,9.48,10100
12,2019-09-05,9.28,9.68,8.81,9.62,16200
13,2019-09-04,9.25,9.49,9.2,9.26,9900
14,2019-09-03,9.19,9.35,9.09,9.24,24200
15,2019-08-30,9.29,9.4,9.25,9.3,10900
16,2019-08-29,9.21,9.59,9.16,9.25,22200
17,2019-08-28,9.24,9.45,9.05,9.09,13300
18,2019-08-27,9.7,10.0,9.2,9.21,26700
19,2019-08-26,9.33,9.7,9.13,9.7,15100
20,2019-08-23,9.01,9.35,8.97,9.25,79500
21,2019-08-22,9.15,9.22,8.86,9.02,64500
22,2019-08-21,8.93,9.24,8.89,9.05,59100
23,2019-08-20,9.01,9.14,8.86,8.9,23200
24,2019-08-19,8.93,9.06,8.64,9.02,93400
25,2019-08-16,8.92,9.08,8.76,8.87,25400
26,2019-08-15,8.88,9.05,8.74,8.94,59500
27,2019-08-14,8.795,8.98,8.74,8.84,47000
28,2019-08-13,8.9,9.37,8.9,8.99,31000
29,2019-08-12,8.98,9.3,8.9,9.03,27100
30,2019-08-09,9.266,9.68,9.01,9.02,14200
31,2019-08-08,9.58,9.6,9.21,9.33,28100
32,2019-08-07,9.29,9.62,9.09,9.3,21400
33,2019-08-06,9.3,10.01,9.3,9.42,14700
34,2019-08-05,9.53,9.54,9.3,9.33,27000
35,2019-08-02,9.28,9.9,9.27,9.82,19200
36,2019-08-01,10.11,10.42,10.1,10.1,23400
37,2019-07-31,10.09,10.41,10.09,10.1,36100
38,2019-07-30,10.12,10.37,10.11,10.11,26100
39,2019-07-29,10.31,10.47,10.16,10.2,51100
40,2019-07-26,10.14,10.4102,10.08,10.22,18100
41,2019-07-25,10.71,10.71,10.11,10.2,25700
42,2019-07-24,10.42,10.66,10.41,10.56,24200
43,2019-07-23,10.36,10.44,10.19,10.38,22900
44,2019-07-22,10.25,10.38,10.2,10.3,42700
45,2019-07-19,10.16,10.35,10.16,10.24,23900
