,timestamp,open,high,low,close,volume
0,2019-09-27,0.0,0.0,0.0,2.54,0
1,2019-09-26,2.5473,2.57,2.5279,2.55,10503
2,2019-09-25,2.54,2.64,2.54,2.55,36400
3,2019-09-24,2.6,2.6,2.51,2.53,15200
4,2019-09-23,2.54,2.64,2.5,2.6,21400
5,2019-09-20,2.53,2.6,2.47,2.54,12500
6,2019-09-19,2.62,2.62,2.53,2.55,56800
7,2019-09-18,2.53,2.68,2.52,2.57,90200
8,2019-09-17,2.51,2.71,2.41,2.52,47700
9,2019-09-16,2.45,2.53,2.45,2.5,9100
10,2019-09-13,2.51,2.53,2.41,2.45,13900
11,2019-09-12,2.51,2.53,2.43,2.51,21200
12,2019-09-11,2.42,2.54,2.42,2.44,11100
13,2019-09-10,2.54,2.55,2.4,2.44,25100
14,2019-09-09,2.47,2.52,2.4,2.52,22100
15,2019-09-06,2.44,2.49,2.44,2.44,9100
16,2019-09-05,2.47,2.48,2.44,2.45,15700
17,2019-09-04,2.4,2.51,2.4,2.46,60700
18,2019-09-03,2.52,2.52,2.46,2.46,17100
19,2019-08-30,2.51,2.57,2.42,2.55,77300
20,2019-08-29,2.41,2.57,2.41,2.51,89600
21,2019-08-28,2.42,2.64,2.41,2.55,99100
22,2019-08-27,2.48,2.53,2.41,2.45,53900
23,2019-08-26,2.59,2.59,2.31,2.47,122400
24,2019-08-23,2.7,2.77,2.45,2.57,214200
25,2019-08-22,2.81,2.81,2.55,2.7,492000
26,2019-08-21,2.7,4.1,2.62,2.9,17101900
27,2019-08-20,2.21,2.37,2.19,2.22,226900
28,2019-08-19,2.21,2.25,2.2,2.2,2900
29,2019-08-16,2.28,2.28,2.1,2.27,6300
30,2019-08-15,2.25,2.3,2.18,2.18,18900
31,2019-08-14,2.2601,2.26,2.15,2.253,12300
32,2019-08-13,2.2,2.3,2.2,2.27,11200
33,2019-08-12,2.21,2.24,2.15,2.16,10200
34,2019-08-09,2.27,2.36,2.269,2.34,5400
35,2019-08-08,2.281,2.29,2.22,2.24,4100
36,2019-08-07,2.273,2.297,2.22,2.25,2400
37,2019-08-06,2.2,2.4,2.18,2.35,41900
38,2019-08-05,2.44,2.45,2.07,2.16,36300
39,2019-08-02,2.43,2.48,2.37,2.42,7200
40,2019-08-01,2.53,2.57,2.42,2.46,6200
41,2019-07-31,2.56,2.58,2.49,2.49,11100
42,2019-07-30,2.52,2.65,2.5,2.51,28500
43,2019-07-29,2.52,2.53,2.51,2.52,9100
44,2019-07-26,2.58,2.59,2.53,2.55,9200
45,2019-07-25,2.58,2.61,2.58,2.59,6100
46,2019-07-24,2.62,2.64,2.58,2.58,9100
47,2019-07-23,2.64,2.65,2.58,2.61,19400
48,2019-07-22,2.57,2.65,2.57,2.64,7600
49,2019-07-19,2.54,2.63,2.54,2.57,14500
50,2019-07-18,2.59,2.62,2.5,2.54,19400
51,2019-07-17,2.69,2.69,2.58,2.58,14100
52,2019-07-16,2.67,2.73,2.58,2.62,27900
53,2019-07-15,2.74,2.74,2.63,2.65,13400
54,2019-07-12,2.67,2.78,2.65,2.68,42600
55,2019-07-11,2.78,2.89,2.6199,2.65,127400
56,2019-07-10,3.15,3.26,2.85,2.95,162100
57,2019-07-09,3.22,3.42,3.05,3.1,273000
58,2019-07-08,3.12,4.02,3.12,3.37,1250400
59,2019-07-05,3.06,3.12,3.04,3.12,6900
60,2019-07-03,3.036,3.13,3.01,3.13,12000
61,2019-07-02,3.15,3.15,3.0,3.15,26000
62,2019-07-01,3.153,3.153,3.07,3.1,15600
63,2019-06-28,3.056,3.11,3.05,3.07,16200
