,timestamp,open,high,low,close,volume
0,2019-09-18,51.9,51.94,51.9,51.935,82142
1,2019-09-17,51.86,51.89,51.845,51.885,371718
2,2019-09-16,51.84,51.9,51.83,51.87,355500
3,2019-09-13,51.87,51.88,51.8,51.83,415000
4,2019-09-12,51.91,51.966,51.88,51.88,363900
5,2019-09-11,51.96,52.0,51.9,51.92,792700
6,2019-09-10,52.0,52.02,51.95,51.95,421500
7,2019-09-09,52.04,52.061,52.01,52.05,407200
8,2019-09-06,52.01,52.06,52.01,52.04,428800
9,2019-09-05,52.08,52.129,52.03,52.06,417600
10,2019-09-04,52.04,52.1,52.03,52.09,362200
11,2019-09-03,51.97,52.03,51.97,52.02,485900
12,2019-08-30,51.95,52.005,51.93,51.97,550500
13,2019-08-29,51.99,52.03,51.97,51.99,355400
14,2019-08-28,51.97,52.02,51.97,51.99,440200
15,2019-08-27,51.95,51.99,51.94,51.99,381000
16,2019-08-26,51.98,52.019,51.98,52.0,268800
17,2019-08-23,51.94,51.99,51.93,51.98,406500
18,2019-08-22,51.94,51.989,51.9,51.93,408800
19,2019-08-21,51.96,52.0,51.93,51.95,627300
20,2019-08-20,52.02,52.04,51.99,52.02,413800
21,2019-08-19,51.99,52.05,51.99,52.03,370200
22,2019-08-16,51.98,52.05,51.96,52.03,407400
23,2019-08-15,51.97,52.02,51.94,52.01,566200
24,2019-08-14,51.93,51.9617,51.9,51.95,785100
25,2019-08-13,51.93,51.99,51.89,51.9,360200
26,2019-08-12,51.92,51.95,51.92,51.95,251700
27,2019-08-09,51.94,51.95,51.9,51.91,322600
28,2019-08-08,51.94,51.961,51.91,51.93,555500
29,2019-08-07,51.9692,52.01,51.957,51.97,611600
30,2019-08-06,51.96,52.0055,51.9,51.95,457700
31,2019-08-05,51.94,52.0,51.93,51.93,421000
32,2019-08-02,51.9,51.936,51.89,51.91,392500
33,2019-08-01,51.78,51.89,51.772,51.89,598600
34,2019-07-31,51.76,51.8,51.71,51.79,501200
35,2019-07-30,51.78,51.79,51.72,51.76,371800
36,2019-07-29,51.75,51.806,51.75,51.78,279100
37,2019-07-26,51.75,51.75,51.73,51.75,366100
38,2019-07-25,51.76,51.76,51.72,51.73,381600
39,2019-07-24,51.74,51.77,51.74,51.75,345200
40,2019-07-23,51.76,51.77,51.72,51.75,515100
41,2019-07-22,51.87,51.9,51.86,51.89,296400
42,2019-07-19,51.85,51.864,51.832,51.86,356400
43,2019-07-18,51.83,51.86,51.81,51.86,321000
44,2019-07-17,51.7526,51.84,51.75,51.81,527300
45,2019-07-16,51.75,51.78,51.68,51.7,497600
46,2019-07-15,51.76,51.78,51.745,51.78,507000
47,2019-07-12,51.74,51.76,51.72,51.76,309100
48,2019-07-11,51.76,51.79,51.73,51.75,372300
49,2019-07-10,51.75,51.76,51.71,51.75,590300
50,2019-07-09,51.7619,51.82,51.72,51.72,450400
51,2019-07-08,51.76,51.8228,51.75,51.78,675200
52,2019-07-05,51.76,51.816,51.73,51.76,398000
53,2019-07-03,51.75,51.86,51.75,51.79,212900
54,2019-07-02,51.7,51.75,51.69,51.735,332900
55,2019-07-01,51.66,51.69,51.66,51.68,396600
56,2019-06-28,51.67,51.698,51.63,51.68,698200
57,2019-06-27,51.62,51.65,51.61,51.65,377600
58,2019-06-26,51.62,51.6326,51.584,51.61,484300
59,2019-06-25,51.63,51.66,51.6,51.61,628200
60,2019-06-24,51.61,51.65,51.5896,51.64,322000
61,2019-06-21,51.62,51.62,51.58,51.6,322000
62,2019-06-20,51.63,51.71,51.57,51.62,590600
63,2019-06-19,51.5,51.57,51.49,51.57,307300
64,2019-06-18,51.54,51.553,51.53,51.53,449800
65,2019-06-17,51.521,51.53,51.5,51.52,211100
66,2019-06-14,51.55,51.595,51.52,51.54,234900
67,2019-06-13,51.64,51.67,51.62,51.67,1036800
68,2019-06-12,51.61,51.658,51.6,51.62,1753600
69,2019-06-11,51.61,51.637,51.6,51.62,240700
70,2019-06-10,51.65,51.655,51.6,51.6,297900
71,2019-06-07,51.67,51.71,51.61,51.67,289800
72,2019-06-06,51.63,51.67,51.62,51.65,262600
73,2019-06-05,51.63,51.66,51.61,51.62,403700
74,2019-06-04,51.59,51.61,51.5572,51.61,550500
75,2019-06-03,51.55,51.579,51.52,51.57,412500
76,2019-05-31,51.45,51.5,51.44,51.5,481900
77,2019-05-30,51.433,51.45,51.41,51.45,227200
78,2019-05-29,51.41,51.42,51.39,51.4,391100
79,2019-05-28,51.4,51.43,51.4,51.42,266600
80,2019-05-24,51.36,51.4021,51.36,51.39,372800
81,2019-05-23,51.37,51.39,51.36,51.385,425600
82,2019-05-22,51.36,51.4,51.32,51.33,556000
83,2019-05-21,51.35,51.357,51.32,51.32,188900
84,2019-05-20,51.45,51.49,51.43,51.46,245100
85,2019-05-17,51.45,51.45,51.44,51.44,155200
86,2019-05-16,51.45,51.4688,51.43,51.45,281500
87,2019-05-15,51.47,51.48,51.46,51.47,361300
88,2019-05-14,51.44,51.46,51.43,51.44,298600
89,2019-05-13,51.44,51.47,51.44,51.46,336400
90,2019-05-10,51.39,51.42,51.3909,51.4,197900
91,2019-05-09,51.4,51.41,51.385,51.39,246200
92,2019-05-08,51.41,51.42,51.39,51.4,294500
93,2019-05-07,51.39,51.42,51.39,51.42,335500
94,2019-05-06,51.38,51.41,51.38,51.39,410400
95,2019-05-03,51.35,51.41,51.33,51.35,593300
96,2019-05-02,51.32,51.35,51.316,51.335,299900
97,2019-05-01,51.31,51.36,51.29,51.31,479900
98,2019-04-30,51.29,51.32,51.276,51.315,341400
99,2019-04-29,51.3,51.33,51.281,51.31,329800
100,2019-04-26,51.2819,51.29,51.24,51.29,376100
101,2019-04-25,51.25,51.27,51.23,51.26,268600
102,2019-04-24,51.24,51.27,51.23,51.25,515100
103,2019-04-23,51.2,51.26,51.19,51.22,430900
104,2019-04-22,51.35,51.36,51.31,51.35,254800
105,2019-04-18,51.32,51.38,51.306,51.33,312700
106,2019-04-17,51.3206,51.32,51.28,51.3,461000
107,2019-04-16,51.31,51.32,51.26,51.28,489200
108,2019-04-15,51.29,51.33,51.29,51.32,225400
109,2019-04-12,51.32,51.34,51.28,51.29,490200
110,2019-04-11,51.34,51.388,51.31,51.325,486500
111,2019-04-10,51.36,51.36,51.33,51.34,849700
112,2019-04-09,51.35,51.35,51.27,51.33,394700
113,2019-04-08,51.32,51.36,51.32,51.36,284800
114,2019-04-05,51.31,51.3294,51.28,51.33,229900
115,2019-04-04,51.3,51.31,51.28,51.31,304000
116,2019-04-03,51.28,51.29,51.26,51.29,467900
117,2019-04-02,51.28,51.3,51.257,51.28,427600
118,2019-04-01,51.28,51.3,51.2206,51.24,1305700
119,2019-03-29,51.26,51.29,51.25,51.28,386800
120,2019-03-28,51.29,51.3,51.28,51.29,293900
121,2019-03-27,51.27,51.31,51.26,51.285,835700
122,2019-03-26,51.25,51.28,51.22,51.27,595300
123,2019-03-25,51.29,51.29,51.25,51.28,433800
124,2019-03-22,51.23,51.28,51.22,51.27,432300
125,2019-03-21,51.22,51.25,51.2,51.21,238500
126,2019-03-20,51.28,51.35,51.253,51.34,278600
127,2019-03-19,51.25,51.29,51.25,51.26,324700
128,2019-03-18,51.27,51.29,51.25,51.255,404400
129,2019-03-15,51.23,51.26,51.22,51.25,579800
130,2019-03-14,51.24,51.245,51.21,51.24,875400
131,2019-03-13,51.23,51.27,51.227,51.25,341700
132,2019-03-12,51.23,51.24,51.21,51.24,334200
133,2019-03-11,51.23,51.25,51.215,51.23,389500
134,2019-03-08,51.22,51.24,51.2,51.23,413700
135,2019-03-07,51.23,51.24,51.2,51.2,467400
136,2019-03-06,51.2,51.24,51.1728,51.21,538500
137,2019-03-05,51.19,51.21,51.17,51.21,421600
138,2019-03-04,51.2,51.2144,51.15,51.2,613100
139,2019-03-01,51.14,51.18,51.1,51.14,1008600
140,2019-02-28,51.1361,51.15,51.11,51.14,367200
141,2019-02-27,51.16,51.18,51.1,51.15,360700
142,2019-02-26,51.13,51.18,51.13,51.17,325700
143,2019-02-25,51.14,51.19,51.08,51.14,400400
144,2019-02-22,51.1,51.14,51.1,51.14,274400
145,2019-02-21,51.11,51.15,51.03,51.1,411700
146,2019-02-20,51.22,51.27,51.203,51.22,334400
147,2019-02-19,51.22,51.26,51.21,51.25,498200
148,2019-02-15,51.21,51.2202,51.14,51.22,806500
149,2019-02-14,51.21,51.23,51.194,51.21,264000
150,2019-02-13,51.18,51.2,51.16,51.18,388600
151,2019-02-12,51.17,51.2,51.16,51.2,383400
152,2019-02-11,51.19,51.23,51.16,51.18,446700
153,2019-02-08,51.21,51.23,51.18,51.2,403000
154,2019-02-07,51.19,51.22,51.17,51.21,353600
155,2019-02-06,51.18,51.2,51.1272,51.18,710900
156,2019-02-05,51.16,51.17,51.12,51.17,586800
157,2019-02-04,51.12,51.17,51.1,51.14,600400
158,2019-02-01,51.11,51.15,51.1,51.12,428200
159,2019-01-31,51.11,51.15,51.01,51.13,621000
160,2019-01-30,51.07,51.11,51.05,51.1,393300
161,2019-01-29,51.05,51.071,51.03,51.05,424000
162,2019-01-28,51.03,51.06,51.025,51.035,303500
163,2019-01-25,51.02,51.03,50.97,51.02,446000
164,2019-01-24,51.03,51.0381,51.0,51.03,499800
165,2019-01-23,51.08,51.08,50.95,51.01,542700
166,2019-01-22,51.11,51.15,51.093,51.14,401200
167,2019-01-18,51.06,51.1,51.04,51.05,203600
168,2019-01-17,51.11,51.14,51.05,51.06,275000
169,2019-01-16,51.12,51.14,51.02,51.045,614500
170,2019-01-15,51.12,51.1387,51.1,51.12,452800
171,2019-01-14,51.14,51.16,51.1,51.14,365500
172,2019-01-11,51.12,51.1172,51.09,51.115,314400
173,2019-01-10,51.0994,51.116,51.05,51.1,299300
174,2019-01-09,51.1,51.15,51.08,51.11,954600
175,2019-01-08,51.11,51.137,51.05,51.1,383300
176,2019-01-07,51.09,51.1789,51.07,51.1,537900
177,2019-01-04,51.1,51.16,51.053,51.09,458300
178,2019-01-03,51.04,51.12,51.04,51.08,923700
179,2019-01-02,51.05,51.07,51.0015,51.05,1432300
180,2018-12-31,50.99,51.07,50.98,51.05,591700
181,2018-12-28,50.9621,51.0,50.93,50.99,455700
182,2018-12-27,50.9896,51.0,50.96,50.99,271500
