,timestamp,open,high,low,close,volume
0,2019-09-23,7.44,7.52,7.3838,7.39,5508
1,2019-09-20,7.74,7.81,7.45,7.49,106758
2,2019-09-19,7.86,8.06,7.74,7.76,40500
3,2019-09-18,8.16,8.16,7.79,7.84,79500
4,2019-09-17,8.19,8.21,7.99,8.16,44900
5,2019-09-16,7.97,8.22,7.91,8.2,57000
6,2019-09-13,8.32,8.33,8.05,8.1,68800
7,2019-09-12,8.17,8.34,8.1,8.25,60100
8,2019-09-11,7.76,8.2,7.76,8.15,87300
9,2019-09-10,7.52,7.99,7.35,7.75,110500
10,2019-09-09,7.48,7.55,7.41,7.48,44500
11,2019-09-06,7.54,7.58,7.44,7.47,60900
12,2019-09-05,7.65,7.68,7.46,7.53,105900
13,2019-09-04,7.6,7.68,7.49,7.55,44300
14,2019-09-03,7.52,7.63,7.43,7.55,101500
15,2019-08-30,7.45,7.62,7.45,7.57,62100
16,2019-08-29,7.3,7.56,7.27,7.55,110100
17,2019-08-28,7.26,7.3,7.26,7.29,36500
18,2019-08-27,7.3,7.32,7.17,7.3,71600
19,2019-08-26,7.33,7.33,7.15,7.29,88500
20,2019-08-23,7.36,7.36,7.15,7.2,70000
21,2019-08-22,7.11,7.42,7.03,7.39,65200
22,2019-08-21,6.99,7.16,6.99,7.11,39600
23,2019-08-20,6.73,6.94,6.71,6.89,75400
24,2019-08-19,6.77,6.97,6.73,6.79,34200
25,2019-08-16,6.44,6.71,6.44,6.67,59700
26,2019-08-15,6.53,6.62,6.3906,6.39,84600
27,2019-08-14,6.71,6.8,6.49,6.54,77500
28,2019-08-13,6.78,6.9,6.78,6.83,34100
29,2019-08-12,6.69,6.85,6.68,6.81,57800
30,2019-08-09,6.86,6.86,6.65,6.77,109400
31,2019-08-08,6.97,6.977,6.56,6.86,136900
32,2019-08-07,6.79,7.08,6.7897,6.91,52700
33,2019-08-06,6.96,7.12,6.88,6.91,53500
34,2019-08-05,7.25,7.34,6.85,6.9,92000
35,2019-08-02,7.22,7.42,7.11,7.37,73000
36,2019-08-01,6.79,7.45,6.5,7.16,178900
37,2019-07-31,6.33,6.8,6.33,6.52,135500
