,timestamp,open,high,low,close,volume
0,2019-09-23,2.41,2.5,2.41,2.5,1297
1,2019-09-20,2.57,2.5,2.41,2.45,8140
2,2019-09-19,2.64,2.64,2.45,2.45,7400
3,2019-09-18,2.51,2.59,2.51,2.51,29600
4,2019-09-17,2.82,2.82,2.51,2.56,26200
5,2019-09-16,2.79,2.88,2.75,2.75,3400
6,2019-09-13,2.74,2.81,2.74,2.79,5000
7,2019-09-12,2.75,2.79,2.72,2.72,6700
8,2019-09-11,2.8,2.98,2.7,2.8,34200
9,2019-09-10,3.05,3.09,2.77,2.8,20200
10,2019-09-09,2.93,2.98,2.9,2.96,17200
11,2019-09-06,3.03,3.03,2.93,2.98,7400
12,2019-09-05,2.86,2.99,2.8,2.99,11600
13,2019-09-04,2.78,2.91,2.76,2.86,4700
14,2019-09-03,2.88,2.91,2.7,2.91,5500
15,2019-08-30,2.87,2.92,2.61,2.92,23200
16,2019-08-29,2.59,2.87,2.59,2.8,20900
17,2019-08-28,2.52,2.77,2.51,2.66,14100
18,2019-08-27,2.67,2.8,2.5,2.5,9300
19,2019-08-26,2.69,2.76,2.53,2.67,10200
20,2019-08-23,2.54,2.81,2.54,2.59,19300
21,2019-08-22,2.54,2.6,2.4,2.56,21900
22,2019-08-21,2.53,2.57,2.4,2.47,39400
23,2019-08-20,2.65,2.67,2.53,2.53,18300
24,2019-08-19,2.63,2.72,2.51,2.66,19100
25,2019-08-16,2.7701,2.77,2.5,2.51,36000
26,2019-08-15,2.83,2.91,2.69,2.72,18500
27,2019-08-14,3.15,3.15,2.68,2.81,61400
28,2019-08-13,3.02,3.17,3.0,3.07,18600
29,2019-08-12,3.18,3.2,3.0,3.05,13900
30,2019-08-09,3.14,3.32,3.1,3.19,12800
31,2019-08-08,3.26,3.35,3.15,3.15,5500
32,2019-08-07,3.2,3.266,3.14,3.266,13800
33,2019-08-06,3.27,3.29,3.14,3.29,5500
34,2019-08-05,3.3,3.33,3.13,3.2,22300
35,2019-08-02,3.26,3.38,3.2,3.27,19100
36,2019-08-01,3.39,3.55,3.26,3.34,12900
37,2019-07-31,3.54,3.72,3.41,3.41,47700
38,2019-07-30,3.42,3.63,3.42,3.59,66300
39,2019-07-29,3.48,3.62,3.32,3.44,75400
