,timestamp,open,high,low,close,volume
0,2019-09-23,1.49,1.49,1.41,1.41,27704
1,2019-09-20,1.55,1.6,1.43,1.48,356360
2,2019-09-19,1.6,1.6,1.5,1.56,208600
3,2019-09-18,1.57,1.65,1.55,1.58,275000
4,2019-09-17,1.59,1.62,1.57,1.6,169400
5,2019-09-16,1.59,1.63,1.55,1.59,272200
6,2019-09-13,1.62,1.66,1.57,1.59,269700
7,2019-09-12,1.54,1.73,1.49,1.62,523000
8,2019-09-11,1.64,1.65,1.58,1.59,223600
9,2019-09-10,1.55,1.68,1.53,1.6,259800
10,2019-09-09,1.46,1.6,1.46,1.57,222300
11,2019-09-06,1.42,1.6,1.42,1.46,189300
12,2019-09-05,1.47,1.52,1.42,1.42,73700
13,2019-09-04,1.48,1.48,1.42,1.46,54800
14,2019-09-03,1.36,1.49,1.35,1.47,124200
15,2019-08-30,1.39,1.39,1.32,1.37,72400
16,2019-08-29,1.3,1.4,1.29,1.39,165400
17,2019-08-28,1.26,1.32,1.23,1.31,47900
18,2019-08-27,1.3,1.3,1.21,1.25,259600
19,2019-08-26,1.32,1.32,1.28,1.29,93900
20,2019-08-23,1.3,1.33,1.3,1.3,48500
21,2019-08-22,1.35,1.35,1.29,1.3,156100
22,2019-08-21,1.35,1.4,1.33,1.34,51100
23,2019-08-20,1.32,1.39,1.32,1.36,44100
24,2019-08-19,1.36,1.38,1.3,1.32,98100
25,2019-08-16,1.34,1.4,1.32,1.34,64600
26,2019-08-15,1.46,1.47,1.34,1.34,92300
27,2019-08-14,1.38,1.51,1.38,1.47,204500
28,2019-08-13,1.28,1.44,1.28,1.41,102200
29,2019-08-12,1.32,1.35,1.29,1.3,63500
30,2019-08-09,1.35,1.36,1.3,1.3,269100
31,2019-08-08,1.34,1.46,1.34,1.4,115200
32,2019-08-07,1.31,1.4,1.31,1.34,90500
33,2019-08-06,1.26,1.35,1.26,1.32,111000
34,2019-08-05,1.29,1.32,1.25,1.26,142600
35,2019-08-02,1.33,1.33,1.25,1.28,161400
36,2019-08-01,1.32,1.39,1.32,1.33,36200
37,2019-07-31,1.37,1.39,1.33,1.33,89000
38,2019-07-30,1.34,1.4,1.32,1.38,70200
39,2019-07-29,1.37,1.38,1.32,1.34,52300
40,2019-07-26,1.33,1.38,1.32,1.37,110400
41,2019-07-25,1.37,1.37,1.3,1.32,129900
42,2019-07-24,1.37,1.42,1.35,1.38,41900
43,2019-07-23,1.35,1.3901,1.34,1.37,131200
44,2019-07-22,1.42,1.42,1.3,1.34,189200
45,2019-07-19,1.4,1.46,1.39,1.42,46000
46,2019-07-18,1.42,1.46,1.38,1.41,121500
47,2019-07-17,1.43,1.46,1.42,1.42,68700
48,2019-07-16,1.45,1.48,1.42,1.44,88100
49,2019-07-15,1.5,1.5,1.45,1.45,42600
50,2019-07-12,1.49,1.5,1.46,1.47,64600
51,2019-07-11,1.5,1.5,1.44,1.46,50600
52,2019-07-10,1.49,1.5,1.44,1.5,62000
53,2019-07-09,1.5,1.5,1.47,1.49,28600
54,2019-07-08,1.46,1.55,1.45,1.51,95700
55,2019-07-05,1.42,1.46,1.42,1.45,33600
56,2019-07-03,1.47,1.48,1.4,1.42,53700
57,2019-07-02,1.44,1.5,1.43,1.45,48100
58,2019-07-01,1.5,1.52,1.44,1.45,82600
59,2019-06-28,1.45,1.53,1.42,1.5,269700
60,2019-06-27,1.44,1.45,1.41,1.45,77200
61,2019-06-26,1.41,1.443,1.4,1.43,66200
62,2019-06-25,1.44,1.49,1.38,1.4,107000
63,2019-06-24,1.48,1.52,1.43,1.43,114000
64,2019-06-21,1.48,1.53,1.48,1.5,122400
65,2019-06-20,1.44,1.549,1.44,1.5,164400
66,2019-06-19,1.46,1.46,1.42,1.44,53100
67,2019-06-18,1.43,1.46,1.42,1.46,31400
68,2019-06-17,1.47,1.52,1.39,1.42,82500
69,2019-06-14,1.48,1.53,1.44,1.45,106800
70,2019-06-13,1.41,1.5,1.41,1.48,55600
71,2019-06-12,1.45,1.48,1.41,1.43,121200
72,2019-06-11,1.43,1.49,1.41,1.46,108500
73,2019-06-10,1.46,1.49,1.42,1.43,111600
74,2019-06-07,1.45,1.5,1.44,1.46,53700
75,2019-06-06,1.49,1.49,1.4,1.43,162300
76,2019-06-05,1.52,1.54,1.43,1.47,72300
77,2019-06-04,1.51,1.62,1.5,1.52,95400
78,2019-06-03,1.54,1.57,1.43,1.48,140700
79,2019-05-31,1.55,1.573,1.51,1.54,123400
80,2019-05-30,1.54,1.639,1.54,1.56,114800
81,2019-05-29,1.61,1.67,1.51,1.54,209300
82,2019-05-28,1.65,1.7,1.59,1.61,116300
83,2019-05-24,1.7,1.78,1.62,1.65,66600
84,2019-05-23,1.78,1.8,1.66,1.68,294100
85,2019-05-22,1.8,1.81,1.75,1.79,163100
86,2019-05-21,1.83,1.85,1.76,1.8,185400
87,2019-05-20,1.84,1.92,1.77,1.81,689300
88,2019-05-17,1.74,1.9,1.71,1.84,549200
89,2019-05-16,1.7,1.78,1.6999,1.75,370600
90,2019-05-15,1.6801,1.7,1.65,1.69,170900
91,2019-05-14,1.67,1.7,1.66,1.69,163900
92,2019-05-13,1.7,1.75,1.55,1.65,353700
93,2019-05-10,1.64,1.72,1.6,1.72,284800
94,2019-05-09,1.55,1.57,1.54,1.54,50100
95,2019-05-08,1.52,1.564,1.51,1.55,46900
96,2019-05-07,1.53,1.53,1.5,1.51,94300
97,2019-05-06,1.52,1.56,1.5,1.54,47700
98,2019-05-03,1.53,1.57,1.518,1.54,86800
99,2019-05-02,1.54,1.569,1.52,1.52,42300
100,2019-05-01,1.61,1.614,1.52,1.54,96400
101,2019-04-30,1.6,1.62,1.6,1.61,83200
102,2019-04-29,1.6,1.64,1.6,1.62,77300
103,2019-04-26,1.6,1.66,1.595,1.62,73300
104,2019-04-25,1.61,1.64,1.595,1.61,42900
105,2019-04-24,1.64,1.64,1.6,1.62,54600
106,2019-04-23,1.58,1.665,1.58,1.63,110800
107,2019-04-22,1.63,1.63,1.58,1.59,62300
108,2019-04-18,1.66,1.7,1.59,1.62,136600
109,2019-04-17,1.6,1.69,1.57,1.64,253700
110,2019-04-16,1.55,1.6,1.51,1.59,96400
111,2019-04-15,1.55,1.558,1.5,1.55,81200
112,2019-04-12,1.48,1.55,1.48,1.54,176100
113,2019-04-11,1.44,1.53,1.41,1.48,117000
114,2019-04-10,1.637,1.67,1.41,1.43,817800
115,2019-04-09,1.44,1.47,1.41,1.42,61400
116,2019-04-08,1.46,1.471,1.41,1.44,62800
117,2019-04-05,1.41,1.45,1.41,1.44,52600
118,2019-04-04,1.44,1.47,1.41,1.43,89100
119,2019-04-03,1.47,1.47,1.41,1.42,65000
120,2019-04-02,1.44,1.49,1.39,1.45,164700
121,2019-04-01,1.53,1.531,1.42,1.45,248800
122,2019-03-29,1.65,1.67,1.53,1.53,191700
123,2019-03-28,1.64,1.65,1.61,1.64,66700
124,2019-03-27,1.64,1.67,1.62,1.65,57000
125,2019-03-26,1.64,1.6502,1.61,1.65,73000
126,2019-03-25,1.57,1.64,1.57,1.64,59600
127,2019-03-22,1.62,1.65,1.57,1.59,120000
128,2019-03-21,1.57,1.65,1.57,1.62,132600
129,2019-03-20,1.64,1.64,1.57,1.57,110600
130,2019-03-19,1.69,1.69,1.63,1.63,126400
131,2019-03-18,1.65,1.7,1.61,1.68,149100
132,2019-03-15,1.65,1.65,1.5399,1.65,380100
133,2019-03-14,1.63,1.6899,1.6,1.67,87400
134,2019-03-13,1.64,1.6501,1.598,1.62,96100
135,2019-03-12,1.64,1.64,1.61,1.64,57000
136,2019-03-11,1.62,1.65,1.56,1.63,75800
137,2019-03-08,1.64,1.648,1.6,1.62,65000
138,2019-03-07,1.59,1.668,1.56,1.63,99100
139,2019-03-06,1.59,1.623,1.5599,1.58,50300
140,2019-03-05,1.58,1.64,1.57,1.59,102800
141,2019-03-04,1.65,1.7,1.57,1.6,144000
142,2019-03-01,1.6601,1.68,1.6,1.64,81900
143,2019-02-28,1.64,1.65,1.61,1.63,91000
144,2019-02-27,1.56,1.64,1.56,1.62,71600
145,2019-02-26,1.72,1.72,1.55,1.55,127700
146,2019-02-25,1.64,1.74,1.61,1.7,214400
147,2019-02-22,1.59,1.64,1.58,1.6,88300
148,2019-02-21,1.56,1.62,1.55,1.57,35900
149,2019-02-20,1.6,1.65,1.54,1.56,109700
150,2019-02-19,1.59,1.63,1.56,1.59,130000
151,2019-02-15,1.48,1.59,1.48,1.58,187100
152,2019-02-14,1.4898,1.55,1.471,1.48,53600
153,2019-02-13,1.5,1.555,1.47,1.49,97500
154,2019-02-12,1.54,1.54,1.43,1.45,142500
155,2019-02-11,1.45,1.55,1.41,1.51,90000
156,2019-02-08,1.47,1.492,1.42,1.45,73800
157,2019-02-07,1.44,1.47,1.38,1.45,38200
158,2019-02-06,1.46,1.5,1.38,1.46,92700
159,2019-02-05,1.4699,1.51,1.43,1.44,56600
160,2019-02-04,1.5,1.514,1.46,1.46,81600
161,2019-02-01,1.55,1.57,1.49,1.5,36700
162,2019-01-31,1.46,1.55,1.43,1.53,102200
163,2019-01-30,1.41,1.45,1.401,1.45,80800
164,2019-01-29,1.3701,1.42,1.36,1.39,60600
165,2019-01-28,1.44,1.44,1.32,1.38,115600
166,2019-01-25,1.39,1.48,1.38,1.42,107300
167,2019-01-24,1.38,1.4,1.35,1.37,37700
168,2019-01-23,1.32,1.4,1.32,1.36,72800
169,2019-01-22,1.36,1.37,1.281,1.31,143200
