,timestamp,open,high,low,close,volume
0,2019-09-23,1.7601,1.7601,1.7601,1.7601,504
1,2019-09-20,1.76,1.819,1.73,1.79,6480
2,2019-09-19,1.82,1.82,1.746,1.76,11100
3,2019-09-18,1.94,1.94,1.68,1.816,20600
4,2019-09-17,2.0,2.42,1.53,1.86,374700
5,2019-09-16,1.94,1.98,1.93,1.94,2900
6,2019-09-13,1.96,2.0,1.96,1.97,10100
7,2019-09-12,1.933,1.945,1.933,1.945,700
8,2019-09-11,1.95,1.99,1.9,1.9,8300
9,2019-09-10,1.95,2.0,1.94,2.0,4100
10,2019-09-09,2.01,2.05,1.97,1.99,6000
11,2019-09-06,2.03,2.03,1.97,2.02,1000
12,2019-09-05,2.0,2.02,1.95,1.98,9400
13,2019-09-04,1.93,2.02,1.906,2.02,9500
14,2019-09-03,1.969,1.99,1.86,1.89,6700
15,2019-08-30,2.04,2.04,2.04,2.04,0
16,2019-08-29,2.04,2.04,1.928,2.04,1300
17,2019-08-28,1.99,2.03,1.93,1.96,9500
18,2019-08-27,2.01,2.02,1.99,1.99,500
19,2019-08-26,1.95,1.97,1.88,1.97,22900
20,2019-08-23,2.03,2.03,1.9,1.91,3800
21,2019-08-22,1.96,2.01,1.95,1.99,15000
22,2019-08-21,2.0,2.0,1.86,1.93,16000
23,2019-08-20,1.98,2.066,1.9,2.066,19100
24,2019-08-19,1.95,1.95,1.87,1.92,12400
25,2019-08-16,1.96,2.0,1.86,1.95,29600
26,2019-08-15,2.0003,2.06,1.98,1.999,22600
27,2019-08-14,2.16,2.16,2.05,2.05,28700
28,2019-08-13,2.15,2.28,2.0997,2.25,17900
29,2019-08-12,2.15,2.3,2.14,2.14,49700
30,2019-08-09,2.24,2.39,2.13,2.17,43600
31,2019-08-08,2.25,2.25,2.14,2.25,15400
32,2019-08-07,2.22,2.27,2.17,2.25,5200
33,2019-08-06,2.224,2.3,2.19,2.23,7100
34,2019-08-05,2.29,2.31,2.18,2.18,7900
35,2019-08-02,2.37,2.38,2.37,2.38,600
36,2019-08-01,2.36,2.45,2.27,2.4,2000
37,2019-07-31,2.36,2.47,2.18,2.4,24600
38,2019-07-30,2.36,2.43,2.292,2.36,11100
39,2019-07-29,2.37,2.48,2.3201,2.32,13000
40,2019-07-26,2.4,2.4899,2.36,2.37,13100
41,2019-07-25,2.48,2.5,2.36,2.39,34000
42,2019-07-24,2.47,2.55,2.45,2.51,41400
43,2019-07-23,2.48,2.53,2.44,2.45,38400
44,2019-07-22,2.46,2.53,2.38,2.5,90200
45,2019-07-19,2.45,2.69,2.39,2.412,191200
46,2019-07-18,2.3,2.53,2.26,2.38,126600
47,2019-07-17,2.35,2.37,2.26,2.27,62900
48,2019-07-16,2.53,2.53,2.3301,2.35,84200
49,2019-07-15,2.4,2.55,2.35,2.55,219100
50,2019-07-12,3.46,3.48,2.48,2.67,5324000
51,2019-07-11,2.46,2.46,2.161,2.26,6000
52,2019-07-10,2.29,2.46,2.29,2.46,7300
53,2019-07-09,2.37,2.37,2.26,2.33,3300
54,2019-07-08,2.34,2.35,2.16,2.35,2000
55,2019-07-05,2.35,2.35,2.325,2.325,1300
56,2019-07-03,2.4,2.46,2.4,2.41,600
57,2019-07-02,2.45,2.45,2.35,2.43,4000
58,2019-07-01,2.46,2.545,2.31,2.34,2000
59,2019-06-28,2.36,2.498,2.252,2.49,52400
60,2019-06-27,2.32,2.41,2.261,2.3,80700
61,2019-06-26,2.33,2.42,2.25,2.28,38700
62,2019-06-25,2.42,2.465,2.25,2.3,20500
63,2019-06-24,2.46,2.485,2.25,2.43,7700
64,2019-06-21,2.41,2.52,2.41,2.44,10500
65,2019-06-20,2.4051,2.505,2.405,2.5,6200
66,2019-06-19,2.32,2.51,2.32,2.5,10000
67,2019-06-18,2.3,2.48,2.3,2.38,5800
68,2019-06-17,2.37,2.41,2.37,2.41,2000
69,2019-06-14,2.35,2.38,2.31,2.38,8400
70,2019-06-13,2.35,2.42,2.315,2.39,4100
71,2019-06-12,2.415,2.42,2.379,2.39,1000
72,2019-06-11,2.4,2.43,2.379,2.38,3300
73,2019-06-10,2.53,2.53,2.29,2.29,3900
74,2019-06-07,2.26,2.43,2.26,2.4,20300
75,2019-06-06,2.35,2.57,2.23,2.28,78900
76,2019-06-05,2.28,2.4,2.26,2.29,15200
77,2019-06-04,2.36,2.36,2.181,2.31,14900
78,2019-06-03,2.72,2.72,2.11,2.24,197500
79,2019-05-31,2.3,2.47,2.27,2.37,4900
80,2019-05-30,2.39,2.5,2.35,2.35,23000
81,2019-05-29,2.47,2.494,2.424,2.489,2200
82,2019-05-28,2.58,2.58,2.43,2.44,18200
83,2019-05-24,2.71,2.71,2.71,2.71,300
84,2019-05-23,2.59,2.63,2.52,2.63,3800
85,2019-05-22,2.66,2.699,2.64,2.64,10900
86,2019-05-21,2.6902,2.78,2.69,2.704,2600
87,2019-05-20,2.72,2.72,2.64,2.67,3600
88,2019-05-17,2.9,2.9,2.61,2.79,9300
89,2019-05-16,2.76,2.78,2.656,2.77,6200
90,2019-05-15,2.61,2.78,2.61,2.65,11400
91,2019-05-14,2.73,2.8,2.65,2.65,3900
92,2019-05-13,2.66,2.889,2.624,2.8,1300
93,2019-05-10,2.76,2.89,2.5,2.89,7200
94,2019-05-09,2.744,2.9,2.744,2.89,2400
95,2019-05-08,2.97,2.97,2.97,2.97,100
96,2019-05-07,2.8701,2.98,2.84,2.98,11300
97,2019-05-06,2.78,2.99,2.768,2.89,23200
98,2019-05-03,2.803,2.85,2.78,2.789,3400
99,2019-05-02,2.734,2.79,2.7339,2.79,2400
100,2019-05-01,2.8,2.84,2.71,2.84,10100
101,2019-04-30,2.823,2.86,2.823,2.85,3500
102,2019-04-29,2.8,2.86,2.79,2.85,14300
103,2019-04-26,2.784,2.85,2.78,2.82,4900
104,2019-04-25,3.02,3.02,2.785,2.785,8800
105,2019-04-24,2.85,2.94,2.8,2.92,11700
106,2019-04-23,3.05,3.05,2.79,2.85,112400
107,2019-04-22,2.8,3.045,2.72,2.91,22100
108,2019-04-18,2.86,2.86,2.8,2.8,2000
109,2019-04-17,2.814,2.95,2.8,2.95,8900
110,2019-04-16,2.86,2.881,2.8,2.844,11000
111,2019-04-15,2.91,3.0,2.834,2.97,4700
112,2019-04-12,3.05,3.05,2.889,2.92,2600
113,2019-04-11,2.98,3.03,2.9479,3.03,8800
114,2019-04-10,3.02,3.087,2.98,2.98,8200
115,2019-04-09,2.935,3.0599,2.935,3.06,7600
116,2019-04-08,3.08,3.09,3.0,3.09,22300
117,2019-04-05,2.99,3.14,2.99,3.08,10000
118,2019-04-04,3.06,3.19,2.94,2.94,86900
119,2019-04-03,2.98,3.14,2.96,3.12,23100
120,2019-04-02,2.931,3.11,2.921,3.02,40800
121,2019-04-01,3.0,3.0,2.885,2.96,27000
122,2019-03-29,3.0,3.13,2.85,2.961,77500
123,2019-03-28,2.84,3.19,2.71,2.94,182400
124,2019-03-27,2.83,2.86,2.67,2.85,12000
125,2019-03-26,2.74,2.83,2.67,2.795,5200
126,2019-03-25,2.89,2.89,2.67,2.74,30700
127,2019-03-22,2.95,2.95,2.89,2.93,5700
128,2019-03-21,2.883,2.94,2.831,2.89,13600
129,2019-03-20,2.92,2.97,2.876,2.9,6500
130,2019-03-19,2.85,3.07,2.82,2.92,73600
131,2019-03-18,2.88,2.8797,2.81,2.86,4100
132,2019-03-15,2.73,2.89,2.73,2.89,17600
133,2019-03-14,2.86,2.9,2.741,2.9,26100
