,timestamp,open,high,low,close,volume
0,2019-09-23,544.31,547.35,536.7,537.08,42770
1,2019-09-20,549.0,558.11,543.37,547.97,415405
2,2019-09-19,542.5,556.53,541.85,549.31,448200
3,2019-09-18,548.28,551.58,530.76,542.52,559400
4,2019-09-17,553.12,559.06,546.99,549.98,431300
5,2019-09-16,557.55,561.0,548.72,554.05,514800
6,2019-09-13,571.01,573.97,563.19,566.83,415600
7,2019-09-12,568.44,573.77,559.99,571.73,371800
8,2019-09-11,551.05,574.09,543.77,560.88,672900
9,2019-09-10,550.0,559.0,536.26,549.17,1074000
10,2019-09-09,608.4,608.4,555.93,571.13,583900
11,2019-09-06,605.36,608.99,594.58,597.79,198300
12,2019-09-05,602.02,612.83,597.16,605.69,306600
13,2019-09-04,586.0,594.79,581.29,590.0,379200
14,2019-09-03,587.19,592.94,573.92,581.0,419300
15,2019-08-30,602.4,604.99,584.63,594.6,289800
16,2019-08-29,590.79,596.8,578.85,593.49,394800
17,2019-08-28,593.41,593.77,584.06,588.15,385300
18,2019-08-27,609.75,614.79,591.75,594.13,504000
19,2019-08-26,605.97,612.88,599.82,602.62,332000
20,2019-08-23,613.89,619.74,595.0,598.18,405000
21,2019-08-22,626.06,630.88,608.49,619.4,278000
22,2019-08-21,622.52,634.54,620.01,629.83,348400
23,2019-08-20,603.36,620.32,596.62,612.3,362200
24,2019-08-19,637.44,639.69,597.34,603.35,611600
25,2019-08-16,623.0,631.38,619.02,624.53,350900
26,2019-08-15,620.99,628.5,604.54,613.25,412400
27,2019-08-14,620.99,632.36,616.36,620.0,464900
28,2019-08-13,644.89,656.14,627.03,637.57,794200
29,2019-08-12,612.56,633.04,585.7253,623.65,1761200
30,2019-08-09,682.69,698.9643,675.094,690.1,544400
31,2019-08-08,645.0,693.84,640.0,688.1,1140900
32,2019-08-07,596.98,614.96,581.13,613.54,637700
33,2019-08-06,588.53,601.99,586.88,601.04,566000
34,2019-08-05,598.52,602.66,567.39,574.25,887200
35,2019-08-02,622.63,625.0,609.6,614.71,341800
36,2019-08-01,624.53,648.55,617.03,626.45,455900
37,2019-07-31,636.9,643.44,614.13,621.42,427100
38,2019-07-30,646.73,650.05,629.63,633.78,466100
39,2019-07-29,656.13,658.3,646.01,653.39,312900
40,2019-07-26,650.0054,662.9,647.14,654.71,397600
41,2019-07-25,662.46,666.18,650.86,652.5,558300
42,2019-07-24,631.34,660.3,627.54,660.0,581900
43,2019-07-23,638.59,641.61,623.3,634.83,417000
44,2019-07-22,631.4,640.95,630.0,636.51,316500
45,2019-07-19,652.99,657.19,626.35,626.7,479100
46,2019-07-18,630.13,650.9,629.98,648.67,581000
47,2019-07-17,632.95,640.89,623.26,631.73,383800
48,2019-07-16,649.78,652.98,630.0,633.95,572000
49,2019-07-15,649.25,660.63,639.95,645.11,636700
50,2019-07-12,633.85,647.86,628.77,644.79,514700
51,2019-07-11,632.21,638.71,625.67,634.29,467800
52,2019-07-10,646.0,654.17,619.5,633.33,755000
53,2019-07-09,626.83,641.17,624.81,640.56,339400
54,2019-07-08,635.71,635.71,624.22,629.97,313600
55,2019-07-05,628.0,641.57,621.63,638.18,300900
56,2019-07-03,630.98,633.52,619.01,633.52,207500
57,2019-07-02,616.0,631.55,613.53,626.98,424900
58,2019-07-01,627.19,637.0,612.38,619.31,501000
59,2019-06-28,613.12,613.12,603.1,611.77,375100
60,2019-06-27,608.7874,614.395,607.34,610.67,573300
61,2019-06-26,625.32,625.3252,605.56,609.22,462200
62,2019-06-25,623.4392,624.99,609.0,614.54,389100
63,2019-06-24,633.88,637.37,619.13,621.8,357700
64,2019-06-21,635.92,644.6397,624.89,630.65,454900
65,2019-06-20,659.36,672.55,619.15,636.44,581800
66,2019-06-19,623.42,643.97,616.19,641.39,390900
67,2019-06-18,626.72,632.09,621.68,622.75,465300
68,2019-06-17,620.9367,623.45,612.24,618.85,460000
69,2019-06-14,632.87,635.59,609.41,616.0,621700
70,2019-06-13,630.0,635.71,616.83,635.59,568000
71,2019-06-12,608.33,633.11,608.33,623.41,625300
72,2019-06-11,628.06,634.0,608.39,613.3,455700
73,2019-06-10,625.89,632.669,613.03,616.46,564700
74,2019-06-07,582.0,618.0,582.0,604.49,695300
75,2019-06-06,569.14,587.37,565.482,581.69,555400
76,2019-06-05,564.22,569.81,546.99,569.15,700000
77,2019-06-04,568.0,577.69,544.441,551.71,1173800
78,2019-06-03,567.59,589.8376,564.74,568.77,688100
79,2019-05-31,566.56,576.71,560.413,570.52,522700
80,2019-05-30,576.62,590.0,575.92,578.29,399900
81,2019-05-29,595.0,597.407,568.34,573.61,936500
82,2019-05-28,596.0,611.955,595.5,600.58,593700
83,2019-05-24,584.44,595.68,584.0,592.55,512600
84,2019-05-23,563.11,582.735,563.0,580.67,424600
85,2019-05-22,565.85,589.0,563.03,569.49,653500
86,2019-05-21,578.34,580.0,567.5198,572.95,366300
87,2019-05-20,572.99,577.66,564.68,574.09,510500
88,2019-05-17,585.01,589.89,573.63,574.57,551600
89,2019-05-16,573.57,596.7,573.57,595.73,698100
90,2019-05-15,558.24,582.48,558.22,572.93,583100
91,2019-05-14,551.24,565.0,546.955,562.69,660000
92,2019-05-13,540.02,549.85,539.155,543.03,664500
93,2019-05-10,542.7,558.77,536.58,557.84,544400
94,2019-05-09,529.48,551.3852,520.87,542.64,546700
95,2019-05-08,536.29,554.37,535.66,536.06,541200
96,2019-05-07,557.91,562.62,535.12,539.41,727000
97,2019-05-06,565.58,580.43,562.31,567.69,625100
98,2019-05-03,541.85,589.564,529.19,578.94,2195100
99,2019-05-02,484.35,491.98,478.78,482.35,508300
100,2019-05-01,487.78,493.04,483.56,484.73,320100
101,2019-04-30,491.5287,495.65,482.33,484.14,451700
102,2019-04-29,489.67,494.85,481.601,494.16,437700
103,2019-04-26,491.19,495.0,485.347,489.52,425000
104,2019-04-25,486.03,491.51,460.0,487.57,1223900
105,2019-04-24,503.3636,504.945,475.138,486.01,777500
106,2019-04-23,480.5408,500.365,480.55,500.0,661800
107,2019-04-22,490.8,495.095,488.0,490.77,432700
108,2019-04-18,490.24,493.79,477.03,492.0,663600
109,2019-04-17,499.32,503.46,486.69,498.38,502300
110,2019-04-16,515.0723,518.58,498.0,501.96,469600
111,2019-04-15,503.03,516.39,502.69,513.68,496400
112,2019-04-12,505.46,509.09,503.315,504.52,358200
113,2019-04-11,507.0,510.5,499.185,503.73,387300
114,2019-04-10,507.12,516.91,504.71,514.34,348000
115,2019-04-09,500.74,510.0,500.74,505.18,240200
116,2019-04-08,503.84,506.84,496.62,506.5,210900
117,2019-04-05,511.7,511.7,498.44,502.85,391200
118,2019-04-04,508.55,508.79,490.8952,501.48,708200
119,2019-04-03,522.55,527.09,507.7,508.58,775000
120,2019-04-02,517.02,521.55,508.32,509.99,575800
121,2019-04-01,516.28,525.9,514.952,518.11,648000
122,2019-03-29,503.11,511.49,498.135,507.73,389500
123,2019-03-28,497.16,504.2,488.35,497.15,553000
124,2019-03-27,490.01,498.6641,479.13,484.94,634600
125,2019-03-26,497.32,501.37,490.455,493.9,489400
126,2019-03-25,497.2,501.03,489.825,491.3,402400
127,2019-03-22,499.28,503.56,489.37,497.37,702900
128,2019-03-21,496.25,506.343,493.701,504.48,463400
129,2019-03-20,484.86,500.592,482.84,497.95,760800
130,2019-03-19,483.3,491.77,479.0,482.36,687500
131,2019-03-18,490.0,494.395,479.0,484.97,885700
132,2019-03-15,486.31,495.0,482.0358,488.73,1120800
133,2019-03-14,503.36,506.8,491.76,493.79,1063900
134,2019-03-13,489.6,514.897,488.0,507.93,3285300
135,2019-03-12,481.49,484.43,472.16,483.48,1488500
136,2019-03-11,455.23,483.75,450.85,481.11,1142800
137,2019-03-08,436.45,450.15,436.45,449.59,588300
138,2019-03-07,460.0,462.101,446.58,451.15,1317200
139,2019-03-06,466.6,469.08,457.16,461.53,448100
140,2019-03-05,469.71,478.595,461.9587,467.77,705400
141,2019-03-04,455.88,465.0,449.7028,463.8,724700
142,2019-03-01,461.75,474.84,446.995,451.64,1408300
143,2019-02-28,444.18,462.07,443.45,458.79,1136500
144,2019-02-27,408.0,452.43,405.01,446.68,2625300
145,2019-02-26,372.0,374.92,362.51,369.49,781200
146,2019-02-25,375.23,382.84,373.85,375.09,548300
147,2019-02-22,367.17,374.31,366.255,374.06,304700
148,2019-02-21,367.0,368.88,358.071,364.98,427100
149,2019-02-20,367.35,372.48,363.17,368.34,399200
150,2019-02-19,362.61,370.89,361.385,367.21,488900
151,2019-02-15,364.19,365.5352,360.01,363.1,243200
152,2019-02-14,357.0,364.56,356.0,359.84,373600
153,2019-02-13,365.03,367.86,357.54,360.57,228200
154,2019-02-12,354.38,367.61,351.5259,364.0,526900
155,2019-02-11,350.0,355.11,346.99,350.83,559900
156,2019-02-08,351.19,353.27,338.95,347.82,908100
157,2019-02-07,354.58,361.5,345.39,358.2,332200
158,2019-02-06,360.37,365.7631,352.959,358.92,501500
159,2019-02-05,370.28,374.97,362.31,363.25,451100
160,2019-02-04,361.85,369.03,354.39,368.08,358400
161,2019-02-01,365.73,366.89,359.0,364.66,495400
162,2019-01-31,361.7,368.27,356.06,364.0,733800
163,2019-01-30,352.13,366.34,351.3,362.02,575400
164,2019-01-29,354.7,357.0,346.4,351.23,453100
165,2019-01-28,338.1243,356.421,335.28,355.0,468600
166,2019-01-25,344.33,347.51,339.09,342.88,469700
167,2019-01-24,331.07,339.835,329.997,339.15,456300
168,2019-01-23,334.79,337.064,322.82,328.88,420500
169,2019-01-22,340.99,342.38,324.12,330.86,622200
170,2019-01-18,347.07,353.97,341.12,350.66,475900
171,2019-01-17,341.26,346.285,335.11,342.23,388100
172,2019-01-16,340.0,349.61,336.47,344.92,643600
173,2019-01-15,341.19,350.9927,341.19,350.1,513200
174,2019-01-14,340.7,346.57,337.0,339.77,400700
175,2019-01-11,337.49,348.459,333.86,344.95,431900
176,2019-01-10,336.09,343.99,331.0,339.59,620200
177,2019-01-09,333.1,347.79,330.545,339.96,590200
178,2019-01-08,334.17,334.99,317.735,328.49,500900
179,2019-01-07,315.73,330.89,315.73,328.94,467700
180,2019-01-04,301.6769,317.97,301.01,315.33,606600
181,2019-01-03,295.08,300.4959,289.14,296.59,564400
182,2019-01-02,285.61,298.87,282.88,298.01,349000
183,2018-12-31,295.0,298.32,285.11,292.85,390300
184,2018-12-28,291.89,299.81,282.44,292.09,736200
185,2018-12-27,274.17,290.29,272.613,289.1,579300
186,2018-12-26,261.23,283.91,260.42,281.81,1031400
187,2018-12-24,281.92,284.44,257.52,257.52,1005400
188,2018-12-21,308.1,315.64,285.58,286.56,1423600
189,2018-12-20,311.52,319.02,304.1,306.4,489500
190,2018-12-19,312.78,330.85,309.3,312.39,747800
191,2018-12-18,312.9,320.16,307.42,310.83,454800
192,2018-12-17,324.79,324.87,309.74,310.49,535100
193,2018-12-14,329.0,337.33,324.13,326.52,497400
194,2018-12-13,360.1,361.0,333.33,333.51,721500
195,2018-12-12,359.65,366.12,354.93,361.36,487800
196,2018-12-11,361.0,364.938,351.68,355.24,591700
197,2018-12-10,345.02,357.525,342.487,353.52,446900
198,2018-12-07,349.5,357.91,341.65,346.56,390000
199,2018-12-06,344.0168,350.89,340.26,350.56,600800
200,2018-12-04,369.0,373.916,351.06,354.85,718800
201,2018-12-03,360.91,374.84,359.0,369.51,788900
202,2018-11-30,359.34,362.03,351.71,351.97,915400
203,2018-11-29,343.52,359.38,342.0,357.99,616400
204,2018-11-28,335.0,346.02,326.864,345.78,658500
205,2018-11-27,320.32,332.01,314.21,331.72,391100
206,2018-11-26,316.79,323.675,314.118,322.18,644200
207,2018-11-23,314.08,321.16,308.53,309.82,480000
208,2018-11-21,319.0,321.99,312.515,319.0,692000
209,2018-11-20,327.33,332.3,312.03,313.79,1136800
210,2018-11-19,341.16,343.94,333.26,335.39,519800
211,2018-11-16,336.39,347.6257,331.81,344.61,450400
212,2018-11-15,336.96,344.61,331.552,340.77,624700
213,2018-11-14,339.0,341.0,329.3,336.86,614800
214,2018-11-13,323.71,330.57,321.46,327.94,396400
215,2018-11-12,325.69,328.345,318.41,322.0,596300
216,2018-11-09,326.93,328.93,318.436,325.69,427900
217,2018-11-08,347.51,348.432,327.58,331.47,568300
218,2018-11-07,340.0,349.91,329.529,349.56,549200
219,2018-11-06,352.76,356.36,335.24,336.19,593300
220,2018-11-05,353.59,360.49,350.736,357.62,386500
221,2018-11-02,348.0,368.84,346.365,354.39,1361400
222,2018-11-01,330.89,343.445,320.06,341.65,845900
223,2018-10-31,315.07,329.51,315.0,324.5,1042300
224,2018-10-30,286.68,312.8,285.1,310.41,868600
225,2018-10-29,300.98,304.5,281.3,287.34,956200
226,2018-10-26,295.71,302.879,287.28,295.37,725100
227,2018-10-25,296.17,302.2,291.0,297.59,601800
228,2018-10-24,306.76,309.45,291.07,291.4,490800
229,2018-10-23,303.02,309.38,295.6003,306.86,505600
230,2018-10-22,305.976,318.14,301.95,313.56,580900
231,2018-10-19,300.92,312.135,298.78,301.87,418400
232,2018-10-18,313.18,317.25,297.0,298.76,499100
233,2018-10-17,307.91,319.03,304.69,313.37,536900
234,2018-10-16,297.2,309.3,296.01,308.6,1242200
235,2018-10-15,303.28,303.28,291.505,294.75,1291400
236,2018-10-12,311.94,314.21,295.4,303.42,1350700
237,2018-10-11,314.72,320.75,298.07,304.86,945000
238,2018-10-10,336.39,338.71,314.53,319.07,835200
239,2018-10-09,337.47,341.495,333.865,340.06,495600
240,2018-10-08,348.94,351.41,327.5119,339.5,1110100
241,2018-10-05,340.62,349.945,330.29,335.64,635300
242,2018-10-04,351.75,352.0,332.161,339.46,595700
243,2018-10-03,356.56,362.33,350.26,354.1,716700
244,2018-10-02,334.59,354.49,332.82,353.9,1053700
245,2018-10-01,343.84,353.1207,331.74,332.49,875200
246,2018-09-28,337.74,344.649,336.525,340.47,487300
247,2018-09-27,333.31,346.1,325.09,340.08,1018500
248,2018-09-26,320.73,337.5,320.0,330.75,949700
249,2018-09-25,333.2801,333.89,318.02,319.62,800300
