,timestamp,open,high,low,close,volume
0,2019-09-23,0.53,0.57,0.51,0.51,3003
1,2019-09-20,0.6,0.6,0.4501,0.5387,37102
2,2019-09-19,0.55,0.599,0.53,0.57,12100
3,2019-09-18,0.6,0.6,0.54,0.55,19000
4,2019-09-17,0.59,0.62,0.54,0.545,107700
5,2019-09-16,0.649,0.649,0.502,0.53,58400
6,2019-09-13,0.67,0.67,0.59,0.605,9300
7,2019-09-12,0.635,0.67,0.56,0.583,10200
8,2019-09-11,0.593,0.67,0.553,0.635,9000
9,2019-09-10,0.67,0.68,0.581,0.581,7600
10,2019-09-09,0.55,0.67,0.53,0.6,12800
11,2019-09-06,0.603,0.633,0.6,0.62,11300
12,2019-09-05,0.603,0.629,0.57,0.607,27200
13,2019-09-04,0.63,0.65,0.603,0.627,12100
14,2019-09-03,0.65,0.653,0.55,0.63,10900
15,2019-08-30,0.65,0.65,0.65,0.65,0
16,2019-08-29,0.646,0.675,0.646,0.65,1100
17,2019-08-28,0.68,0.68,0.64,0.64,3700
18,2019-08-27,0.64,0.65,0.64,0.65,1000
19,2019-08-26,0.63,0.68,0.63,0.68,500
20,2019-08-23,0.672,0.683,0.63,0.683,3700
21,2019-08-22,0.672,0.701,0.672,0.7,11000
22,2019-08-21,0.7,0.734,0.67,0.72,16000
23,2019-08-20,0.69,0.691,0.67,0.69,9000
24,2019-08-19,0.74,0.74,0.7,0.7,6400
25,2019-08-16,0.66,0.709,0.66,0.7,18000
26,2019-08-15,0.553,0.71,0.553,0.709,6300
27,2019-08-14,0.69,0.691,0.6,0.6,17900
28,2019-08-13,0.684,0.69,0.684,0.685,1600
29,2019-08-12,0.682,0.69,0.68,0.68,6500
30,2019-08-09,0.72,0.72,0.68,0.69,1300
31,2019-08-08,0.74,0.74,0.65,0.73,16900
32,2019-08-07,0.734,0.744,0.7,0.73,10000
33,2019-08-06,0.85,0.85,0.672,0.78,22600
34,2019-08-05,0.7,0.777,0.64,0.776,5200
35,2019-08-02,0.64,0.79,0.64,0.68,40300
36,2019-08-01,0.79,0.79,0.698,0.698,10300
37,2019-07-31,0.76,0.836,0.76,0.78,42500
38,2019-07-30,0.68,0.742,0.68,0.7,11000
39,2019-07-29,0.72,0.75,0.67,0.698,4400
40,2019-07-26,0.698,0.74,0.68,0.703,4700
41,2019-07-25,0.68,0.718,0.67,0.718,3200
42,2019-07-24,0.664,0.7,0.664,0.68,6100
43,2019-07-23,0.696,0.696,0.68,0.694,11000
44,2019-07-22,0.735,0.735,0.67,0.68,18000
45,2019-07-19,0.8,0.819,0.76,0.76,17600
46,2019-07-18,0.72,0.84,0.72,0.785,50800
47,2019-07-17,0.66,0.74,0.65,0.73,73700
48,2019-07-16,0.64,0.69,0.602,0.66,27500
49,2019-07-15,0.62,0.687,0.55,0.66,24000
50,2019-07-12,0.65,0.65,0.62,0.62,46300
51,2019-07-11,0.754,0.754,0.623,0.65,84400
52,2019-07-10,0.75,0.78,0.75,0.75,15600
53,2019-07-09,0.73,0.77,0.73,0.765,7200
54,2019-07-08,0.76,0.84,0.76,0.79,95000
55,2019-07-05,0.774,0.774,0.73,0.764,17200
56,2019-07-03,0.76,0.82,0.7,0.772,34200
57,2019-07-02,0.821,0.821,0.74,0.78,22800
58,2019-07-01,0.764,0.85,0.76,0.83,37600
59,2019-06-28,0.78,0.8,0.752,0.76,17400
60,2019-06-27,0.8,0.8,0.76,0.79,11800
61,2019-06-26,0.798,0.8,0.76,0.765,48900
62,2019-06-25,0.87,0.87,0.743,0.82,26000
63,2019-06-24,0.889,0.915,0.87,0.87,29500
64,2019-06-21,0.91,0.96,0.889,0.889,28800
65,2019-06-20,0.91,0.95,0.91,0.93,26300
66,2019-06-19,0.95,0.96,0.915,0.939,6500
67,2019-06-18,0.91,1.02,0.91,0.954,189100
68,2019-06-17,0.982,1.02,0.908,0.92,162000
69,2019-06-14,0.987,1.01,0.905,0.976,133500
70,2019-06-13,0.95,1.024,0.923,0.937,44400
71,2019-06-12,0.92,1.02,0.92,0.96,64400
72,2019-06-11,0.837,0.925,0.837,0.92,69200
73,2019-06-10,0.778,0.931,0.778,0.843,160600
74,2019-06-07,0.78,0.828,0.701,0.8,117700
75,2019-06-06,0.8,0.9,0.76,0.76,204200
76,2019-06-05,1.17,1.176,1.04,1.08,220100
77,2019-06-04,1.17,1.24,1.15,1.15,214600
78,2019-06-03,1.17,1.18,1.05,1.17,126800
79,2019-05-31,1.1,1.1698,1.08,1.12,149200
80,2019-05-30,0.95,1.11,0.946,1.07,240300
81,2019-05-29,0.8,0.945,0.78,0.832,29000
82,2019-05-28,0.862,0.92,0.83,0.83,29000
83,2019-05-24,0.9501,0.98,0.83,0.917,92400
84,2019-05-23,0.942,1.2,0.94,0.94,585400
85,2019-05-22,0.997,1.01,0.931,0.99,15500
86,2019-05-21,1.0,1.007,0.97,0.997,64400
