,timestamp,open,high,low,close,volume
0,2019-09-23,2.25,2.25,2.16,2.2,630
1,2019-09-20,2.32,2.39,2.15,2.25,136563
2,2019-09-19,2.4,2.476,2.34,2.35,9800
3,2019-09-18,2.48,2.55,2.39,2.41,41400
4,2019-09-17,2.54,2.6,2.435,2.48,51100
5,2019-09-16,2.41,2.54,2.41,2.49,29600
6,2019-09-13,2.45,2.46,2.33,2.42,26500
7,2019-09-12,2.45,2.47,2.25,2.34,35800
8,2019-09-11,2.27,2.48,2.26,2.38,14600
9,2019-09-10,2.16,2.25,2.16,2.25,10800
10,2019-09-09,2.168,2.25,2.15,2.16,10900
11,2019-09-06,2.21,2.3,2.15,2.21,40000
12,2019-09-05,2.24,2.45,2.18,2.2,29400
13,2019-09-04,2.21,2.24,2.14,2.24,8500
14,2019-09-03,2.161,2.169,2.15,2.16,13100
15,2019-08-30,2.14,2.35,2.14,2.15,48700
16,2019-08-29,2.08,2.5,2.05,2.1,13200
17,2019-08-28,2.03,2.14,2.03,2.09,4100
18,2019-08-27,2.04,2.392,1.995,2.08,27800
19,2019-08-26,2.18,2.18,2.04,2.05,6900
20,2019-08-23,2.14,2.14,1.98,2.06,9700
21,2019-08-22,2.05,3.0,1.93,2.05,82100
22,2019-08-21,2.05,2.054,1.841,1.95,23900
23,2019-08-20,2.05,2.105,1.94,2.03,19200
24,2019-08-19,2.03,2.04,1.97,1.98,8500
25,2019-08-16,2.07,2.07,2.03,2.04,6800
26,2019-08-15,1.95,2.21,1.95,2.21,3500
27,2019-08-14,2.2,2.2,2.0,2.135,18600
28,2019-08-13,2.085,2.25,1.965,2.18,55000
29,2019-08-12,2.06,2.07,2.05,2.07,6100
30,2019-08-09,2.13,2.25,2.05,2.06,12200
31,2019-08-08,2.24,2.2499,2.01,2.23,900
32,2019-08-07,2.25,2.261,2.0,2.05,9900
33,2019-08-06,2.17,2.25,2.026,2.25,12000
34,2019-08-05,2.08,2.289,2.0,2.0,11700
35,2019-08-02,2.101,2.14,2.05,2.05,7000
36,2019-08-01,2.13,2.205,1.92,2.05,37900
37,2019-07-31,2.1,2.26,2.1,2.23,4800
38,2019-07-30,2.04,2.363,2.04,2.08,12600
39,2019-07-29,2.09,2.44,2.06,2.08,8700
40,2019-07-26,2.1,2.249,2.01,2.09,7900
41,2019-07-25,2.055,2.091,1.92,2.091,6200
42,2019-07-24,2.137,2.14,1.94,2.135,3200
43,2019-07-23,1.85,2.237,1.83,2.15,43100
44,2019-07-22,2.2,2.2,1.81,1.92,20600
45,2019-07-19,2.43,2.647,2.25,2.25,8000
46,2019-07-18,2.4999,2.55,2.372,2.55,9100
47,2019-07-17,2.76,2.899,2.439,2.48,13700
48,2019-07-16,2.82,2.85,2.48,2.75,14600
49,2019-07-15,2.52,2.675,2.3351,2.59,15700
50,2019-07-12,2.553,2.788,2.5,2.55,6500
51,2019-07-11,2.292,2.58,2.292,2.5,5900
52,2019-07-10,2.6,2.63,2.355,2.45,19900
53,2019-07-09,2.76,2.85,2.5,2.53,21900
54,2019-07-08,2.763,2.976,2.763,2.83,4100
55,2019-07-05,2.7,2.975,2.7,2.84,7900
56,2019-07-03,2.61,2.745,2.5,2.55,30300
57,2019-07-02,2.95,2.95,2.6,2.69,26300
58,2019-07-01,2.95,3.1002,2.73,2.94,18300
59,2019-06-28,2.92,3.15,2.92,3.0,18600
60,2019-06-27,3.12,3.12,2.77,2.92,12500
61,2019-06-26,3.13,3.13,2.9,3.1,1700
62,2019-06-25,2.98,3.03,2.9,3.0,24700
63,2019-06-24,3.052,3.23,3.0,3.0,26000
64,2019-06-21,3.16,3.235,3.02,3.02,23100
65,2019-06-20,3.15,3.169,3.15,3.15,7700
66,2019-06-19,3.2,3.2,3.06,3.132,12100
67,2019-06-18,3.22,3.22,3.12,3.21,13500
68,2019-06-17,3.24,3.24,3.068,3.21,6200
69,2019-06-14,3.13,3.15,3.02,3.15,7100
70,2019-06-13,2.99,3.26,2.794,3.1,28300
71,2019-06-12,2.774,3.11,2.774,2.99,12200
72,2019-06-11,2.86,3.27,2.77,3.27,27800
73,2019-06-10,2.98,2.98,2.76,2.78,5000
74,2019-06-07,2.77,2.859,2.63,2.63,3200
75,2019-06-06,2.72,2.737,2.65,2.69,12500
76,2019-06-05,2.75,2.83,2.7,2.7,5100
77,2019-06-04,2.6401,2.767,2.51,2.65,14200
78,2019-06-03,2.523,2.67,2.513,2.651,8500
79,2019-05-31,2.836,2.836,2.64,2.64,14500
80,2019-05-30,2.86,2.97,2.61,2.61,20600
81,2019-05-29,2.67,2.92,2.67,2.823,6900
82,2019-05-28,2.95,3.049,2.65,2.65,13300
83,2019-05-24,3.2,3.2,2.943,3.0,21200
84,2019-05-23,3.222,3.27,3.2,3.21,11500
85,2019-05-22,3.31,3.3099,3.088,3.26,14600
86,2019-05-21,2.86,3.42,2.86,3.3,33400
87,2019-05-20,2.954,3.088,2.9541,3.088,300
88,2019-05-17,3.16,3.25,2.86,3.04,15000
89,2019-05-16,3.196,3.2739,3.15,3.22,21600
90,2019-05-15,3.58,3.7101,3.35,3.37,52700
91,2019-05-14,3.248,3.65,3.248,3.61,112700
