,timestamp,open,high,low,close,volume
0,2019-09-13,15.0,15.03,14.983,14.983,9648
1,2019-09-12,15.17,15.17,15.04,15.04,20378
2,2019-09-11,15.17,15.19,15.14,15.14,13900
3,2019-09-10,15.21,15.24,15.21,15.21,10800
4,2019-09-09,15.29,15.3,15.22,15.24,11700
5,2019-09-06,15.29,15.35,15.29,15.33,13900
6,2019-09-05,15.44,15.44,15.3,15.33,17200
7,2019-09-04,15.36,15.5,15.36,15.47,11600
8,2019-09-03,15.47,15.47,15.39,15.42,13000
9,2019-08-30,15.39,15.49,15.36,15.48,17000
10,2019-08-29,15.4,15.49,15.39,15.47,13600
11,2019-08-28,15.51,15.6,15.39,15.45,41200
12,2019-08-27,15.61,15.61,15.5,15.53,11700
13,2019-08-26,15.51,15.64,15.49,15.63,8300
14,2019-08-23,15.57,15.57,15.48,15.53,21600
15,2019-08-22,15.6,15.6,15.5,15.53,25500
16,2019-08-21,15.66,15.75,15.62,15.65,37100
17,2019-08-20,15.7,15.73,15.67,15.67,34600
18,2019-08-19,15.77,15.82,15.7,15.7,23600
19,2019-08-16,15.46,15.69,15.44,15.69,37900
20,2019-08-15,15.53,15.53,15.44,15.53,16300
21,2019-08-14,15.47,15.55,15.44,15.522,54900
22,2019-08-13,15.32,15.43,15.32,15.41,29700
23,2019-08-12,15.37,15.4113,15.35,15.41,9300
24,2019-08-09,15.3,15.35,15.3,15.339,13300
25,2019-08-08,15.34,15.365,15.32,15.32,12400
26,2019-08-07,15.3,15.41,15.3,15.3,13000
27,2019-08-06,15.27,15.47,15.23,15.23,17800
28,2019-08-05,15.46,15.49,15.27,15.28,26100
29,2019-08-02,15.33,15.49,15.29,15.38,18500
30,2019-08-01,15.26,15.4,15.26,15.32,16400
31,2019-07-31,15.15,15.26,15.15,15.25,22500
32,2019-07-30,15.15,15.21,15.15,15.2,41600
33,2019-07-29,15.17,15.17,15.1306,15.17,16900
34,2019-07-26,15.16,15.16,15.1304,15.15,9600
35,2019-07-25,15.16,15.17,15.13,15.14,14800
36,2019-07-24,15.17,15.17,15.13,15.14,47900
37,2019-07-23,15.16,15.16,15.13,15.13,8100
38,2019-07-22,15.15,15.15,15.13,15.13,11000
39,2019-07-19,15.13,15.13,15.1,15.12,9400
40,2019-07-18,15.1,15.1388,15.1,15.1,16900
41,2019-07-17,15.14,15.17,15.14,15.17,52800
42,2019-07-16,15.1,15.16,15.1,15.16,21400
43,2019-07-15,15.01,15.1401,15.01,15.12,25100
44,2019-07-12,15.0311,15.08,15.03,15.07,16800
45,2019-07-11,14.94,15.02,14.93,14.99,64900
46,2019-07-10,14.88,14.93,14.84,14.93,35200
47,2019-07-09,14.87,14.87,14.85,14.86,18200
48,2019-07-08,14.86,14.88,14.84,14.85,26300
49,2019-07-05,14.87,14.9478,14.83,14.85,16700
50,2019-07-03,14.87,14.93,14.8397,14.87,19400
51,2019-07-02,14.9,14.94,14.8488,14.88,31000
52,2019-07-01,14.9,14.9,14.88,14.9,16100
53,2019-06-28,14.8512,14.9,14.85,14.9,11600
54,2019-06-27,14.83,14.9,14.83,14.9,35600
