,timestamp,open,high,low,close,volume
0,2019-09-23,3.15,3.15,3.15,3.08,56
1,2019-09-20,3.1126,3.14,3.0,3.0,7244
2,2019-09-19,3.1,3.15,3.1,3.14,9000
3,2019-09-18,3.07,3.1,3.04,3.1,23400
4,2019-09-17,3.05,3.14,3.05,3.07,13100
5,2019-09-16,3.075,3.08,3.021,3.05,1800
6,2019-09-13,3.16,3.18,2.97,3.05,10500
7,2019-09-12,3.03,3.16,3.0,3.0,19400
8,2019-09-11,2.9,3.11,2.9,3.09,4200
9,2019-09-10,2.824,3.03,2.824,2.9,12300
10,2019-09-09,3.02,3.09,2.613,2.613,21500
11,2019-09-06,3.03,3.11,3.02,3.05,6400
12,2019-09-05,2.94,3.07,2.94,3.04,21200
13,2019-09-04,2.969,3.09,2.95,3.02,23400
14,2019-09-03,3.02,3.08,2.92,2.93,25500
15,2019-08-30,3.07,3.15,2.85,2.85,3800
16,2019-08-29,3.05,3.14,3.02,3.04,13900
17,2019-08-28,3.058,3.15,3.0,3.14,23700
18,2019-08-27,2.91,3.1,2.91,3.1,33800
19,2019-08-26,3.05,3.05,2.83,2.93,19100
20,2019-08-23,2.79,3.1,2.79,3.1,16300
21,2019-08-22,2.83,2.84,2.7,2.78,16300
22,2019-08-21,2.67,2.848,2.538,2.75,41600
23,2019-08-20,2.5,2.81,2.488,2.68,40300
24,2019-08-19,2.5,2.6,2.35,2.58,48000
25,2019-08-16,3.02,3.02,2.18,2.46,43600
26,2019-08-15,2.88,3.1,2.43,3.1,94800
27,2019-08-14,2.69,2.77,2.59,2.77,26100
28,2019-08-13,2.57,2.78,2.57,2.66,5500
29,2019-08-12,2.57,2.58,2.4699,2.567,26000
30,2019-08-09,2.53,2.61,2.51,2.58,2100
31,2019-08-08,2.62,2.75,2.62,2.65,6600
32,2019-08-07,2.6,2.81,2.516,2.81,25500
33,2019-08-06,2.94,2.94,2.58,2.58,24700
34,2019-08-05,2.95,3.08,2.89,2.99,3900
35,2019-08-02,2.78,2.81,2.74,2.8,13600
36,2019-08-01,2.93,2.93,2.8,2.8,6200
37,2019-07-31,2.832,2.91,2.832,2.9,13700
38,2019-07-30,2.7638,2.89,2.764,2.849,2300
39,2019-07-29,3.1,3.1,2.821,2.821,4000
40,2019-07-26,3.08,3.0801,2.78,3.05,67100
41,2019-07-25,2.97,2.978,2.86,2.97,10700
42,2019-07-24,2.807,3.028,2.794,2.99,6900
43,2019-07-23,2.88,3.065,2.78,2.85,4900
44,2019-07-22,2.76,2.975,2.754,2.93,9900
45,2019-07-19,3.05,3.05,2.85,2.85,59600
46,2019-07-18,3.04,3.17,3.04,3.083,5300
47,2019-07-17,3.12,3.17,3.1,3.12,4900
48,2019-07-16,3.15,3.175,3.13,3.13,9500
49,2019-07-15,3.22,3.22,3.089,3.15,2500
50,2019-07-12,3.25,3.25,3.15,3.15,4000
51,2019-07-11,3.33,3.3301,3.137,3.21,3700
52,2019-07-10,3.38,3.38,3.216,3.3,5200
53,2019-07-09,3.04,3.51,3.04,3.51,2100
54,2019-07-08,3.07,3.33,2.98,2.98,29500
55,2019-07-05,3.32,3.32,3.03,3.15,11800
56,2019-07-03,3.3099,3.34,3.291,3.34,6700
57,2019-07-02,3.3,3.36,3.256,3.294,7700
58,2019-07-01,3.34,3.62,3.22,3.525,16400
59,2019-06-28,3.521,3.54,3.28,3.4,14600
60,2019-06-27,3.75,3.83,3.53,3.53,27400
61,2019-06-26,3.6,4.03,3.5999,3.77,32600
62,2019-06-25,3.57,3.57,3.57,3.57,0
63,2019-06-24,3.55,3.58,3.49,3.57,2800
64,2019-06-21,3.45,3.59,3.45,3.585,6200
65,2019-06-20,3.57,3.61,3.45,3.55,1600
66,2019-06-19,3.61,3.64,3.53,3.57,7300
67,2019-06-18,3.3,3.514,3.3,3.49,14100
68,2019-06-17,3.25,3.47,3.25,3.35,4800
