,timestamp,open,high,low,close,volume
0,2019-09-23,2.32,2.3594,2.27,2.29,5900
1,2019-09-20,2.5,2.57,2.32,2.32,125308
2,2019-09-19,2.57,2.62,2.45,2.56,133600
3,2019-09-18,2.53,2.59,2.46,2.56,69700
4,2019-09-17,2.46,2.63,2.4,2.55,203600
5,2019-09-16,2.45,2.55,2.36,2.46,92700
6,2019-09-13,2.63,2.63,2.37,2.5,204500
7,2019-09-12,2.56,2.56,2.47,2.53,62700
8,2019-09-11,2.67,2.71,2.5,2.56,100600
9,2019-09-10,2.4,2.85,2.34,2.69,291500
10,2019-09-09,2.28,2.45,2.27,2.4,55000
11,2019-09-06,2.39,2.4,2.2,2.31,122200
12,2019-09-05,2.38,2.54,2.23,2.4,262600
13,2019-09-04,2.52,2.58,2.28,2.38,129700
14,2019-09-03,2.61,2.79,2.45,2.51,214500
15,2019-08-30,2.51,2.95,2.4,2.66,223600
16,2019-08-29,2.34,2.9,2.18,2.52,472700
17,2019-08-28,2.61,2.79,2.16,2.45,640500
18,2019-08-27,2.6,2.8,2.4,2.8,134300
19,2019-08-26,2.6,2.6,2.4,2.6,12200
20,2019-08-23,2.8,2.8,2.4,2.6,11900
21,2019-08-22,2.8,2.8,2.6,2.6,5500
22,2019-08-21,2.6,2.8,2.6,2.8,14400
23,2019-08-20,2.8,2.8,2.6,2.8,13200
24,2019-08-19,2.8,2.8,2.8,2.8,10100
25,2019-08-16,0.14,0.14,0.13,0.14,13400
26,2019-08-15,0.14,0.14,0.13,0.14,21100
27,2019-08-14,0.14,0.14,0.13,0.14,20400
28,2019-08-13,0.14,0.15,0.138,0.145,22900
29,2019-08-12,0.15,0.152,0.141,0.141,23000
30,2019-08-09,0.15,0.155,0.141,0.144,23500
31,2019-08-08,0.151,0.155,0.142,0.15,13800
32,2019-08-07,0.153,0.155,0.146,0.151,20400
33,2019-08-06,0.17,0.17,0.14,0.15,55300
34,2019-08-05,0.18,0.18,0.17,0.17,21600
35,2019-08-02,0.18,0.18,0.17,0.18,11700
36,2019-08-01,0.17,0.18,0.17,0.17,14900
37,2019-07-31,0.18,0.18,0.17,0.17,15700
38,2019-07-30,0.18,0.18,0.17,0.18,6300
39,2019-07-29,0.18,0.18,0.18,0.18,11800
40,2019-07-26,0.18,0.18,0.18,0.18,12400
41,2019-07-25,0.18,0.18,0.17,0.18,17700
42,2019-07-24,0.18,0.18,0.18,0.18,9900
43,2019-07-23,0.18,0.18,0.17,0.18,16900
44,2019-07-22,0.18,0.19,0.18,0.18,15100
45,2019-07-19,0.17,0.18,0.17,0.18,13100
46,2019-07-18,0.19,0.19,0.18,0.18,16800
47,2019-07-17,0.19,0.19,0.18,0.18,11000
48,2019-07-16,0.18,0.2,0.18,0.19,96000
49,2019-07-15,0.19,0.19,0.18,0.18,12000
50,2019-07-12,0.19,0.19,0.18,0.18,18600
51,2019-07-11,0.19,0.19,0.18,0.18,35600
52,2019-07-10,0.18,0.19,0.18,0.18,22000
53,2019-07-09,0.19,0.19,0.18,0.18,49100
54,2019-07-08,0.2,0.2,0.19,0.19,37400
55,2019-07-05,0.192,0.21,0.183,0.194,130800
56,2019-07-03,0.182,0.19,0.182,0.183,19500
57,2019-07-02,0.18,0.182,0.175,0.18,13200
58,2019-07-01,0.19,0.19,0.174,0.178,11000
59,2019-06-28,0.18,0.184,0.171,0.175,14100
60,2019-06-27,0.181,0.187,0.178,0.18,9000
61,2019-06-26,0.181,0.184,0.175,0.181,17900
62,2019-06-25,0.185,0.189,0.18,0.183,20500
63,2019-06-24,0.189,0.19,0.184,0.19,25200
64,2019-06-21,0.189,0.19,0.185,0.189,19800
65,2019-06-20,0.19,0.195,0.186,0.188,16100
66,2019-06-19,0.195,0.195,0.19,0.191,6700
67,2019-06-18,0.194,0.194,0.188,0.191,18000
68,2019-06-17,0.195,0.195,0.188,0.19,18200
69,2019-06-14,0.195,0.2,0.187,0.197,51600
70,2019-06-13,0.2,0.2,0.189,0.195,20800
71,2019-06-12,0.2,0.203,0.192,0.194,16800
72,2019-06-11,0.2,0.213,0.198,0.201,34900
73,2019-06-10,0.23,0.23,0.2,0.21,39200
74,2019-06-07,0.21,0.213,0.196,0.208,43200
75,2019-06-06,0.19,0.23,0.19,0.214,285600
76,2019-06-05,0.191,0.2,0.185,0.191,30500
77,2019-06-04,0.188,0.204,0.185,0.191,87200
78,2019-06-03,0.18,0.192,0.176,0.19,18100
79,2019-05-31,0.191,0.195,0.187,0.188,15300
80,2019-05-30,0.19,0.2,0.19,0.194,20700
81,2019-05-29,0.199,0.21,0.191,0.193,25700
82,2019-05-28,0.192,0.2,0.19,0.195,37500
83,2019-05-24,0.2,0.215,0.185,0.2,138500
84,2019-05-23,0.19,0.2,0.185,0.187,17600
85,2019-05-22,0.191,0.205,0.18,0.199,35300
86,2019-05-21,0.196,0.207,0.192,0.2,25900
87,2019-05-20,0.202,0.208,0.195,0.2,26800
88,2019-05-17,0.207,0.21,0.199,0.205,21100
89,2019-05-16,0.207,0.222,0.207,0.22,27000
90,2019-05-15,0.215,0.22,0.198,0.213,46500
91,2019-05-14,0.199,0.22,0.195,0.206,48800
92,2019-05-13,0.202,0.21,0.193,0.199,55700
93,2019-05-10,0.213,0.221,0.19,0.207,135600
94,2019-05-09,0.23,0.235,0.225,0.228,32700
95,2019-05-08,0.232,0.249,0.225,0.227,118600
96,2019-05-07,0.228,0.235,0.224,0.23,75300
97,2019-05-06,0.22,0.23,0.217,0.221,34100
98,2019-05-03,0.229,0.23,0.215,0.217,33900
99,2019-05-02,0.23,0.233,0.218,0.23,55300
100,2019-05-01,0.228,0.245,0.205,0.229,109400
101,2019-04-30,0.238,0.238,0.215,0.228,34800
102,2019-04-29,0.236,0.24,0.214,0.23,78500
103,2019-04-26,0.211,0.258,0.201,0.227,374800
104,2019-04-25,0.211,0.214,0.2,0.204,12400
105,2019-04-24,0.196,0.216,0.192,0.201,20300
106,2019-04-23,0.2,0.208,0.192,0.197,29600
107,2019-04-22,0.209,0.212,0.2,0.2,18700
108,2019-04-18,0.21,0.215,0.2,0.21,32000
109,2019-04-17,0.216,0.218,0.2,0.2,42800
110,2019-04-16,0.215,0.225,0.214,0.218,25800
111,2019-04-15,0.224,0.235,0.215,0.218,44400
112,2019-04-12,0.215,0.23,0.212,0.221,50200
113,2019-04-11,0.221,0.235,0.21,0.224,147700
114,2019-04-10,0.22,0.23,0.21,0.215,167100
115,2019-04-09,0.2,0.216,0.195,0.21,90300
116,2019-04-08,0.18,0.198,0.18,0.196,61700
