,timestamp,open,high,low,close,volume
0,2019-09-23,93.0,94.35,92.58,93.545,50185
1,2019-09-20,91.69,93.77,91.18,93.44,466757
2,2019-09-19,92.16,92.36,88.28,92.0,601000
3,2019-09-18,87.9,91.98,87.5,91.76,421900
4,2019-09-17,86.0,88.91,85.91,88.24,318700
5,2019-09-16,84.9,88.0,84.9,86.53,373800
6,2019-09-13,84.38,87.1,84.38,85.55,617400
7,2019-09-12,85.54,86.05,83.14,84.71,431200
8,2019-09-11,80.42,87.78,79.72,85.51,735700
9,2019-09-10,81.08,81.8,74.41,79.71,1060400
10,2019-09-09,88.51,93.98,82.48,82.7,1638700
11,2019-09-06,85.96,87.99,85.0,87.27,550700
12,2019-09-05,83.76,86.33,82.45,85.77,555300
13,2019-09-04,82.48,84.25,80.78,83.08,282500
14,2019-09-03,81.55,86.53,80.58,82.17,569300
15,2019-08-30,84.8,85.76,81.69,81.97,254600
16,2019-08-29,85.67,86.61,83.52,84.88,229200
17,2019-08-28,84.64,85.38,81.96,84.55,383100
18,2019-08-27,86.3,87.12,84.3,85.09,388000
19,2019-08-26,84.06,85.74,84.0,85.59,387400
20,2019-08-23,85.38,87.07,82.95,83.35,292900
21,2019-08-22,91.21,91.21,84.38,85.44,561400
22,2019-08-21,89.24,93.24,87.5,91.94,495700
23,2019-08-20,92.24,93.15,88.28,88.53,360000
24,2019-08-19,93.26,93.94,91.96,92.23,287900
25,2019-08-16,91.07,93.76,90.4528,92.13,301600
26,2019-08-15,91.76,92.4,89.45,90.12,277900
27,2019-08-14,90.83,92.58,90.43,91.39,427300
28,2019-08-13,90.9944,94.63,90.5,93.0,494400
29,2019-08-12,94.01,94.2,90.5,90.97,403900
30,2019-08-09,95.62,96.4307,91.01,94.47,476400
31,2019-08-08,96.14,96.89,95.06,96.49,263900
32,2019-08-07,96.45,97.63,95.02,95.7,345900
33,2019-08-06,96.01,98.79,93.65,97.6,807500
34,2019-08-05,96.1,96.91,92.51,93.65,564400
35,2019-08-02,98.02,101.09,95.91,98.08,774700
36,2019-08-01,105.93,106.56,100.69,104.46,660500
37,2019-07-31,103.07,111.99,103.07,105.8,1381700
