,timestamp,open,high,low,close,volume
0,2019-09-23,63.39,64.1,63.3452,64.1,10214
1,2019-09-20,63.93,64.05,62.81,63.66,80837
2,2019-09-19,63.83,65.13,63.83,64.12,63700
3,2019-09-18,63.07,64.24,63.07,63.54,61600
4,2019-09-17,61.87,63.51,61.78,63.1,62600
5,2019-09-16,61.76,62.57,61.76,61.85,66400
6,2019-09-13,61.68,62.43,61.16,61.89,57100
7,2019-09-12,60.87,61.91,60.36,61.61,68300
8,2019-09-11,59.11,60.99,59.11,60.51,72400
9,2019-09-10,58.48,59.05,57.92,58.97,57100
10,2019-09-09,60.4,60.4,57.75,58.36,81100
11,2019-09-06,61.25,61.41,59.95,60.3,54000
12,2019-09-05,61.22,61.79,60.66,61.29,59500
13,2019-09-04,61.69,61.79,60.96,61.19,60100
14,2019-09-03,61.19,62.35,61.18,61.42,67100
15,2019-08-30,61.07,61.43,60.35,61.04,41100
16,2019-08-29,60.34,61.3,60.29,60.94,41300
17,2019-08-28,59.92,60.09,59.57,59.96,46800
18,2019-08-27,61.0,61.34,59.74,59.78,87100
19,2019-08-26,60.08,60.74,59.42,60.73,55300
20,2019-08-23,61.2,61.49,59.47,59.54,71100
21,2019-08-22,60.62,61.52,59.8,61.19,65200
22,2019-08-21,60.71,60.74,59.84,60.43,70200
23,2019-08-20,60.93,61.15,60.29,60.47,54900
24,2019-08-19,60.82,61.36,60.54,60.95,76700
25,2019-08-16,60.5,60.96,60.32,60.81,64600
26,2019-08-15,60.02,61.09,59.45,60.41,66800
27,2019-08-14,60.0,60.75,59.7,59.91,53500
28,2019-08-13,59.6,60.6452,59.33,60.38,44700
29,2019-08-12,59.48,59.87,58.9653,59.66,67500
30,2019-08-09,59.02,59.75,58.79,59.6,55000
31,2019-08-08,57.64,59.76,57.64,59.08,96000
32,2019-08-07,57.36,58.11,56.57,57.53,36200
33,2019-08-06,56.88,57.58,55.97,57.39,77900
34,2019-08-05,57.2,57.5,55.3,56.84,160000
35,2019-08-02,57.5398,58.24,55.62,58.02,146200
36,2019-08-01,62.54,62.54,57.38,58.03,121500
37,2019-07-31,62.28,63.53,62.1,62.63,94900
38,2019-07-30,61.2198,62.62,61.22,62.07,66200
39,2019-07-29,61.55,61.64,61.0587,61.4,45200
40,2019-07-26,60.5,61.49,59.96,61.43,48200
41,2019-07-25,60.77,61.08,60.39,60.44,52900
42,2019-07-24,60.09,60.92,59.4,60.82,60900
43,2019-07-23,60.0,60.18,59.25,60.09,36900
44,2019-07-22,59.55,60.04,58.71,59.93,52100
45,2019-07-19,60.29,60.48,59.41,59.45,32400
46,2019-07-18,60.78,60.8302,59.75,60.58,50200
47,2019-07-17,59.62,60.72,59.62,60.64,42300
48,2019-07-16,58.82,59.61,58.82,59.53,33200
49,2019-07-15,59.59,59.59,59.01,59.1,24700
50,2019-07-12,60.18,60.18,59.36,59.49,46500
51,2019-07-11,60.99,61.14,59.57,60.17,44900
52,2019-07-10,60.98,61.25,60.63,61.0,37800
53,2019-07-09,62.07,62.07,60.5599,60.9,36000
54,2019-07-08,62.27,62.5,61.72,62.05,34300
55,2019-07-05,61.48,62.33,60.83,62.28,47400
