,timestamp,open,high,low,close,volume
0,2019-09-23,16.97,17.2985,16.9,17.27,15029
1,2019-09-20,17.84,17.89,17.15,17.22,164872
2,2019-09-19,18.39,18.5,17.8,17.83,101200
3,2019-09-18,18.7,18.75,17.89,18.34,173000
4,2019-09-17,19.4,19.43,18.58,18.77,190700
5,2019-09-16,19.26,19.9,19.16,19.53,310300
6,2019-09-13,19.19,19.52,19.05,19.09,156200
7,2019-09-12,19.07,19.32,18.27,19.04,221000
8,2019-09-11,18.95,19.41,18.95,19.1,190000
9,2019-09-10,18.56,19.26,18.43,18.95,316500
10,2019-09-09,18.54,19.02,18.45,18.59,130600
11,2019-09-06,19.55,19.55,18.41,18.46,145400
12,2019-09-05,19.5,20.22,19.36,19.4,183300
13,2019-09-04,19.29,19.53,19.08,19.19,111300
14,2019-09-03,19.6,19.67,18.56,18.86,261600
15,2019-08-30,21.82,21.82,19.15,19.87,276900
16,2019-08-29,20.55,24.36,19.86,21.81,625800
17,2019-08-28,18.82,19.55,18.57,19.11,199200
18,2019-08-27,19.03,19.04,18.2,18.51,188300
19,2019-08-26,19.59,19.63,18.9,19.04,122000
20,2019-08-23,19.88,20.43,19.31,19.42,376800
21,2019-08-22,19.71,20.13,19.69,20.0,92300
22,2019-08-21,19.86,19.91,19.46,19.61,134600
23,2019-08-20,19.51,19.79,19.25,19.67,108100
24,2019-08-19,19.45,19.79,19.45,19.67,84300
25,2019-08-16,18.57,19.4,18.57,19.31,68800
26,2019-08-15,18.2,18.5109,17.98,18.42,95500
27,2019-08-14,18.48,18.53,17.99,18.23,130300
28,2019-08-13,18.77,19.28,18.63,18.81,74700
29,2019-08-12,18.4808,18.83,18.33,18.81,49400
30,2019-08-09,18.55,18.71,18.09,18.65,141500
31,2019-08-08,18.48,18.55,18.17,18.55,97700
32,2019-08-07,18.75,18.75,17.61,18.24,120200
33,2019-08-06,17.72,17.83,17.23,17.58,83400
34,2019-08-05,17.99,18.08,17.55,17.69,73600
35,2019-08-02,18.64,18.76,18.0891,18.33,76300
36,2019-08-01,18.29,19.85,18.17,18.67,242500
37,2019-07-31,18.3507,18.9,18.34,18.37,142700
38,2019-07-30,17.97,18.48,17.86,18.37,118000
39,2019-07-29,18.3993,18.4,17.82,18.16,108500
40,2019-07-26,17.8,18.32,17.78,18.29,140400
41,2019-07-25,18.41,18.49,17.7,17.79,81200
42,2019-07-24,18.3,18.7101,18.17,18.39,99200
43,2019-07-23,18.2,18.55,17.96,18.39,84600
44,2019-07-22,18.27,18.66,17.9,18.11,235000
45,2019-07-19,18.31,18.54,18.25,18.29,123700
46,2019-07-18,18.49,18.5694,18.29,18.4,66900
47,2019-07-17,18.91,18.97,18.44,18.56,88700
48,2019-07-16,19.1,19.38,18.9,19.0,67100
49,2019-07-15,19.58,19.82,19.02,19.19,63500
50,2019-07-12,19.59,19.85,19.52,19.64,65400
51,2019-07-11,19.9004,19.9,19.52,19.69,65800
52,2019-07-10,20.23,20.33,19.84,19.95,69000
53,2019-07-09,20.23,20.32,19.86,20.01,58800
54,2019-07-08,20.29,20.54,20.2,20.32,94400
55,2019-07-05,20.0,20.45,19.95,20.38,70700
56,2019-07-03,20.45,20.45,19.96,20.19,38800
57,2019-07-02,20.41,20.41,19.99,20.36,101900
58,2019-07-01,20.39,20.8,20.24,20.38,76300
59,2019-06-28,19.93,20.3,19.93,20.26,241200
60,2019-06-27,19.96,20.17,19.6,19.86,117600
61,2019-06-26,19.59,20.0,19.411,19.9,77400
62,2019-06-25,19.3,19.54,19.16,19.39,69700
63,2019-06-24,19.56,19.7,19.4,19.4,84600
64,2019-06-21,19.8195,19.93,19.45,19.49,175100
65,2019-06-20,19.4,20.0,19.31,19.92,105400
66,2019-06-19,19.77,19.77,18.95,19.15,110700
67,2019-06-18,19.63,20.07,19.37,19.85,121100
68,2019-06-17,19.14,19.46,19.09,19.44,86100
69,2019-06-14,19.61,19.64,19.18,19.2,49200
70,2019-06-13,18.88,19.63,18.88,19.6,164500
71,2019-06-12,18.97,19.0,18.55,18.66,110700
72,2019-06-11,19.26,19.31,18.83,19.06,138000
73,2019-06-10,19.11,19.92,18.84,18.98,61300
74,2019-06-07,18.55,19.33,18.52,19.12,106400
75,2019-06-06,18.52,18.77,18.3,18.58,95400
76,2019-06-05,18.72,18.72,18.11,18.57,125300
77,2019-06-04,18.59,18.985,18.47,18.76,112800
78,2019-06-03,18.11,18.56,18.1101,18.4,153200
79,2019-05-31,18.59,18.71,17.99,18.1,149700
