,timestamp,open,high,low,close,volume
0,2019-09-23,5.42,5.44,5.22,5.22,4536
1,2019-09-20,5.39,5.4341,5.26,5.4,63638
2,2019-09-19,5.8,5.8,5.33,5.39,94900
3,2019-09-18,5.75,5.89,5.6,5.83,70200
4,2019-09-17,5.58,5.99,5.58,5.73,74900
5,2019-09-16,5.31,5.71,5.23,5.62,223600
6,2019-09-13,5.33,5.5,5.14,5.23,71600
7,2019-09-12,5.28,5.52,5.22,5.32,59500
8,2019-09-11,5.29,5.48,5.12,5.39,86400
9,2019-09-10,5.45,5.6,5.33,5.33,208700
10,2019-09-09,5.37,5.77,5.37,5.48,210900
11,2019-09-06,5.5,5.6,5.23,5.4,145400
12,2019-09-05,5.57,5.91,5.3,5.37,147800
13,2019-09-04,6.15,6.29,5.43,5.46,523000
14,2019-09-03,4.75,6.4,4.75,6.03,1332700
15,2019-08-30,4.86,4.97,4.64,4.79,115000
16,2019-08-29,5.1,5.17,4.73,4.81,259900
17,2019-08-28,4.74,5.2,4.6,5.06,522400
18,2019-08-27,5.15,6.3,4.7,4.78,3470000
19,2019-08-26,4.67,4.8,4.17,4.4,399000
20,2019-08-23,5.15,5.37,4.35,4.72,2739200
21,2019-08-22,3.65,5.75,3.42,5.3,17844800
22,2019-08-21,3.15,3.3,3.1,3.3,46300
23,2019-08-20,3.09,3.15,3.0,3.15,11900
24,2019-08-19,3.21,3.21,3.03,3.13,35700
25,2019-08-16,3.22,3.44,3.22,3.28,13400
26,2019-08-15,3.42,3.69,3.22,3.22,28400
27,2019-08-14,3.73,3.73,3.4,3.59,37600
28,2019-08-13,3.64,3.86,3.61,3.73,13200
29,2019-08-12,3.65,3.79,3.6,3.72,5800
30,2019-08-09,3.52,3.92,3.37,3.69,40100
31,2019-08-08,3.5602,3.64,3.51,3.55,21100
32,2019-08-07,3.6,3.61,3.3999,3.6,13500
33,2019-08-06,3.6296,3.68,3.54,3.62,13700
34,2019-08-05,3.62,3.69,3.62,3.63,9700
35,2019-08-02,3.66,3.7,3.6,3.61,13400
36,2019-08-01,3.7,3.79,3.67,3.67,12900
37,2019-07-31,3.7,3.83,3.66,3.68,15300
38,2019-07-30,3.69,3.78,3.66,3.78,19600
39,2019-07-29,3.85,3.85,3.66,3.66,7900
40,2019-07-26,3.72,3.81,3.66,3.66,4700
41,2019-07-25,3.86,3.94,3.73,3.73,11600
42,2019-07-24,3.73,3.87,3.73,3.83,4700
43,2019-07-23,3.7,4.05,3.63,3.63,94100
44,2019-07-22,3.78,3.88,3.62,3.62,9300
45,2019-07-19,3.85,3.85,3.69,3.75,7600
46,2019-07-18,3.87,3.9,3.61,3.82,33100
47,2019-07-17,4.01,4.07,3.82,3.83,29400
48,2019-07-16,4.1,4.1,3.91,4.01,17100
49,2019-07-15,4.28,4.3,4.0,4.02,17800
50,2019-07-12,4.37,4.37,4.25,4.25,4100
51,2019-07-11,4.33,4.34,4.26,4.32,10100
52,2019-07-10,4.34,4.41,4.31,4.32,20400
53,2019-07-09,4.34,4.44,4.26,4.39,32800
54,2019-07-08,4.51,4.53,4.24,4.38,25400
55,2019-07-05,4.37,4.556,4.37,4.46,14000
56,2019-07-03,4.5201,4.52,4.35,4.35,5800
57,2019-07-02,4.44,4.694,4.43,4.56,33600
58,2019-07-01,4.73,4.73,4.43,4.57,56000
59,2019-06-28,4.4,4.78,4.3402,4.57,62100
60,2019-06-27,4.61,4.68,4.27,4.39,80300
61,2019-06-26,4.26,5.1,4.26,4.72,381400
62,2019-06-25,4.38,4.51,4.3,4.3,36700
63,2019-06-24,4.23,4.5,4.066,4.34,94500
64,2019-06-21,4.15,4.45,4.05,4.18,41200
65,2019-06-20,3.86,5.42,3.86,4.26,525200
66,2019-06-19,3.96,4.04,3.85,4.0,7900
67,2019-06-18,3.82,3.99,3.82,3.99,10300
68,2019-06-17,3.92,4.018,3.85,3.88,11700
69,2019-06-14,4.0,4.03,3.77,3.887,34400
70,2019-06-13,3.96,4.04,3.9,3.98,10100
71,2019-06-12,3.99,4.06,3.9,3.91,11200
72,2019-06-11,3.94,4.16,3.9401,4.03,2900
73,2019-06-10,4.06,4.28,3.9,3.9,25800
74,2019-06-07,4.05,4.159,4.0,4.0,8200
75,2019-06-06,4.009,4.1,3.9,3.98,23200
76,2019-06-05,4.01,4.11,3.96,3.96,31300
77,2019-06-04,4.09,4.09,3.86,3.98,13500
78,2019-06-03,3.98,4.11,3.98,4.08,11500
79,2019-05-31,3.95,4.117,3.94,3.94,16300
80,2019-05-30,4.13,4.14,3.902,3.95,47100
81,2019-05-29,4.29,4.29,4.0101,4.17,37500
82,2019-05-28,4.2335,4.39,4.23,4.34,7000
83,2019-05-24,4.37,4.37,4.2299,4.349,7200
84,2019-05-23,4.26,4.538,4.2,4.2,8600
85,2019-05-22,4.39,4.41,4.26,4.26,14600
86,2019-05-21,4.5,4.5,4.3,4.31,28800
87,2019-05-20,4.9,4.9,4.3999,4.477,14600
88,2019-05-17,4.95,4.95,4.74,4.88,23700
89,2019-05-16,5.18,5.2,4.0,4.75,210400
90,2019-05-15,5.32,5.41,5.18,5.276,21300
91,2019-05-14,5.25,5.42,5.18,5.258,26900
92,2019-05-13,5.07,5.7042,4.975,5.25,142100
93,2019-05-10,5.24,5.24,4.99,5.13,17700
94,2019-05-09,5.09,5.22,5.09,5.19,14100
95,2019-05-08,5.34,5.34,5.035,5.06,27000
96,2019-05-07,5.52,5.62,5.39,5.4,27100
97,2019-05-06,5.5699,5.609,5.46,5.55,6000
98,2019-05-03,5.43,5.65,5.42,5.62,23800
99,2019-05-02,5.47,5.72,5.41,5.41,41800
100,2019-05-01,5.63,5.65,5.4405,5.53,22500
