,timestamp,open,high,low,close,volume
0,2019-09-23,6.11,6.17,6.11,6.17,1209
1,2019-09-20,6.27,6.36,6.08,6.32,1300
2,2019-09-19,6.18,6.22,6.18,6.22,300
3,2019-09-18,6.03,6.18,6.0,6.18,5400
4,2019-09-17,6.04,6.255,6.03,6.2,1900
5,2019-09-16,6.003,6.27,6.003,6.27,500
6,2019-09-13,6.11,6.11,6.0,6.0,2200
7,2019-09-12,6.45,6.45,6.225,6.225,300
8,2019-09-11,6.235,6.29,6.235,6.29,1400
9,2019-09-10,6.022,6.42,6.022,6.275,1900
10,2019-09-09,6.15,6.15,5.9,6.13,2100
11,2019-09-06,6.08,6.08,6.08,6.08,0
12,2019-09-05,5.97,6.15,5.97,6.08,1700
13,2019-09-04,6.223,6.223,5.649,6.07,4400
14,2019-09-03,5.92,6.2,5.92,6.2,2000
15,2019-08-30,6.02,6.07,5.93,6.07,800
16,2019-08-29,6.3,6.3,6.0,6.2,3100
17,2019-08-28,6.277,6.35,6.08,6.34,3300
18,2019-08-27,6.0,6.26,6.0,6.2,4400
19,2019-08-26,5.947,6.2,5.947,6.1,2100
20,2019-08-23,6.22,6.35,6.22,6.35,4500
21,2019-08-22,6.29,6.4,6.29,6.4,4600
22,2019-08-21,6.4,6.45,6.4,6.42,6100
23,2019-08-20,6.332,6.332,6.3,6.331,600
24,2019-08-19,6.03,6.45,6.03,6.3,9200
25,2019-08-16,6.03,6.03,6.03,6.03,800
26,2019-08-15,6.35,6.35,5.9,6.096,800
27,2019-08-14,5.76,6.42,5.76,6.4,3600
28,2019-08-13,5.87,6.95,5.8698,6.9,17500
29,2019-08-12,5.604,5.64,5.603,5.64,100
30,2019-08-09,5.604,5.64,5.603,5.64,300
31,2019-08-08,5.604,5.64,5.603,5.64,900
32,2019-08-07,5.4,5.58,5.4,5.57,600
33,2019-08-06,5.44,5.58,5.44,5.58,200
34,2019-08-05,5.55,5.9,5.55,5.655,6700
35,2019-08-02,5.377,5.56,5.377,5.56,1100
36,2019-08-01,5.55,5.55,5.55,5.55,100
37,2019-07-31,5.9,5.9003,5.825,5.825,300
38,2019-07-30,5.64,5.8992,5.64,5.86,2000
39,2019-07-29,5.96,5.96,5.6,5.6,7300
40,2019-07-26,6.01,6.025,5.89,5.895,1100
41,2019-07-25,6.16,6.16,6.0,6.05,2400
42,2019-07-24,6.03,6.07,5.985,6.04,29500
43,2019-07-23,6.0,6.1,5.8894,6.05,21100
44,2019-07-22,6.0,6.04,5.8601,6.0,4500
45,2019-07-19,6.02,6.11,6.01,6.07,4400
46,2019-07-18,6.19,6.23,5.889,6.16,3600
47,2019-07-17,6.1097,6.4,5.82,6.23,4900
48,2019-07-16,6.21,6.21,6.12,6.12,700
49,2019-07-15,6.41,6.41,6.17,6.39,14900
50,2019-07-12,5.85,6.48,5.63,6.34,216600
51,2019-07-11,5.56,6.16,5.56,5.9,29500
52,2019-07-10,5.38,6.12,5.262,5.75,114600
53,2019-07-09,5.37,5.43,5.37,5.42,1000
54,2019-07-08,5.286,5.44,5.27,5.38,1200
55,2019-07-05,5.54,5.685,5.39,5.4,5500
56,2019-07-03,5.52,5.68,5.51,5.68,1000
57,2019-07-02,5.62,5.79,5.56,5.777,56000
58,2019-07-01,5.618,5.727,5.59,5.72,5400
59,2019-06-28,5.473,5.55,5.2502,5.5,7200
60,2019-06-27,5.55,5.59,5.44,5.583,12600
61,2019-06-26,5.4,5.55,5.4,5.485,500
62,2019-06-25,5.65,5.65,5.32,5.6,2700
63,2019-06-24,5.46,5.7,5.3701,5.49,4100
64,2019-06-21,5.57,5.57,5.4,5.41,5500
